Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
Multi-family home for sale,"$729,000","6728 Cantil St, Carlsbad, CA 92009",6728 Cantil St,Carlsbad,CA,92009,3,3,"1,736",null,null,Multiple Occupancy,1984,"Garage, Covered",null,"$729,006","$3,000/mo",$420,https://www.zillow.com/homedetails/6728-Cantil-St-Carlsbad-CA-92009/16656360_zpid/
For sale by owner,"$999,000","16048 Saddle Summit Rd, Ramona, CA 92065",16048 Saddle Summit Rd,Ramona,CA,92065,4,3,"2,496",null,null,Multiple Occupancy,1988,"Garage, Carport, Off-street, Covered",null,"$799,412","$3,450/mo",$400,https://www.zillow.com/homedetails/16048-Saddle-Summit-Rd-Ramona-CA-92065/16748797_zpid/
Multi-family home for sale,"$945,000","1225 Colorado Blvd, Los Angeles, CA 90041",1225 Colorado Blvd,LosAngeles,CA,90041,3,2,"1,410",null,null,Multiple Occupancy,1948,Covered,null,"$946,893","$2,500/mo",$670,https://www.zillow.com/homedetails/1225-Colorado-Blvd-Los-Angeles-CA-90041/20853550_zpid/
Multi-family home for sale,"$865,000","906 W 17th St #2, Los Angeles, CA 90015",906 W 17th St #2,LosAngeles,CA,90015,5,3,"2,060",null,null,Multiple Occupancy,1902,"Carport, Garage - Attached, Covered",null,"$866,178",null,$420,https://www.zillow.com/homedetails/906-W-17th-St-2-Los-Angeles-CA-90015/2077288396_zpid/
Multi-family home for sale,"$1,179,000","135 Ash Ave, Cayucos, CA 93430",135 Ash Ave,Cayucos,CA,93430,4,2,"7,500",null,null,Multiple Occupancy,1949,Covered,null,"$1,179,004",null,$157,https://www.zillow.com/homedetails/135-Ash-Ave-Cayucos-CA-93430/2076823643_zpid/
Multi-family home for sale,"$489,000","122 N 11th St, Santa Paula, CA 93060",122 N 11th St,SantaPaula,CA,93060,--,--,--,null,null,Multiple Occupancy,1985,0 spaces,null,"$495,581","$2,200/mo",null,https://www.zillow.com/homedetails/122-N-11th-St-Santa-Paula-CA-93060/300034964_zpid/
Multi-family home for sale,"$999,000","2117 Scott Rd, Burbank, CA 91504",2117 Scott Rd,Burbank,CA,91504,3,3,"1,775",null,null,Multiple Occupancy,1941,Covered,null,"$1,033,300","$2,700/mo",$563,https://www.zillow.com/homedetails/2117-Scott-Rd-Burbank-CA-91504/20061009_zpid/
Multi-family home for sale,"$2,049,000","640 Harrison St, Santa Clara, CA 95050",640 Harrison St,SantaClara,CA,95050,--,--,"3,041",null,null,Multiple Occupancy,1900,None,null,"$2,115,351","$3,200/mo",$674,https://www.zillow.com/homedetails/640-Harrison-St-Santa-Clara-CA-95050/153220181_zpid/
Multi-family home for sale,"$5,975,000","504 Hazel Dr, Corona Del Mar, CA 92625",504 Hazel Dr,CoronaDelMar,CA,92625,4,4,"3,479",null,null,Multiple Occupancy,2020,"Garage, Garage - Attached, Covered",null,"$5,496,689","$24,500/mo","$1,717",https://www.zillow.com/homedetails/504-Hazel-Dr-Corona-Del-Mar-CA-92625/25497950_zpid/
Multi-family home for sale,"$980,000","128 E Emerson Ave, Monterey Park, CA 91755",128 E Emerson Ave,MontereyPark,CA,91755,5,4,"2,539",null,null,Multiple Occupancy,1959,Covered,null,"$1,007,523","$2,295/mo",$386,https://www.zillow.com/homedetails/128-E-Emerson-Ave-Monterey-Park-CA-91755/20660901_zpid/
Contingent,"$500,000","10702 S Grevillea Ave, Inglewood, CA 90304",10702 S Grevillea Ave,Inglewood,CA,90304,3,2,"1,571",null,null,Multiple Occupancy,1921,Covered,null,"$512,001",null,$318,https://www.zillow.com/homedetails/10702-S-Grevillea-Ave-Inglewood-CA-90304/20346286_zpid/
Multi-family home for sale,"$1,800,000","847 Bard St, Hermosa Beach, CA 90254",847 Bard St,HermosaBeach,CA,90254,4,2,"2,148",null,null,Multiple Occupancy,1958,"Garage - Attached, Covered",null,"$1,823,462","$3,600/mo",$838,https://www.zillow.com/homedetails/847-Bard-St-Hermosa-Beach-CA-90254/20427543_zpid/
Contingent,"$425,000","8308 Hooper Ave, Los Angeles, CA 90001",8308 Hooper Ave,LosAngeles,CA,90001,8,4,"2,616",null,null,Multiple Occupancy,1971,0 spaces,null,"$433,905",null,$162,https://www.zillow.com/homedetails/8308-Hooper-Ave-Los-Angeles-CA-90001/20944255_zpid/
