Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zillow_price/sqft,Zestimate,House_website
,"$210,000","121 Cramer St, Bakersfield, CA 93308",121 Cramer St,Bakersfield,CA,93308,--,--,"1,974",null,null,Apartment,1987,"Garage - Attached, Covered",null,$106,"$211,019",https://www.zillow.com/homedetails/121-Cramer-St-Bakersfield-CA-93308/18923648_zpid/
,"$299,995","116 N I St, San Bernardino, CA 92410",116 N I St,SanBernardino,CA,92410,3,2,"1,042",null,null,Apartment,1940,"Garage, Garage - Attached",null,$288,"$299,996",https://www.zillow.com/homedetails/116-N-I-St-San-Bernardino-CA-92410/17222781_zpid/
,"$889,000","4433 Ryer Rd E, Walnut Grove, CA 95690",4433 Ryer Rd E,WalnutGrove,CA,95690,2,--,--,null,null,Apartment,No Data,Carport,null,null,"$883,543",https://www.zillow.com/homedetails/4433-Ryer-Rd-E-Walnut-Grove-CA-95690/2077580935_zpid/
,"$405,000","430 W 16th St, San Bernardino, CA 92405",430 W 16th St,SanBernardino,CA,92405,4,3,3,null,null,Apartment,1938,"Garage, Garage - Attached, Garage - Detached, Covered",null,"$135,000","$405,003",https://www.zillow.com/homedetails/430-W-16th-St-San-Bernardino-CA-92405/17232856_zpid/
,"$224,950","2407 Olympic Drive, Bakersfield, CA 93308",2407 Olympic Drive,Bakersfield,CA,93308,--,--,"1,662",null,null,Apartment,1941,"Garage - Detached, Covered",null,$135,"$224,951",https://www.zillow.com/homedetails/2407-Olympic-Drive-Bakersfield-CA-93308/2100927640_zpid/
,"$498,000","445 Valley View Rd, El Sobrante, CA 94803",445 Valley View Rd,ElSobrante,CA,94803,4,4,"1,922",null,null,Apartment,1948,0 spaces,null,$259,"$500,503",https://www.zillow.com/homedetails/445-Valley-View-Rd-El-Sobrante-CA-94803/2077028249_zpid/
,"$141,500","162 E M St, Colton, CA 92324",162 E M St,Colton,CA,92324,3,1,"1,756",null,null,Apartment,1915,"Garage, Garage - Attached",null,$81,null,https://www.zillow.com/homedetails/162-E-M-St-Colton-CA-92324/17252342_zpid/
,"$298,000","1171 Peach St, Brawley, CA 92227",1171 Peach St,Brawley,CA,92227,6,--,"1,925",null,null,Apartment,1940,0 spaces,null,$155,null,https://www.zillow.com/homedetails/1171-Peach-St-Brawley-CA-92227/2076758100_zpid/
,"$1,200,000","2235 Rose St, Berkeley, CA 94709",2235 Rose St,Berkeley,CA,94709,5,3,"2,705",null,null,Apartment,1907,"Garage, Carport, Covered",null,$444,"$1,338,017",https://www.zillow.com/homedetails/2235-Rose-St-Berkeley-CA-94709/24843451_zpid/
,"$400,000","1433 Coolidge Ave, National City, CA 91950",1433 Coolidge Ave,NationalCity,CA,91950,2,2,769,null,null,Apartment,1936,0 spaces,null,$520,"$409,183",https://www.zillow.com/homedetails/1433-Coolidge-Ave-National-City-CA-91950/295363919_zpid/
,"$190,000","15853 M St, Mojave, CA 93501",15853 M St,Mojave,CA,93501,3,2,"1,763",null,null,Apartment,1957,Carport,null,$108,"$190,110",https://www.zillow.com/homedetails/15853-M-St-Mojave-CA-93501/18966288_zpid/
,"$795,000","5014 W 101st St, Inglewood, CA 90304",5014 W 101st St,Inglewood,CA,90304,3,3,"1,758",null,null,Apartment,1989,"Garage - Attached, Covered",null,$452,"$795,117",https://www.zillow.com/homedetails/5014-W-101st-St-Inglewood-CA-90304/20347137_zpid/
,"$319,900","11108 Chico Ave, Pomona, CA 91766",11108 Chico Ave,Pomona,CA,91766,5,3,576,null,null,Apartment,1945,"Garage, Carport, Covered",null,$555,"$319,903",https://www.zillow.com/homedetails/11108-Chico-Ave-Pomona-CA-91766/17531175_zpid/
,"$148,500","11001 Santa Barbara St, Lamont, CA 93241",11001 Santa Barbara St,Lamont,CA,93241,8,2,"1,560",null,null,Apartment,1938,0 spaces,null,$95,"$195,614",https://www.zillow.com/homedetails/11001-Santa-Barbara-St-Lamont-CA-93241/81863411_zpid/
,"$607,666","11515 Basye St, El Monte, CA 91732",11515 Basye St,ElMonte,CA,91732,4,2,"1,456",null,null,Apartment,1933,Covered,null,$417,"$624,438",https://www.zillow.com/homedetails/11515-Basye-St-El-Monte-CA-91732/21608515_zpid/
,"$225,000","132 W A St APT A, Brawley, CA 92227",132 W A St APT A,Brawley,CA,92227,4,--,"1,504",null,null,Apartment,1936,0 spaces,null,$150,"$229,230",https://www.zillow.com/homedetails/132-W-A-St-APT-A-Brawley-CA-92227/18856785_zpid/
,"$1,695,000","183-185 Villa Ter, San Francisco, CA 94114",183-185 Villa Ter,SanFrancisco,CA,94114,4,4,"2,416",null,null,Apartment,1976,0 spaces,null,$702,"$1,700,872",https://www.zillow.com/homedetails/183-185-Villa-Ter-San-Francisco-CA-94114/2077545682_zpid/
,"$639,000","1401 N Central Ave APT 17, Glendale, CA 91202",1401 N Central Ave APT 17,Glendale,CA,91202,3,2,"1,313",null,null,Apartment,1962,"Garage - Attached, Covered",$505/mo,$487,"$639,018",https://www.zillow.com/homedetails/1401-N-Central-Ave-APT-17-Glendale-CA-91202/20828214_zpid/
,"$429,977","28102-28100 Benigni Ave, Sun City, CA 92585",28102-28100 Benigni Ave,SunCity,CA,92585,6,4,"2,934",null,null,Apartment,1985,0 spaces,null,$147,"$434,023",https://www.zillow.com/homedetails/28102-28100-Benigni-Ave-Sun-City-CA-92585/2076910846_zpid/
