Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Zillow_price/sqft,House_website
Townhouse for sale,"$749,000","628 E Walnut St, Pasadena, CA 91101",628 E Walnut St,Pasadena,CA,91101,3,2,"1,647",0.89 Acres,38768.4,Townhouse,2000,"Garage - Attached, Covered",$220/mo,"$755,522",$455,https://www.zillow.com/homedetails/628-E-Walnut-St-Pasadena-CA-91101/54668658_zpid/
Townhouse for sale,"$730,000","20003 Villa Torino, Yorba Linda, CA 92886",20003 Villa Torino,YorbaLinda,CA,92886,3,3,"1,689",No Data,null,Townhouse,2008,"Garage, Garage - Attached, Covered",$300/mo,"$734,757",$432,https://www.zillow.com/homedetails/20003-Villa-Torino-Yorba-Linda-CA-92886/89154180_zpid/
Townhouse for sale,"$599,990","22347 Mission Cir, Chatsworth, CA 91311",22347 Mission Cir,Chatsworth,CA,91311,3,3,"1,586",4.03 Acres,175546.8,Townhouse,1988,"Garage - Attached, Covered",$440/mo,"$605,759",$378,https://www.zillow.com/homedetails/22347-Mission-Cir-Chatsworth-CA-91311/20163690_zpid/
Townhouse for sale,"$689,000","125 E Sierra Madre Blvd UNIT E, Sierra Madre, CA 91024",125 E Sierra Madre Blvd UNIT E,SierraMadre,CA,91024,2,3,"1,429",1.10 Acres,47916.0,Townhouse,1974,"Garage - Attached, Covered",$470/mo,"$698,994",$482,https://www.zillow.com/homedetails/125-E-Sierra-Madre-Blvd-UNIT-E-Sierra-Madre-CA-91024/20884770_zpid/
New construction,"$745,900+","Residence 2 Plan, DEL SUR : Avante",Residence 2 Plan,DELSUR:Avante,null,null,3,3,"1,688",No Data,null,Townhouse,2021,Covered,null,null,$442,https://www.zillow.com/community/del-sur-avante/2080124181_zpid/
Townhouse for sale,"$588,000","519 S Orange Ave APT D, Monterey Park, CA 91755",519 S Orange Ave APT D,MontereyPark,CA,91755,3,3,"1,498",1.73 Acres,75358.8,Townhouse,1981,"Garage - Attached, Covered",$365/mo,"$598,714",$393,https://www.zillow.com/homedetails/519-S-Orange-Ave-APT-D-Monterey-Park-CA-91755/20664137_zpid/
Townhouse for sale,"$449,500","15031 Sherman Way UNIT D, Van Nuys, CA 91405",15031 Sherman Way UNIT D,VanNuys,CA,91405,2,3,"1,415","1,415 sqft",1415.0,Townhouse,1980,"Garage - Attached, Covered",$350/mo,"$458,113",$318,https://www.zillow.com/homedetails/15031-Sherman-Way-UNIT-D-Van-Nuys-CA-91405/19961715_zpid/
Townhouse for sale,"$450,000","8338 Woodley Pl UNIT 44, Los Angeles, CA 91343",8338 Woodley Pl UNIT 44,LosAngeles,CA,91343,3,3,"1,252",0.49 Acres,21344.4,Townhouse,1984,"Garage - Attached, Covered",$330/mo,"$455,410",$359,https://www.zillow.com/homedetails/8338-Woodley-Pl-UNIT-44-Los-Angeles-CA-91343/20144002_zpid/
Townhouse for sale,"$745,000","807 Estancia Ter #17, San Lorenzo, CA 94580",807 Estancia Ter #17,SanLorenzo,CA,94580,3,3,"1,525","1,032 sqft",1032.0,Townhouse,2020,Garage - Attached,$235/mo,"$769,607",$489,https://www.zillow.com/homedetails/807-Estancia-Ter-17-San-Lorenzo-CA-94580/2076886960_zpid/
New construction,"$540,900+","Residence 2X Plan, The Collection at St Cloud",Residence 2X Plan,TheCollectionatStCloud,null,null,3,3,"1,521",No Data,null,Townhouse,2021,Covered,null,null,$356,https://www.zillow.com/community/collection-at-st-cloud/2085176135_zpid/
Townhouse for sale,"$1,390,000","1220 N Orange Grove Ave APT 12, West Hollywood, CA 90046",1220 N Orange Grove Ave APT 12,WestHollywood,CA,90046,2,3,"2,110",0.34 Acres,14810.4,Townhouse,2009,Covered,$360/mo,"$1,390,011",$659,https://www.zillow.com/homedetails/1220-N-Orange-Grove-Ave-APT-12-West-Hollywood-CA-90046/95632851_zpid/
New construction,"$585,370+","The Fuchsia - Plan 2 Plan, Indigo Walk",The Fuchsia - Plan 2 Plan,IndigoWalk,null,null,2,3,"1,339",No Data,null,Townhouse,2021,"Garage - Attached, Covered",$270/mo,null,$437,https://www.zillow.com/community/indigo-walk/2078037990_zpid/
Townhouse for sale,"$272,000","74172 Catalina Way, Palm Desert, CA 92260",74172 Catalina Way,PalmDesert,CA,92260,3,2,"1,344","2,600 sqft",2600.0,Townhouse,1978,"Garage - Attached, Covered",$380/mo,"$265,354",$202,https://www.zillow.com/homedetails/74172-Catalina-Way-Palm-Desert-CA-92260/18080167_zpid/
Townhouse for sale,"$999,000","309 Barbara Ln, Daly City, CA 94015",309 Barbara Ln,DalyCity,CA,94015,4,3,"1,730","1,202 sqft",1202.0,Townhouse,1984,"Underground/Basement, Garage - Attached",$280/mo,"$1,027,050",$577,https://www.zillow.com/homedetails/309-Barbara-Ln-Daly-City-CA-94015/15609788_zpid/
Townhouse for sale,"$775,000","5650 Roundtree Pl, Westlake Village, CA 91362",5650 Roundtree Pl,WestlakeVillage,CA,91362,3,3,"1,819","5,998 sqft",5998.0,Townhouse,1991,"Garage, None, Covered",$425/mo,"$776,553",$426,https://www.zillow.com/homedetails/5650-Roundtree-Pl-Westlake-Village-CA-91362/16488997_zpid/
New construction,"$1,040,880","37687 Weatherly Rd, Newark, CA 94560",37687 Weatherly Rd,Newark,CA,94560,4,4,"2,109",No Data,null,Townhouse,No Data,Covered,null,null,$494,https://www.zillow.com/homedetails/37687-Weatherly-Rd-Newark-CA-94560/2076764313_zpid/
Contingent,"$1,199,000","1016 Pier Ave UNIT 4, Santa Monica, CA 90405",1016 Pier Ave UNIT 4,SantaMonica,CA,90405,2,2,"1,430","4,795 sqft",4795.0,Townhouse,1981,Covered,$550/mo,"$1,199,011",$838,https://www.zillow.com/homedetails/1016-Pier-Ave-UNIT-4-Santa-Monica-CA-90405/20481586_zpid/
Contingent,"$480,000","11237 Barnwall St APT F, Norwalk, CA 90650",11237 Barnwall St APT F,Norwalk,CA,90650,3,2,"1,384",0.68 Acres,29620.8,Townhouse,1990,"Carport, Garage - Attached, Covered",$250/mo,"$487,868",$347,https://www.zillow.com/homedetails/11237-Barnwall-St-APT-F-Norwalk-CA-90650/21405412_zpid/
Townhouse for sale,"$998,000","1092 Trevino Ter, San Jose, CA 95120",1092 Trevino Ter,SanJose,CA,95120,2,3,"1,628","1,711 sqft",1711.0,Townhouse,1986,"Garage, Garage - Attached, Covered",$340/mo,"$1,012,980",$613,https://www.zillow.com/homedetails/1092-Trevino-Ter-San-Jose-CA-95120/19766368_zpid/
Townhouse for sale,"$525,000","12888 Four Palms Ln #24, Sylmar, CA 91342",12888 Four Palms Ln #24,Sylmar,CA,91342,3,3,"1,616",5.51 Acres,240015.6,Townhouse,2006,"Garage - Attached, Covered",$233/mo,"$525,006",$325,https://www.zillow.com/homedetails/12888-Four-Palms-Ln-24-Sylmar-CA-91342/2077566360_zpid/
Townhouse for sale,"$469,900","2674 Cleat Ln, Sacramento, CA 95818",2674 Cleat Ln,Sacramento,CA,95818,2,3,"1,376",949 sqft,949.0,Townhouse,2017,"Garage, Garage - Attached, Covered",$119/mo,"$471,495",$341,https://www.zillow.com/homedetails/2674-Cleat-Ln-Sacramento-CA-95818/240357809_zpid/
Townhouse for sale,"$200,000","2000 N Village Dr APT 235, Truckee, CA 96161",2000 N Village Dr APT 235,Truckee,CA,96161,Studio,1,336,315 sqft,315.0,Townhouse,1973,0 spaces,null,"$200,000",$595,https://www.zillow.com/homedetails/2000-N-Village-Dr-APT-235-Truckee-CA-96161/17707262_zpid/
Townhouse for sale,"$1,650,000","5528 Azure Way, Long Beach, CA 90803",5528 Azure Way,LongBeach,CA,90803,3,4,"2,068",2.01 Acres,87555.6,Townhouse,1982,"Garage - Attached, Covered",$600/mo,"$1,650,013",$798,https://www.zillow.com/homedetails/5528-Azure-Way-Long-Beach-CA-90803/21215235_zpid/
Townhouse for sale,"$698,000","1850 Village South Rd #4-313, Olympic Valley, CA 96146",1850 Village South Rd #4-313,OlympicValley,CA,96146,2,2,891,2.51 Acres,109335.6,Townhouse,2002,Covered,null,"$701,621",$783,https://www.zillow.com/homedetails/1850-Village-South-Rd-4-313-Olympic-Valley-CA-96146/2076873529_zpid/
Contingent,"$495,000","23326 Caminito Juanico #302, Laguna Hills, CA 92653",23326 Caminito Juanico #302,LagunaHills,CA,92653,3,2,"1,159",No Data,null,Townhouse,1976,"Garage, Garage - Attached, Covered",$420/mo,"$487,175",$427,https://www.zillow.com/homedetails/23326-Caminito-Juanico-302-Laguna-Hills-CA-92653/25707000_zpid/
Townhouse for sale,"$1,625,000","11770 Pacific Coast Hwy APT T, Malibu, CA 90265",11770 Pacific Coast Hwy APT T,Malibu,CA,90265,3,3,"1,854","3,798 sqft",3798.0,Townhouse,1972,"Garage, Garage - Detached, Covered",$600/mo,"$1,611,707",$876,https://www.zillow.com/homedetails/11770-Pacific-Coast-Hwy-APT-T-Malibu-CA-90265/16493878_zpid/
New construction,"$591,880+","Residence 3X Plan, Latitude at Rancho Tesoro",Residence 3X Plan,LatitudeatRanchoTesoro,null,null,3,4,"1,933",No Data,null,Townhouse,2021,Covered,null,null,$306,https://www.zillow.com/community/latitude-at-rancho-tesoro/2081178110_zpid/
New construction,"$542,900+","Plan 1 Plan, Alay",Plan 1 Plan,Alay,null,null,3,4,"1,938",No Data,null,Townhouse,2021,Covered,null,null,$280,https://www.zillow.com/community/alay/2084680071_zpid/
Townhouse for sale,"$459,000","18631 Collins St APT 4, Tarzana, CA 91356",18631 Collins St APT 4,Tarzana,CA,91356,2,3,"1,218",0.95 Acres,41382.0,Townhouse,1975,"Garage - Attached, Covered",$460/mo,"$465,273",$377,https://www.zillow.com/homedetails/18631-Collins-St-APT-4-Tarzana-CA-91356/19934070_zpid/
Townhouse for sale,"$620,000","2651 W Lincoln Ave UNIT 25, Anaheim, CA 92801",2651 W Lincoln Ave UNIT 25,Anaheim,CA,92801,3,3,"1,556",No Data,null,Townhouse,2016,"Garage, Garage - Attached, Covered",$248/mo,"$615,809",$398,https://www.zillow.com/homedetails/2651-W-Lincoln-Ave-UNIT-25-Anaheim-CA-92801/250188897_zpid/
Townhouse for sale,"$649,000","108 Via Katrina, Thousand Oaks, CA 91320",108 Via Katrina,ThousandOaks,CA,91320,3,3,"1,669",744 sqft,744.0,Townhouse,2005,"Garage, Garage - Attached, Covered",$349/mo,"$643,225",$389,https://www.zillow.com/homedetails/108-Via-Katrina-Thousand-Oaks-CA-91320/64632889_zpid/
New construction,"$553,490+","Residence 1538 Plan, Solara at Skyline",Residence 1538 Plan,SolaraatSkyline,null,null,3,3,"1,538",No Data,null,Townhouse,2020,Covered,null,null,$360,https://www.zillow.com/community/solara-at-skyline/2082357013_zpid/
Townhouse for sale,"$799,000","292 Palmer St APT C2, Costa Mesa, CA 92627",292 Palmer St APT C2,CostaMesa,CA,92627,2,3,"1,377",No Data,null,Townhouse,1980,"Garage - Attached, Covered",$200/mo,"$799,007",$580,https://www.zillow.com/homedetails/292-Palmer-St-APT-C2-Costa-Mesa-CA-92627/2077402942_zpid/
Townhouse for sale,"$1,249,000","312 N Francisca Ave UNIT 2, Redondo Beach, CA 90277",312 N Francisca Ave UNIT 2,RedondoBeach,CA,90277,3,3,"2,402","10,672 sqft",10672.0,Townhouse,1979,"Garage - Attached, Covered",$200/mo,"$1,249,003",$520,https://www.zillow.com/homedetails/312-N-Francisca-Ave-UNIT-2-Redondo-Beach-CA-90277/21318020_zpid/
New construction,"$1,485,000+","Plan 1X Plan, Prism",Plan 1X Plan,Prism,null,null,3,4,"1,575",No Data,null,Townhouse,2021,Covered,$366/mo,null,$943,https://www.zillow.com/community/prism/2079362539_zpid/
Townhouse for sale,"$555,000","18843 Hatteras St UNIT 2, Los Angeles, CA 91356",18843 Hatteras St UNIT 2,LosAngeles,CA,91356,2,3,"1,570",1.41 Acres,61419.6,Townhouse,1984,"Garage - Attached, Covered",$550/mo,"$560,336",$354,https://www.zillow.com/homedetails/18843-Hatteras-St-UNIT-2-Los-Angeles-CA-91356/19933558_zpid/
Townhouse for sale,"$949,000","11417 Culver Blvd APT 2, Los Angeles, CA 90066",11417 Culver Blvd APT 2,LosAngeles,CA,90066,4,3,"1,643","5,122 sqft",5122.0,Townhouse,1990,"Garage - Attached, Covered",$600/mo,"$943,721",$578,https://www.zillow.com/homedetails/11417-Culver-Blvd-APT-2-Los-Angeles-CA-90066/51582291_zpid/
New construction,"$518,245","7022 Turin Pl, Eastvale, CA 92880",7022 Turin Pl,Eastvale,CA,92880,3,3,"1,829",No Data,null,Townhouse,2020,Covered,null,null,$283,https://www.zillow.com/homedetails/7022-Turin-Pl-Eastvale-CA-92880/325833853_zpid/
Townhouse for sale,"$289,900","1555 N Chaparral Rd #204, Palm Springs, CA 92262",1555 N Chaparral Rd #204,PalmSprings,CA,92262,2,2,"1,250",435 sqft,435.0,Townhouse,1997,Covered,$479/mo,"$287,664",$232,https://www.zillow.com/homedetails/1555-N-Chaparral-Rd-204-Palm-Springs-CA-92262/18023854_zpid/
Contingent,"$469,900","16067 Sierra Pass Way, Hacienda Heights, CA 91745",16067 Sierra Pass Way,HaciendaHeights,CA,91745,2,2,"1,092","2,173 sqft",2173.0,Townhouse,1978,"Garage, Garage - Attached, Covered",$410/mo,"$480,579",$430,https://www.zillow.com/homedetails/16067-Sierra-Pass-Way-Hacienda-Heights-CA-91745/21469429_zpid/
New construction,"$643,025+","Residence 2183 Plan, Palazzo at Day Creek Square",Residence 2183 Plan,PalazzoatDayCreekSquare,null,null,3,4,"2,183",No Data,null,Townhouse,2020,Covered,null,null,$295,https://www.zillow.com/community/palazzo-at-day-creek-square/2077163953_zpid/
Townhouse for sale,"$1,499,000","6011 Dawn Crk UNIT 8, Playa Vista, CA 90094",6011 Dawn Crk UNIT 8,PlayaVista,CA,90094,3,3,"2,140",0.57 Acres,24829.2,Townhouse,2005,"Garage - Attached, Covered",$443/mo,"$1,499,010",$700,https://www.zillow.com/homedetails/6011-Dawn-Crk-UNIT-8-Playa-Vista-CA-90094/68993399_zpid/
Townhouse for sale,"$749,000","700 W East St UNIT 516, San Diego, CA 92101",700 W East St UNIT 516,SanDiego,CA,92101,2,2,"1,204",1.19 Acres,51836.4,Townhouse,2007,"Garage, Covered","$1,021/mo","$749,005",$622,https://www.zillow.com/homedetails/700-W-East-St-UNIT-516-San-Diego-CA-92101/70598019_zpid/
Townhouse for sale,"$595,000","1327 Holly Ave, Imperial Beach, CA 91932",1327 Holly Ave,ImperialBeach,CA,91932,3,3,"1,502",No Data,null,Townhouse,2015,Covered,null,"$595,112",$396,https://www.zillow.com/homedetails/1327-Holly-Ave-Imperial-Beach-CA-91932/2097174736_zpid/
Contingent,"$320,000","1747 Bradbury Dr, Montebello, CA 90640",1747 Bradbury Dr,Montebello,CA,90640,2,2,890,8.81 Acres,383763.6,Townhouse,1977,"Garage - Attached, Covered",$310/mo,"$324,155",$360,https://www.zillow.com/homedetails/1747-Bradbury-Dr-Montebello-CA-90640/20674808_zpid/
Contingent,"$879,000","332 Village Creek Rd, Aptos, CA 95003",332 Village Creek Rd,Aptos,CA,95003,2,3,"1,785","1,481 sqft",1481.0,Townhouse,1986,Garage - Attached,$355/mo,"$893,240",$492,https://www.zillow.com/homedetails/332-Village-Creek-Rd-Aptos-CA-95003/16136182_zpid/
Townhouse for sale,"$730,000","3106 Hugo St, San Diego, CA 92106",3106 Hugo St,SanDiego,CA,92106,2,3,"1,258","4,792 sqft",4792.0,Townhouse,2004,"Garage, Garage - Attached, Covered",$250/mo,"$730,003",$580,https://www.zillow.com/homedetails/3106-Hugo-St-San-Diego-CA-92106/61901109_zpid/
Contingent,"$520,000","6929 Hazeltine Ave UNIT A, Los Angeles, CA 91405",6929 Hazeltine Ave UNIT A,LosAngeles,CA,91405,3,3,"1,488",1.32 Acres,57499.2,Townhouse,1992,Covered,$370/mo,"$525,316",$349,https://www.zillow.com/homedetails/6929-Hazeltine-Ave-UNIT-A-Los-Angeles-CA-91405/19959341_zpid/
Townhouse for sale,"$589,000","1214 Westmont Dr, San Pedro, CA 90732",1214 Westmont Dr,SanPedro,CA,90732,2,3,"1,572",11.59 Acres,504860.4,Townhouse,1978,"Garage - Attached, Covered",$436/mo,"$589,005",$375,https://www.zillow.com/homedetails/1214-Westmont-Dr-San-Pedro-CA-90732/21301566_zpid/
Townhouse for sale,"$728,000","923 N Stoneman Ave #A, Alhambra, CA 91801",923 N Stoneman Ave #A,Alhambra,CA,91801,3,3,"1,634",0.51 Acres,22215.6,Townhouse,1999,Covered,$275/mo,"$740,731",$446,https://www.zillow.com/homedetails/923-N-Stoneman-Ave-A-Alhambra-CA-91801/51583265_zpid/
Contingent,"$1,899,000","664 3rd St, Hermosa Beach, CA 90254",664 3rd St,HermosaBeach,CA,90254,4,4,"3,015","4,599 sqft",4599.0,Townhouse,2004,"Garage - Attached, Covered",null,"$1,827,488",$630,https://www.zillow.com/homedetails/664-3rd-St-Hermosa-Beach-CA-90254/2077261675_zpid/
Townhouse for sale,"$235,000","124 Bridle Point Cir, Copperopolis, CA 95228",124 Bridle Point Cir,Copperopolis,CA,95228,3,3,"1,468",0.90 Acres,39204.0,Townhouse,2006,"Garage, Garage - Attached, Covered",$180/mo,"$241,208",$160,https://www.zillow.com/homedetails/124-Bridle-Point-Cir-Copperopolis-CA-95228/79792668_zpid/
Townhouse for sale,"$1,099,000","13200 Pacific Promenade APT 152, Playa Vista, CA 90094",13200 Pacific Promenade APT 152,PlayaVista,CA,90094,2,2,"1,362",1.57 Acres,68389.2,Townhouse,2004,"Garage - Attached, Covered",$524/mo,"$1,099,003",$807,https://www.zillow.com/homedetails/13200-Pacific-Promenade-APT-152-Playa-Vista-CA-90094/63090795_zpid/
New construction,"$467,900+","Floor Plan 3 Plan, Sage at Ninth",Floor Plan 3 Plan,SageatNinth,null,null,3,3,"1,594",No Data,null,Townhouse,2021,"Garage - Attached, Covered",$297/mo,null,$294,https://www.zillow.com/community/sage-at-ninth/2076854865_zpid/
Townhouse for sale,"$559,000","4530 Ramsdell Ave APT 10, La Crescenta, CA 91214",4530 Ramsdell Ave APT 10,LaCrescenta,CA,91214,2,2,905,0.79 Acres,34412.4,Townhouse,1987,Covered,$320/mo,"$562,727",$618,https://www.zillow.com/homedetails/4530-Ramsdell-Ave-APT-10-La-Crescenta-CA-91214/20899622_zpid/
Townhouse for sale,"$499,900","1646 Orinda Ct, Thousand Oaks, CA 91362",1646 Orinda Ct,ThousandOaks,CA,91362,3,2,"1,152","3,920 sqft",3920.0,Townhouse,1976,"Carport, Covered",$260/mo,"$499,901",$434,https://www.zillow.com/homedetails/1646-Orinda-Ct-Thousand-Oaks-CA-91362/16431804_zpid/
New construction,"$452,990+","Residence Two Plan, The Landings : Waypoint",Residence Two Plan,TheLandings:Waypoint,null,null,3,3,"1,485",No Data,null,Townhouse,2021,Covered,null,null,$305,https://www.zillow.com/community/landings-waypoint/2082500932_zpid/
Townhouse for sale,"$754,900","2520 Ruhland Ave APT D, Redondo Beach, CA 90278",2520 Ruhland Ave APT D,RedondoBeach,CA,90278,2,2,"1,295",0.52 Acres,22651.2,Townhouse,1976,"Garage - Attached, Covered",$300/mo,"$754,989",$583,https://www.zillow.com/homedetails/2520-Ruhland-Ave-APT-D-Redondo-Beach-CA-90278/20404618_zpid/
Townhouse for sale,"$1,300,000","5 Starview Dr, Oakland, CA 94618",5 Starview Dr,Oakland,CA,94618,3,2,"1,819","1,576 sqft",1576.0,Townhouse,1994,"Garage, Garage - Attached, Covered",$200/mo,"$1,316,174",$715,https://www.zillow.com/homedetails/5-Starview-Dr-Oakland-CA-94618/24820411_zpid/
New construction,"$575,900+","Plan 2 Plan, Alay",Plan 2 Plan,Alay,null,null,4,4,"2,256",No Data,null,Townhouse,2021,Covered,null,null,$255,https://www.zillow.com/community/alay/2084680068_zpid/
Townhouse for sale,"$585,000","13815 Victory Blvd UNIT 4, Los Angeles, CA 91401",13815 Victory Blvd UNIT 4,LosAngeles,CA,91401,3,3,"1,490",0.74 Acres,32234.4,Townhouse,1988,"Garage - Attached, Covered",$380/mo,"$590,554",$393,https://www.zillow.com/homedetails/13815-Victory-Blvd-UNIT-4-Los-Angeles-CA-91401/89148282_zpid/
Townhouse for sale,"$1,395,000","1803 16th St #D, Santa Monica, CA 90404",1803 16th St #D,SantaMonica,CA,90404,3,4,"1,480",No Data,null,Townhouse,2017,"Garage - Attached, Covered",$312/mo,"$1,352,408",$943,https://www.zillow.com/homedetails/1803-16th-St-D-Santa-Monica-CA-90404/2092036726_zpid/
Contingent,"$1,875,000","708 Palisades Dr, Pacific Palisades, CA 90272",708 Palisades Dr,PacificPalisades,CA,90272,3,3,"2,308",3.76 Acres,163785.6,Townhouse,1994,"Garage - Attached, Covered",$555/mo,"$1,777,302",$812,https://www.zillow.com/homedetails/708-Palisades-Dr-Pacific-Palisades-CA-90272/20543746_zpid/
Townhouse for sale,"$290,000","10235 Madrid Way UNIT 149, Spring Valley, CA 91977",10235 Madrid Way UNIT 149,SpringValley,CA,91977,2,1,700,2.21 Acres,96267.6,Townhouse,1985,"Carport, Covered",$275/mo,"$295,420",$414,https://www.zillow.com/homedetails/10235-Madrid-Way-UNIT-149-Spring-Valley-CA-91977/62655657_zpid/
Townhouse for sale,"$995,000","500 Harbor Woods Pl, Newport Beach, CA 92660",500 Harbor Woods Pl,NewportBeach,CA,92660,2,3,"1,389",1 Acres,43560.0,Townhouse,1984,"Garage, Garage - Attached, Covered",$620/mo,"$1,000,242",$716,https://www.zillow.com/homedetails/500-Harbor-Woods-Pl-Newport-Beach-CA-92660/25704567_zpid/
New construction,"$786,900+","Plan 1 Plan, Rancho Milagro at Pacific Highlands Ranch",Plan 1 Plan,RanchoMilagroatPacificHighlandsRanch,null,null,2,3,"1,296",No Data,null,Townhouse,2021,"Garage - Attached, Covered",null,null,$607,https://www.zillow.com/community/rancho-milagro-at-pacific-highlands-ranch/2077495122_zpid/
New construction,"$471,290+","Residence Three Plan, The Landings : Waypoint",Residence Three Plan,TheLandings:Waypoint,null,null,3,3,"1,668",No Data,null,Townhouse,2021,Covered,null,null,$283,https://www.zillow.com/community/landings-waypoint/2082500938_zpid/
New construction,"$734,538","328 Ford Rd, Costa Mesa, CA 92627",328 Ford Rd,CostaMesa,CA,92627,2,3,"1,289",No Data,null,Townhouse,2020,"Garage - Attached, Covered",null,null,$570,https://www.zillow.com/homedetails/328-Ford-Rd-Costa-Mesa-CA-92627/2077001235_zpid/
New construction,"$781,900+","Plan 2 Plan, Rancho Milagro at Pacific Highlands Ranch",Plan 2 Plan,RanchoMilagroatPacificHighlandsRanch,null,null,2,3,"1,287",No Data,null,Townhouse,2021,"Garage - Attached, Covered",null,null,$608,https://www.zillow.com/community/rancho-milagro-at-pacific-highlands-ranch/2077486549_zpid/
Townhouse for sale,"$620,000","621 W Foothill Blvd UNIT 49, Glendora, CA 91741",621 W Foothill Blvd UNIT 49,Glendora,CA,91741,3,4,"1,890",0.83 Acres,36154.8,Townhouse,2017,"Garage - Attached, Covered",$239/mo,"$620,005",$328,https://www.zillow.com/homedetails/621-W-Foothill-Blvd-UNIT-49-Glendora-CA-91741/244502106_zpid/
Townhouse for sale,"$1,495,000","219 Altura Vis, Los Gatos, CA 95032",219 Altura Vis,LosGatos,CA,95032,3,3,"2,053","2,016 sqft",2016.0,Townhouse,1977,"Garage, Garage - Attached, Covered",$786/mo,"$1,489,647",$728,https://www.zillow.com/homedetails/219-Altura-Vis-Los-Gatos-CA-95032/19666516_zpid/
Townhouse for sale,"$1,195,000","1742 Glendon Ave APT C, Los Angeles, CA 90024",1742 Glendon Ave APT C,LosAngeles,CA,90024,2,3,"1,694",0.25 Acres,10890.0,Townhouse,1990,"None, Covered",$400/mo,"$1,195,008",$705,https://www.zillow.com/homedetails/1742-Glendon-Ave-APT-C-Los-Angeles-CA-90024/20505148_zpid/
Contingent,"$467,000","3001 S Sycamore St APT F, Santa Ana, CA 92707",3001 S Sycamore St APT F,SantaAna,CA,92707,3,2,"1,088","1,999 sqft",1999.0,Townhouse,1972,"Garage, Garage - Attached, Covered",$365/mo,"$469,278",$429,https://www.zillow.com/homedetails/3001-S-Sycamore-St-APT-F-Santa-Ana-CA-92707/25684362_zpid/
