Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Zillow_price/sqft,House_website
Townhouse for sale,"$610,000","3800 Stocker St APT 32, View Park, CA 90008",3800 Stocker St APT 32,ViewPark,CA,90008,2,3,"1,300",2.52 Acres,109771.2,Townhouse,1984,"Carport, Covered",$456/mo,"$619,385",$469,https://www.zillow.com/homedetails/3800-Stocker-St-APT-32-View-Park-CA-90008/20566918_zpid/
Townhouse for sale,"$639,000","20427 Paseo Azul, Northridge, CA 91326",20427 Paseo Azul,Northridge,CA,91326,2,3,"1,381",0.73 Acres,31798.8,Townhouse,2009,"Garage - Attached, Covered",$382/mo,"$642,407",$463,https://www.zillow.com/homedetails/20427-Paseo-Azul-Northridge-CA-91326/95585946_zpid/
New construction,"$676,710+","Residence 3 Plan, Violet at Canvas",Residence 3 Plan,VioletatCanvas,null,null,4,4,"2,179",No Data,null,Townhouse,2021,Covered,null,null,$311,https://www.zillow.com/community/violet-at-canvas/2080511505_zpid/
Contingent,"$580,000","2243 Stonewood Ct, San Pedro, CA 90732",2243 Stonewood Ct,SanPedro,CA,90732,2,3,"1,429",10.70 Acres,466092.0,Townhouse,1979,"Garage - Attached, Covered",$463/mo,"$580,005",$406,https://www.zillow.com/homedetails/2243-Stonewood-Ct-San-Pedro-CA-90732/21301984_zpid/
Townhouse for sale,"$639,918","764 Via Colinas, Westlake Village, CA 91362",764 Via Colinas,WestlakeVillage,CA,91362,3,3,"1,435","1,433 sqft",1433.0,Townhouse,1988,"Garage, Garage - Attached, Covered",$307/mo,"$639,921",$446,https://www.zillow.com/homedetails/764-Via-Colinas-Westlake-Village-CA-91362/16488489_zpid/
New construction,"$845,000+","Plan 3 Plan, Uptown in Livermore",Plan 3 Plan,UptowninLivermore,null,null,4,4,"2,150",No Data,null,Townhouse,2020,Covered,null,null,$393,https://www.zillow.com/community/uptown-in-livermore/2077104727_zpid/
Contingent,"$889,000","12 Portside, Irvine, CA 92614",12 Portside,Irvine,CA,92614,2,2,"1,100","3,528 sqft",3528.0,Townhouse,1984,"Garage, Garage - Attached, On-street, Covered",$180/mo,"$889,001",$808,https://www.zillow.com/homedetails/12-Portside-Irvine-CA-92614/25752585_zpid/
Townhouse for sale,"$624,999","10509 Caminito Basswood, San Diego, CA 92131",10509 Caminito Basswood,SanDiego,CA,92131,3,3,"1,540",8.87 Acres,386377.2,Townhouse,1973,"Garage, Garage - Detached, Covered",$498/mo,"$629,999",$406,https://www.zillow.com/homedetails/10509-Caminito-Basswood-San-Diego-CA-92131/16866939_zpid/
New construction,"$485,755+","Residence 1610 Plan, Solstice at Day Creek Square",Residence 1610 Plan,SolsticeatDayCreekSquare,null,null,3,3,"1,610",No Data,null,Townhouse,2020,Covered,null,null,$302,https://www.zillow.com/community/solstice-at-day-creek-square/2085199166_zpid/
Contingent,"$560,000","6476 Summit Village Ln UNIT 2, Simi Valley, CA 93063",6476 Summit Village Ln UNIT 2,SimiValley,CA,93063,3,3,"1,724","1,724 sqft",1724.0,Townhouse,2015,Covered,$432/mo,"$560,565",$325,https://www.zillow.com/homedetails/6476-Summit-Village-Ln-UNIT-2-Simi-Valley-CA-93063/131677527_zpid/
