Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Zillow_price/sqft,House_website
Townhouse for sale,"$1,178,000","1303 Sarita Way, Santa Clara, CA 95051",1303 Sarita Way,SantaClara,CA,95051,2,2,"1,524","1,751 sqft",1751.0,Townhouse,1978,"Garage, Garage - Attached, Covered",$45/mo,"$1,193,376",$773,https://www.zillow.com/homedetails/1303-Sarita-Way-Santa-Clara-CA-95051/19618036_zpid/
Townhouse for sale,"$385,000","1908 E 5th St, Ontario, CA 91764",1908 E 5th St,Ontario,CA,91764,3,3,"1,281","1,306 sqft",1306.0,Townhouse,1980,"Garage, Garage - Attached, Covered",$275/mo,"$385,003",$301,https://www.zillow.com/homedetails/1908-E-5th-St-Ontario-CA-91764/17301501_zpid/
Townhouse for sale,"$549,000","13253 Warnick Way, Sylmar, CA 91342",13253 Warnick Way,Sylmar,CA,91342,4,3.5,"1,780",1.61 Acres,70131.6,Townhouse,2018,"Garage - Attached, Covered",$287/mo,"$554,485",$308,https://www.zillow.com/homedetails/13253-Warnick-Way-Sylmar-CA-91342/302795101_zpid/
Townhouse for sale,"$1,095,000","8611 Burton Way APT 1, Los Angeles, CA 90048",8611 Burton Way APT 1,LosAngeles,CA,90048,3,3,"1,420",0.49 Acres,21344.4,Townhouse,1975,"Garage - Attached, Covered",$395/mo,"$1,095,010",$771,https://www.zillow.com/homedetails/8611-Burton-Way-APT-1-Los-Angeles-CA-90048/20514450_zpid/
Townhouse for sale,"$389,000","11150 Glenoaks Blvd UNIT 214, Los Angeles, CA 91331",11150 Glenoaks Blvd UNIT 214,LosAngeles,CA,91331,3,2,"1,152",1.77 Acres,77101.2,Townhouse,1990,"Garage - Attached, Covered",$397/mo,"$392,832",$338,https://www.zillow.com/homedetails/11150-Glenoaks-Blvd-UNIT-214-Los-Angeles-CA-91331/20087048_zpid/
Contingent,"$588,000","410 Auburn Way APT 26, San Jose, CA 95129",410 Auburn Way APT 26,SanJose,CA,95129,2,2,"1,099",0.36 Acres,15681.6,Townhouse,1970,"Carport, Covered, Garage",$445/mo,"$602,015",$535,https://www.zillow.com/homedetails/410-Auburn-Way-APT-26-San-Jose-CA-95129/19602998_zpid/
Townhouse for sale,"$599,999","1150 W Capitol Dr UNIT 125, Los Angeles, CA 90732",1150 W Capitol Dr UNIT 125,LosAngeles,CA,90732,2,3,"1,746",2.51 Acres,109335.6,Townhouse,1984,"Garage - Attached, Covered",$548/mo,"$605,838",$344,https://www.zillow.com/homedetails/1150-W-Capitol-Dr-UNIT-125-Los-Angeles-CA-90732/21303469_zpid/
Townhouse for sale,"$1,499,000","627 Agave Ter, Sunnyvale, CA 94086",627 Agave Ter,Sunnyvale,CA,94086,4,4,"1,651","1,006 sqft",1006.0,Townhouse,2020,Garage - Attached,$367/mo,"$1,513,276",$908,https://www.zillow.com/homedetails/627-Agave-Ter-Sunnyvale-CA-94086/325805683_zpid/
Townhouse for sale,"$800,000","722 W Hellman Ave, Monterey Park, CA 91754",722 W Hellman Ave,MontereyPark,CA,91754,4,3,"2,549",0.51 Acres,22215.6,Townhouse,1999,"Garage - Attached, Covered",$65/mo,"$819,512",$314,https://www.zillow.com/homedetails/722-W-Hellman-Ave-Monterey-Park-CA-91754/50882626_zpid/
New construction,"$326,880+","Residence 1 Plan, Citrus at Canvas Park at New Haven",Residence 1 Plan,CitrusatCanvasParkatNewHaven,null,null,1,1,972,No Data,null,Townhouse,2021,Covered,null,null,$336,https://www.zillow.com/community/citrus-at-canvas-park-at-new-haven/2080441894_zpid/
Townhouse for sale,"$499,000","1497 Calle De Anza, Placentia, CA 92870",1497 Calle De Anza,Placentia,CA,92870,2,1,"1,000","1,803 sqft",1803.0,Townhouse,1972,"Garage, Garage - Attached, Covered",$295/mo,"$499,215",$499,https://www.zillow.com/homedetails/1497-Calle-De-Anza-Placentia-CA-92870/25383349_zpid/
Contingent,"$599,000","10599 Acacia Ln, Santa Fe Springs, CA 90670",10599 Acacia Ln,SantaFeSprings,CA,90670,4,3,"2,007",0.58 Acres,25264.8,Townhouse,2010,"Garage - Attached, Covered",$310/mo,"$599,983",$298,https://www.zillow.com/homedetails/10599-Acacia-Ln-Santa-Fe-Springs-CA-90670/95697022_zpid/
New construction,"$299,500+","Residence 1 Plan, The Landing at Wildflower Station",Residence 1 Plan,TheLandingatWildflowerStation,null,null,1,1,674,No Data,null,Townhouse,2021,Covered,$290/mo,null,$444,https://www.zillow.com/community/landing-at-wildflower-station/2076747622_zpid/
Townhouse for sale,"$515,000","5128 W 1st St APT B, Santa Ana, CA 92703",5128 W 1st St APT B,SantaAna,CA,92703,3,3,"1,318","1,485 sqft",1485.0,Townhouse,1977,"Garage, Garage - Attached, Covered",$308/mo,"$515,992",$391,https://www.zillow.com/homedetails/5128-W-1st-St-APT-B-Santa-Ana-CA-92703/25206648_zpid/
Townhouse for sale,"$665,000","505 Lark Way, Imperial Beach, CA 91932",505 Lark Way,ImperialBeach,CA,91932,3,4,"1,709",No Data,null,Townhouse,2018,Covered,$286/mo,"$665,004",$389,https://www.zillow.com/homedetails/505-Lark-Way-Imperial-Beach-CA-91932/318294896_zpid/
Contingent,"$499,000","199 N Magnolia Ave APT B, Anaheim, CA 92801",199 N Magnolia Ave APT B,Anaheim,CA,92801,3,3,"1,222",No Data,null,Townhouse,1981,"Garage, Garage - Attached, Covered",$340/mo,"$500,536",$408,https://www.zillow.com/homedetails/199-N-Magnolia-Ave-APT-B-Anaheim-CA-92801/25750574_zpid/
Townhouse for sale,"$1,350,000","107 Livorno Way, Redwood City, CA 94065",107 Livorno Way,RedwoodCity,CA,94065,3,3,"1,363",8.79 Acres,382892.4,Townhouse,1996,Garage - Attached,$450/mo,"$1,406,249",$990,https://www.zillow.com/homedetails/107-Livorno-Way-Redwood-City-CA-94065/2077019296_zpid/
Contingent,"$598,000","15377 Ashley Ct, Whittier, CA 90603",15377 Ashley Ct,Whittier,CA,90603,3,3,"1,780",0.37 Acres,16117.2,Townhouse,2009,"Garage - Attached, Covered",$247/mo,"$600,555",$336,https://www.zillow.com/homedetails/15377-Ashley-Ct-Whittier-CA-90603/87800377_zpid/
Contingent,"$498,000","324 Lola Ave, Pasadena, CA 91107",324 Lola Ave,Pasadena,CA,91107,2,3,"1,206",0.35 Acres,15246.0,Townhouse,1984,"Garage - Attached, Covered",$322/mo,"$510,146",$413,https://www.zillow.com/homedetails/324-Lola-Ave-Pasadena-CA-91107/20874740_zpid/
Townhouse for sale,"$375,000","1130 W Windsor Ct, Hanford, CA 93230",1130 W Windsor Ct,Hanford,CA,93230,4,3,"2,484","8,398 sqft",8398.0,Townhouse,2002,"Garage, Garage - Attached, Covered",null,"$390,624",$151,https://www.zillow.com/homedetails/1130-W-Windsor-Ct-Hanford-CA-93230/95700716_zpid/
Townhouse for sale,"$485,000","514 Via Colinas, Westlake Village, CA 91362",514 Via Colinas,WestlakeVillage,CA,91362,2,2,984,984 sqft,984.0,Townhouse,1986,"Garage, Carport, Garage - Attached, Covered",$337/mo,"$485,003",$493,https://www.zillow.com/homedetails/514-Via-Colinas-Westlake-Village-CA-91362/16488226_zpid/
New construction,"$799,990+","Residence Three Plan, Evergreen at Rise",Residence Three Plan,EvergreenatRise,null,null,3,3,"1,804",No Data,null,Townhouse,2021,Covered,null,null,$443,https://www.zillow.com/community/evergreen-at-rise/2081350397_zpid/
,"$1,687,000","1 Geranium Ln, San Carlos, CA 94070",1 Geranium Ln,SanCarlos,CA,94070,2,3,"2,260",14.44 Acres,629006.4,Townhouse,1986,Garage - Attached,$610/mo,"$1,783,298",$746,https://www.zillow.com/homedetails/1-Geranium-Ln-San-Carlos-CA-94070/2077004175_zpid/
,"$750,000","10430 Shelborne St UNIT 37, San Diego, CA 92127",10430 Shelborne St UNIT 37,SanDiego,CA,92127,4,3,"1,642",5.12 Acres,223027.2,Townhouse,2006,"Garage, Garage - Attached, Covered",$210/mo,"$750,140",$457,https://www.zillow.com/homedetails/10430-Shelborne-St-UNIT-37-San-Diego-CA-92127/67404243_zpid/
,"$752,000","710 E Verdugo Ave APT 104, Burbank, CA 91501",710 E Verdugo Ave APT 104,Burbank,CA,91501,3,3,"1,420","7,335 sqft",7335.0,Townhouse,2010,Covered,$240/mo,"$755,497",$530,https://www.zillow.com/homedetails/710-E-Verdugo-Ave-APT-104-Burbank-CA-91501/102979596_zpid/
,"$598,000","160 Greenmoor #68, Irvine, CA 92614",160 Greenmoor #68,Irvine,CA,92614,2,3,"1,176","1,001 sqft",1001.0,Townhouse,1984,"Garage, Garage - Attached, Covered",$386/mo,"$598,003",$509,https://www.zillow.com/homedetails/160-Greenmoor-68-Irvine-CA-92614/25754568_zpid/
,"$339,000+","Plan 3 Plan, Sycamore Square",Plan 3 Plan,SycamoreSquare,null,null,4,3,"1,368",No Data,null,Townhouse,2021,"Garage - Detached, Covered",$199/mo,null,$248,https://www.zillow.com/community/sycamore-square/2077043289_zpid/
,"$475,000","2 Ashford Pl, Martinez, CA 94553",2 Ashford Pl,Martinez,CA,94553,"Studio,",--,"1,103",688 sqft,688.0,Townhouse,2002,"Garage - Attached, Covered",$263/mo,"$475,003",$431,https://www.zillow.com/homedetails/2-Ashford-Pl-Martinez-CA-94553/61237415_zpid/
,"$1,899,000","711 1st Pl, Hermosa Beach, CA 90254",711 1st Pl,HermosaBeach,CA,90254,4,4,"2,485","4,613 sqft",4613.0,Townhouse,2002,"Garage - Attached, Covered",null,"$1,899,001",$764,https://www.zillow.com/homedetails/711-1st-Pl-Hermosa-Beach-CA-90254/60295989_zpid/
,"$438,000","1850 Village South Rd #4-226, Olympic Valley, CA 96146",1850 Village South Rd #4-226,OlympicValley,CA,96146,1,1,577,No Data,null,Townhouse,2003,Covered,null,"$438,001",$759,https://www.zillow.com/homedetails/1850-Village-South-Rd-4-226-Olympic-Valley-CA-96146/2077039530_zpid/
,"$414,500","17932 River Cir APT 1, Santa Clarita, CA 91387",17932 River Cir APT 1,SantaClarita,CA,91387,3,3,"1,268",2.11 Acres,91911.6,Townhouse,1984,"Garage - Attached, Covered",$338/mo,"$424,302",$327,https://www.zillow.com/homedetails/17932-River-Cir-APT-1-Santa-Clarita-CA-91387/20215560_zpid/
,"$975,000","471 Jean St APT C, Oakland, CA 94610",471 Jean St APT C,Oakland,CA,94610,2,2,"1,151",932 sqft,932.0,Townhouse,2019,"Garage - Attached, Covered",null,"$976,775",$847,https://www.zillow.com/homedetails/471-Jean-St-APT-C-Oakland-CA-94610/2083096609_zpid/
,"$719,000","2624 Kansas Ave APT 8, Santa Monica, CA 90404",2624 Kansas Ave APT 8,SantaMonica,CA,90404,2,2,955,"1,306 sqft",1306.0,Townhouse,1972,Covered,$308/mo,"$719,326",$753,https://www.zillow.com/homedetails/2624-Kansas-Ave-APT-8-Santa-Monica-CA-90404/20473510_zpid/
,"$469,000","15447 POMONA RINCON RD., Chino Hills, CA 91709",15447 POMONA RINCON RD.,ChinoHills,CA,91709,3,3,"1,399",871 sqft,871.0,Townhouse,2018,"Garage, Garage - Attached, Covered",$294/mo,"$471,877",$335,https://www.zillow.com/homedetails/15447-Pomona-Rincon-Rd-UNIT-1053-Chino-Hills-CA-91709/244644760_zpid/
