Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
House for sale,"$319,500","11185 Camden St, Apple Valley, CA 92308",11185 Camden St ,Apple Valley,CA,92308,34.455122,-117.243992,"1,632","5,606 sqft",5606.0,Single Family,2014,2 spaces,$195/month,$196,"$319,500","$1,700/mo",https://www.zillow.com/homedetails/11185-Camden-St-Apple-Valley-CA-92308/124206460_zpid/
House for sale,"$499,990","2513 Shorey Way, Fairfield, CA 94533",2513 Shorey Way ,Fairfield,CA,94533,38.298332,-121.9735,"2,266","5,227 sqft",5227.0,Single Family,2001,2 spaces,None,$221,"$499,994","$2,800/mo",https://www.zillow.com/homedetails/2513-Shorey-Way-Fairfield-CA-94533/54660036_zpid/
House for sale,"$535,000","1131 Bollenbacher St, San Diego, CA 92114",1131 Bollenbacher St ,San Diego,CA,92114,32.717464,-117.071194,"1,240","5,998 sqft",5998.0,Single Family,1958,4 spaces,None,$431,null,null,https://www.zillow.com/homedetails/1131-Bollenbacher-St-San-Diego-CA-92114/17082296_zpid/
House for sale,"$349,900","3653 Eucalyptus Ave, Riverside, CA 92507",3653 Eucalyptus Ave ,Riverside,CA,92507,33.978001,-117.360005,"1,062","7,405 sqft",7405.0,Single Family,1935,No Data,None,$329,"$349,900","$1,900/mo",https://www.zillow.com/homedetails/3653-Eucalyptus-Ave-Riverside-CA-92507/17839850_zpid/
House for sale,"$500,000","2533 Evelyn Ct E, Tracy, CA 95377",2533 Evelyn Ct E ,Tracy,CA,95377,37.748314,-121.463073,"1,565","8,594 sqft",8594.0,Single Family,1997,2 spaces,null,$319,"$500,004","$2,295/mo",https://www.zillow.com/homedetails/2533-Evelyn-Ct-E-Tracy-CA-95377/15371797_zpid/
House for sale,"$365,000","642 Winners Cir, San Jacinto, CA 92582",642 Winners Cir ,San Jacinto,CA,92582,33.780889,-117.001036,"2,723","10,454 sqft",10454.0,Single Family,2006,3 spaces,None,$134,"$363,533","$2,295/mo",https://www.zillow.com/homedetails/642-Winners-Cir-San-Jacinto-CA-92582/69261634_zpid/
House for sale,"$430,000","5362 Roswell St, San Diego, CA 92114",5362 Roswell St ,San Diego,CA,92114,32.714387,-117.080361,"1,004","9,713 sqft",9713.0,Single Family,1918,6 spaces,None,$428,"$430,002","$2,050/mo",https://www.zillow.com/homedetails/5362-Roswell-St-San-Diego-CA-92114/17081574_zpid/
House for sale,"$699,000","1813 N Kenwood St, Burbank, CA 91505",1813 N Kenwood St ,Burbank,CA,91505,34.181761,-118.352823,"1,623","6,751 sqft",6751.0,Single Family,1940,2 spaces,null,$431,"$861,926","$3,600/mo",https://www.zillow.com/homedetails/1813-N-Kenwood-St-Burbank-CA-91505/20046615_zpid/
House for sale,"$689,950","3583 Barca St, Camarillo, CA 93010",3583 Barca St ,Camarillo,CA,93010,34.232401,-119.021849,"2,026","7,575 sqft",7575.0,Single Family,1969,2 spaces,None,$341,"$689,950","$3,145/mo",https://www.zillow.com/homedetails/3583-Barca-St-Camarillo-CA-93010/16370957_zpid/
House for sale,"$255,000","1198 Bel Air Ct, Banning, CA 92220",1198 Bel Air Ct ,Banning,CA,92220,33.913447,-116.933933,"1,505","4,791 sqft",4791.0,Single Family,1990,2 spaces,$282/month,$169,null,null,https://www.zillow.com/homedetails/1198-Bel-Air-Ct-Banning-CA-92220/17963385_zpid/
