Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Condo for sale,"$250,000","1024 S Palmetto Ave, Ontario, CA 91762",1024 S Palmetto Ave ,Ontario,CA,91762,34.052794,-117.668229,"1,054",null,null,Condo,1979,2 spaces,$357/month,$237,"$250,000","$1,749/mo",https://www.zillow.com/homedetails/1024-S-Palmetto-Ave-Ontario-CA-91762/17529306_zpid/
Condo for sale,"$330,000","26827 Circle Of The Oaks, Santa Clarita, CA 91321",26827 Circle Of The Oaks ,Santa Clarita,CA,91321,34.405432,-118.469133,"1,254",null,null,Condo,1965,1 space,$335/month,$263,"$329,730","$2,500/mo",https://www.zillow.com/homedetails/26827-Circle-Of-The-Oaks-Santa-Clarita-CA-91321/20229598_zpid/
Condo for sale,"$599,999","34 Chardonnay # 32, Irvine, CA 92614",34 Chardonnay # 32,Irvine,CA,92614,33.675853,-117.806294,"1,236",null,null,Condo,1980,2 spaces,$357/month,$485,"$588,004","$2,750/mo",https://www.zillow.com/homedetails/34-Chardonnay-32-Irvine-CA-92614/25739278_zpid/
Condo for sale,"$449,000","17465 Plaza Cerado Unit 102, San Diego, CA 92128",17465 Plaza Cerado Unit 102,San Diego,CA,92128,33.028813,-117.054997,"1,455",null,null,Condo,1973,1 space,$375/month,$309,"$444,999","$2,400/mo",https://www.zillow.com/homedetails/17465-Plaza-Cerado-UNIT-102-San-Diego-CA-92128/16741126_zpid/
Condo for sale,"$525,000","36 Ski Trl # 3, Mammoth Lakes, CA 93546",36 Ski Trl # 3,Mammoth Lakes,CA,93546,37.62882,-118.978821,"1,472",null,null,Condo,1982,2 spaces,No Data,$357,null,null,https://www.zillow.com/homedetails/36-Ski-Trl-3-Mammoth-Lakes-CA-93546/94729895_zpid/
Condo for sale,"$374,900","1460 E Willow St Unit 108, Signal Hill, CA 90755",1460 E Willow St Unit 108,Signal Hill,CA,90755,33.803924,-118.17314,"1,159",null,null,Condo,1980,2 spaces,$390/month,$323,"$423,869","$2,300/mo",https://www.zillow.com/homedetails/1460-E-Willow-St-UNIT-108-Signal-Hill-CA-90755/21197726_zpid/
Condo for sale,"$489,900","11870 Galena Ave, Fountain Valley, CA 92708",11870 Galena Ave ,Fountain Valley,CA,92708,33.718897,-117.922028,967,null,null,Condo,1972,2 spaces,$210/month,$507,"$489,902","$2,350/mo",https://www.zillow.com/homedetails/11870-Galena-Ave-Fountain-Valley-CA-92708/25261380_zpid/
Condo for sale,"$575,900","709 Blue Oak Ave, Thousand Oaks, CA 91320",709 Blue Oak Ave ,Thousand Oaks,CA,91320,34.175589,-118.896094,"1,302",null,null,Condo,1978,3 spaces,$385/month,$442,"$556,542","$2,800/mo",https://www.zillow.com/homedetails/709-Blue-Oak-Ave-Thousand-Oaks-CA-91320/16485605_zpid/
Condo for sale,"$570,000","1021 N Crescent Heights Blvd Apt 104, West Hollywood, CA 90046",1021 N Crescent Heights Blvd Apt 104,West Hollywood,CA,90046,34.089471,-118.366247,864,null,null,Condo,1974,1 space,$421/month,$660,"$570,150","$3,100/mo",https://www.zillow.com/homedetails/1021-N-Crescent-Heights-Blvd-APT-104-West-Hollywood-CA-90046/20787943_zpid/
Condo for sale,"$456,800","3110 Sunset Ln, Oxnard, CA 93035",3110 Sunset Ln ,Oxnard,CA,93035,34.172122,-119.232139,925,null,null,Condo,1974,2 spaces,$450/month,$494,"$440,063","$2,500/mo",https://www.zillow.com/homedetails/3110-Sunset-Ln-Oxnard-CA-93035/16402375_zpid/
Condo for sale,"$359,900","8733 Wahl St, Santee, CA 92071",8733 Wahl St ,Santee,CA,92071,32.836879,-117.035876,916,null,null,Condo,1972,2 spaces,$380/month,$393,"$363,263","$1,900/mo",https://www.zillow.com/homedetails/8733-Wahl-St-Santee-CA-92071/16886372_zpid/
