Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,House_type,House_website
Apartment for sale,"$89,950","2139 E 4th St SPACE 216, Ontario, CA 91764",2139 E 4th St SPACE 216,Ontario,CA,91764,3,2,"1,248",Multi Family,https://www.zillow.com/homedetails/2139-E-4th-St-SPACE-216-Ontario-CA-91764/82908898_zpid/
Apartment for sale,"$989,000","34239 Via Santa Rosa, Dana Point, CA 92624",34239 Via Santa Rosa,DanaPoint,CA,92624,3,2,"1,500",Multi Family,https://www.zillow.com/homedetails/34239-Via-Santa-Rosa-Dana-Point-CA-92624/25579895_zpid/
Apartment for sale,"$750,000","2312 W Slauson Ave, Los Angeles, CA 90043",2312 W Slauson Ave,LosAngeles,CA,90043,4,4,"2,312",Multi Family,https://www.zillow.com/homedetails/2312-W-Slauson-Ave-Los-Angeles-CA-90043/20326431_zpid/
Apartment for sale,"$2,199,000","1225-1227 S Hayworth Ave, Los Angeles, CA 90035",1225-1227 S Hayworth Ave,LosAngeles,CA,90035,7,6,"3,940",Multi Family,https://www.zillow.com/homedetails/1225-1227-S-Hayworth-Ave-Los-Angeles-CA-90035/2078866045_zpid/
Apartment for sale,"$549,999","1952 City View Ave, Los Angeles, CA 90033",1952 City View Ave,LosAngeles,CA,90033,3,2,"1,672",Multi Family,https://www.zillow.com/homedetails/1952-City-View-Ave-Los-Angeles-CA-90033/20629560_zpid/
Apartment for sale,"$600,000","1648 W 105th St, Los Angeles, CA 90047",1648 W 105th St,LosAngeles,CA,90047,5,4,"1,752",Multi Family,https://www.zillow.com/homedetails/1648-W-105th-St-Los-Angeles-CA-90047/20964302_zpid/
Apartment for sale,"$899,999","2330 Cerritos Ave, Signal Hill, CA 90755",2330 Cerritos Ave,SignalHill,CA,90755,5,4,2,Multi Family,https://www.zillow.com/homedetails/2330-Cerritos-Ave-Signal-Hill-CA-90755/21197650_zpid/
Apartment for sale,"$130,000","15661 K St, Mojave, CA 93501",15661 K St,Mojave,CA,93501,Studio,2,747,Multi Family,https://www.zillow.com/homedetails/15661-K-St-Mojave-CA-93501/18966353_zpid/
Apartment for sale,"$874,000","1922 Whitmore Ave, Los Angeles, CA 90039",1922 Whitmore Ave,LosAngeles,CA,90039,3,2,"1,310",Multi Family,https://www.zillow.com/homedetails/1922-Whitmore-Ave-Los-Angeles-CA-90039/20753770_zpid/
Apartment for sale,"$173,900","10210 Baseline Rd SPACE 158, Rancho Cucamonga, CA 91701",10210 Baseline Rd SPACE 158,RanchoCucamonga,CA,91701,3,2,"1,800",Multi Family,https://www.zillow.com/homedetails/10210-Baseline-Rd-SPACE-158-Rancho-Cucamonga-CA-91701/82905830_zpid/
Apartment for sale,"$3,795,000","1508-1510 Fell St, San Francisco, CA 94117",1508-1510 Fell St,SanFrancisco,CA,94117,13,5,"4,480",Multi Family,https://www.zillow.com/homedetails/1508-1510-Fell-St-San-Francisco-CA-94117/2078870729_zpid/
Apartment for sale,"$1,200,000","2659 Glendale Blvd, Los Angeles, CA 90039",2659 Glendale Blvd,LosAngeles,CA,90039,5,3,"2,212",Multi Family,https://www.zillow.com/homedetails/2659-Glendale-Blvd-Los-Angeles-CA-90039/20752309_zpid/
Apartment for sale,"$449,998","2159 5th St, Riverside, CA 92507",2159 5th St,Riverside,CA,92507,5,3,"2,020",Multi Family,https://www.zillow.com/homedetails/2159-5th-St-Riverside-CA-92507/2079003816_zpid/
Apartment for sale,"$439,990","150 E Lakeshore Dr UNIT 26, Lake Elsinore, CA 92530",150 E Lakeshore Dr UNIT 26,LakeElsinore,CA,92530,8,4,"3,000",Multi Family,https://www.zillow.com/homedetails/150-E-Lakeshore-Dr-UNIT-26-Lake-Elsinore-CA-92530/17944145_zpid/
Apartment for sale,"$499,000","4830 Wall Ave, Richmond, CA 94804",4830 Wall Ave,Richmond,CA,94804,Studio,--,"1,770",Multi Family,https://www.zillow.com/homedetails/4830-Wall-Ave-Richmond-CA-94804/18535138_zpid/
Apartment for sale,"$490,000","846 N Brannick Ave, Los Angeles, CA 90063",846 N Brannick Ave,LosAngeles,CA,90063,3,2,"1,055",Multi Family,https://www.zillow.com/homedetails/846-N-Brannick-Ave-Los-Angeles-CA-90063/20646254_zpid/
Apartment for sale,"$499,900","561 W I St, Ontario, CA 91762",561 W I St,Ontario,CA,91762,4,3,"2,000",Multi Family,https://www.zillow.com/homedetails/561-W-I-St-Ontario-CA-91762/17577826_zpid/
Apartment for sale,"$220,000","208 N Davis St, Tehachapi, CA 93561",208 N Davis St,Tehachapi,CA,93561,Studio,--,"1,651",Multi Family,https://www.zillow.com/homedetails/208-N-Davis-St-Tehachapi-CA-93561/18908141_zpid/
Apartment for sale,"$475,500","741 N Vine Ave, Ontario, CA 91762",741 N Vine Ave,Ontario,CA,91762,4,2,"1,568",Multi Family,https://www.zillow.com/homedetails/741-N-Vine-Ave-Ontario-CA-91762/17577740_zpid/
Apartment for sale,"$1,290,000","3627 Cogswell Rd, El Monte, CA 91732",3627 Cogswell Rd,ElMonte,CA,91732,7,4,"4,016",Multi Family,https://www.zillow.com/homedetails/3627-Cogswell-Rd-El-Monte-CA-91732/21607423_zpid/
Apartment for sale,"$260,000","309 W Kimball Ave, Hemet, CA 92543",309 W Kimball Ave,Hemet,CA,92543,4,2,"1,304",Multi Family,https://www.zillow.com/homedetails/309-W-Kimball-Ave-Hemet-CA-92543/2079296844_zpid/
Apartment for sale,"$1,495,000","2331 Johnston St, Los Angeles, CA 90031",2331 Johnston St,LosAngeles,CA,90031,11,8,"5,192",Multi Family,https://www.zillow.com/homedetails/2331-Johnston-St-Los-Angeles-CA-90031/20636421_zpid/
Apartment for sale,"$1,650,000","227 E 19th St, Costa Mesa, CA 92627",227 E 19th St,CostaMesa,CA,92627,4,2,"2,400",Multi Family,https://www.zillow.com/homedetails/227-E-19th-St-Costa-Mesa-CA-92627/25468834_zpid/
Apartment for sale,"$1,695,000","1445 E Main St, Santa Paula, CA 93060",1445 E Main St,SantaPaula,CA,93060,3,21,"5,614",Multi Family,https://www.zillow.com/homedetails/1445-E-Main-St-Santa-Paula-CA-93060/2085054082_zpid/
Apartment for sale,"$2,088,000","81 Central Ave, Sausalito, CA 94965",81 Central Ave,Sausalito,CA,94965,2,4,"2,336",Multi Family,https://www.zillow.com/homedetails/81-Central-Ave-Sausalito-CA-94965/80737764_zpid/
Apartment for sale,"$425,000","460 W 25th St, San Bernardino, CA 92405",460 W 25th St,SanBernardino,CA,92405,4,3,"1,975",Multi Family,https://www.zillow.com/homedetails/460-W-25th-St-San-Bernardino-CA-92405/17238064_zpid/
Apartment for sale,"$425,000","1252 84th Ave, Oakland, CA 94621",1252 84th Ave,Oakland,CA,94621,6,3,"1,372",Multi Family,https://www.zillow.com/homedetails/1252-84th-Ave-Oakland-CA-94621/24797007_zpid/
Apartment for sale,"$549,900","3472 Brockton Ave, Riverside, CA 92501",3472 Brockton Ave,Riverside,CA,92501,4,4,"1,890",Multi Family,https://www.zillow.com/homedetails/3472-Brockton-Ave-Riverside-CA-92501/2078875413_zpid/
Apartment for sale,"$525,000","620 Monterey St, Redlands, CA 92373",620 Monterey St,Redlands,CA,92373,3,2,"1,638",Multi Family,https://www.zillow.com/homedetails/620-Monterey-St-Redlands-CA-92373/17264886_zpid/
Apartment for sale,"$149,990","2143 Avenida Olivos, Hemet, CA 92545",2143 Avenida Olivos,Hemet,CA,92545,2,1,827,Multi Family,https://www.zillow.com/homedetails/2143-Avenida-Olivos-Hemet-CA-92545/17974299_zpid/
New construction,"$477,389","1968 Tangelo Way, Santa Paula, CA",1968 Tangelo Way,SantaPaula,CA,null,3,3,"1,671",Multi Family,https://www.zillow.com/homedetails/1968-Tangelo-Way-Santa-Paula-CA-93060/2080092606_zpid/
Apartment for sale,"$200,000","626 S 3rd St, El Centro, CA 92243",626 S 3rd St,ElCentro,CA,92243,4,--,"1,612",Multi Family,https://www.zillow.com/homedetails/626-S-3rd-St-El-Centro-CA-92243/18864605_zpid/
Apartment for sale,"$225,000","6415 Richard Dr, Yucca Valley, CA 92284",6415 Richard Dr,YuccaValley,CA,92284,4,2,"1,540",Multi Family,https://www.zillow.com/homedetails/6415-Richard-Dr-Yucca-Valley-CA-92284/17499009_zpid/
Apartment for sale,"$675,000","11663 Konocti Vista Dr, Lower Lake, CA 95457",11663 Konocti Vista Dr,LowerLake,CA,95457,3,3,"2,100",Multi Family,https://www.zillow.com/homedetails/11663-Konocti-Vista-Dr-Lower-Lake-CA-95457/2088841978_zpid/
Apartment for sale,"$685,000","45523 10th St W, Lancaster, CA 93534",45523 10th St W,Lancaster,CA,93534,8,7,"3,940",Multi Family,https://www.zillow.com/homedetails/45523-10th-St-W-Lancaster-CA-93534/20286173_zpid/
Apartment for sale,"$235,000","5527 Baileya Ave, Twentynine Palms, CA 92277",5527 Baileya Ave,TwentyninePalms,CA,92277,4,3,"2,000",Multi Family,https://www.zillow.com/homedetails/5527-Baileya-Ave-Twentynine-Palms-CA-92277/17501864_zpid/
Apartment for sale,"$735,000","10115 Mansel Ave, Inglewood, CA 90304",10115 Mansel Ave,Inglewood,CA,90304,4,3,"1,622",Multi Family,https://www.zillow.com/homedetails/10115-Mansel-Ave-Inglewood-CA-90304/20346076_zpid/
Apartment for sale,"$575,000","5414 Loma Vista Ave, Maywood, CA 90270",5414 Loma Vista Ave,Maywood,CA,90270,4,3,"1,757",Multi Family,https://www.zillow.com/homedetails/5414-Loma-Vista-Ave-Maywood-CA-90270/21068122_zpid/
Apartment for sale,"$1,200,000","3132-3136 23rd St, San Francisco, CA 94110",3132-3136 23rd St,SanFrancisco,CA,94110,4,3,"2,191",Multi Family,https://www.zillow.com/homedetails/3132-3136-23rd-St-San-Francisco-CA-94110/2079049866_zpid/
Apartment for sale,"$1,295,000","315 S Nevada St, Oceanside, CA 92054",315 S Nevada St,Oceanside,CA,92054,4,4,"1,350",Multi Family,https://www.zillow.com/homedetails/315-S-Nevada-St-Oceanside-CA-92054/16582325_zpid/
Apartment for sale,"$560,000","1381 N Mountain View Ave, San Bernardino, CA 92405",1381 N Mountain View Ave,SanBernardino,CA,92405,8,5,"2,786",Multi Family,https://www.zillow.com/homedetails/1381-N-Mountain-View-Ave-San-Bernardino-CA-92405/17234204_zpid/
Apartment for sale,"$1,000,000","746 Janetwood Dr, Oxnard, CA 93030",746 Janetwood Dr,Oxnard,CA,93030,8,5,"3,383",Multi Family,https://www.zillow.com/homedetails/746-Janetwood-Dr-Oxnard-CA-93030/16390097_zpid/
Apartment for sale,"$725,000","(undisclosed Address), Lakeside, CA 92040",(undisclosed Address),Lakeside,CA,92040,4,4,--,Multi Family,https://www.zillow.com/homedetails/(undisclosed-Address)-Lakeside-CA-92040/2078878155_zpid/
Apartment for sale,"$1,183,000","609 Rancheria Dr, Chico, CA 95926",609 Rancheria Dr,Chico,CA,95926,15,10,"8,160",Multi Family,https://www.zillow.com/homedetails/609-Rancheria-Dr-Chico-CA-95926/2098781871_zpid/
Apartment for sale,"$620,000","16241 Abbey St, La Puente, CA 91744",16241 Abbey St,LaPuente,CA,91744,4,2,"1,530",Multi Family,https://www.zillow.com/homedetails/16241-Abbey-St-La-Puente-CA-91744/21472146_zpid/
For sale by owner,"$349,000","29906 Avenida De Cortez, Menifee, CA 92586",29906 Avenida De Cortez,Menifee,CA,92586,3,3,"1,350",Multi Family,https://www.zillow.com/homedetails/29906-Avenida-De-Cortez-Menifee-CA-92586/17915450_zpid/
Apartment for sale,"$369,000","14868 San Jacinto Dr, Moreno Valley, CA 92555",14868 San Jacinto Dr,MorenoValley,CA,92555,2,2,"1,842",Multi Family,https://www.zillow.com/homedetails/14868-San-Jacinto-Dr-Moreno-Valley-CA-92555/59419683_zpid/
Apartment for sale,"$545,000","19400 Welby Way, Reseda, CA 91335",19400 Welby Way,Reseda,CA,91335,3,2,"1,016",Multi Family,https://www.zillow.com/homedetails/19400-Welby-Way-Reseda-CA-91335/19923942_zpid/
Apartment for sale,"$599,000","200 N Soldano Ave, Azusa, CA 91702",200 N Soldano Ave,Azusa,CA,91702,5,3,"1,578",Multi Family,https://www.zillow.com/homedetails/200-N-Soldano-Ave-Azusa-CA-91702/21626549_zpid/
Apartment for sale,"$320,000","11447 Sage St #A, Adelanto, CA 92301",11447 Sage St #A,Adelanto,CA,92301,5,3,"2,387",Multi Family,https://www.zillow.com/homedetails/11447-Sage-St-A-Adelanto-CA-92301/2079916295_zpid/
Apartment for sale,"$438,880","4095 N Feland Ave, Fresno, CA 93722",4095 N Feland Ave,Fresno,CA,93722,5,5,"3,472",Multi Family,https://www.zillow.com/homedetails/4095-N-Feland-Ave-Fresno-CA-93722/82859085_zpid/
Apartment for sale,"$325,000","3094 Songbird, Chico, CA 95973",3094 Songbird,Chico,CA,95973,--,--,"1,407",Multi Family,https://www.zillow.com/homedetails/3094-Songbird-Chico-CA-95973/2078968123_zpid/
Apartment for sale,"$28,500,000","1649 Market St, San Francisco, CA 94103",1649 Market St,SanFrancisco,CA,94103,Studio,--,"41,544",Multi Family,https://www.zillow.com/homedetails/1649-Market-St-San-Francisco-CA-94103/2079070267_zpid/
Apartment for sale,"$1,600,000","7801 Sycamore Dr, Huntington Beach, CA 92647",7801 Sycamore Dr,HuntingtonBeach,CA,92647,9,5,"3,418",Multi Family,https://www.zillow.com/homedetails/7801-Sycamore-Dr-Huntington-Beach-CA-92647/2082879342_zpid/
Apartment for sale,"$2,150,000","2417 Walnut Ave, Venice, CA 90291",2417 Walnut Ave,Venice,CA,90291,6,4,"2,257",Multi Family,https://www.zillow.com/homedetails/2417-Walnut-Ave-Venice-CA-90291/20448883_zpid/
Apartment for sale,"$1,699,000","11600 Chandler Blvd, North Hollywood, CA 91601",11600 Chandler Blvd,NorthHollywood,CA,91601,10,8,"5,655",Multi Family,https://www.zillow.com/homedetails/11600-Chandler-Blvd-North-Hollywood-CA-91601/2078876806_zpid/
Apartment for sale,"$1,495,000","940 Palms Blvd, Venice, CA 90291",940 Palms Blvd,Venice,CA,90291,2,2,"1,182",Multi Family,https://www.zillow.com/homedetails/940-Palms-Blvd-Venice-CA-90291/20452139_zpid/
New construction,"$898,000","16754 Pacific Coast Hwy #A, Sunset Beach, CA",16754 Pacific Coast Hwy #A,SunsetBeach,CA,null,3,3,"1,200",Multi Family,https://www.zillow.com/homedetails/16754-Pacific-Coast-Hwy-A-Sunset-Beach-CA-90742/2079123878_zpid/
Apartment for sale,"$1,095,000","2110 6th St, Berkeley, CA 94710",2110 6th St,Berkeley,CA,94710,4,2,"1,686",Multi Family,https://www.zillow.com/homedetails/2110-6th-St-Berkeley-CA-94710/24835962_zpid/
Apartment for sale,"$3,800,000","1610 S Beverly Glen Blvd, Los Angeles, CA 90024",1610 S Beverly Glen Blvd,LosAngeles,CA,90024,Studio,--,"9,720",Multi Family,https://www.zillow.com/homedetails/1610-S-Beverly-Glen-Blvd-Los-Angeles-CA-90024/2080615299_zpid/
Apartment for sale,"$950,000","198 Willits St, Daly City, CA 94014",198 Willits St,DalyCity,CA,94014,Studio,--,"1,060",Multi Family,https://www.zillow.com/homedetails/198-Willits-St-Daly-City-CA-94014/15458848_zpid/
Apartment for sale,"$350,000","4100 Wheatley Cir, Sacramento, CA 95838",4100 Wheatley Cir,Sacramento,CA,95838,4,--,"1,657",Multi Family,https://www.zillow.com/homedetails/4100-Wheatley-Cir-Sacramento-CA-95838/26039179_zpid/
Apartment for sale,"$390,000","1143 Harding Ave, National City, CA 91950",1143 Harding Ave,NationalCity,CA,91950,4,2,"2,449",Multi Family,https://www.zillow.com/homedetails/1143-Harding-Ave-National-City-CA-91950/295363418_zpid/
Apartment for sale,"$299,000","404 Thrasher Ave, Modesto, CA 95354",404 Thrasher Ave,Modesto,CA,95354,4,2,"1,460",Multi Family,https://www.zillow.com/homedetails/404-Thrasher-Ave-Modesto-CA-95354/300253999_zpid/
Apartment for sale,"$1,045,000","8994 Mcnerney Ave, South Gate, CA 90280",8994 Mcnerney Ave,SouthGate,CA,90280,4,4,"2,065",Multi Family,https://www.zillow.com/homedetails/8994-Mcnerney-Ave-South-Gate-CA-90280/21033693_zpid/
Apartment for sale,"$725,000","855 Grove St, El Verano, CA 95433",855 Grove St,ElVerano,CA,95433,4,2,"1,752",Multi Family,https://www.zillow.com/homedetails/855-Grove-St-El-Verano-CA-95433/15797447_zpid/
Apartment for sale,"$259,900","38854 9th St E, Palmdale, CA 93550",38854 9th St E,Palmdale,CA,93550,2,2,"1,446",Multi Family,https://www.zillow.com/homedetails/38854-9th-St-E-Palmdale-CA-93550/20255280_zpid/
Apartment for sale,"$498,000","164 Beech Pl, El Cajon, CA 92021",164 Beech Pl,ElCajon,CA,92021,4,2,"1,400",Multi Family,https://www.zillow.com/homedetails/164-Beech-Pl-El-Cajon-CA-92021/17051436_zpid/
For sale by owner,"$775,000","6281 Indiana Ave #A-B, Buena Park, CA 90621",6281 Indiana Ave #A-B,BuenaPark,CA,90621,4,4,"1,900",Multi Family,https://www.zillow.com/homedetails/6281-Indiana-Ave-A-B-Buena-Park-CA-90621/2079095493_zpid/
Apartment for sale,"$1,299,000","4241 2nd Ave, Los Angeles, CA 90008",4241 2nd Ave,LosAngeles,CA,90008,7,3,"3,238",Multi Family,https://www.zillow.com/homedetails/4241-2nd-Ave-Los-Angeles-CA-90008/20574748_zpid/
Apartment for sale,"$1,100,000","721-725 E 7th Ave, Escondido, CA 92025",721-725 E 7th Ave,Escondido,CA,92025,9,6,--,Multi Family,https://www.zillow.com/homedetails/721-725-E-7th-Ave-Escondido-CA-92025/2078874616_zpid/
Apartment for sale,"$175,000","147 N Date Rd, Blythe, CA 92225",147 N Date Rd,Blythe,CA,92225,7,4,"2,026",Multi Family,https://www.zillow.com/homedetails/147-N-Date-Rd-Blythe-CA-92225/2089285983_zpid/
Apartment for sale,"$995,000","1559 Willowbrae Ave, San Jose, CA 95125",1559 Willowbrae Ave,SanJose,CA,95125,Studio,--,"1,752",Multi Family,https://www.zillow.com/homedetails/1559-Willowbrae-Ave-San-Jose-CA-95125/19682328_zpid/
Apartment for sale,"$719,900","1412 W Colegrove Ave, Montebello, CA 90640",1412 W Colegrove Ave,Montebello,CA,90640,4,2,"1,639",Multi Family,https://www.zillow.com/homedetails/1412-W-Colegrove-Ave-Montebello-CA-90640/21086510_zpid/
Apartment for sale,"$595,000","1215 Magnolia Ave, Santa Ana, CA 92707",1215 Magnolia Ave,SantaAna,CA,92707,5,3,"1,859",Multi Family,https://www.zillow.com/homedetails/1215-Magnolia-Ave-Santa-Ana-CA-92707/25096290_zpid/
Apartment for sale,"$565,000","136 S 31st St, Richmond, CA 94804",136 S 31st St,Richmond,CA,94804,4,2,"1,728",Multi Family,https://www.zillow.com/homedetails/136-S-31st-St-Richmond-CA-94804/18533886_zpid/
Apartment for sale,"$349,900","516 W Mesa Ave, Clovis, CA 93612",516 W Mesa Ave,Clovis,CA,93612,6,4,"2,572",Multi Family,https://www.zillow.com/homedetails/516-W-Mesa-Ave-Clovis-CA-93612/63151231_zpid/
Apartment for sale,"$344,900","4016 Renick Way, North Highlands, CA 95660",4016 Renick Way,NorthHighlands,CA,95660,4,--,"1,919",Multi Family,https://www.zillow.com/homedetails/4016-Renick-Way-North-Highlands-CA-95660/26022336_zpid/
Apartment for sale,"$1,250,000","1849 W Martin Luther King Jr Blvd #B, Los Angeles, CA 90062",1849 W Martin Luther King Jr Blvd #B,LosAngeles,CA,90062,6,4,"4,066",Multi Family,https://www.zillow.com/homedetails/1849-W-Martin-Luther-King-Jr-Blvd-B-Los-Angeles-CA-90062/2078881542_zpid/
Apartment for sale,"$1,230,000","11826 Magnolia Blvd, Valley Village, CA 91607",11826 Magnolia Blvd,ValleyVillage,CA,91607,3,3,"1,860",Multi Family,https://www.zillow.com/homedetails/11826-Magnolia-Blvd-Valley-Village-CA-91607/20019540_zpid/
Apartment for sale,"$699,999","14807 San Jose Ave #3, Paramount, CA 90723",14807 San Jose Ave #3,Paramount,CA,90723,5,3,"1,499",Multi Family,https://www.zillow.com/homedetails/14807-San-Jose-Ave-3-Paramount-CA-90723/2079084295_zpid/
Apartment for sale,"$439,950","2426 Medford St, Los Angeles, CA 90033",2426 Medford St,LosAngeles,CA,90033,2,2,808,Multi Family,https://www.zillow.com/homedetails/2426-Medford-St-Los-Angeles-CA-90033/20636177_zpid/
Apartment for sale,"$599,999","12501 Dorland St, Whittier, CA 90601",12501 Dorland St,Whittier,CA,90601,3,2,"1,300",Multi Family,https://www.zillow.com/homedetails/12501-Dorland-St-Whittier-CA-90601/21425590_zpid/
Apartment for sale,"$399,900","1920 Fulkerth Rd, Turlock, CA 95380",1920 Fulkerth Rd,Turlock,CA,95380,4,--,"1,824",Multi Family,https://www.zillow.com/homedetails/1920-Fulkerth-Rd-Turlock-CA-95380/300257026_zpid/
Apartment for sale,"$495,000","1442 Alamitos Ave, Long Beach, CA 90813",1442 Alamitos Ave,LongBeach,CA,90813,3,3,"1,064",Multi Family,https://www.zillow.com/homedetails/1442-Alamitos-Ave-Long-Beach-CA-90813/21234477_zpid/
Apartment for sale,"$389,900","13555 Sarita Dr #A & B, Desert Hot Springs, CA 92240",13555 Sarita Dr #A & B,DesertHotSprings,CA,92240,4,4,"2,524",Multi Family,https://www.zillow.com/homedetails/13555-Sarita-Dr-A-B-Desert-Hot-Springs-CA-92240/2081731325_zpid/
Apartment for sale,"$475,000","531 Elefa St, Roseville, CA 95678",531 Elefa St,Roseville,CA,95678,3,--,"1,421",Multi Family,https://www.zillow.com/homedetails/531-Elefa-St-Roseville-CA-95678/17652001_zpid/
Apartment for sale,"$1,995,000","3938 Fredonia Dr, Los Angeles, CA 90068",3938 Fredonia Dr,LosAngeles,CA,90068,7,8,"4,148",Multi Family,https://www.zillow.com/homedetails/3938-Fredonia-Dr-Los-Angeles-CA-90068/20030813_zpid/
Apartment for sale,"$1,150,000","425 N Rural Dr, Monterey Park, CA 91755",425 N Rural Dr,MontereyPark,CA,91755,6,3,"2,562",Multi Family,https://www.zillow.com/homedetails/425-N-Rural-Dr-Monterey-Park-CA-91755/20663455_zpid/
Apartment for sale,"$739,900","16159 Rimstone Ln, San Diego, CA 92127",16159 Rimstone Ln,SanDiego,CA,92127,4,3,"1,835",Multi Family,https://www.zillow.com/homedetails/16159-Rimstone-Ln-San-Diego-CA-92127/16796018_zpid/
Apartment for sale,"$225,000","6366 Fortuna Ave, Yucca Valley, CA 92284",6366 Fortuna Ave,YuccaValley,CA,92284,4,2,"1,836",Multi Family,https://www.zillow.com/homedetails/6366-Fortuna-Ave-Yucca-Valley-CA-92284/17499107_zpid/
Apartment for sale,"$1,139,000","205 W Colorado Blvd, Monrovia, CA 91016",205 W Colorado Blvd,Monrovia,CA,91016,5,6,"2,924",Multi Family,https://www.zillow.com/homedetails/205-W-Colorado-Blvd-Monrovia-CA-91016/21582634_zpid/
Apartment for sale,"$379,900","12351 Osborne St UNIT 13, Los Angeles, CA 91331",12351 Osborne St UNIT 13,LosAngeles,CA,91331,3,2,"1,420",Multi Family,https://www.zillow.com/homedetails/12351-Osborne-St-UNIT-13-Los-Angeles-CA-91331/20088118_zpid/
Apartment for sale,"$1,775,000","458 N Sierra Bonita Ave, Los Angeles, CA 90036",458 N Sierra Bonita Ave,LosAngeles,CA,90036,4,2,"2,476",Multi Family,https://www.zillow.com/homedetails/458-N-Sierra-Bonita-Ave-Los-Angeles-CA-90036/20785581_zpid/
Apartment for sale,"$799,000","3353-3355 Jemez Dr, San Diego, CA 92117",3353-3355 Jemez Dr,SanDiego,CA,92117,4,3,--,Multi Family,https://www.zillow.com/homedetails/3353-3355-Jemez-Dr-San-Diego-CA-92117/2079924402_zpid/
Apartment for sale,"$1,285,000","2446 Cincinnati St, Los Angeles, CA 90033",2446 Cincinnati St,LosAngeles,CA,90033,12,6,"5,564",Multi Family,https://www.zillow.com/homedetails/2446-Cincinnati-St-Los-Angeles-CA-90033/89143305_zpid/
Apartment for sale,"$899,000","1518 Tonawanda Ave, Los Angeles, CA 90041",1518 Tonawanda Ave,LosAngeles,CA,90041,4,2,"1,740",Multi Family,https://www.zillow.com/homedetails/1518-Tonawanda-Ave-Los-Angeles-CA-90041/20764960_zpid/
Apartment for sale,"$1,649,000","818 N Genesee Ave, Los Angeles, CA 90046",818 N Genesee Ave,LosAngeles,CA,90046,4,2,"2,291",Multi Family,https://www.zillow.com/homedetails/818-N-Genesee-Ave-Los-Angeles-CA-90046/20785892_zpid/
Apartment for sale,"$929,000","1679 Moonlight, Costa Mesa, CA 92627",1679 Moonlight,CostaMesa,CA,92627,2,3,"1,905",Multi Family,https://www.zillow.com/homedetails/1679-Moonlight-Costa-Mesa-CA-92627/305912894_zpid/
Apartment for sale,"$1,999,900","17210 Grand Ave, Lake Elsinore, CA 92530",17210 Grand Ave,LakeElsinore,CA,92530,9,8,"9,000",Multi Family,https://www.zillow.com/homedetails/17210-Grand-Ave-Lake-Elsinore-CA-92530/2080136117_zpid/
Apartment for sale,"$399,000","9509 Road 272, Terra Bella, CA 93270",9509 Road 272,TerraBella,CA,93270,4,--,"2,405",Multi Family,https://www.zillow.com/homedetails/9509-Road-272-Terra-Bella-CA-93270/80333703_zpid/
Apartment for sale,"$395,000","13880 Ocotillo Rd, Desert Hot Springs, CA 92240",13880 Ocotillo Rd,DesertHotSprings,CA,92240,6,4,"2,000",Multi Family,https://www.zillow.com/homedetails/13880-Ocotillo-Rd-Desert-Hot-Springs-CA-92240/2082652190_zpid/
Apartment for sale,"$485,000","6013 Landis Ave, Carmichael, CA 95608",6013 Landis Ave,Carmichael,CA,95608,4,--,"1,753",Multi Family,https://www.zillow.com/homedetails/6013-Landis-Ave-Carmichael-CA-95608/26072707_zpid/
Apartment for sale,"$275,000","44 Montgomery St, Markleeville, CA 96120",44 Montgomery St,Markleeville,CA,96120,Studio,--,651,Multi Family,https://www.zillow.com/homedetails/44-Montgomery-St-Markleeville-CA-96120/119675971_zpid/
Apartment for sale,"$329,000","16450 Olive St, Hesperia, CA 92345",16450 Olive St,Hesperia,CA,92345,4,2,"1,508",Multi Family,https://www.zillow.com/homedetails/16450-Olive-St-Hesperia-CA-92345/17449485_zpid/
Apartment for sale,"$1,250,000","2735 33rd St, San Diego, CA 92104",2735 33rd St,SanDiego,CA,92104,5,5,"2,966",Multi Family,https://www.zillow.com/homedetails/2735-33rd-St-San-Diego-CA-92104/16975683_zpid/
Apartment for sale,"$545,000","5158 S Gramercy Pl, Los Angeles, CA 90062",5158 S Gramercy Pl,LosAngeles,CA,90062,3,2,"1,536",Multi Family,https://www.zillow.com/homedetails/5158-S-Gramercy-Pl-Los-Angeles-CA-90062/20569030_zpid/
Apartment for sale,"$650,000","1621 E 111th St #2, Los Angeles, CA 90059",1621 E 111th St #2,LosAngeles,CA,90059,3,2,"2,000",Multi Family,https://www.zillow.com/homedetails/1621-E-111th-St-2-Los-Angeles-CA-90059/2078878694_zpid/
Apartment for sale,"$3,388,800","912 Genoa St, Monrovia, CA 91016",912 Genoa St,Monrovia,CA,91016,16,8,"9,096",Multi Family,https://www.zillow.com/homedetails/912-Genoa-St-Monrovia-CA-91016/2080162584_zpid/
Apartment for sale,"$499,900","2235 16th Ave, Sacramento, CA 95822",2235 16th Ave,Sacramento,CA,95822,4,--,"1,725",Multi Family,https://www.zillow.com/homedetails/2235-16th-Ave-Sacramento-CA-95822/25805577_zpid/
Apartment for sale,"$260,000","1095 E 3rd St, San Bernardino, CA 92410",1095 E 3rd St,SanBernardino,CA,92410,4,2,"1,000",Multi Family,https://www.zillow.com/homedetails/1095-E-3rd-St-San-Bernardino-CA-92410/17363340_zpid/
