Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Apartment for sale,"$329,000","16450 Olive St, Hesperia, CA 92345",16450 Olive St ,Hesperia,CA,92345,34.418894,-117.303691,"1,508",null,null,Multi Family,1980,2 spaces,None,$218,"$330,533","$1,250/mo",https://www.zillow.com/homedetails/16450-Olive-St-Hesperia-CA-92345/17449485_zpid/
Apartment for sale,"$369,000","14868 San Jacinto Dr, Moreno Valley, CA 92555",14868 San Jacinto Dr ,Moreno Valley,CA,92555,33.904718,-117.167403,"1,842",null,null,Multi Family,2003,2 spaces,$126/month,$200,"$369,000","$2,100/mo",https://www.zillow.com/homedetails/14868-San-Jacinto-Dr-Moreno-Valley-CA-92555/59419683_zpid/
Apartment for sale,"$429,000","1005 Layton Rd, Redding, CA 96002",1005 Layton Rd ,Redding,CA,96002,40.556746,-122.361834,"3,700",null,null,Multi Family,1973,No Data,null,$116,"$375,619","$1,320/mo",https://www.zillow.com/homedetails/1005-Layton-Rd-Redding-CA-96002/15220475_zpid/
Apartment for sale,"$1,095,000","517 44th St, Oakland, CA 94609",517 44th St ,Oakland,CA,94609,37.832132,-122.264344,"1,990",null,null,Multi Family,1911,No Data,null,$550,null,null,https://www.zillow.com/homedetails/517-44th-St-Oakland-CA-94609/24750228_zpid/
Apartment for sale,"$1,895,000","816 S Curson Ave, Los Angeles, CA 90036",816 S Curson Ave ,Los Angeles,CA,90036,34.060114,-118.355617,"4,387",null,null,Multi Family,1929,Detached Garage,null,$432,"$1,881,931","$4,850/mo",https://www.zillow.com/homedetails/816-S-Curson-Ave-Los-Angeles-CA-90036/20610321_zpid/
Apartment for sale,"$1,600,000","2566 Montgomery Ave, Cardiff, CA 92007",2566 Montgomery Ave ,Cardiff,CA,92007,33.015081,-117.275131,"1,516",null,null,Multi Family,1986,3 spaces,None,"$1,055","$1,600,005","$6,376/mo",https://www.zillow.com/homedetails/2566-Montgomery-Ave-Cardiff-CA-92007/16724898_zpid/
Apartment for sale,"$1,895,000","1278 S Orange Dr, Los Angeles, CA 90019",1278 S Orange Dr ,Los Angeles,CA,90019,34.051239,-118.345335,"2,927",null,null,Multi Family,1925,4 spaces,null,$647,"$1,646,539","$3,700/mo",https://www.zillow.com/homedetails/1278-S-Orange-Dr-Los-Angeles-CA-90019/20607631_zpid/
Apartment for sale,"$499,000","1101-1103 Cypress Ave, Los Angeles, CA 90065",1101-1103 Cypress Ave ,Los Angeles,CA,90065,34.094143,-118.225954,785,null,null,Multi Family,1921,No Data,None,$636,null,null,https://www.zillow.com/homedetails/1101-1103-Cypress-Ave-Los-Angeles-CA-90065/2079123383_zpid/
Apartment for sale,"$439,950","2426 Medford St, Los Angeles, CA 90033",2426 Medford St ,Los Angeles,CA,90033,34.06316,-118.196344,808,null,null,Multi Family,1926,3 spaces,None,$544,"$439,951","$2,000/mo",https://www.zillow.com/homedetails/2426-Medford-St-Los-Angeles-CA-90033/20636177_zpid/
Apartment for sale,"$1,250,000","2735 33rd St, San Diego, CA 92104",2735 33rd St ,San Diego,CA,92104,32.734485,-117.122832,"2,966",null,null,Multi Family,1926,3 spaces,None,$421,"$1,250,005","$5,014/mo",https://www.zillow.com/homedetails/2735-33rd-St-San-Diego-CA-92104/16975683_zpid/
