City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio
Los Angeles,Condos,CA,90077,"[{'bedroom_type': '2 Beds', 'price': '$3,795'}]","2385 Roscomare Rd, Los Angeles, CA 90077",https://www.apartments.com/2385-roscomare-rd-los-angeles-ca-unit-e11/14cp055/,2 BAs,"1,249 Sq Ft","1,249",12 Month Lease,Available Now,,,"$3,795",
West Hollywood,Condos,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]","West Hollywood, CA 90069",https://www.apartments.com/8530-holloway-dr-west-hollywood-ca-unit-312/fvh9v4t/,2 BAs,"1,036 Sq Ft","1,036",12 Month Lease,Available Now,,,"$4,200",
Los Angeles,Condos,CA,90066,"[{'bedroom_type': '1 Bed', 'price': '$2,295'}]","12592 Washington Pl, Los Angeles, CA 90066",https://www.apartments.com/12592-washington-pl-los-angeles-ca/mzls77l/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$2,295",,,
Manhattan Beach,Condos,CA,90266,"[{'bedroom_type': '3 Beds', 'price': '$4,750'}]","1202 Tennyson St, Manhattan Beach, CA 90266",https://www.apartments.com/1202-tennyson-st-manhattan-beach-ca-unit-7/x08p5pp/,2½ BAs,"1,755 Sq Ft","1,755",12 Month Lease,Available Now,,"$4,750",,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]","1440 Veteran Ave, Los Angeles, CA 90024",https://www.apartments.com/1440-veteran-ave-los-angeles-ca-unit-543/rr66kr2/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$2,200",,,
Beverly Hills,Condos,CA,90212,"[{'bedroom_type': '1 Bed', 'price': '$3,200'}]","Beverly Hills, CA 90212",https://www.apartments.com/136-s-palm-dr-beverly-hills-ca/dxmwh4k/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,200",,,
Los Angeles,Condos,CA,90025,"[{'bedroom_type': '3 Beds', 'price': '$3,695'}]","1288 Barry Ave, Los Angeles, CA 90025",https://www.apartments.com/1288-barry-ave-los-angeles-ca/gjrfnnx/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,"$3,695",,
Los Angeles,Condos,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$2,690'}]","1836 Glendon Ave, Los Angeles, CA 90025",https://www.apartments.com/1836-glendon-ave-los-angeles-ca/br69f09/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,"$2,690",
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","2812 Arizona Ave, Santa Monica, CA 90404",https://www.apartments.com/2812-arizona-ave-santa-monica-ca-unit-d/7cbw1yz/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,,"$2,600",
El Segundo,Condos,CA,90245,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","1511 E Maple Ave, El Segundo, CA 90245",https://www.apartments.com/1511-e-maple-ave-el-segundo-ca/bey9kk8/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,"$2,500",
