City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,3 Beds,2 Beds,1 Bed,Studio,4+ Beds
1510 W Compton Blvd,Townhomes,Compton,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]","Compton, CA 90220",https://www.apartments.com/1510-w-compton-blvd-compton-ca/5wbj9fp/,2 BAs,500 Sq Ft,500,,Available Now,,,"$1,850",,,
202 Agate Ave,Townhomes,Newport Beach,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,500'}]","Newport Beach, CA 92662",https://www.apartments.com/202-agate-ave-newport-beach-ca/dcxsfzj/,2 BAs,"1,373 Sq Ft","1,373",,Available Now,"$4,500",,,,,
2913 Snow Creek Ln,Townhomes,Ontario,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,890'}]","Ontario, CA 91761",https://www.apartments.com/2913-snow-creek-ln-ontario-ca/v1fm17d/,2 BAs,"1,134 Sq Ft","1,134",,Available Now,,,"$1,890",,,
26 Vienna,Townhomes,Newport Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,695'}]","Newport Beach, CA 92660",https://www.apartments.com/26-vienna-newport-beach-ca/3g5hk8d/,2 BAs,"2,002 Sq Ft","2,002",,Available Now,,,"$4,695",,,
13523 Norton Ave,Townhomes,Chino,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,450'}]","Chino, CA 91710",https://www.apartments.com/13523-norton-ave-chino-ca/8z10mj1/,2 BAs,"2,300 Sq Ft","2,300",,Available Now,"$2,450",,,,,
21881 Southgate,Townhomes,Mission Viejo,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]","Mission Viejo, CA 92692",https://www.apartments.com/21881-southgate-mission-viejo-ca/vq4gqeg/,3 BAs,"1,543 Sq Ft","1,543",,Available Now,,"$2,900",,,,
115 Silverado,Townhomes,Irvine,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","Irvine, CA 92618",https://www.apartments.com/115-silverado-irvine-ca/46xr91h/,4 BAs,"1,756 Sq Ft","1,756",,Available Now,,"$3,000",,,,
1548 Stevens Ave,Townhomes,San Gabriel,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}]","San Gabriel, CA 91776",https://www.apartments.com/1548-stevens-ave-san-gabriel-ca/8vel871/,1 BA,560 Sq Ft,560,,Available Now,,,,"$1,600",,
115 Neptune,Townhomes,Irvine,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,495'}]","Irvine, CA 92618",https://www.apartments.com/115-neptune-irvine-ca/d7w7pbk/,3 BAs,"1,798 Sq Ft","1,798",,Available Now,,,"$3,495",,,
707 Narcissus Ave,Townhomes,Newport Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,150'}]","Newport Beach, CA 92625",https://www.apartments.com/707-narcissus-ave-newport-beach-ca/fycb3ms/,1 BA,825 Sq Ft,825,,Available Now,,,"$3,150",,,
1645 Greencastle Ave,Townhomes,Rowland Heights,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,300'}]","Rowland Heights, CA 91748",https://www.apartments.com/1645-greencastle-ave-rowland-heights-ca/lqs14dd/,2 BAs,"1,313 Sq Ft","1,313",,Available Now,"$2,300",,,,,
11506 186th St,Townhomes,Artesia,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]","Artesia, CA 90701",https://www.apartments.com/11506-186th-st-artesia-ca/7qesbdz/,2 BAs,"1,280 Sq Ft","1,280",,Available Now,,,"$2,700",,,
2132 Chestnut Creek Rd,Townhomes,Diamond Bar,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","Diamond Bar, CA 91765",https://www.apartments.com/2132-chestnut-creek-rd-diamond-bar-ca/vzeswnf/,1 BA,920 Sq Ft,920,,Available Now,,,"$2,100",,,
101 Wiseman Way,Townhomes,Upland,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]","Upland, CA 91786",https://www.apartments.com/101-wiseman-way-upland-ca/pwjc3dv/,1 BA,"1,050 Sq Ft","1,050",,Available Now,,,"$1,850",,,
2990 Malaga Cir,Townhomes,Diamond Bar,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]","Diamond Bar, CA 91765",https://www.apartments.com/2990-malaga-cir-diamond-bar-ca/2ckxdlb/,3 BAs,"1,480 Sq Ft","1,480",,Available Now,,,"$2,450",,,
16255 Pacific Cir,Townhomes,Huntington Beach,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]","Huntington Beach, CA 90742",https://www.apartments.com/16255-pacific-cir-huntington-beach-ca/eegp83p/,3 BAs,"1,897 Sq Ft","1,897",,Available Now,,"$4,000",,,,
8215 E White Oak Ridge,Townhomes,Orange,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]","Orange, CA 92869",https://www.apartments.com/8215-e-white-oak-ridge-orange-ca/ey10efq/,2 BAs,"1,285 Sq Ft","1,285",,Available Now,,"$2,800",,,,
414 Maravilla Ln,Townhomes,Brea,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,550'}]","Brea, CA 92821",https://www.apartments.com/414-maravilla-ln-brea-ca/s600tc7/,3 BAs,"1,837 Sq Ft","1,837",,Available Now,,"$3,550",,,,
22921 Estoril Dr,Townhomes,Diamond Bar,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}]","Diamond Bar, CA 91765",https://www.apartments.com/22921-estoril-dr-diamond-bar-ca/2r81fpb/,3 BAs,"1,283 Sq Ft","1,283",,Available Now,,,"$2,350",,,
22921 Estoril Dr,Townhomes,Diamond Bar,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}]","Diamond Bar, CA 91765",https://www.apartments.com/22921-estoril-dr-diamond-bar-ca/2r81fpb/,3 BAs,"1,283 Sq Ft","1,283",,Available Now,,,"$2,350",,,
155 N Wabash Ave,Townhomes,Glendora,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,600'}]","Glendora, CA 91741",https://www.apartments.com/155-n-wabash-ave-glendora-ca/ts3kbw8/,4 BAs,"2,283 Sq Ft","2,283",,Available Now,,"$3,600",,,,
911 W Olive Ave,Townhomes,Monrovia,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]","Monrovia, CA 91016",https://www.apartments.com/911-w-olive-ave-monrovia-ca/91wt4z6/,1 BA,925 Sq Ft,925,,Available Now,,,"$2,000",,,
1724 E 85th St,Townhomes,Los Angeles,CA,"[{'bedroom_type': '4+ Beds', 'price': '$3,300'}]","Los Angeles, CA 90001",https://www.apartments.com/1724-e-85th-st-los-angeles-ca/yjqwmmv/,4 BAs,"1,875 Sq Ft","1,875",,Available Now,,,,,,"$3,300"
34411 Via San Juan,Townhomes,Dana Point,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","Dana Point, CA 92624",https://www.apartments.com/34411-via-san-juan-dana-point-ca/7vnmpcz/,3 BAs,"1,250 Sq Ft","1,250",,Available Now,,,"$2,850",,,
137 Avenida Mateo,Townhomes,San Clemente,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]","San Clemente, CA 92672",https://www.apartments.com/137-avenida-mateo-san-clemente-ca/vh882gg/,1 BA,725 Sq Ft,725,,Available Now,,,,"$2,000",,
1036 N Turner Ave,Townhomes,Ontario,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,200'}]","Ontario, CA 91764",https://www.apartments.com/1036-n-turner-ave-ontario-ca/m82gc6h/,3 BAs,"1,721 Sq Ft","1,721",,Available Now,,"$2,200",,,,
214 Harringay,Townhomes,Irvine,CA,"[{'bedroom_type': '3 Beds', 'price': '$6,000'}]","Irvine, CA 92618",https://www.apartments.com/214-harringay-irvine-ca/wk19tcl/,3 BAs,"1,704 Sq Ft","1,704",,Available Now,,"$6,000",,,,
130 Terrapin,Townhomes,Irvine,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,900'}]","Irvine, CA 92618",https://www.apartments.com/130-terrapin-irvine-ca/r21et83/,4 BAs,"2,016 Sq Ft","2,016",,Available Now,"$3,900",,,,,
473 County Rd,Townhomes,Pomona,CA,"[{'bedroom_type': '4+ Beds', 'price': '$1,500'}]","Pomona, CA 91766",https://www.apartments.com/473-county-rd-pomona-ca/yg1l3vs/,5 BAs,"3,818 Sq Ft","3,818",,Available Now,,,,,,"$1,500"
2254 Synergy,Townhomes,Irvine,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,100'}]","Irvine, CA 92614",https://www.apartments.com/2254-synergy-irvine-ca/wm1rj9h/,4 BAs,"1,990 Sq Ft","1,990",,Available Now,"$4,100",,,,,
319 N Fenimore Ave,Townhomes,Azusa,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","Azusa, CA 91702",https://www.apartments.com/319-n-fenimore-ave-azusa-ca/w07mv6h/,3 BAs,"1,513 Sq Ft","1,513",,Available Now,,"$2,600",,,,
5335 Humboldt Dr,Townhomes,Buena Park,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,900'}]","Buena Park, CA 90621",https://www.apartments.com/5335-humboldt-dr-buena-park-ca/clqhyjd/,2 BAs,"1,662 Sq Ft","1,662",,Available Now,"$2,900",,,,,
3733 N Harbor Blvd,Townhomes,Fullerton,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]","Fullerton, CA 92835",https://www.apartments.com/3733-n-harbor-blvd-fullerton-ca/c53mxbd/,2 BAs,"1,122 Sq Ft","1,122",,Available Now,,,"$1,950",,,
504 McLaughlin St,Townhomes,Richmond,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]","Richmond, CA 94805",https://www.apartments.com/504-mclaughlin-st-richmond-ca/8bshc12/,1 BA,898 Sq Ft,898,,Available Now,,,"$2,250",,,
Mountain View,Townhomes,CA,94040,"[{'bedroom_type': '2 Beds', 'price': '$2,790'}]","Mountain View, CA 94040",https://www.apartments.com/2765-fayette-dr-mountain-view-ca/mv1k4eh/,1½ BAs,"1,044 Sq Ft","1,044",6 Month Lease,Available Now,,,"$2,790",,,
11366 Sawgrass Bend,Townhomes,Apple Valley,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,295'}]","Apple Valley, CA 92308",https://www.apartments.com/11366-sawgrass-bend-apple-valley-ca/w4995nh/,2 BAs,,,,Available Now,,,"$1,295",,,
125 39th St,Townhomes,Newport Beach,CA,"[{'bedroom_type': '4 Beds', 'price': '$6,500'}]","Newport Beach, CA 92663",https://www.apartments.com/125-39th-st-newport-beach-ca/e3gknpq/,3 BAs,"1,700 Sq Ft","1,700",,Available Now,"$6,500",,,,,
225 S Western Ave,Townhomes,Anaheim,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,121'}]","Anaheim, CA 92804",https://www.apartments.com/225-s-western-ave-anaheim-ca/9vce647/,1 BA,,,12 Month Lease,Available Now,,,,"$1,121",,
19846 Pacific Coast Hwy,Townhomes,Malibu,CA,"[{'bedroom_type': '1 Bed', 'price': '$8,000'}]","Malibu, CA 90265",https://www.apartments.com/19846-pacific-coast-hwy-malibu-ca/5m9xkjm/,2 BAs,,,,Available Now,,,,"$8,000",,
22609 Pacific Coast Hwy,Townhomes,Malibu,CA,"[{'bedroom_type': '1 Bed', 'price': '$6,000'}]","Malibu, CA 90265",https://www.apartments.com/22609-pacific-coast-hwy-malibu-ca/zzd7vfz/,1 BA,,,,Available Now,,,,"$6,000",,
28362 Rey De Copas Ln,Townhomes,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]","Malibu, CA 90265",https://www.apartments.com/28362-rey-de-copas-ln-malibu-ca/gw5ldpz/,3 BAs,,,,Available Now,,"$5,200",,,,
23922 De Ville Way,Townhomes,Malibu,CA,"[{'bedroom_type': '2 Beds', 'price': '$6,200'}]","Malibu, CA 90265",https://www.apartments.com/23922-de-ville-way-malibu-ca/dv1jgjj/,2 BAs,,,,Available Now,,,"$6,200",,,
28348 Rey De Copas Ln,Townhomes,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,695'}]","Malibu, CA 90265",https://www.apartments.com/28348-rey-de-copas-ln-malibu-ca/fz8jrrv/,3 BAs,,,,Available Now,,"$5,695",,,,
17158 Palisades Cir,Townhomes,Los Angeles,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]","Los Angeles, CA 90272",https://www.apartments.com/17158-palisades-cir-los-angeles-ca/fbg53ys/,3 BAs,,,,Available Now,,"$5,200",,,,
18219 Coastline Dr,Townhomes,Malibu,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]","Malibu, CA 90265",https://www.apartments.com/18219-coastline-dr-malibu-ca/842b872/,2 BAs,,,,Available Now,,,"$5,000",,,
1261 E 54th St,Townhomes,Los Angeles,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]","Los Angeles, CA 90011",https://www.apartments.com/1261-e-54th-st-los-angeles-ca/ykvwpht/,2 BAs,,,,Available Now,"$3,000",,,,,
2748 S Sepulveda Blvd,Townhomes,Los Angeles,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]","Los Angeles, CA 90064",https://www.apartments.com/2748-s-sepulveda-blvd-los-angeles-ca/4m61l7k/,1 BA,,,,Available Now,,,"$2,695",,,
28258 Rey De Copas Ln,Townhomes,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,100'}]","Malibu, CA 90265",https://www.apartments.com/28258-rey-de-copas-ln-malibu-ca/24tj0y9/,3 BAs,,,,Available Now,,"$5,100",,,,
4389 Paxton Pl,Townhomes,Hidden Hills,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,355'}]","Hidden Hills, CA 91302",https://www.apartments.com/4389-paxton-pl-hidden-hills-ca/vds4g4e/,3 BAs,,,,Available Now,,,"$5,355",,,
719 N Eucalyptus Ave,Townhomes,Inglewood,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,095'}]","Inglewood, CA 90302",https://www.apartments.com/719-n-eucalyptus-ave-inglewood-ca/z14qshy/,2 BAs,,,,Available Now,,,"$2,095",,,
410 21st St,Townhomes,Huntington Beach,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,950'}]","Huntington Beach, CA 92648",https://www.apartments.com/410-21st-st-huntington-beach-ca/vbxhtlf/,1 BA,800 Sq Ft,800,,Available Now,,,,"$1,950",,
33 Promesa Ave,Townhomes,Ladera Ranch,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,700'}]","Ladera Ranch, CA 92694",https://www.apartments.com/33-promesa-ave-ladera-ranch-ca/pemm7qs/,3 BAs,"1,724 Sq Ft","1,724",,Available Now,,"$3,700",,,,
333 E 107th St,Townhomes,Los Angeles,CA,"[{'bedroom_type': '4+ Beds', 'price': '$2,900'}]","Los Angeles, CA 90003",https://www.apartments.com/333-e-107th-st-los-angeles-ca/7vyej6z/,3 BAs,"1,847 Sq Ft","1,847",,Available Now,,,,,,"$2,900"
38595 Carolbee Ln,Townhomes,Temecula,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,050'}]","Temecula, CA 92592",https://www.apartments.com/38595-carolbee-ln-temecula-ca/z0vm7jw/,2 BAs,"1,600 Sq Ft","1,600",,Available Now,,"$2,050",,,,
133 S Elm Dr,Townhomes,Beverly Hills,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]","Beverly Hills, CA 90212",https://www.apartments.com/133-s-elm-dr-beverly-hills-ca/vkyxhqf/,1 BA,,,,Available Now,,,,"$2,000",,
17270 Markross Ct,Townhomes,Morgan Hill,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,295'}]","Morgan Hill, CA 95037",https://www.apartments.com/17270-markross-ct-morgan-hill-ca/qt9h4zx/,2 BAs,"1,100 Sq Ft","1,100",,Available Now,,"$3,295",,,,
901 Flower St,Townhomes,Los Angeles,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,800'}]","Los Angeles, CA 90015",https://www.apartments.com/901-flower-st-los-angeles-ca/kd2e49b/,1 BA,,,,Available Now,,,,"$2,800",,
25281 Vista Hermosa Vis,Townhomes,Lake Forest,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,995'}]","Lake Forest, CA 92630",https://www.apartments.com/25281-vista-hermosa-vis-lake-forest-ca/r69wlt1/,3 BAs,"1,529 Sq Ft","1,529",,Available Now,,"$2,995",,,,
118 Rockefeller,Townhomes,Irvine,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]","Irvine, CA 92612",https://www.apartments.com/118-rockefeller-irvine-ca/mkj8p1k/,3 BAs,"2,290 Sq Ft","2,290",,Available Now,,"$5,000",,,,
440 Pacific St,Townhomes,San Luis Obispo,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,175'}]","San Luis Obispo, CA 93401",https://www.apartments.com/440-pacific-st-san-luis-obispo-ca/gw43gfw/,2 BAs,"1,200 Sq Ft","1,200",,Available Now,,,"$2,175",,,
1916 N Ontario St,Townhomes,Burbank,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]","Burbank, CA 91505",https://www.apartments.com/1916-n-ontario-st-burbank-ca/x7flebq/,1 BA,700 Sq Ft,700,,Available Now,,,"$2,450",,,
999 N Pacific St,Townhomes,Oceanside,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]","Oceanside, CA 92054",https://www.apartments.com/999-n-pacific-st-oceanside-ca/yyv22zr/,1 BA,760 Sq Ft,760,,Available Now,,,,"$2,000",,
114 Encantado,Townhomes,Rancho Santa Margarita,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]","Rancho Santa Margarita, CA 92688",https://www.apartments.com/114-encantado-rancho-santa-margarita-ca/yt3cqgv/,3 BAs,"1,511 Sq Ft","1,511",,Available Now,,"$2,800",,,,
19595 Oakdale Ln,Townhomes,Huntington Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,995'}]","Huntington Beach, CA 92648",https://www.apartments.com/19595-oakdale-ln-huntington-beach-ca/9sx2p74/,3 BAs,"2,189 Sq Ft","2,189",,Available Now,,,"$3,995",,,
460 E Bougainvillea Ln,Townhomes,Glendora,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]","Glendora, CA 91741",https://www.apartments.com/460-e-bougainvillea-ln-glendora-ca/64rs8ls/,3 BAs,"1,954 Sq Ft","1,954",,Available Now,,,"$2,950",,,
10660 Ohio St,Townhomes,Loma Linda,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,350'}]","Loma Linda, CA 92354",https://www.apartments.com/10660-ohio-st-loma-linda-ca/fydcp7v/,1 BA,670 Sq Ft,670,,Available Now,,,,"$1,350",,
2233 Fairview Rd,Townhomes,Costa Mesa,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]","Costa Mesa, CA 92627",https://www.apartments.com/2233-fairview-rd-costa-mesa-ca/1ysswq6/,3 BAs,"1,075 Sq Ft","1,075",,Available Now,,"$2,700",,,,
1726 E 85th St,Townhomes,Los Angeles,CA,"[{'bedroom_type': '4+ Beds', 'price': '$3,200'}]","Los Angeles, CA 90001",https://www.apartments.com/1726-e-85th-st-los-angeles-ca/vxgkp6d/,4 BAs,"1,875 Sq Ft","1,875",,Available Now,,,,,,"$3,200"
244 California Ct,Townhomes,Mission Viejo,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Mission Viejo, CA 92692",https://www.apartments.com/244-california-ct-mission-viejo-ca/ft1vq3v/,3 BAs,"1,111 Sq Ft","1,111",,Available Now,,,"$2,500",,,
831 Sunburst Way,Townhomes,Pomona,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]","Pomona, CA 91767",https://www.apartments.com/831-sunburst-way-pomona-ca/j0jrnb5/,4 BAs,"1,850 Sq Ft","1,850",,Available Now,,"$2,700",,,,
27961 Winged Foot Dr,Townhomes,Menifee,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,345'}]","Menifee, CA 92586",https://www.apartments.com/27961-winged-foot-dr-menifee-ca/xrxn4kq/,1 BA,"1,012 Sq Ft","1,012",,Available Now,,,"$1,345",,,
736 W Camino Real Ave,Townhomes,Arcadia,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,450'}]","Arcadia, CA 91007",https://www.apartments.com/736-w-camino-real-ave-arcadia-ca/jd3gsb6/,4 BAs,"1,580 Sq Ft","1,580",,Available Now,,"$3,450",,,,
6 Logo Vista,Townhomes,Dana Point,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]","Dana Point, CA 92629",https://www.apartments.com/6-logo-vista-dana-point-ca/n3pw0kp/,3 BAs,"1,878 Sq Ft","1,878",,Available Now,,"$3,800",,,,
231 Avenida Aragon,Townhomes,San Clemente,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]","San Clemente, CA 92672",https://www.apartments.com/231-avenida-aragon-san-clemente-ca/wkqw9bh/,1 BA,850 Sq Ft,850,,Available Now,,,"$1,950",,,
122 13th St,Townhomes,Seal Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]","Seal Beach, CA 90740",https://www.apartments.com/122-13th-st-seal-beach-ca/wzfdeck/,1 BA,810 Sq Ft,810,,Available Now,,,"$2,395",,,
1626 Sycamore Dr,Townhomes,Topanga,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Topanga, CA 90290",https://www.apartments.com/1626-sycamore-dr-topanga-ca/nvxvebp/,1 BA,,,,Available Now,,,"$3,500",,,
11011 La Reina Ave,Townhomes,Downey,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,500'}]","Downey, CA 90241",https://www.apartments.com/11011-la-reina-ave-downey-ca/scpkjr6/,4 BAs,"1,720 Sq Ft","1,720",,Available Now,"$3,500",,,,,
1068 Larimore Ave,Townhomes,La Puente,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","La Puente, CA 91744",https://www.apartments.com/1068-larimore-ave-la-puente-ca/9p5pf85/,3 BAs,"1,800 Sq Ft","1,800",,Available Now,,"$2,600",,,,
8861 Ash Ave,Townhomes,Montclair,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,350'}]","Montclair, CA 91763",https://www.apartments.com/8861-ash-ave-montclair-ca/z0f7rmy/,3 BAs,"1,410 Sq Ft","1,410",,Available Now,,"$2,350",,,,
322 Coral Ave,Townhomes,Newport Beach,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,995'}]","Newport Beach, CA 92662",https://www.apartments.com/322-coral-ave-newport-beach-ca/hepevl1/,2 BAs,"1,700 Sq Ft","1,700",,Available Now,,"$3,995",,,,
27 Portland Pl,Townhomes,Laguna Niguel,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","Laguna Niguel, CA 92677",https://www.apartments.com/27-portland-pl-laguna-niguel-ca/fx0cngt/,2 BAs,"1,439 Sq Ft","1,439",,Available Now,,"$3,500",,,,
4 Niblick Ln,Townhomes,Coto de Caza,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]","Coto de Caza, CA 92679",https://www.apartments.com/4-niblick-ln-coto-de-caza-ca/nssg22q/,3 BAs,"1,562 Sq Ft","1,562",,Available Now,,"$3,200",,,,
7046 Snowburst Ct,Townhomes,Corona,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,800'}]","Corona, CA 92880",https://www.apartments.com/7046-snowburst-ct-corona-ca/kcn5hrb/,3 BAs,"2,162 Sq Ft","2,162",,Available Now,"$2,800",,,,,
2753 Piedmont Ave,Townhomes,Glendale,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]","Glendale, CA 91020",https://www.apartments.com/2753-piedmont-ave-glendale-ca/4n9p96k/,3 BAs,"1,600 Sq Ft","1,600",,Available Now,,,"$3,600",,,
12371 Claredon Dr,Townhomes,Rancho Cucamonga,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","Rancho Cucamonga, CA 91739",https://www.apartments.com/12371-claredon-dr-rancho-cucamonga-ca/kz7lkx9/,4 BAs,"1,516 Sq Ft","1,516",,Available Now,,"$2,600",,,,
1157 S Positano Ave,Townhomes,Anaheim,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","Anaheim, CA 92808",https://www.apartments.com/1157-s-positano-ave-anaheim-ca/1b86xm7/,1 BA,743 Sq Ft,743,,Available Now,,,,"$1,750",,
6191 Fernwood Dr,Townhomes,Huntington Beach,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,100'}]","Huntington Beach, CA 92648",https://www.apartments.com/6191-fernwood-dr-huntington-beach-ca/69zqf5t/,3 BAs,"2,320 Sq Ft","2,320",,Available Now,"$4,100",,,,,
317 Magnet,Townhomes,Irvine,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]","Irvine, CA 92618",https://www.apartments.com/317-magnet-irvine-ca/wqb3gjk/,3 BAs,"2,103 Sq Ft","2,103",,Available Now,,"$3,800",,,,
9031 Primavera Lane,Townhomes,Cypress,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]","Cypress, CA 90630",https://www.apartments.com/9031-primavera-lane-cypress-ca/qxnh3qz/,3 BAs,"1,455 Sq Ft","1,455",,Available Now,,"$2,800",,,,
34101 Via California,Townhomes,San Juan Capistrano,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]","San Juan Capistrano, CA 92675",https://www.apartments.com/34101-via-california-san-juan-capistrano-ca/sfhpcc6/,3 BAs,"1,472 Sq Ft","1,472",,Available Now,,,"$2,700",,,
762 W Naomi Ave,Townhomes,Arcadia,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]","Arcadia, CA 91007",https://www.apartments.com/762-w-naomi-ave-arcadia-ca/95fhsg6/,3 BAs,"1,438 Sq Ft","1,438",,Available Now,,"$2,700",,,,
33762 Silver Lantern St,Townhomes,Dana Point,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]","Dana Point, CA 92629",https://www.apartments.com/33762-silver-lantern-st-dana-point-ca/1gqfcn6/,2 BAs,"1,000 Sq Ft","1,000",,Available Now,,,"$2,550",,,
28401 Pacific Coast Hwy,Townhomes,Malibu,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,650'}]","Malibu, CA 90265",https://www.apartments.com/28401-pacific-coast-hwy-malibu-ca/9gf7935/,1 BA,,,,Available Now,,,,"$2,650",,
12 Moonlight,Townhomes,Irvine,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","Irvine, CA 92603",https://www.apartments.com/12-moonlight-irvine-ca/7w6dwbw/,3 BAs,"1,412 Sq Ft","1,412",,Available Now,,,"$2,850",,,
12 Moonlight,Townhomes,Irvine,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","Irvine, CA 92603",https://www.apartments.com/12-moonlight-irvine-ca/7w6dwbw/,3 BAs,"1,412 Sq Ft","1,412",,Available Now,,,"$2,850",,,
4866 Estepona Way,Townhomes,Buena Park,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Buena Park, CA 90621",https://www.apartments.com/4866-estepona-way-buena-park-ca/h5nekp3/,3 BAs,"1,300 Sq Ft","1,300",,Available Now,,"$2,500",,,,
1841 Connecticut St,Townhomes,West Covina,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]","West Covina, CA 91792",https://www.apartments.com/1841-connecticut-st-west-covina-ca/pgl2j6r/,2 BAs,"1,058 Sq Ft","1,058",,Available Now,,,"$2,000",,,
9 Union Hill Ln,Townhomes,Carson,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]","Carson, CA 90745",https://www.apartments.com/9-union-hill-ln-carson-ca/jrrbek5/,2 BAs,"1,111 Sq Ft","1,111",,Available Now,,"$2,400",,,,
