City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,3 Beds,2 Beds,1 Bed,Studio,4+ Beds
295 Cheryl Way,Townhomes,Palm Springs,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,995'}]","Palm Springs, CA 92262",https://www.apartments.com/295-cheryl-way-palm-springs-ca/1czq1h4/,3 BAs,"1,383 Sq Ft","1,383",,Available Now,,,"$3,995",,,
24480 Main St,Townhomes,Santa Clarita,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,125'}]","Santa Clarita, CA 91321",https://www.apartments.com/24480-main-st-santa-clarita-ca/6k097ws/,2 BAs,,,,Available Now,,,"$3,125",,,
24480 Main St,Townhomes,Santa Clarita,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,650'}]","Santa Clarita, CA 91321",https://www.apartments.com/24480-main-st-santa-clarita-ca/sptgl76/,2 BAs,,,,Available Now,,"$3,650",,,,
Los Angeles,Townhomes,CA,90041,"[{'bedroom_type': '1 Bed', 'price': '$1,799'}]","Los Angeles, CA 90041",https://www.apartments.com/2125-fair-park-ave-los-angeles-ca/bxq4k08/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$1,799",,
919 Fremont Pl,Townhomes,Menlo Park,CA,"[{'bedroom_type': '3 Beds', 'price': '$8,500'}]","Menlo Park, CA 94025",https://www.apartments.com/919-fremont-pl-menlo-park-ca/vhwpyme/,2 BAs,"2,015 Sq Ft","2,015",,Available Now,,"$8,500",,,,
304 W Lime Ave,Townhomes,Monrovia,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","Monrovia, CA 91016",https://www.apartments.com/304-w-lime-ave-monrovia-ca/rpe1cq1/,3 BAs,"2,000 Sq Ft","2,000",,Jul 3,,"$2,600",,,,
4375 Fairlands Dr,Townhomes,Pleasanton,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Pleasanton, CA 94588",https://www.apartments.com/4375-fairlands-dr-pleasanton-ca/t6te1zb/,1½ BAs,900 Sq Ft,900,,Available Now,,,"$2,200",,,
3005 Kaiser Dr,Townhomes,Santa Clara,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,345'}]","Santa Clara, CA 95051",https://www.apartments.com/3005-kaiser-dr-santa-clara-ca/5jx0zgq/,1½ BAs,"1,097 Sq Ft","1,097",,Available Now,,,"$2,345",,,
919 Olive Ave,Townhomes,Huntington Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Huntington Beach, CA 92648",https://www.apartments.com/919-olive-ave-huntington-beach-ca/88142n3/,2 BAs,952 Sq Ft,952,,Jul 3,,,"$2,500",,,
101 Sherland Ave,Townhomes,Mountain View,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,198'}]","Mountain View, CA 94043",https://www.apartments.com/101-sherland-ave-mountain-view-ca/dsrk4mk/,1½ BAs,"1,215 Sq Ft","1,215",,Available Now,,"$4,198",,,,
