Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												1 Bed
														–
3 Beds										","
												1 Bed
														–
2 Beds										"
Candlewood North,Northridge,Apartment,CA,91324,"[{'bedroom_type': 'Studio', 'price': '$1,570'}, {'bedroom_type': '1 Bed', 'price': '$1,790'}, {'bedroom_type': '2 Beds', 'price': '$2,140'}]","9830 Reseda Blvd, Northridge, CA 91324",https://www.apartments.com/candlewood-north-northridge-ca/bs19lc8/,"$1,570 ","$1,790 ","$2,140 ",,,,
Ashton San Francisco Apartments,San Francisco,Apartment,CA,94134,"[{'bedroom_type': 'Studio', 'price': '$3,265'}, {'bedroom_type': '1 Bed', 'price': '$2,983'}, {'bedroom_type': '2 Beds', 'price': '$3,679'}]","301 Executive Park Blvd, San Francisco, CA 94134",https://www.apartments.com/ashton-san-francisco-apartments-san-francisco-ca/0pvmdb0/,"$3,265 ","$2,983 ","$3,679 ",,,,
Biltmore Apartments,Thousand Oaks,Apartment,CA,91360,"[{'bedroom_type': '1 Bed', 'price': '$1,830'}, {'bedroom_type': '2 Beds', 'price': '$2,025'}, {'bedroom_type': '3 Beds', 'price': '$2,625'}]","555 Laurie Ln, Thousand Oaks, CA 91360",https://www.apartments.com/biltmore-apartments-thousand-oaks-ca/0zwzlm2/,,"$1,830 ","$2,025 ","$2,625 ",,,
Rocklin Manor,Rocklin,Apartment,CA,95677,"[{'bedroom_type': '1 Bed', 'price': '$1,523'}, {'bedroom_type': '2 Beds', 'price': '$1,528'}]","5240 Rocklin Rd, Rocklin, CA 95677",https://www.apartments.com/rocklin-manor-rocklin-ca/7gz2chw/,,"$1,523 ","$1,528 ",,,,
Harbor at Mesa Verde,Costa Mesa,Apartment,CA,92626,"[{'bedroom_type': 'Studio', 'price': '$1,525'}, {'bedroom_type': '1 Bed', 'price': '$1,712'}, {'bedroom_type': '2 Beds', 'price': '$2,288'}, {'bedroom_type': '3 Beds', 'price': '$2,916'}]","2700 Peterson Pl, Costa Mesa, CA 92626",https://www.apartments.com/harbor-at-mesa-verde-costa-mesa-ca/d1w2dll/,"$1,525 ","$1,712 ","$2,288 ","$2,916 ",,,
Ridgewood Village,San Diego,Apartment,CA,92128,"[{'bedroom_type': '1 Bed', 'price': '$1,932'}, {'bedroom_type': '2 Beds', 'price': '$2,092'}]","12435 Heatherton Ct, San Diego, CA 92128",https://www.apartments.com/ridgewood-village-san-diego-ca/ge6y56w/,,"$1,932 ","$2,092 ",,,,
THE TERRACES AT STANFORD RANCH,Rocklin,Apartment,CA,95677,"[{'bedroom_type': '1 Bed', 'price': '$1,795'}, {'bedroom_type': '2 Beds', 'price': '$2,241'}, {'bedroom_type': '3 Beds', 'price': '$2,420'}, {'bedroom_type': '4 Beds', 'price': '$2,650'}]","3339 Marlee Way, Rocklin, CA 95677",https://www.apartments.com/the-terraces-at-stanford-ranch-rocklin-ca/kjps999/,,"$1,795 ","$2,241 ","$2,420 ","$2,650 ",,
Regency Palms,Huntington Beach,Apartment,CA,92647,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,918'}]","6762 Warner Ave, Huntington Beach, CA 92647",https://www.apartments.com/regency-palms-huntington-beach-ca/6e2bybr/,,,"$1,918 ",,,,
Park West Village,Lancaster,Apartment,CA,93536,"[{'bedroom_type': '1 Bed', 'price': '$1,429'}, {'bedroom_type': '2 Beds', 'price': '$1,806'}]","43032 30th St W, Lancaster, CA 93536",https://www.apartments.com/park-west-village-lancaster-ca/xfsq91p/,,"$1,429 ","$1,806 ",,,,
Waterstone,Chatsworth,Apartment,CA,91311,"[{'bedroom_type': 'Studio', 'price': '$1,555'}, {'bedroom_type': '1 Bed', 'price': '$1,765'}, {'bedroom_type': '2 Beds', 'price': '$2,282'}]","9901 Lurline Ave, Chatsworth, CA 91311",https://www.apartments.com/waterstone-chatsworth-ca/vymngsf/,"$1,555 ","$1,765 ","$2,282 ",,,,
Pinecrest Apartments,Davis,Apartment,CA,95616,"[{'bedroom_type': '1 Bed', 'price': '$1,540'}, {'bedroom_type': '2 Beds', 'price': '$1,768'}]","920 Cranbrook Ct, Davis, CA 95616",https://www.apartments.com/pinecrest-apartments-davis-ca/mhnr6wl/,,"$1,540 ","$1,768 ",,,,
Vineyard Terrace Apartments,Napa,Apartment,CA,94558,"[{'bedroom_type': '1 Bed', 'price': '$1,910'}, {'bedroom_type': '2 Beds', 'price': '$2,035'}, {'bedroom_type': '3 Beds', 'price': ''}]","700 Stonehouse Dr, Napa, CA 94558",https://www.apartments.com/vineyard-terrace-apartments-napa-ca/ytcjh5s/,,"$1,910 ","$2,035 ",,,,
La Verne Village Luxury Apartment Homes,La Verne,Apartment,CA,91750,"[{'bedroom_type': '1 Bed', 'price': '$1,890'}, {'bedroom_type': '2 Beds', 'price': '$2,095'}, {'bedroom_type': '3 Beds', 'price': '$2,705'}]","2777-2855 Foothill Blvd, La Verne, CA 91750",https://www.apartments.com/la-verne-village-luxury-apartment-homes-la-verne-ca/n59hrnm/,,"$1,890 ","$2,095 ","$2,705 ",,,
Avalon Simi Valley,Simi Valley,Apartment,CA,93065,"[{'bedroom_type': '1 Bed', 'price': '$1,671'}, {'bedroom_type': '2 Beds', 'price': '$2,200'}, {'bedroom_type': '3 Beds', 'price': ''}]","1579-1691 E Jefferson Way, Simi Valley, CA 93065",https://www.apartments.com/avalon-simi-valley-simi-valley-ca/g61zyrz/,,"$1,671 ","$2,200 ",,,,
Wimbledon Glen,Costa Mesa,Apartment,CA,92626,"[{'bedroom_type': 'Studio', 'price': '$1,711'}, {'bedroom_type': '1 Bed', 'price': '$1,894'}, {'bedroom_type': '2 Beds', 'price': '$2,450'}]","1142 Buckingham Dr, Costa Mesa, CA 92626",https://www.apartments.com/wimbledon-glen-costa-mesa-ca/xygm0dn/,"$1,711 ","$1,894 ","$2,450 ",,,,
Catalina Apartments,Studio City,Apartment,CA,91604,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,195'}, {'bedroom_type': '2 Beds', 'price': ''}]","3930 Laurel Canyon Blvd, Studio City, CA 91604",https://www.apartments.com/catalina-apartments-studio-city-ca/qbf56bx/,,"$2,195 ",,,,,
Merrick Apartments,Placentia,Apartment,CA,92870,"[{'bedroom_type': '1 Bed', 'price': '$1,550'}, {'bedroom_type': '2 Beds', 'price': '$1,905'}]","310 S Jefferson St, Placentia, CA 92870",https://www.apartments.com/merrick-apartments-placentia-ca/wfc8p5j/,,"$1,550 ","$1,905 ",,,,
The Vue Apartments,Sacramento,Apartment,CA,95833,"[{'bedroom_type': '1 Bed', 'price': '$1,290'}, {'bedroom_type': '2 Beds', 'price': '$1,400'}]","2450 Seamist Dr, Sacramento, CA 95833",https://www.apartments.com/the-vue-apartments-sacramento-ca/8wb0sd0/,,"$1,290 ","$1,400 ",,,,
Villa La Paz Apartment Homes,Rancho Santa Margarita,Apartment,CA,92688,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}, {'bedroom_type': '2 Beds', 'price': '$1,935'}]","1-2 Via Amistosa, Rancho Santa Margarita, CA 92688",https://www.apartments.com/villa-la-paz-apartment-homes-rancho-santa-margarita-ca/4ph12yk/,,"$1,595 ","$1,935 ",,,,
Vicino,Lakewood,Apartment,CA,90715,"[{'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$1,910'}, {'bedroom_type': '3 Beds', 'price': '$2,375'}]","12350 Del Amo Blvd, Lakewood, CA 90715",https://www.apartments.com/vicino-lakewood-ca/dkq7dmh/,,"$1,895 ","$1,910 ","$2,375 ",,,
Reserve at Mountain View,Mountain View,Apartment,CA,94040,"[{'bedroom_type': '1 Bed', 'price': '$2,470'}, {'bedroom_type': '2 Beds', 'price': '$2,745'}]","870 E El Camino Real, Mountain View, CA 94040",https://www.apartments.com/reserve-at-mountain-view-mountain-view-ca/6p9e3ev/,,"$2,470 ","$2,745 ",,,,
LA Plaza,Los Angeles,Apartment,CA,90013,"[{'bedroom_type': 'Studio', 'price': '$1,775'}, {'bedroom_type': '1 Bed', 'price': '$1,975'}, {'bedroom_type': '2 Beds', 'price': '$2,575'}, {'bedroom_type': '3 Beds', 'price': '$4,690'}]","555 N Spring St, Los Angeles, CA 90013",https://www.apartments.com/la-plaza-los-angeles-ca/qkn2sxy/,"$1,775 ","$1,975 ","$2,575 ","$4,690 ",,,
Saticoy Gardens,Van Nuys,Apartment,CA,91405,"[{'bedroom_type': '1 Bed', 'price': '$1,550'}, {'bedroom_type': '2 Beds', 'price': '$2,020'}]","14955 Saticoy St, Van Nuys, CA 91405",https://www.apartments.com/saticoy-gardens-van-nuys-ca/gc2y2fz/,,"$1,550 ","$2,020 ",,,,
98Hundred,Fair Oaks,Apartment,CA,95628,"[{'bedroom_type': '1 Bed', 'price': '$1,433'}, {'bedroom_type': '2 Beds', 'price': '$1,622'}]","9800 Fair Oaks Blvd, Fair Oaks, CA 95628",https://www.apartments.com/98hundred-fair-oaks-ca/0rdcs40/,,"$1,433 ","$1,622 ",,,,
Colonnade,Riverside,Apartment,CA,92507,"[{'bedroom_type': '1 Bed', 'price': '$1,576'}, {'bedroom_type': '2 Beds', 'price': '$1,991'}]","5880 Fair Isle Dr, Riverside, CA 92507",https://www.apartments.com/colonnade-riverside-ca/m7qjf9k/,,"$1,576 ","$1,991 ",,,,
Koll Center,San Diego,Apartment,CA,92101,"[{'bedroom_type': 'Studio', 'price': '$1,449'}, {'bedroom_type': '1 Bed', 'price': '$1,659'}, {'bedroom_type': '2 Beds', 'price': '$2,085'}]","505 W Broadway, San Diego, CA 92101",https://www.apartments.com/koll-center-san-diego-ca/39shbyg/,"$1,449 ","$1,659 ","$2,085 ",,,,
Carmel At Woodcreek West,Roseville,Apartment,CA,95747,"[{'bedroom_type': '2 Beds', 'price': '$1,874'}, {'bedroom_type': '3 Beds', 'price': '$2,298'}]","1890 Junction Blvd, Roseville, CA 95747",https://www.apartments.com/carmel-at-woodcreek-west-roseville-ca/1hcjkb4/,,,"$1,874 ","$2,298 ",,,
Circa 2020,Redlands,Apartment,CA,92374,"[{'bedroom_type': '1 Bed', 'price': '$1,855'}, {'bedroom_type': '2 Beds', 'price': '$2,050'}, {'bedroom_type': '3 Beds', 'price': ''}]","27000 W Lugonia Ave, Redlands, CA 92374",https://www.apartments.com/circa-2020-redlands-ca/k1t86zc/,,"$1,855 ","$2,050 ",,,,
