Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												1 Bed
														–
3 Beds										","
												1 Bed
														–
2 Beds										"
Palazzo East Apartments,Los Angeles,Apartment,CA,90036,"[{'bedroom_type': '1 Bed', 'price': '$2,445'}, {'bedroom_type': '2 Beds', 'price': '$3,328'}, {'bedroom_type': '3 Beds', 'price': '$5,695'}]","348 S Hauser Blvd, Los Angeles, CA 90036",https://www.apartments.com/palazzo-east-apartments-los-angeles-ca/32ghtcd/,,"$2,445 ","$3,328 ","$5,695 ",,,
The Apartment Residences at AKA,Los Angeles,Apartment,CA,90069,"[{'bedroom_type': '1 Bed', 'price': '$4,945'}, {'bedroom_type': '2 Beds', 'price': '$6,370'}]","8500 W Sunset Blvd, Los Angeles, CA 90069",https://www.apartments.com/the-apartment-residences-at-aka-los-angeles-ca/x4brlmm/,,"$4,945 ","$6,370 ",,,,
The James,Rocklin,Apartment,CA,95765,"[{'bedroom_type': '1 Bed', 'price': '$1,770'}, {'bedroom_type': '2 Beds', 'price': '$2,105'}, {'bedroom_type': '3 Beds', 'price': '$2,545'}]","6201 W Oaks Blvd, Rocklin, CA 95765",https://www.apartments.com/the-james-rocklin-ca/20fqev8/,,"$1,770 ","$2,105 ","$2,545 ",,,
Loft House,Sunnyvale,Apartment,CA,94086,"[{'bedroom_type': '1 Bed', 'price': '$2,874'}, {'bedroom_type': '2 Beds', 'price': '$3,749'}]","150 S Taaffe St, Sunnyvale, CA 94086",https://www.apartments.com/loft-house-sunnyvale-ca/krd7xr9/,,"$2,874 ","$3,749 ",,,,
The Henley Apartment Homes,Suisun City,Apartment,CA,94585,"[{'bedroom_type': '1 Bed', 'price': '$1,695'}, {'bedroom_type': '2 Beds', 'price': '$1,745'}]","313 Sandy Ln, Suisun City, CA 94585",https://www.apartments.com/the-henley-apartment-homes-suisun-city-ca/h0e50t1/,,"$1,695 ","$1,745 ",,,,
The Adler Apartments,Los Angeles,Apartment,CA,90025,"[{'bedroom_type': '1 Bed', 'price': '$2,895'}, {'bedroom_type': '2 Beds', 'price': '$3,535'}, {'bedroom_type': '3 Beds', 'price': '$4,980'}]","11950 Idaho Ave, Los Angeles, CA 90025",https://www.apartments.com/the-adler-apartments-los-angeles-ca/xhj879m/,,"$2,895 ","$3,535 ","$4,980 ",,,
150 Van Ness,San Francisco,Apartment,CA,94102,"[{'bedroom_type': 'Studio', 'price': '$2,989'}, {'bedroom_type': '1 Bed', 'price': '$3,248'}, {'bedroom_type': '2 Beds', 'price': '$3,952'}, {'bedroom_type': '3 Beds', 'price': '$6,335'}]","150 Van Ness Ave, San Francisco, CA 94102",https://www.apartments.com/150-van-ness-san-francisco-ca/8pdvlx3/,"$2,989 ","$3,248 ","$3,952 ","$6,335 ",,,
Metro Gateway,Riverside,Apartment,CA,92503,"[{'bedroom_type': 'Studio', 'price': '$1,570'}, {'bedroom_type': '1 Bed', 'price': '$1,670'}, {'bedroom_type': '2 Beds', 'price': '$2,190'}]","3411 Grande Vista Pky, Riverside, CA 92503",https://www.apartments.com/metro-gateway-riverside-ca/6024rjv/,"$1,570 ","$1,670 ","$2,190 ",,,,
Santa Clara Square Apartment Homes,Santa Clara,Apartment,CA,95054,"[{'bedroom_type': 'Studio', 'price': '$2,825'}, {'bedroom_type': '1 Bed', 'price': '$3,225'}, {'bedroom_type': '2 Beds', 'price': '$3,920'}]","3320 Montgomery Dr, Santa Clara, CA 95054",https://www.apartments.com/santa-clara-square-apartment-homes-santa-clara-ca/rqgtnx3/,"$2,825 ","$3,225 ","$3,920 ",,,,
nVe AT FAIRFAX,Los Angeles,Apartment,CA,90036,"[{'bedroom_type': 'Studio', 'price': '$2,699'}, {'bedroom_type': '1 Bed', 'price': '$2,900'}, {'bedroom_type': '2 Beds', 'price': '$3,999'}]","639 N Fairfax Ave, Los Angeles, CA 90036",https://www.apartments.com/nve-at-fairfax-los-angeles-ca/6nsdw3t/,"$2,699 ","$2,900 ","$3,999 ",,,,
Pearl La Floresta,Brea,Apartment,CA,92823,"[{'bedroom_type': '1 Bed', 'price': '$2,005'}, {'bedroom_type': '2 Beds', 'price': '$2,762'}, {'bedroom_type': '3 Beds', 'price': '$4,428'}]","420 La Crescenta Dr, Brea, CA 92823",https://www.apartments.com/pearl-la-floresta-brea-ca/qt47l1y/,,"$2,005 ","$2,762 ","$4,428 ",,,
CELSIUS,Lemon Grove,Apartment,CA,91945,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': ''}]","100 Citronica Ln, Lemon Grove, CA 91945",https://www.apartments.com/celsius-lemon-grove-ca/3klp6xd/,,"$1,900 ",,,,,
Metro 510,El Cerrito,Apartment,CA,94530,"[{'bedroom_type': 'Studio', 'price': '$2,331'}, {'bedroom_type': '1 Bed', 'price': '$2,614'}, {'bedroom_type': '2 Beds', 'price': '$3,583'}, {'bedroom_type': '3 Beds', 'price': '$4,124'}]","512 El Cerrito Plz, El Cerrito, CA 94530",https://www.apartments.com/metro-510-el-cerrito-ca/4m025wl/,"$2,331 ","$2,614 ","$3,583 ","$4,124 ",,,
Baxter on Broadway,Oakland,Apartment,CA,94611,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","4901 Broadway, Oakland, CA 94611",https://www.apartments.com/baxter-on-broadway-oakland-ca/2mqvyzc/,,,,,,,
The Alamitos,Long Beach,Apartment,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$2,180'}, {'bedroom_type': '1 Bed', 'price': '$2,265'}, {'bedroom_type': '2 Beds', 'price': '$3,315'}]","101 Alamitos Ave, Long Beach, CA 90802",https://www.apartments.com/the-alamitos-long-beach-ca/lwkqetf/,"$2,180 ","$2,265 ","$3,315 ",,,,
Boardwalk at Millenia,Chula Vista,Apartment,CA,91915,"[{'bedroom_type': '1 Bed', 'price': '$1,985'}, {'bedroom_type': '2 Beds', 'price': '$2,472'}, {'bedroom_type': '3 Beds', 'price': '$2,991'}]","1660 Metro Ave, Chula Vista, CA 91915",https://www.apartments.com/boardwalk-at-millenia-chula-vista-ca/bl5h4s9/,,"$1,985 ","$2,472 ","$2,991 ",,,
BDX AT CAPITAL VILLAGE,Rancho Cordova,Apartment,CA,95670,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,615'}, {'bedroom_type': '2 Beds', 'price': '$2,065'}]","3175 Data Dr, Rancho Cordova, CA 95670",https://www.apartments.com/bdx-at-capital-village-rancho-cordova-ca/tjpdbq9/,,"$1,615 ","$2,065 ",,,,
MacArthur Commons,Oakland,Apartment,CA,94609,"[{'bedroom_type': 'Studio', 'price': '$2,345'}, {'bedroom_type': '1 Bed', 'price': '$2,535'}, {'bedroom_type': '2 Beds', 'price': '$3,735'}]","539 39th St, Oakland, CA 94609",https://www.apartments.com/macarthur-commons-oakland-ca/xrz7hcm/,"$2,345 ","$2,535 ","$3,735 ",,,,
The Broadway,Oakland,Apartment,CA,94611,"[{'bedroom_type': 'Studio', 'price': '$2,650'}, {'bedroom_type': '1 Bed', 'price': '$3,020'}, {'bedroom_type': '2 Beds', 'price': '$3,965'}]","3093 Broadway, Oakland, CA 94611",https://www.apartments.com/the-broadway-oakland-ca/zk8p87z/,"$2,650 ","$3,020 ","$3,965 ",,,,
HUB APARTMENTS,Folsom,Apartment,CA,95630,"[{'bedroom_type': '1 Bed', 'price': '$1,890'}, {'bedroom_type': '2 Beds', 'price': '$2,290'}, {'bedroom_type': '3 Beds', 'price': ''}]","525 Willard Dr, Folsom, CA 95630",https://www.apartments.com/hub-apartments-folsom-ca/lt4yh5d/,,"$1,890 ","$2,290 ",,,,
THE VILLAGE AT VINTAGE RANCH,American Canyon,Apartment,CA,94503,"[{'bedroom_type': '2 Beds', 'price': '$2,775'}, {'bedroom_type': '3 Beds', 'price': '$3,015'}]","100 Toscana Dr, American Canyon, CA 94503",https://www.apartments.com/the-village-at-vintage-ranch-american-canyon-ca/ngmdtrm/,,,"$2,775 ","$3,015 ",,,
Vert Apartments,Canoga Park,Apartment,CA,91303,"[{'bedroom_type': 'Studio', 'price': '$2,085'}, {'bedroom_type': '1 Bed', 'price': '$2,135'}, {'bedroom_type': '2 Beds', 'price': '$2,795'}, {'bedroom_type': '3 Beds', 'price': ''}]","6606 N Variel Ave, Canoga Park, CA 91303",https://www.apartments.com/vert-apartments-canoga-park-ca/tc615y8/,"$2,085 ","$2,135 ","$2,795 ",,,,
&Pico,Los Angeles,Apartment,CA,90064,"[{'bedroom_type': 'Studio', 'price': '$2,450'}, {'bedroom_type': '1 Bed', 'price': '$3,350'}, {'bedroom_type': '2 Beds', 'price': '$3,895'}]","11916 W Pico Blvd, Los Angeles, CA 90064",https://www.apartments.com/pico-los-angeles-ca/p2ed18v/,"$2,450 ","$3,350 ","$3,895 ",,,,
Cadence,South San Francisco,Apartment,CA,94080,"[{'bedroom_type': '1 Bed', 'price': '$2,520'}, {'bedroom_type': '2 Beds', 'price': '$4,020'}, {'bedroom_type': '3 Beds', 'price': '$5,296'}]","398-405 Cypress Ave, South San Francisco, CA 94080",https://www.apartments.com/cadence-south-san-francisco-ca/9pskr57/,,"$2,520 ","$4,020 ","$5,296 ",,,
Broadstone Arden,Santa Ana,Apartment,CA,92705,"[{'bedroom_type': 'Studio', 'price': '$1,890'}, {'bedroom_type': '1 Bed', 'price': '$2,205'}, {'bedroom_type': '2 Beds', 'price': '$2,710'}, {'bedroom_type': '3 Beds', 'price': '$3,705'}]","1951 E Dyer Rd, Santa Ana, CA 92705",https://www.apartments.com/broadstone-arden-santa-ana-ca/vtqcklf/,"$1,890 ","$2,205 ","$2,710 ","$3,705 ",,,
Atlas,Oakland,Apartment,CA,94612,"[{'bedroom_type': 'Studio', 'price': '$2,590'}, {'bedroom_type': '1 Bed', 'price': '$2,869'}, {'bedroom_type': '2 Beds', 'price': '$3,791'}]","385 14th St, Oakland, CA 94612",https://www.apartments.com/atlas-oakland-ca/drpzh4l/,"$2,590 ","$2,869 ","$3,791 ",,,,
The Asher,Fremont,Apartment,CA,94536,"[{'bedroom_type': '1 Bed', 'price': '$2,725'}, {'bedroom_type': '2 Beds', 'price': '$3,545'}, {'bedroom_type': '3 Beds', 'price': '$4,275'}]","1031 Walnut Ave, Fremont, CA 94536",https://www.apartments.com/the-asher-fremont-ca/8j9vbx0/,,"$2,725 ","$3,545 ","$4,275 ",,,
Talavera,Folsom,Apartment,CA,95630,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,725'}, {'bedroom_type': '2 Beds', 'price': '$2,020'}]","1550 Broadstone Pky, Folsom, CA 95630",https://www.apartments.com/talavera-folsom-ca/15gkqm4/,,"$1,725 ","$2,020 ",,,,
The Logan at 51st,Oakland,Apartment,CA,94609,"[{'bedroom_type': 'Studio', 'price': '$1,085'}, {'bedroom_type': '1 Bed', 'price': '$1,162'}, {'bedroom_type': '2 Beds', 'price': '$1,395'}, {'bedroom_type': '3 Beds', 'price': '$6,649'}]","5110 Telegraph Ave, Oakland, CA 94609",https://www.apartments.com/the-logan-at-51st-oakland-ca/hpjj7b3/,"$1,085 ","$1,162 ","$1,395 ","$6,649 ",,,
Mariposa on 3rd,Los Angeles,Apartment,CA,90004,"[{'bedroom_type': '1 Bed', 'price': '$2,345'}, {'bedroom_type': '2 Beds', 'price': '$3,299'}]","269 S Mariposa Ave, Los Angeles, CA 90004",https://www.apartments.com/mariposa-on-3rd-los-angeles-ca/d73wkdh/,,"$2,345 ","$3,299 ",,,,
The Pacific,Long Beach,Apartment,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$2,375'}, {'bedroom_type': '1 Bed', 'price': '$2,350'}, {'bedroom_type': '2 Beds', 'price': '$3,325'}]","230 W 3rd St, Long Beach, CA 90802",https://www.apartments.com/the-pacific-long-beach-ca/6k8p0nr/,"$2,375 ","$2,350 ","$3,325 ",,,,
The Merian,San Diego,Apartment,CA,92101,"[{'bedroom_type': 'Studio', 'price': '$2,155'}, {'bedroom_type': '1 Bed', 'price': '$2,225'}, {'bedroom_type': '2 Beds', 'price': '$3,570'}, {'bedroom_type': '3 Beds', 'price': '$5,035'}]","601 11th Ave, San Diego, CA 92101",https://www.apartments.com/the-merian-san-diego-ca/sezlpc5/,"$2,155 ","$2,225 ","$3,570 ","$5,035 ",,,
THE PIQUE,Folsom,Apartment,CA,95630,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,200'}, {'bedroom_type': '3 Beds', 'price': '$3,095'}]","101 Pique Loop, Folsom, CA 95630",https://www.apartments.com/the-pique-folsom-ca/t9yx7xb/,,"$1,995 ","$2,200 ","$3,095 ",,,
Ageno Apartments,Livermore,Apartment,CA,94550,"[{'bedroom_type': '1 Bed', 'price': '$2,185'}, {'bedroom_type': '2 Beds', 'price': '$2,800'}, {'bedroom_type': '3 Beds', 'price': '$3,205'}]","1001-1097 Westwind St, Livermore, CA 94550",https://www.apartments.com/ageno-apartments-livermore-ca/fmcm39v/,,"$2,185 ","$2,800 ","$3,205 ",,,
Avalon Public Market,Emeryville,Apartment,CA,94608,"[{'bedroom_type': 'Studio', 'price': '$2,630'}, {'bedroom_type': '1 Bed', 'price': '$3,320'}, {'bedroom_type': '2 Beds', 'price': '$3,780'}, {'bedroom_type': '3 Beds', 'price': '$4,995'}]","6301 Shellmound St, Emeryville, CA 94608",https://www.apartments.com/avalon-public-market-emeryville-ca/4jgcx0h/,"$2,630 ","$3,320 ","$3,780 ","$4,995 ",,,
GIO,Sacramento,Apartment,CA,95816,"[{'bedroom_type': 'Studio', 'price': '$1,900'}, {'bedroom_type': '1 Bed', 'price': '$1,985'}, {'bedroom_type': '2 Beds', 'price': '$2,620'}, {'bedroom_type': '3 Beds', 'price': '$3,443'}]","3675 T St, Sacramento, CA 95816",https://www.apartments.com/gio-sacramento-ca/9jxvlp4/,"$1,900 ","$1,985 ","$2,620 ","$3,443 ",,,
Mission Lofts,Riverside,Apartment,CA,92507,"[{'bedroom_type': 'Studio', 'price': '$1,637'}, {'bedroom_type': '1 Bed', 'price': '$1,762'}, {'bedroom_type': '2 Beds', 'price': '$2,192'}]","3050 Mission Inn Ave, Riverside, CA 92507",https://www.apartments.com/mission-lofts-riverside-ca/41rehmk/,"$1,637 ","$1,762 ","$2,192 ",,,,
The Rise Hayes Valley,San Francisco,Apartment,CA,94103,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$3,780'}, {'bedroom_type': '2 Beds', 'price': '$4,805'}]","1699 Market St, San Francisco, CA 94103",https://www.apartments.com/the-rise-hayes-valley-san-francisco-ca/plmhlcr/,,"$3,780 ","$4,805 ",,,,
H16,Sacramento,Apartment,CA,95814,"[{'bedroom_type': 'Studio', 'price': '$1,755'}, {'bedroom_type': '1 Bed', 'price': '$2,130'}, {'bedroom_type': '2 Beds', 'price': '$2,820'}]","731 16th St, Sacramento, CA 95814",https://www.apartments.com/h16-sacramento-ca/dmcnktk/,"$1,755 ","$2,130 ","$2,820 ",,,,
The Skylyne at Temescal,Oakland,Apartment,CA,94609,"[{'bedroom_type': 'Studio', 'price': '$3,045'}, {'bedroom_type': '1 Bed', 'price': '$3,375'}, {'bedroom_type': '2 Beds', 'price': '$4,245'}, {'bedroom_type': '3 Beds', 'price': '$6,635'}]","3883 Turquoise Way, Oakland, CA 94609",https://www.apartments.com/the-skylyne-at-temescal-oakland-ca/kemfw7c/,"$3,045 ","$3,375 ","$4,245 ","$6,635 ",,,
Alexan Kendry,Montclair,Apartment,CA,91763,"[{'bedroom_type': '1 Bed', 'price': '$1,911'}, {'bedroom_type': '2 Beds', 'price': '$2,365'}, {'bedroom_type': '3 Beds', 'price': ''}]","4868 Cypress St, Montclair, CA 91763",https://www.apartments.com/alexan-kendry-montclair-ca/msnh73k/,,"$1,911 ","$2,365 ",,,,
The Platform Urban Apartments,San Jose,Apartment,CA,95133,"[{'bedroom_type': 'Studio', 'price': '$2,754'}, {'bedroom_type': '1 Bed', 'price': '$2,967'}, {'bedroom_type': '2 Beds', 'price': '$3,569'}, {'bedroom_type': '3 Beds', 'price': '$4,585'}]","1501 Berryessa Rd, San Jose, CA 95133",https://www.apartments.com/the-platform-urban-apartments-san-jose-ca/fzs7m4s/,"$2,754 ","$2,967 ","$3,569 ","$4,585 ",,,
Art Set NoHo,North Hollywood,Apartment,CA,91601,"[{'bedroom_type': 'Studio', 'price': '$2,195'}]","11525 Chandler Blvd, North Hollywood, CA 91601",https://www.apartments.com/art-set-noho-north-hollywood-ca/r3f1hr0/,"$2,195 ",,,,,,
Jefferson Edge at Platinum Park,Anaheim,Apartment,CA,92805,"[{'bedroom_type': 'Studio', 'price': '$1,940'}, {'bedroom_type': '1 Bed', 'price': '$2,080'}, {'bedroom_type': '2 Beds', 'price': '$2,450'}, {'bedroom_type': '3 Beds', 'price': '$3,760'}]","1921 Union St, Anaheim, CA 92805",https://www.apartments.com/jefferson-edge-at-platinum-park-anaheim-ca/kfnybwb/,"$1,940 ","$2,080 ","$2,450 ","$3,760 ",,,
The Residences at Escaya,Chula Vista,Apartment,CA,91913,"[{'bedroom_type': '1 Bed', 'price': '$1,955'}, {'bedroom_type': '2 Beds', 'price': '$2,430'}, {'bedroom_type': '3 Beds', 'price': '$3,495'}]","1925 Avenida Escaya, Chula Vista, CA 91913",https://www.apartments.com/the-residences-at-escaya-chula-vista-ca/yx046fs/,,"$1,955 ","$2,430 ","$3,495 ",,,
The Madelon,San Francisco,Apartment,CA,94110,"[{'bedroom_type': 'Studio', 'price': '$3,096'}, {'bedroom_type': '1 Bed', 'price': '$2,936'}, {'bedroom_type': '2 Beds', 'price': '$4,296'}]","2823 18th St, San Francisco, CA 94110",https://www.apartments.com/the-madelon-san-francisco-ca/q78lfcx/,"$3,096 ","$2,936 ","$4,296 ",,,,
Morgan Ranch,Morgan Hill,Apartment,CA,95037,"[{'bedroom_type': '1 Bed', 'price': '$2,495'}, {'bedroom_type': '2 Beds', 'price': '$2,635'}, {'bedroom_type': '3 Beds', 'price': '$4,181'}]","1100 Vintage Lane Rd, Morgan Hill, CA 95037",https://www.apartments.com/morgan-ranch-morgan-hill-ca/s1tm3c4/,,"$2,495 ","$2,635 ","$4,181 ",,,
Violet on Virgil,Los Angeles,Apartment,CA,90004,"[{'bedroom_type': 'Studio', 'price': '$1,465'}, {'bedroom_type': '1 Bed', 'price': '$1,785'}, {'bedroom_type': '2 Beds', 'price': '$2,465'}]","160 S Virgil Ave, Los Angeles, CA 90004",https://www.apartments.com/violet-on-virgil-los-angeles-ca/rfx7km0/,"$1,465 ","$1,785 ","$2,465 ",,,,
Avalon San Bruno,San Bruno,Apartment,CA,94066,"[{'bedroom_type': '1 Bed', 'price': '$2,801'}, {'bedroom_type': '2 Beds', 'price': '$3,405'}, {'bedroom_type': '3 Beds', 'price': '$4,315'}]","1099 Admiral Ct, San Bruno, CA 94066",https://www.apartments.com/avalon-san-bruno-san-bruno-ca/6xxstbs/,,"$2,801 ","$3,405 ","$4,315 ",,,
Stoneridge,Pleasanton,Apartment,CA,94588,"[{'bedroom_type': 'Studio', 'price': '$1,815'}, {'bedroom_type': '1 Bed', 'price': '$2,190'}, {'bedroom_type': '2 Beds', 'price': '$2,614'}]","6250 Stoneridge Mall Rd, Pleasanton, CA 94588",https://www.apartments.com/stoneridge-pleasanton-ca/hml8fe3/,"$1,815 ","$2,190 ","$2,614 ",,,,
Living at Santa Monica,Santa Monica,Apartment,CA,90401,"[{'bedroom_type': 'Studio', 'price': '$2,080'}, {'bedroom_type': '1 Bed', 'price': '$2,279'}, {'bedroom_type': '2 Beds', 'price': '$3,142'}]","1519 6th St, Santa Monica, CA 90401",https://www.apartments.com/living-at-santa-monica-santa-monica-ca/zre61pw/,"$2,080 ","$2,279 ","$3,142 ",,,,
eaves West Valley,San Jose,Apartment,CA,95129,"[{'bedroom_type': 'Studio', 'price': '$1,615'}, {'bedroom_type': '1 Bed', 'price': '$2,082'}, {'bedroom_type': '2 Beds', 'price': '$2,579'}]","700 S Saratoga Ave, San Jose, CA 95129",https://www.apartments.com/eaves-west-valley-san-jose-ca/jtb85z5/,"$1,615 ","$2,082 ","$2,579 ",,,,
AVA Burbank,Burbank,Apartment,CA,91505,"[{'bedroom_type': 'Studio', 'price': '$1,513'}, {'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$2,360'}, {'bedroom_type': '3 Beds', 'price': '$3,237'}]","401 N Pass Ave, Burbank, CA 91505",https://www.apartments.com/ava-burbank-burbank-ca/5v597vq/,"$1,513 ","$1,895 ","$2,360 ","$3,237 ",,,
Avalon at Mission Bay,San Francisco,Apartment,CA,94107,"[{'bedroom_type': 'Studio', 'price': '$3,070'}, {'bedroom_type': '1 Bed', 'price': '$3,435'}, {'bedroom_type': '2 Beds', 'price': '$4,390'}, {'bedroom_type': '3 Beds', 'price': '$6,305'}]","255 King St, San Francisco, CA 94107",https://www.apartments.com/avalon-at-mission-bay-san-francisco-ca/pxw0s0v/,"$3,070 ","$3,435 ","$4,390 ","$6,305 ",,,
Marina Tower,Marina Del Rey,Apartment,CA,90292,"[{'bedroom_type': 'Studio', 'price': '$2,395'}, {'bedroom_type': '1 Bed', 'price': '$3,545'}]","415 Washington Blvd, Marina Del Rey, CA 90292",https://www.apartments.com/marina-tower-marina-del-rey-ca/1929r57/,"$2,395 ","$3,545 ",,,,,
Avalon Silicon Valley,Sunnyvale,Apartment,CA,94085,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,755'}, {'bedroom_type': '2 Beds', 'price': '$3,296'}, {'bedroom_type': '3 Beds', 'price': '$4,655'}]","1257 Lakeside Dr, Sunnyvale, CA 94085",https://www.apartments.com/avalon-silicon-valley-sunnyvale-ca/we0jcgj/,,"$2,755 ","$3,296 ","$4,655 ",,,
Stonewood Gardens,San Diego,Apartment,CA,92110,"[{'bedroom_type': '1 Bed', 'price': '$1,826'}, {'bedroom_type': '2 Beds', 'price': '$2,295'}, {'bedroom_type': '3 Beds', 'price': '$2,881'}]","3833-3889 Midway Dr, San Diego, CA 92110",https://www.apartments.com/stonewood-gardens-san-diego-ca/sdjhyz6/,,"$1,826 ","$2,295 ","$2,881 ",,,
Pebble Creek,Fremont,Apartment,CA,94538,"[{'bedroom_type': 'Studio', 'price': '$1,900'}, {'bedroom_type': '1 Bed', 'price': '$2,110'}, {'bedroom_type': '2 Beds', 'price': '$2,555'}, {'bedroom_type': '3 Beds', 'price': '$2,790'}]","40777 High St, Fremont, CA 94538",https://www.apartments.com/pebble-creek-fremont-ca/64m9xtr/,"$1,900 ","$2,110 ","$2,555 ","$2,790 ",,,
AVA Hollywood at La Pietra Place,Los Angeles,Apartment,CA,90038,"[{'bedroom_type': 'Studio', 'price': '$2,260'}, {'bedroom_type': '1 Bed', 'price': '$2,615'}, {'bedroom_type': '2 Beds', 'price': '$3,410'}, {'bedroom_type': '3 Beds', 'price': '$5,015'}, {'bedroom_type': '4 Beds', 'price': '$4,995'}]","6677 W Santa Monica Blvd, Los Angeles, CA 90038",https://www.apartments.com/ava-hollywood-at-la-pietra-place-los-angeles-ca/jplj494/,"$2,260 ","$2,615 ","$3,410 ","$5,015 ","$4,995 ",,
The Plaza Apartments,Los Angeles,Apartment,CA,90024,"[{'bedroom_type': '1 Bed', 'price': '$2,675'}, {'bedroom_type': '2 Beds', 'price': '$3,590'}]","10983-10983 Wellworth Ave, Los Angeles, CA 90024",https://www.apartments.com/the-plaza-apartments-los-angeles-ca/z4dd9jy/,,"$2,675 ","$3,590 ",,,,
Orion,Oakland,Apartment,CA,94606,"[{'bedroom_type': 'Studio', 'price': '$2,364'}, {'bedroom_type': '1 Bed', 'price': '$2,727'}, {'bedroom_type': '2 Beds', 'price': '$2,979'}, {'bedroom_type': '3 Beds', 'price': '$4,805'}]","255 9th Ave, Oakland, CA 94606",https://www.apartments.com/orion-oakland-ca/21eze18/,"$2,364 ","$2,727 ","$2,979 ","$4,805 ",,,
Eastown,Los Angeles,Apartment,CA,90028,"[{'bedroom_type': 'Studio', 'price': '$2,100'}, {'bedroom_type': '1 Bed', 'price': '$2,200'}, {'bedroom_type': '2 Beds', 'price': '$3,210'}]","6201 HOLLYWOOD, Los Angeles, CA 90028",https://www.apartments.com/eastown-los-angeles-ca/cmv3yrg/,"$2,100 ","$2,200 ","$3,210 ",,,,
The Medici,Los Angeles,Apartment,CA,90017,"[{'bedroom_type': 'Studio', 'price': '$1,600'}, {'bedroom_type': '1 Bed', 'price': '$2,097'}, {'bedroom_type': '2 Beds', 'price': '$2,299'}, {'bedroom_type': '3 Beds', 'price': ''}]","725 S Bixel St, Los Angeles, CA 90017",https://www.apartments.com/the-medici-los-angeles-ca/ln7xd0d/,"$1,600 ","$2,097 ","$2,299 ",,,,
VINEYARD GATE APARTMENTS,Roseville,Apartment,CA,95747,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,945'}, {'bedroom_type': '3 Beds', 'price': ''}]","1601 Vineyard Rd, Roseville, CA 95747",https://www.apartments.com/vineyard-gate-apartments-roseville-ca/0pxqle0/,,,"$1,945 ",,,,
THE RETRO,Sacramento,Apartment,CA,95825,"[{'bedroom_type': '1 Bed', 'price': '$1,299'}, {'bedroom_type': '2 Beds', 'price': '$1,440'}]","2500 Fair Oaks Blvd, Sacramento, CA 95825",https://www.apartments.com/the-retro-sacramento-ca/cm44ftf/,,"$1,299 ","$1,440 ",,,,
Sofi Waterford Park,San Jose,Apartment,CA,95136,"[{'bedroom_type': '1 Bed', 'price': '$2,333'}, {'bedroom_type': '2 Beds', 'price': '$2,857'}, {'bedroom_type': '3 Beds', 'price': '$3,255'}]","4000 Ellmar Oaks Dr, San Jose, CA 95136",https://www.apartments.com/sofi-waterford-park-san-jose-ca/1bzry84/,,"$2,333 ","$2,857 ","$3,255 ",,,
100 Van Ness,San Francisco,Apartment,CA,94102,"[{'bedroom_type': 'Studio', 'price': '$2,828'}, {'bedroom_type': '1 Bed', 'price': '$3,144'}, {'bedroom_type': '2 Beds', 'price': '$4,545'}]","100 Van Ness Ave, San Francisco, CA 94102",https://www.apartments.com/100-van-ness-san-francisco-ca/yv6dh0t/,"$2,828 ","$3,144 ","$4,545 ",,,,
Woodland Hills,Pittsburg,Apartment,CA,94565,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}, {'bedroom_type': '2 Beds', 'price': '$2,036'}]","241 W Buchanan Rd, Pittsburg, CA 94565",https://www.apartments.com/woodland-hills-pittsburg-ca/vz7d30d/,,"$1,600 ","$2,036 ",,,,
Shoreland Plaza,Santa Monica,Apartment,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$3,695'}]","814-818 2nd St, Santa Monica, CA 90403",https://www.apartments.com/shoreland-plaza-santa-monica-ca/zf5edqy/,,,"$3,695 ",,,,
AVION APARTMENTS,Rancho Cordova,Apartment,CA,95670,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,695'}, {'bedroom_type': '3 Beds', 'price': ''}]","3250 Laurelhurst Dr, Rancho Cordova, CA 95670",https://www.apartments.com/avion-apartments-rancho-cordova-ca/24xl99b/,,,"$1,695 ",,,,
