City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,4+ Beds
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","2010 Preuss Rd, Los Angeles, CA 90034",https://www.apartments.com/2010-preuss-rd-los-angeles-ca/nnj2dbm/,3 BAs,"1,387 Sq Ft","1,387",12 Month Lease,Available Now,"$4,500",,,,
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]","6446 Riggs Pl, Los Angeles, CA 90045",https://www.apartments.com/6446-riggs-pl-los-angeles-ca/7zdlxxz/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,"$5,200",,,,
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$6,500'}]","Los Angeles, CA 90046",https://www.apartments.com/7850-fareholm-dr-los-angeles-ca/jmb7gs6/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$6,500",,,
Malibu,Houses,CA,90265,"[{'bedroom_type': '1 Bed', 'price': '$4,500'}]","2300 Las Flores Canyon Rd, Malibu, CA 90265",https://www.apartments.com/2300-las-flores-canyon-rd-malibu-ca/y7v8bgv/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,"$4,500",
Los Angeles,Houses,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$4,850'}]","1540 Wellesley Ave, Los Angeles, CA 90025",https://www.apartments.com/1540-wellesley-ave-los-angeles-ca/32c70fg/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,"$4,850",,,
Los Angeles,Houses,CA,91403,"[{'bedroom_type': '3 Beds', 'price': '$6,450'}]","Los Angeles, CA 91403",https://www.apartments.com/15457-vista-haven-pl-los-angeles-ca/63v890v/,2 BAs,"1,997 Sq Ft","1,997",12 Month Lease,Aug 1,"$6,450",,,,
Los Angeles,Houses,CA,90039,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]","Los Angeles, CA 90039",https://www.apartments.com/2463-riverside-pl-los-angeles-ca/skym1q5/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,"$1,850",
Santa Clarita,Houses,CA,91387,"[{'bedroom_type': '4 Beds', 'price': '$3,500'}]","Santa Clarita, CA 91387",https://www.apartments.com/29433-shannon-ct-santa-clarita-ca/xghvdkm/,2½ BAs,"1,839 Sq Ft","1,839",12 Month Lease,Available Now,,,"$3,500",,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '2 Beds', 'price': '$5,295'}]","Los Angeles, CA 90068",https://www.apartments.com/2553-glen-green-st-los-angeles-ca/9bv1mp4/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Jul 15,,"$5,295",,,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '2 Beds', 'price': '$3,800'}]","Los Angeles, CA 90068",https://www.apartments.com/3911-fredonia-dr-los-angeles-ca/45qmjrj/,1 BA,"1,131 Sq Ft","1,131",12 Month Lease,Available Now,,"$3,800",,,
Beverly Hills,Houses,CA,90210,"[{'bedroom_type': '4+ Beds', 'price': '$32,000'}]","Beverly Hills, CA 90210",https://www.apartments.com/512-n-roxbury-dr-beverly-hills-ca/76zjmpw/,5½ BAs,"6,749 Sq Ft","6,749",12 Month Lease,Available Now,,,,,"$32,000"
Los Angeles,Houses,CA,90007,"[{'bedroom_type': '4+ Beds', 'price': '$8,100'}]","Los Angeles, CA 90007",https://www.apartments.com/1356-w-30th-st-los-angeles-ca/8qb6bb3/,6 BAs,"1,600 Sq Ft","1,600",,Aug 10,,,,,"$8,100"
Los Angeles,Houses,CA,90027,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]","Los Angeles, CA 90027",https://www.apartments.com/3813-de-longpre-ave-los-angeles-ca/dfgkhll/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$5,000",,,
Los Angeles,Houses,CA,90023,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]","Los Angeles, CA 90023",https://www.apartments.com/929-camulos-st-los-angeles-ca/rb1g783/,1 BA,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,"$2,900",,,,
Menlo Park,Houses,CA,94025,"[{'bedroom_type': '4 Beds', 'price': '$11,800'}]","Menlo Park, CA 94025",https://www.apartments.com/12-sunset-ln-menlo-park-ca/694fyvr/,2½ BAs,"2,850 Sq Ft","2,850",12 Month Lease,Oct 1,,,"$11,800",,
Los Angeles,Houses,CA,90048,"[{'bedroom_type': '4 Beds', 'price': '$6,500'}]","Los Angeles, CA 90048",https://www.apartments.com/6626-moore-dr-los-angeles-ca/lv2v0vg/,3 BAs,"2,800 Sq Ft","2,800",12 Month Lease,Jul 15,,,"$6,500",,
Los Angeles,Houses,CA,91356,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Los Angeles, CA 91356",https://www.apartments.com/5251-veloz-ave-los-angeles-ca/r910js0/,1 BA,950 Sq Ft,950,,Available Now,,"$2,200",,,
Los Angeles,Houses,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$5,800'}]","Los Angeles, CA 90025",https://www.apartments.com/2015-federal-ave-los-angeles-ca/vr5x81f/,2 BAs,"1,564 Sq Ft","1,564",12 Month Lease,Available Now,,"$5,800",,,
Los Angeles,Houses,CA,90026,"[{'bedroom_type': '1 Bed', 'price': '$4,000'}]","2035 Park Dr, Los Angeles, CA 90026",https://www.apartments.com/2035-park-dr-los-angeles-ca/8l49nn1/,1 BA,"1,100 Sq Ft","1,100",3 Month Lease,Available Now,,,,"$4,000",
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","Los Angeles, CA 90291",https://www.apartments.com/552-brooks-ave-los-angeles-ca/fbw25qv/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$4,500",,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$3,800'}]","108 Breeze Ave, Los Angeles, CA 90291",https://www.apartments.com/108-breeze-ave-los-angeles-ca/vy66jxd/,1 BA,650 Sq Ft,650,12 Month Lease,Aug 10,,,,"$3,800",
Cayucos,Houses,CA,93430,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","Cayucos, CA 93430",https://www.apartments.com/2675-ocean-blvd-cayucos-ca/w0hydxh/,2 BAs,"1,200 Sq Ft","1,200",36 Month Lease,Aug 1,"$2,600",,,,
Los Angeles,Houses,CA,90017,"[{'bedroom_type': '4 Beds', 'price': '$545'}]","Los Angeles, CA 90017",https://www.apartments.com/807-flower-st-los-angeles-ca/c0hmpqe/,5 BAs,"8,000 Sq Ft","8,000",1 Month Lease,Available Now,,,$545,,
