City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,4 Beds,2 Beds,1 Bed,4+ Beds,Studio
33406 Pacific Coast Hwy,Houses,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$32,500'}]","Malibu, CA 90265",https://www.apartments.com/33406-pacific-coast-hwy-malibu-ca/blt8jqb/,4 BAs,,,,Available Now,"$32,500",,,,,
113 Grayson Way,Houses,Healdsburg,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]","Healdsburg, CA 95448",https://www.apartments.com/113-grayson-way-healdsburg-ca/h27gqt3/,2½ BAs,"1,615 Sq Ft","1,615",,Available Now,"$3,200",,,,,
300 Golden Gate Ave,Houses,Belvedere,CA,"[{'bedroom_type': '4+ Beds', 'price': '$15,000'}]","Belvedere, CA 94920",https://www.apartments.com/300-golden-gate-ave-belvedere-ca/07jzkf0/,5 BAs,"4,534 Sq Ft","4,534",12 Month Lease,Available Now,,,,,"$15,000",
1440 Stockton St,Houses,St. Helena,CA,"[{'bedroom_type': '1 Bed', 'price': '$7,000'}]","St. Helena, CA 94574",https://www.apartments.com/1440-stockton-st-st-helena-ca/2z300bc/,2 BAs,"1,633 Sq Ft","1,633",6 Month Lease,Available Now,,,,"$7,000",,
2220 Chateau Ct,Houses,Santa Rosa,CA,"[{'bedroom_type': '4 Beds', 'price': '$5,800'}]","Santa Rosa, CA 95404",https://www.apartments.com/2220-chateau-ct-santa-rosa-ca/p8xm7es/,3 BAs,"2,550 Sq Ft","2,550",1 Month Lease,Available Now,,"$5,800",,,,
1001 Myrtle St,Houses,Calistoga,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]","Calistoga, CA 94515",https://www.apartments.com/1001-myrtle-st-calistoga-ca/btp85m8/,1 BA,"1,178 Sq Ft","1,178",1 Month Lease,Available Now,"$2,950",,,,,
2262 Bayberry Cir,Houses,Pittsburg,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,500'}]","Pittsburg, CA 94565",https://www.apartments.com/2262-bayberry-cir-pittsburg-ca/6cl449r/,2½ BAs,"1,601 Sq Ft","1,601",,Available Now,,"$3,500",,,,
73 W Shore Rd,Houses,Belvedere,CA,"[{'bedroom_type': '3 Beds', 'price': '$15,000'}]","Belvedere, CA 94920",https://www.apartments.com/73-w-shore-rd-belvedere-ca/0nc2kv2/,2½ BAs,"2,100 Sq Ft","2,100",,Available Now,"$15,000",,,,,
3262 Passalacqua Rd,Houses,Healdsburg,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,700'}]","Healdsburg, CA 95448",https://www.apartments.com/3262-passalacqua-rd-healdsburg-ca/g71q89x/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,"$4,700",,,,,
253 Trinidad Dr,Houses,Belvedere Tiburon,CA,"[{'bedroom_type': '3 Beds', 'price': '$9,750'}]","Belvedere Tiburon, CA 94920",https://www.apartments.com/253-trinidad-dr-belvedere-tiburon-ca/8nbbkx2/,3½ BAs,"2,296 Sq Ft","2,296",,Available Now,"$9,750",,,,,
3565 Hagen Rd,Houses,Napa,CA,"[{'bedroom_type': '4+ Beds', 'price': '$50,000'}]","Napa, CA 94558",https://www.apartments.com/3565-hagen-rd-napa-ca/f9td6zs/,7½ BAs,"5,584 Sq Ft","5,584",12 Month Lease,Available Now,,,,,"$50,000",
6688 Fox Rd,Houses,Dixon,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]","Dixon, CA 95620",https://www.apartments.com/6688-fox-rd-dixon-ca/gzhx7tw/,1 BA,"1,232 Sq Ft","1,232",,Available Now,,,"$5,500",,,
24303 Woolsey Canyon Rd,Houses,West Hills,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]","West Hills, CA 91304",https://www.apartments.com/24303-woolsey-canyon-rd-west-hills-ca/vkqxxwd/,2 BAs,,,,Available Now,,,"$2,700",,,
24303 Woolsey Canyon Rd,Houses,West Hills,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]","West Hills, CA 91304",https://www.apartments.com/24303-woolsey-canyon-rd-west-hills-ca/vkqxxwd/,2 BAs,,,,Available Now,,,"$2,700",,,
1102 Lake Vista,Houses,Palm Desert,CA,"[{'bedroom_type': '3 Beds', 'price': '$15,950'}]","Palm Desert, CA 92260",https://www.apartments.com/1102-lake-vista-palm-desert-ca/19fvgk4/,4½ BAs,"3,314 Sq Ft","3,314",,Available Now,"$15,950",,,,,
39 Vista Encantada,Houses,Rancho Mirage,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,995'}]","Rancho Mirage, CA 92270",https://www.apartments.com/39-vista-encantada-rancho-mirage-ca/c4vjteg/,3½ BAs,"3,646 Sq Ft","3,646",,Available Now,"$5,995",,,,,
34981 Mission Hills Dr,Houses,Rancho Mirage,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,995'}]","Rancho Mirage, CA 92270",https://www.apartments.com/34981-mission-hills-dr-rancho-mirage-ca/c0cjyed/,3 BAs,"3,066 Sq Ft","3,066",,Available Now,"$4,995",,,,,
82642 Sky View Ln,Houses,Indio,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Indio, CA 92201",https://www.apartments.com/82642-sky-view-ln-indio-ca/h4vh201/,2 BAs,"2,005 Sq Ft","2,005",,Available Now,,,"$3,500",,,
81343 Ulrich Dr,Houses,La Quinta,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]","La Quinta, CA 92253",https://www.apartments.com/81343-ulrich-dr-la-quinta-ca/s893f04/,3 BAs,"2,170 Sq Ft","2,170",,Available Now,,,"$4,000",,,
81330 Corte Compras,Houses,Indio,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","Indio, CA 92203",https://www.apartments.com/81330-corte-compras-indio-ca/02104w3/,2 BAs,"1,850 Sq Ft","1,850",,Available Now,"$4,500",,,,,
78642 Purple Sagebrush Ave,Houses,Palm Desert,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","Palm Desert, CA 92211",https://www.apartments.com/78642-purple-sagebrush-ave-palm-desert-ca/6se6qpt/,2½ BAs,"2,415 Sq Ft","2,415",,Available Now,"$4,500",,,,,
61595 Topaz Dr,Houses,La Quinta,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]","La Quinta, CA 92253",https://www.apartments.com/61595-topaz-dr-la-quinta-ca/mx4yzeh/,3 BAs,"1,665 Sq Ft","1,665",,Available Now,"$3,800",,,,,
60515 Living Stone Dr,Houses,La Quinta,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,800'}]","La Quinta, CA 92253",https://www.apartments.com/60515-living-stone-dr-la-quinta-ca/23y89lb/,2 BAs,"1,693 Sq Ft","1,693",,Available Now,,,"$3,800",,,
78681 Kentia Palm Dr,Houses,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","Palm Desert, CA 92211",https://www.apartments.com/78681-kentia-palm-dr-palm-desert-ca/ylxm9tt/,2 BAs,"2,156 Sq Ft","2,156",,Available Now,,,"$4,500",,,
49577 Lewis Rd,Houses,Indio,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Indio, CA 92201",https://www.apartments.com/49577-lewis-rd-indio-ca/21p8c3c/,2 BAs,"1,853 Sq Ft","1,853",,Available Now,,,"$2,200",,,
81160 Laguna Ln,Houses,La Quinta,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]","La Quinta, CA 92253",https://www.apartments.com/81160-laguna-ln-la-quinta-ca/gw0z6ry/,2 BAs,"1,775 Sq Ft","1,775",,Available Now,,,"$5,000",,,
52025 Avenida Diaz,Houses,La Quinta,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]","La Quinta, CA 92253",https://www.apartments.com/52025-avenida-diaz-la-quinta-ca/zt9kg2z/,2 BAs,"1,886 Sq Ft","1,886",,Available Now,"$4,000",,,,,
55431 Southern Hill,Houses,La Quinta,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,100'}]","La Quinta, CA 92253",https://www.apartments.com/55431-southern-hill-la-quinta-ca/16tdvb4/,3½ BAs,"2,846 Sq Ft","2,846",,Jul 3,"$5,100",,,,,
84698 Idrovia Ct,Houses,Indio,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,500'}]","Indio, CA 92203",https://www.apartments.com/84698-idrovia-ct-indio-ca/gxq286x/,3 BAs,"2,803 Sq Ft","2,803",,Available Now,,"$4,500",,,,
39910 Corte de Moda,Houses,Indio,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Indio, CA 92203",https://www.apartments.com/39910-corte-de-moda-indio-ca/wzyckxk/,2 BAs,"1,099 Sq Ft","1,099",,Available Now,,,"$3,500",,,
81720 Impala Dr,Houses,La Quinta,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,800'}]","La Quinta, CA 92253",https://www.apartments.com/81720-impala-dr-la-quinta-ca/cfv6ced/,3 BAs,"2,460 Sq Ft","2,460",,Available Now,,"$4,800",,,,
84136 Ave 44,Houses,Indio,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}]","Indio, CA 92203",https://www.apartments.com/84136-ave-44-indio-ca/pkc172s/,1 BA,550 Sq Ft,550,,Available Now,,,,"$1,800",,
2417 Tuscany Heights Dr,Houses,Palm Springs,CA,"[{'bedroom_type': '3 Beds', 'price': '$12,995'}]","Palm Springs, CA 92262",https://www.apartments.com/2417-tuscany-heights-dr-palm-springs-ca/4t9lqgj/,3½ BAs,"3,435 Sq Ft","3,435",,Available Now,"$12,995",,,,,
81840 Golden Star Way,Houses,La Quinta,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","La Quinta, CA 92253",https://www.apartments.com/81840-golden-star-way-la-quinta-ca/3dkf9ve/,2 BAs,"1,386 Sq Ft","1,386",,Available Now,,,"$3,300",,,
81188 Caspian Ct,Houses,La Quinta,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","La Quinta, CA 92253",https://www.apartments.com/81188-caspian-ct-la-quinta-ca/yqy92wt/,3 BAs,"2,030 Sq Ft","2,030",,Available Now,"$4,500",,,,,
81793 Rustic Canyon Dr,Houses,La Quinta,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]","La Quinta, CA 92253",https://www.apartments.com/81793-rustic-canyon-dr-la-quinta-ca/c0kxkze/,2 BAs,"1,775 Sq Ft","1,775",,Available Now,,,"$5,000",,,
42815 Portezza Ct,Houses,Indio,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]","Indio, CA 92203",https://www.apartments.com/42815-portezza-ct-indio-ca/dn50g3h/,2 BAs,"2,026 Sq Ft","2,026",,Available Now,,,"$4,200",,,
1 Vista Encantada,Houses,Rancho Mirage,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,995'}]","Rancho Mirage, CA 92270",https://www.apartments.com/1-vista-encantada-rancho-mirage-ca/ny9347q/,4 BAs,"3,765 Sq Ft","3,765",,Available Now,,"$4,995",,,,
78047 Freisha Ct,Houses,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,700'}]","Palm Desert, CA 92211",https://www.apartments.com/78047-freisha-ct-palm-desert-ca/5rll2vn/,2 BAs,"1,578 Sq Ft","1,578",,Available Now,,,"$3,700",,,
1496 S Whitehall Ln,Houses,St. Helena,CA,"[{'bedroom_type': '3 Beds', 'price': '$25,000'}]","St. Helena, CA 94574",https://www.apartments.com/1496-s-whitehall-ln-st-helena-ca/g70h2yw/,3½ BAs,"2,707 Sq Ft","2,707",1 Month Lease,Available Now,"$25,000",,,,,
81345 Kingston Heath,Houses,La Quinta,CA,"[{'bedroom_type': '4 Beds', 'price': '$10,500'}]","La Quinta, CA 92253",https://www.apartments.com/81345-kingston-heath-la-quinta-ca/9vwxl45/,4½ BAs,"4,370 Sq Ft","4,370",,Available Now,,"$10,500",,,,
508 Petaluma Ave,Houses,Sebastopol,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,250'}]","Sebastopol, CA 95472",https://www.apartments.com/508-petaluma-ave-sebastopol-ca/m0gltxj/,2½ BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,,,"$3,250",,,
29 Shorewood Ct,Houses,Richmond,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]","Richmond, CA 94804",https://www.apartments.com/29-shorewood-ct-richmond-ca/68c44wv/,2½ BAs,"1,449 Sq Ft","1,449",,Available Now,,,"$3,600",,,
42037 Eagles Nest,Houses,Big Bear Lake,CA,"[{'bedroom_type': '4+ Beds', 'price': '$5,100'}]","Big Bear Lake, CA 92315",https://www.apartments.com/42037-eagles-nest-big-bear-lake-ca/g20pmwz/,4½ BAs,"5,202 Sq Ft","5,202",,Available Now,,,,,"$5,100",
74711 Dillon Rd,Houses,Desert Hot Springs,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}]","Desert Hot Springs, CA 92241",https://www.apartments.com/74711-dillon-rd-desert-hot-springs-ca/2rendx8/,1 BA,400 Sq Ft,400,,Available Now,,,,"$1,600",,
1673 Lewis St,Houses,Kingsburg,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,250'}]","Kingsburg, CA 93631",https://www.apartments.com/1673-lewis-st-kingsburg-ca/9th6cd4/,1 BA,"1,100 Sq Ft","1,100",,Available Now,,,,"$1,250",,
9874 W Whites Bridge Ave,Houses,Edison,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,000'}]","Edison, CA 93706",https://www.apartments.com/9874-w-whites-bridge-ave-edison-ca/5k1785n/,1 BA,"1,100 Sq Ft","1,100",,Available Now,,,"$1,000",,,
27466 Outrigger Ln,Houses,Helendale,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,700'}]","Helendale, CA 92342",https://www.apartments.com/27466-outrigger-ln-helendale-ca/ff4fh4v/,2 BAs,,,,Available Now,"$1,700",,,,,
1378 Peachwood St,Houses,Lemoore,CA,"[{'bedroom_type': '4 Beds', 'price': '$1,600'}]","Lemoore, CA 93245",https://www.apartments.com/1378-peachwood-st-lemoore-ca/281c55b/,2 BAs,"1,753 Sq Ft","1,753",,Available Now,,"$1,600",,,,
1181 S Clover Ave,Houses,Fresno,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,800'}]","Fresno, CA 93727",https://www.apartments.com/1181-s-clover-ave-fresno-ca/gnvrc8x/,2 BAs,"1,492 Sq Ft","1,492",,Available Now,"$1,800",,,,,
25491 Franklin Dr,Houses,Idyllwild-Pine Cove,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","25491 Franklin Dr, Idyllwild-Pine Cove, CA 92549",https://www.apartments.com/family-rental-idyllwild-pine-cove-ca/nye9vrp/,2 BAs,"1,881 Sq Ft","1,881",,Available Now,"$2,500",,,,,
4250 Susan Ln,Houses,Penngrove,CA,"[{'bedroom_type': '4 Beds', 'price': '$800'}]","Penngrove, CA 94951",https://www.apartments.com/4250-susan-ln-penngrove-ca/qpmmvsw/,3 BAs,,,,Available Now,,$800,,,,
8423 Daisy Rd,Houses,Hesperia,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,450'}]","Hesperia, CA 92344",https://www.apartments.com/8423-daisy-rd-hesperia-ca/v1sct9e/,3 BAs,,,,Available Now,"$2,450",,,,,
26185 Corona Dr,Houses,Helendale,CA,"[{'bedroom_type': '4 Beds', 'price': '$1,450'}]","Helendale, CA 92342",https://www.apartments.com/26185-corona-dr-helendale-ca/7bn9cfy/,2 BAs,,,,Available Now,,"$1,450",,,,
178 W Athens Ave,Houses,Clovis,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,400'}]","Clovis, CA 93611",https://www.apartments.com/178-w-athens-ave-clovis-ca/xdd9kjp/,2 BAs,"2,526 Sq Ft","2,526",,Available Now,,"$2,400",,,,
2023 S Church Ave,Houses,Reedley,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,200'}]","Reedley, CA 93654",https://www.apartments.com/2023-s-church-ave-reedley-ca/1xzv6j7/,2 BAs,"1,695 Sq Ft","1,695",,Available Now,"$1,200",,,,,
12303 Sunglow Ct,Houses,Victorville,CA,"[{'bedroom_type': '4 Beds', 'price': '$1,750'}]","Victorville, CA 92392",https://www.apartments.com/12303-sunglow-ct-victorville-ca/ec0g5tq/,3 BAs,,,,Available Now,,"$1,750",,,,
25065 Laurel Trail,Houses,Idyllwild-Pine Cove,CA,"[{'bedroom_type': '1 Bed', 'price': '$825'}]","25065 Laurel Trail, Idyllwild-Pine Cove, CA 92549",https://www.apartments.com/loft-cabin-newly-remodeled-idyllwild-pine-cove-ca/t5vqpe9/,1 BA,500 Sq Ft,500,,Available Now,,,,$825,,
14534 Jamaica Ln,Houses,Helendale,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,050'}]","Helendale, CA 92342",https://www.apartments.com/14534-jamaica-ln-helendale-ca/2c0x2n9/,2 BAs,,,,Available Now,"$2,050",,,,,
715 San Vicente Blvd,Houses,Santa Monica,CA,"[{'bedroom_type': '3 Beds', 'price': '$10,500'}]","Santa Monica, CA 90402",https://www.apartments.com/715-san-vicente-blvd-santa-monica-ca/0mbkdn2/,3 BAs,,,,Available Now,"$10,500",,,,,
555 Armstrong St,Houses,Lakeport,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,300'}]","Lakeport, CA 95453",https://www.apartments.com/555-armstrong-st-lakeport-ca/epler6m/,1 BA,977 Sq Ft,977,,Available Now,,,"$1,300",,,
15642 Little Peak Rd,Houses,Hidden Valley Lake,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,950'}]","Hidden Valley Lake, CA 95467",https://www.apartments.com/15642-little-peak-rd-hidden-valley-lake-ca/ejkcfvp/,3 BAs,"1,665 Sq Ft","1,665",,Available Now,"$1,950",,,,,
2365 Inca Trail,Houses,Landers,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,250'}]","Landers, CA 92285",https://www.apartments.com/2365-inca-trail-landers-ca/yn2gnyt/,2 BAs,"1,487 Sq Ft","1,487",,Available Now,"$1,250",,,,,
