Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												Studio
														–
2 Beds										","
												1 Bed
														–
3 Beds										","
												3 Beds
										"
Block C,San Marcos,Apartment,CA,92078,"[{'bedroom_type': 'Studio', 'price': '$1,699'}, {'bedroom_type': '1 Bed', 'price': '$1,912'}, {'bedroom_type': '2 Beds', 'price': '$2,059'}, {'bedroom_type': '3 Beds', 'price': '$2,850'}]","250 North City Dr, San Marcos, CA 92078",https://www.apartments.com/block-c-san-marcos-ca/s0qcbm4/,"$1,699","$1,912","$2,059","$2,850",,,,
Villas Fashion Island,Newport Beach,Apartment,CA,92660,"[{'bedroom_type': '1 Bed', 'price': '$3,275'}, {'bedroom_type': '2 Beds', 'price': '$4,335'}, {'bedroom_type': '3 Beds', 'price': '$5,330'}]","1000 San Joaquin Plz, Newport Beach, CA 92660",https://www.apartments.com/villas-fashion-island-newport-beach-ca/ppeym6r/,,"$3,275","$4,335","$5,330",,,,
Cobalt,Culver City,Apartment,CA,90232,"[{'bedroom_type': 'Studio', 'price': '$2,392'}, {'bedroom_type': '1 Bed', 'price': '$2,903'}, {'bedroom_type': '2 Beds', 'price': '$3,359'}]","10601 Washington Blvd, Culver City, CA 90232",https://www.apartments.com/cobalt-culver-city-ca/fwf334r/,"$2,392","$2,903","$3,359",,,,,
Contessa @ Otay Ranch,Chula Vista,Apartment,CA,91913,"[{'bedroom_type': '2 Beds', 'price': '$2,266'}, {'bedroom_type': '3 Beds', 'price': '$2,730'}, {'bedroom_type': '4 Beds', 'price': ''}]","1924 E Palomar St, Chula Vista, CA 91913",https://www.apartments.com/contessa-otay-ranch-chula-vista-ca/kwdn4l9/,,,"$2,266","$2,730",,,,
NVE APARTMENTS,North Hollywood,Apartment,CA,91601,"[{'bedroom_type': 'Studio', 'price': '$2,099'}, {'bedroom_type': '1 Bed', 'price': '$2,375'}, {'bedroom_type': '2 Beds', 'price': '$3,199'}]","11405 Chandler Blvd, North Hollywood, CA 91601",https://www.apartments.com/nve-apartments-north-hollywood-ca/83n5pv2/,"$2,099","$2,375","$3,199",,,,,
Valentia Apartment Homes,La Habra,Apartment,CA,90631,"[{'bedroom_type': '1 Bed', 'price': '$1,987'}, {'bedroom_type': '2 Beds', 'price': '$2,523'}, {'bedroom_type': '3 Beds', 'price': '$3,020'}]","951 S Beach Blvd, La Habra, CA 90631",https://www.apartments.com/valentia-apartment-homes-la-habra-ca/gc4c0mz/,,"$1,987","$2,523","$3,020",,,,
Canyon Ridge at Napa Junction,American Canyon,Apartment,CA,94503,"[{'bedroom_type': '1 Bed', 'price': '$2,057'}, {'bedroom_type': '2 Beds', 'price': '$2,538'}]","800 Reliant Way, American Canyon, CA 94503",https://www.apartments.com/canyon-ridge-at-napa-junction-american-canyon-ca/3hrcp0g/,,"$2,057","$2,538",,,,,
Oceanaire,Long Beach,Apartment,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$2,195'}, {'bedroom_type': '1 Bed', 'price': '$2,437'}, {'bedroom_type': '2 Beds', 'price': '$3,204'}, {'bedroom_type': '3 Beds', 'price': '$4,845'}]","150 W Ocean Blvd, Long Beach, CA 90802",https://www.apartments.com/oceanaire-long-beach-ca/mz21qgj/,"$2,195","$2,437","$3,204","$4,845",,,,
580 Anton,Costa Mesa,Apartment,CA,92626,"[{'bedroom_type': 'Studio', 'price': '$2,131'}, {'bedroom_type': '1 Bed', 'price': '$2,246'}, {'bedroom_type': '2 Beds', 'price': '$3,016'}]","580 Anton Blvd, Costa Mesa, CA 92626",https://www.apartments.com/580-anton-costa-mesa-ca/e1ls8wn/,"$2,131","$2,246","$3,016",,,,,
The Union Flats,Union City,Apartment,CA,94587,"[{'bedroom_type': '1 Bed', 'price': '$2,205'}, {'bedroom_type': '2 Beds', 'price': '$3,390'}]","34588 11th St, Union City, CA 94587",https://www.apartments.com/the-union-flats-union-city-ca/dd1ekmk/,,"$2,205","$3,390",,,,,
