City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,Studio,3 Beds,4 Beds
Sacramento,Condos,CA,95814,"[{'bedroom_type': '2 Beds', 'price': '$2,399'}]","Sacramento, CA 95814",https://www.apartments.com/508-16th-st-sacramento-ca/92he6r6/,1 BA,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,"$2,399",,,,
Los Angeles,Condos,CA,90710,"[{'bedroom_type': '3 Beds', 'price': '$2,595'}]","Los Angeles, CA 90710",https://www.apartments.com/1550-lomita-blvd-los-angeles-ca/kntp2gb/,2½ BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,,,"$2,595",
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '1 Bed', 'price': '$2,600'}]","Los Angeles, CA 90049",https://www.apartments.com/11767-sunset-blvd-los-angeles-ca-unit-p5/64feerr/,1 BA,843 Sq Ft,843,12 Month Lease,Available Now,,"$2,600",,,
Huntington Beach,Condos,CA,92646,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Huntington Beach, CA 92646",https://www.apartments.com/8933-biscayne-ct-huntington-beach-ca-unit-223h/zlkr96w/,2 BAs,"1,056 Sq Ft","1,056",12 Month Lease,Available Now,"$2,400",,,,
Sacramento,Condos,CA,95821,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}]","Sacramento, CA 95821",https://www.apartments.com/2581-fulton-square-ln-sacramento-ca-unit-71/v0k9xge/,1 BA,810 Sq Ft,810,12 Month Lease,Available Now,,"$1,400",,,
Los Angeles,Condos,CA,91605,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]","Los Angeles, CA 91605",https://www.apartments.com/11936-vanowen-st-los-angeles-ca/73816zz/,1 BA,"1,200 Sq Ft","1,200",6 Month Lease,Available Now,"$2,000",,,,
San Francisco,Condos,CA,94115,"[{'bedroom_type': '1 Bed', 'price': '$3,700'}]","San Francisco, CA 94115",https://www.apartments.com/2613-california-st-san-francisco-ca/58ny8jq/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$3,700",,,
Los Angeles,Condos,CA,90006,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]","Los Angeles, CA 90006",https://www.apartments.com/932-s-burlington-ave-los-angeles-ca/qcsh6gy/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$1,850",,,,
Cathedral City,Condos,CA,92234,"[{'bedroom_type': '4 Beds', 'price': '$1,800'}]","Cathedral City, CA 92234",https://www.apartments.com/33922-pueblo-trl-cathedral-city-ca/f9w7jvt/,2 BAs,10 Sq Ft,10,12 Month Lease,Available Now,,,,,"$1,800"
Daly City,Condos,CA,94015,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","Daly City, CA 94015",https://www.apartments.com/39-morningside-dr-daly-city-ca/jlsfsd4/,1 BA,"1,300 Sq Ft","1,300",6 Month Lease,Available Now,"$3,300",,,,
Huntington Beach,Condos,CA,92646,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]","Huntington Beach, CA 92646",https://www.apartments.com/20331-bluffside-cir-huntington-beach-ca-unit-406/fkg9bzv/,1½ BAs,900 Sq Ft,900,24 Month Lease,Aug 1,,"$2,200",,,
San Diego,Condos,CA,92104,"[{'bedroom_type': '3 Beds', 'price': '$2,000'}]","San Diego, CA 92104",https://www.apartments.com/3860-35th-st-san-diego-ca/y3k431v/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,"$2,000",
San Diego,Condos,CA,92109,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]","San Diego, CA 92109",https://www.apartments.com/3999-crown-point-dr-san-diego-ca-unit-32/wr7vf3l/,2 BAs,"1,125 Sq Ft","1,125",12 Month Lease,Available Now,"$4,200",,,,
Pasadena,Condos,CA,91101,"[{'bedroom_type': 'Studio', 'price': '$1,695'}]","85 Madison N Ave, Pasadena, CA 91101",https://www.apartments.com/85-madison-n-ave-pasadena-ca/xsvy0rq/,1 BA,472 Sq Ft,472,12 Month Lease,Available Now,,,"$1,695",,
San Diego,Condos,CA,92128,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","San Diego, CA 92128",https://www.apartments.com/15643-caldas-de-reyes-san-diego-ca-unit-15643/b84bfr9/,2 BAs,"1,168 Sq Ft","1,168",1 Month Lease,Available Now,"$2,800",,,,
Indio,Condos,CA,92201,"[{'bedroom_type': '2 Beds', 'price': '$1,800'}]","Indio, CA 92201",https://www.apartments.com/49380-eisenhower-dr-indio-ca-unit-49380/vw3gsef/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$1,800",,,,
Los Angeles,Condos,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","4125 Inglewood Blvd, Los Angeles, CA 90066",https://www.apartments.com/4125-inglewood-blvd-los-angeles-ca-unit-10/qvd1m5x/,2 BAs,935 Sq Ft,935,12 Month Lease,Available Now,"$3,000",,,,
Glendale,Condos,CA,91205,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]","Glendale, CA 91205",https://www.apartments.com/626-e-lomita-ave-glendale-ca/fdb05lt/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,000",,,,
Huntington Beach,Condos,CA,92647,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Huntington Beach, CA 92647",https://www.apartments.com/7872-liberty-dr-huntington-beach-ca/n0hskjn/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,400",,,,
San Luis Obispo,Condos,CA,93401,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","San Luis Obispo, CA 93401",https://www.apartments.com/2416-santa-clara-st-san-luis-obispo-ca/k2thpnb/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,100",,,,
San Luis Obispo,Condos,CA,93401,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","San Luis Obispo, CA 93401",https://www.apartments.com/2416-santa-clara-st-san-luis-obispo-ca/k2thpnb/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,100",,,,
Los Angeles,Condos,CA,91306,"[{'bedroom_type': '3 Beds', 'price': '$2,395'}]","Los Angeles, CA 91306",https://www.apartments.com/20134-leadwell-st-los-angeles-ca-unit-153/wdx3hzj/,2 BAs,"1,125 Sq Ft","1,125",12 Month Lease,Available Now,,,,"$2,395",
San Diego,Condos,CA,92111,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","San Diego, CA 92111",https://www.apartments.com/7067-camino-revueltos-san-diego-ca-unit-315/5c20qkq/,2 BAs,"1,090 Sq Ft","1,090",12 Month Lease,Aug 1,"$2,600",,,,
Belmont,Condos,CA,94002,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]","Belmont, CA 94002",https://www.apartments.com/400-davey-glen-rd-belmont-ca-unit-4322/nexqbcn/,2 BAs,"1,404 Sq Ft","1,404",12 Month Lease,Aug 1,,,,"$4,000",
Oakland,Condos,CA,94619,"[{'bedroom_type': 'Studio', 'price': '$1,500'}]","Oakland, CA 94619",https://www.apartments.com/5218-camden-st-oakland-ca/8w7mx22/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,"$1,500",,
San Francisco,Condos,CA,94117,"[{'bedroom_type': 'Studio', 'price': '$1,995'}]","San Francisco, CA 94117",https://www.apartments.com/909-page-st-san-francisco-ca/ndbb5sp/,1 BA,325 Sq Ft,325,12 Month Lease,Available Now,,,"$1,995",,
Los Angeles,Condos,CA,90044,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]","Los Angeles, CA 90044",https://www.apartments.com/7216-s-hoover-st-los-angeles-ca/1s4r037/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,,,"$3,000"
San Francisco,Condos,CA,94131,"[{'bedroom_type': '2 Beds', 'price': '$3,980'}]","San Francisco, CA 94131",https://www.apartments.com/5150-diamond-heights-blvd-san-francisco-ca-unit-208b/5smdydq/,2 BAs,"1,775 Sq Ft","1,775",6 Month Lease,Available Now,"$3,980",,,,
Whittier,Condos,CA,90601,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]","Whittier, CA 90601",https://www.apartments.com/5643-pickering-ave-whittier-ca/n5g2h2m/,1 BA,790 Sq Ft,790,6 Month Lease,Available Now,,,,"$2,400",
Los Angeles,Condos,CA,91356,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","Los Angeles, CA 91356",https://www.apartments.com/5824-vanalden-ave-los-angeles-ca/48dzrxk/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,"$1,750",,,
Monrovia,Condos,CA,91016,"[{'bedroom_type': '1 Bed', 'price': '$1,575'}]","Monrovia, CA 91016",https://www.apartments.com/126-w-cherry-ave-monrovia-ca-unit-e/0cm80w2/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,"$1,575",,,
Redwood City,Condos,CA,94061,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}]","Redwood City, CA 94061",https://www.apartments.com/624-fulton-st-redwood-city-ca/mnh68gj/,1 BA,525 Sq Ft,525,12 Month Lease,Available Now,,"$2,250",,,
Los Angeles,Condos,CA,90039,"[{'bedroom_type': '2 Beds', 'price': '$3,800'}]","2249 Moore St, Los Angeles, CA 90039",https://www.apartments.com/2249-moore-st-los-angeles-ca/fwtkz9s/,2 BAs,999 Sq Ft,999,12 Month Lease,Available Now,"$3,800",,,,
Glendale,Condos,CA,91205,"[{'bedroom_type': '1 Bed', 'price': '$1,699'}]","Glendale, CA 91205",https://www.apartments.com/627-raleigh-st-glendale-ca/6rvk8zv/,1 BA,779 Sq Ft,779,12 Month Lease,Available Now,,"$1,699",,,
Glendale,Condos,CA,91205,"[{'bedroom_type': '1 Bed', 'price': '$1,899'}]","Glendale, CA 91205",https://www.apartments.com/629-raleigh-st-glendale-ca/zmwdmgy/,1 BA,725 Sq Ft,725,12 Month Lease,Available Now,,"$1,899",,,
Desert Hot Springs,Condos,CA,92240,"[{'bedroom_type': '1 Bed', 'price': '$1,175'}]","Desert Hot Springs, CA 92240",https://www.apartments.com/12585-maui-way-desert-hot-springs-ca/cvcmnbf/,1 BA,800 Sq Ft,800,6 Month Lease,Available Now,,"$1,175",,,
San Clemente,Condos,CA,92672,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}]","San Clemente, CA 92672",https://www.apartments.com/126-avenida-san-diego-san-clemente-ca/ys14xqr/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,"$1,600",,,
Fountain Valley,Condos,CA,92708,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}]","Fountain Valley, CA 92708",https://www.apartments.com/11620-warner-ave-fountain-valley-ca-unit-617/09xcwb3/,1 BA,812 Sq Ft,812,12 Month Lease,Available Now,,"$1,900",,,
San Francisco,Condos,CA,94131,"[{'bedroom_type': '1 Bed', 'price': '$2,995'}]","San Francisco, CA 94131",https://www.apartments.com/537-duncan-st-san-francisco-ca/742pzdy/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$2,995",,,
Oxnard,Condos,CA,93033,"[{'bedroom_type': '1 Bed', 'price': '$2,395'}]","Oxnard, CA 93033",https://www.apartments.com/2201-statham-blvd-oxnard-ca-unit-116/e8gpf6q/,1½ BAs,"1,650 Sq Ft","1,650",12 Month Lease,Available Now,,"$2,395",,,
Burbank,Condos,CA,91504,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","Burbank, CA 91504",https://www.apartments.com/2339-n-naomi-st-burbank-ca/6exfqhs/,1 BA,670 Sq Ft,670,12 Month Lease,Available Now,,"$1,750",,,
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}]","12036 Goshen Ave, Los Angeles, CA 90049",https://www.apartments.com/12036-goshen-ave-los-angeles-ca/rkls9h1/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$2,250",,,
San Diego,Condos,CA,92129,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]","San Diego, CA 92129",https://www.apartments.com/13222-salmon-river-rd-san-diego-ca-unit-102/9bj6bz6/,2 BAs,"1,107 Sq Ft","1,107",12 Month Lease,Available Now,,,,"$2,400",
Alameda,Condos,CA,94501,"[{'bedroom_type': '2 Beds', 'price': '$2,462'}]","Alameda, CA 94501",https://www.apartments.com/2253-central-ave-alameda-ca/q0pwxdx/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,462",,,,
Los Angeles,Condos,CA,91607,"[{'bedroom_type': '1 Bed', 'price': '$1,705'}]","11955 Weddington St, Los Angeles, CA 91607",https://www.apartments.com/11955-weddington-st-los-angeles-ca/ewfn42p/,1 BA,702 Sq Ft,702,12 Month Lease,Available Now,,"$1,705",,,
Los Angeles,Condos,CA,91042,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]","Los Angeles, CA 91042",https://www.apartments.com/10097-tujunga-canyon-blvd-los-angeles-ca/he0vwp0/,2 BAs,800 Sq Ft,800,12 Month Lease,Available Now,"$1,850",,,,
Covina,Condos,CA,91723,"[{'bedroom_type': '1 Bed', 'price': '$1,350'}]","Covina, CA 91723",https://www.apartments.com/120-e-badillo-st-covina-ca/fbb41hr/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,350",,,
Los Angeles,Condos,CA,90005,"[{'bedroom_type': 'Studio', 'price': '$1,295'}]","Los Angeles, CA 90005",https://www.apartments.com/871-s-wilton-pl-los-angeles-ca/7tnv0gy/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,"$1,295",,
Los Angeles,Condos,CA,90033,"[{'bedroom_type': '4 Beds', 'price': '$3,395'}]","Los Angeles, CA 90033",https://www.apartments.com/2437-malabar-st-los-angeles-ca/n52xggp/,3 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,,"$3,395"
La Quinta,Condos,CA,92253,"[{'bedroom_type': '2 Beds', 'price': '$1,695'}]","La Quinta, CA 92253",https://www.apartments.com/48577-classic-dr-la-quinta-ca-unit-0/vqhzxtf/,2 BAs,"1,307 Sq Ft","1,307",12 Month Lease,Available Now,"$1,695",,,,
San Francisco,Condos,CA,94122,"[{'bedroom_type': '1 Bed', 'price': '$950'}]","San Francisco, CA 94122",https://www.apartments.com/1314-43rd-ave-san-francisco-ca/f7gm55v/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,$950,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Santa Monica, CA 90403",https://www.apartments.com/929-19th-st-santa-monica-ca/wmse0bl/,2 BAs,"1,100 Sq Ft","1,100",,Available Now,"$3,500",,,,
Santa Ana,Condos,CA,92704,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]","Santa Ana, CA 92704",https://www.apartments.com/1400-w-warner-ave-santa-ana-ca-unit-47/bjvbybc/,1 BA,660 Sq Ft,660,12 Month Lease,Available Now,,"$1,850",,,
Vallejo,Condos,CA,94589,"[{'bedroom_type': '3 Beds', 'price': '$1,950'}]","Vallejo, CA 94589",https://www.apartments.com/1333-n-camino-alto-vallejo-ca-unit-249/q3ql37w/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,,"$1,950",
Redondo Beach,Condos,CA,90278,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","2105 Grant Ave, Redondo Beach, CA 90278",https://www.apartments.com/2105-grant-ave-redondo-beach-ca/zy6ttbw/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,500",,,,
Santa Barbara,Condos,CA,93105,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","Santa Barbara, CA 93105",https://www.apartments.com/2015-castillo-st-santa-barbara-ca/nbbzqpp/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,750",,,,
Long Beach,Condos,CA,90807,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","1711 E Wardlow Rd, Long Beach, CA 90807",https://www.apartments.com/1711-e-wardlow-rd-long-beach-ca/v225pvg/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$1,900",,,,
Palo Alto,Condos,CA,94306,"[{'bedroom_type': '1 Bed', 'price': '$2,795'}]","Palo Alto, CA 94306",https://www.apartments.com/247-el-carmelo-ave-palo-alto-ca/4w2cz6j/,1 BA,520 Sq Ft,520,12 Month Lease,Aug 1,,"$2,795",,,
