City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,Studio,3 Beds,4 Beds
Los Angeles,Condos,CA,90044,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]","Los Angeles, CA 90044",https://www.apartments.com/1120-w-101st-st-los-angeles-ca/lh6dh3d/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$1,700",,,
Belmont,Condos,CA,94002,"[{'bedroom_type': 'Studio', 'price': '$1,900'}]","Belmont, CA 94002",https://www.apartments.com/2305-buena-vista-ave-belmont-ca/rv70z60/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,"$1,900",,
Los Angeles,Condos,CA,91331,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Los Angeles, CA 91331",https://www.apartments.com/14266-judd-st-los-angeles-ca/0mhg281/,1½ BAs,760 Sq Ft,760,12 Month Lease,Available Now,"$2,200",,,,
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","Santa Monica, CA 90404",https://www.apartments.com/1336-berkeley-st-santa-monica-ca/e7hqlxm/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,750",,,,
Bay Point,Condos,CA,94565,"[{'bedroom_type': 'Studio', 'price': '$1,295'}]","Bay Point, CA 94565",https://www.apartments.com/29-washington-st-bay-point-ca/9zlk7n5/,1 BA,300 Sq Ft,300,12 Month Lease,Available Now,,,"$1,295",,
Ventura,Condos,CA,93003,"[{'bedroom_type': '2 Beds', 'price': '$1,625'}]","Ventura, CA 93003",https://www.apartments.com/6418-hummingbird-st-ventura-ca/xj5nvdm/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$1,625",,,,
Fremont,Condos,CA,94536,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]","Fremont, CA 94536",https://www.apartments.com/4682-devonshire-cmn-fremont-ca-unit-na/9skp487/,2 BAs,945 Sq Ft,945,12 Month Lease,Available Now,"$2,695",,,,
Redondo Beach,Condos,CA,90277,"[{'bedroom_type': '2 Beds', 'price': '$3,800'}]","Redondo Beach, CA 90277",https://www.apartments.com/635-paseo-de-la-playa-redondo-beach-ca-unit-307/q788pbz/,2 BAs,"1,371 Sq Ft","1,371",12 Month Lease,Available Now,"$3,800",,,,
Los Angeles,Condos,CA,90068,"[{'bedroom_type': '1 Bed', 'price': '$2,795'}]","2078 Mound St, Los Angeles, CA 90068",https://www.apartments.com/2078-mound-st-los-angeles-ca/xcp06vp/,1 BA,820 Sq Ft,820,12 Month Lease,Available Now,,"$2,795",,,
Los Angeles,Condos,CA,91325,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","17830 Lassen St, Los Angeles, CA 91325",https://www.apartments.com/17830-lassen-st-los-angeles-ca/dr7t4tl/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$1,900",,,,
San Francisco,Condos,CA,94133,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","San Francisco, CA 94133",https://www.apartments.com/1548-powell-st-san-francisco-ca/vjvhhdf/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,,"$4,500",
Montebello,Condos,CA,90640,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Montebello, CA 90640",https://www.apartments.com/525-s-montebello-blvd-montebello-ca/d2syjhk/,1 BA,"1,088 Sq Ft","1,088",1 Month Lease,Available Now,"$1,900",,,,
Los Angeles,Condos,CA,90291,"[{'bedroom_type': '3 Beds', 'price': '$5,250'}]","Los Angeles, CA 90291",https://www.apartments.com/27-s-venice-blvd-los-angeles-ca/jw78f06/,3 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,"$5,250",
San Jose,Condos,CA,95127,"[{'bedroom_type': '1 Bed', 'price': '$1,950'}]","San Jose, CA 95127",https://www.apartments.com/5255-summit-ave-san-jose-ca/wjy4hch/,1 BA,310 Sq Ft,310,6 Month Lease,Aug 6,,"$1,950",,,
Los Angeles,Condos,CA,90026,"[{'bedroom_type': '2 Beds', 'price': '$4,650'}]","Los Angeles, CA 90026",https://www.apartments.com/1328-westerly-ter-los-angeles-ca/k2j8468/,1 BA,749 Sq Ft,749,6 Month Lease,Aug 8,"$4,650",,,,
Fresno,Condos,CA,93721,"[{'bedroom_type': '1 Bed', 'price': '$1,950'}]","Fresno, CA 93721",https://www.apartments.com/1060-fulton-st-fresno-ca/405068l/,1 BA,"1,225 Sq Ft","1,225",12 Month Lease,Available Now,,"$1,950",,,
San Ramon,Condos,CA,94582,"[{'bedroom_type': '1 Bed', 'price': '$1,960'}]","San Ramon, CA 94582",https://www.apartments.com/300-bollinger-canyon-ln-san-ramon-ca/hrmlsr2/,1 BA,657 Sq Ft,657,12 Month Lease,Available Now,,"$1,960",,,
Inglewood,Condos,CA,90302,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Inglewood, CA 90302",https://www.apartments.com/304-n-market-st-inglewood-ca/hbczt91/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$1,900",,,,
Glendale,Condos,CA,91205,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}]","1523 Rock Glen Ave, Glendale, CA 91205",https://www.apartments.com/1523-rock-glen-ave-glendale-ca/n9pjmxm/,1 BA,480 Sq Ft,480,12 Month Lease,Available Now,,"$1,650",,,
San Diego,Condos,CA,92108,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","San Diego, CA 92108",https://www.apartments.com/6255-rancho-mission-rd-san-diego-ca/j7z6dp4/,1 BA,667 Sq Ft,667,12 Month Lease,Available Now,,"$1,750",,,
Mill Valley,Condos,CA,94941,"[{'bedroom_type': '3 Beds', 'price': '$5,950'}]","Mill Valley, CA 94941",https://www.apartments.com/1220-shelter-bay-ave-mill-valley-ca-unit-1220/ejq29bp/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,,,"$5,950",
Torrance,Condos,CA,90502,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]","23202 Sesame St, Torrance, CA 90502",https://www.apartments.com/23202-sesame-st-torrance-ca-unit-a/8pfqxy1/,1½ BAs,"1,064 Sq Ft","1,064",12 Month Lease,Available Now,,,,"$2,700",
Los Angeles,Condos,CA,90016,"[{'bedroom_type': 'Studio', 'price': '$1,575'}]","2822 Sycamore S Ave, Los Angeles, CA 90016",https://www.apartments.com/2822-sycamore-s-ave-los-angeles-ca/l5q34he/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,"$1,575",,
Los Angeles,Condos,CA,90019,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]","Los Angeles, CA 90019",https://www.apartments.com/1280-s-redondo-blvd-los-angeles-ca/k5hvsbb/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$3,200",,,,
Los Angeles,Condos,CA,90732,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}]","Los Angeles, CA 90732",https://www.apartments.com/1207-big-canyon-pl-los-angeles-ca/cleqkqe/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$1,500",,,
Downey,Condos,CA,90241,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Downey, CA 90241",https://www.apartments.com/8025-7th-st-downey-ca/p98t5rv/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$1,900",,,,
Malibu,Condos,CA,90265,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","3872 Las Flores Canyon Rd, Malibu, CA 90265",https://www.apartments.com/3872-las-flores-canyon-rd-malibu-ca/sw1rff6/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Aug 1,"$3,300",,,,
Los Angeles,Condos,CA,91364,"[{'bedroom_type': 'Studio', 'price': '$1,300'}]","Los Angeles, CA 91364",https://www.apartments.com/4912-llano-dr-los-angeles-ca/v8jte4e/,1 BA,250 Sq Ft,250,12 Month Lease,Aug 1,,,"$1,300",,
Laguna Beach,Condos,CA,92651,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","Laguna Beach, CA 92651",https://www.apartments.com/1570-via-capri-laguna-beach-ca-unit-5/cllgdqd/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,850",,,,
San Diego,Condos,CA,92105,"[{'bedroom_type': '1 Bed', 'price': '$1,325'}]","San Diego, CA 92105",https://www.apartments.com/1625-pentecost-way-san-diego-ca-unit-7/fh7p0gr/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$1,325",,,
West Hollywood,Condos,CA,90046,"[{'bedroom_type': '1 Bed', 'price': '$1,695'}]","West Hollywood, CA 90046",https://www.apartments.com/951-n-curson-ave-west-hollywood-ca/vh4kv3d/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$1,695",,,
Venice,Condos,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]","Venice, CA 90291",https://www.apartments.com/59-navy-st-venice-ca-unit-1/9vtj1s6/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$5,000",,,,
South Pasadena,Condos,CA,91030,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","1718 Monterey Rd, South Pasadena, CA 91030",https://www.apartments.com/1718-monterey-rd-south-pasadena-ca/krl71z9/,1½ BAs,"1,421 Sq Ft","1,421",12 Month Lease,Available Now,"$3,000",,,,
Hermosa Beach,Condos,CA,90254,"[{'bedroom_type': '1 Bed', 'price': '$3,495'}]","Hermosa Beach, CA 90254",https://www.apartments.com/3419-manhattan-ave-hermosa-beach-ca/f70rvzt/,1 BA,650 Sq Ft,650,3 Month Lease,Available Now,,"$3,495",,,
Los Angeles,Condos,CA,90026,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]","Los Angeles, CA 90026",https://www.apartments.com/1423-mohawk-st-los-angeles-ca/g7gyhkx/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,"$2,395",,,,
Glendale,Condos,CA,91205,"[{'bedroom_type': '3 Beds', 'price': '$2,850'}]","Glendale, CA 91205",https://www.apartments.com/600-fischer-st-glendale-ca/q6ncl6w/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,,"$2,850",
Rosemead,Condos,CA,91770,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]","Rosemead, CA 91770",https://www.apartments.com/4503-walnut-grove-ave-rosemead-ca/3891tqd/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,700",,,,
Sacramento,Condos,CA,95818,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]","Sacramento, CA 95818",https://www.apartments.com/1412-v-st-sacramento-ca/x6tll1p/,1 BA,600 Sq Ft,600,1 Month Lease,Available Now,,"$2,200",,,
Sunnyvale,Condos,CA,94087,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","Sunnyvale, CA 94087",https://www.apartments.com/674-kirkland-dr-sunnyvale-ca/sl5msm4/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,800",,,,
Rohnert Park,Condos,CA,94928,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]","Rohnert Park, CA 94928",https://www.apartments.com/764-racquet-club-cir-rohnert-park-ca-unit-0/7x3yvhw/,1 BA,"1,182 Sq Ft","1,182",12 Month Lease,Available Now,"$2,250",,,,
Bermuda Dunes,Condos,CA,92203,"[{'bedroom_type': '2 Beds', 'price': '$1,450'}]","Bermuda Dunes, CA 92203",https://www.apartments.com/78650-ave-42-bermuda-dunes-ca-unit-203/35x32gg/,2 BAs,950 Sq Ft,950,12 Month Lease,Available Now,"$1,450",,,,
Irvine,Condos,CA,92614,"[{'bedroom_type': '2 Beds', 'price': '$4,285'}]","Irvine, CA 92614",https://www.apartments.com/55-costero-aisle-irvine-ca-unit-55/hbp6b02/,2 BAs,"1,075 Sq Ft","1,075",6 Month Lease,Aug 1,"$4,285",,,,
Los Angeles,Condos,CA,90063,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]","Los Angeles, CA 90063",https://www.apartments.com/1007-n-townsend-ave-los-angeles-ca/06kpct0/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,000",,,,
San Diego,Condos,CA,92101,"[{'bedroom_type': '1 Bed', 'price': '$2,795'}]","San Diego, CA 92101",https://www.apartments.com/1608-india-st-san-diego-ca-unit-204/6ep0ryv/,1½ BAs,"1,005 Sq Ft","1,005",12 Month Lease,Aug 1,,"$2,795",,,
San Francisco,Condos,CA,94102,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","San Francisco, CA 94102",https://www.apartments.com/478-fell-st-san-francisco-ca/9bnfwb6/,1½ BAs,"1,150 Sq Ft","1,150",12 Month Lease,Available Now,,,,"$4,500",
Fallbrook,Condos,CA,92028,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]","Fallbrook, CA 92028",https://www.apartments.com/305-n-mission-rd-fallbrook-ca/rx1e5v2/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$1,750",,,,
South Pasadena,Condos,CA,91030,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","1801 Fair Oaks Ave, South Pasadena, CA 91030",https://www.apartments.com/1801-fair-oaks-ave-south-pasadena-ca/nn6629q/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,200",,,,
Los Angeles,Condos,CA,91406,"[{'bedroom_type': '1 Bed', 'price': '$1,795'}]","Los Angeles, CA 91406",https://www.apartments.com/6535-haskell-ave-los-angeles-ca/jnb64n5/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,"$1,795",,,
Los Angeles,Condos,CA,90047,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]","Los Angeles, CA 90047",https://www.apartments.com/10308-s-wilton-pl-los-angeles-ca/8v9n4f0/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,250",,,,
Saratoga,Condos,CA,95070,"[{'bedroom_type': '2 Beds', 'price': '$2,275'}]","Saratoga, CA 95070",https://www.apartments.com/14590-big-basin-way-saratoga-ca/3xlwwke/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,275",,,,
Richmond,Condos,CA,94801,"[{'bedroom_type': '1 Bed', 'price': '$1,795'}]","Richmond, CA 94801",https://www.apartments.com/1003-roosevelt-ave-richmond-ca/mbhyreh/,1 BA,660 Sq Ft,660,1 Month Lease,Available Now,,"$1,795",,,
Oakland,Condos,CA,94607,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]","Oakland, CA 94607",https://www.apartments.com/1629-chestnut-st-oakland-ca/q05nd5w/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$2,700",,,,
Los Angeles,Condos,CA,91367,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]","Los Angeles, CA 91367",https://www.apartments.com/22125-burbank-blvd-los-angeles-ca-unit-3/84ms8n3/,1½ BAs,"1,038 Sq Ft","1,038",12 Month Lease,Available Now,"$2,700",,,,
San Francisco,Condos,CA,94118,"[{'bedroom_type': '1 Bed', 'price': '$2,500'}]","San Francisco, CA 94118",https://www.apartments.com/717-6th-ave-san-francisco-ca/7fz7pny/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,"$2,500",,,
Bakersfield,Condos,CA,93311,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}]","Bakersfield, CA 93311",https://www.apartments.com/2600-brookside-dr-bakersfield-ca-unit-46/wggzj6l/,1½ BAs,816 Sq Ft,816,12 Month Lease,Available Now,,"$1,400",,,
Burbank,Condos,CA,91504,"[{'bedroom_type': 'Studio', 'price': '$1,500'}]","Burbank, CA 91504",https://www.apartments.com/3157-n-frederic-st-burbank-ca/zv9sdcx/,1 BA,450 Sq Ft,450,12 Month Lease,Aug 1,,,"$1,500",,
San Mateo,Condos,CA,94401,"[{'bedroom_type': 'Studio', 'price': '$2,150'}]","San Mateo, CA 94401",https://www.apartments.com/815-n-humboldt-st-san-mateo-ca-unit-411/5tw8tzp/,1 BA,473 Sq Ft,473,12 Month Lease,Available Now,,,"$2,150",,
West Hollywood,Condos,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","8490 Fountain Ave, West Hollywood, CA 90069",https://www.apartments.com/8490-fountain-ave-west-hollywood-ca-unit-104/9xt8br5/,2 BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,"$3,300",,,,
Los Angeles,Condos,CA,90002,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]","Los Angeles, CA 90002",https://www.apartments.com/8903-beach-st-los-angeles-ca/x0lv1zn/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,,"$2,400",
San Jose,Condos,CA,95116,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","San Jose, CA 95116",https://www.apartments.com/276-s-20th-st-san-jose-ca/res14b3/,1 BA,900 Sq Ft,900,12 Month Lease,Jul 3,"$2,750",,,,
San Diego,Condos,CA,92101,"[{'bedroom_type': '1 Bed', 'price': '$2,300'}]","San Diego, CA 92101",https://www.apartments.com/1050-island-ave-san-diego-ca-unit-506/hc5mqk1/,1 BA,603 Sq Ft,603,6 Month Lease,Available Now,,"$2,300",,,
Palo Alto,Condos,CA,94301,"[{'bedroom_type': '2 Beds', 'price': '$3,700'}]","Palo Alto, CA 94301",https://www.apartments.com/227-ramona-st-palo-alto-ca/yrslqws/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,700",,,,
Rialto,Condos,CA,92377,"[{'bedroom_type': '2 Beds', 'price': '$1,650'}]","Rialto, CA 92377",https://www.apartments.com/5707-n-sycamore-ave-rialto-ca/w7j127k/,1 BA,699 Sq Ft,699,3 Month Lease,Available Now,"$1,650",,,,
Los Angeles,Condos,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","3101 S Canfield Ave, Los Angeles, CA 90034",https://www.apartments.com/3101-s-canfield-ave-los-angeles-ca/rqrps50/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,500",,,,
Los Angeles,Condos,CA,90004,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","515 N Mariposa Ave, Los Angeles, CA 90004",https://www.apartments.com/515-n-mariposa-ave-los-angeles-ca/vghbf4d/,1 BA,1 Sq Ft,1,12 Month Lease,Available Now,"$2,100",,,,
Del Mar,Condos,CA,92014,"[{'bedroom_type': '2 Beds', 'price': '$2,170'}]","Del Mar, CA 92014",https://www.apartments.com/13754-mango-dr-del-mar-ca-unit-232/9kx65q7/,2 BAs,804 Sq Ft,804,12 Month Lease,Available Now,"$2,170",,,,
Milpitas,Condos,CA,95035,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","Milpitas, CA 95035",https://www.apartments.com/1104-n-abbott-ave-milpitas-ca-unit-none/r14tyh2/,2 BAs,"1,174 Sq Ft","1,174",12 Month Lease,Aug 1,"$2,800",,,,
Walnut Creek,Condos,CA,94596,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","Walnut Creek, CA 94596",https://www.apartments.com/450-n-civic-dr-walnut-creek-ca-unit-401/9p5yfc5/,2 BAs,"1,077 Sq Ft","1,077",12 Month Lease,Available Now,"$2,800",,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$5,100'}]","1101 Euclid St, Santa Monica, CA 90403",https://www.apartments.com/1101-euclid-st-santa-monica-ca-unit-d/z6nxddz/,2 BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,"$5,100",,,,
Los Angeles,Condos,CA,90044,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","Los Angeles, CA 90044",https://www.apartments.com/6559-normandie-ave-los-angeles-ca/x51lfvp/,1 BA,"1,101 Sq Ft","1,101",12 Month Lease,Available Now,"$2,100",,,,
Oakland,Condos,CA,94607,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","Oakland, CA 94607",https://www.apartments.com/989-webster-st-oakland-ca/p8v3css/,2 BAs,900 Sq Ft,900,12 Month Lease,Available Now,"$3,000",,,,
Los Angeles,Condos,CA,90029,"[{'bedroom_type': '2 Beds', 'price': '$2,450'}]","Los Angeles, CA 90029",https://www.apartments.com/5322-lexington-ave-los-angeles-ca/zklhtjy/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,450",,,,
San Lorenzo,Condos,CA,94580,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]","San Lorenzo, CA 94580",https://www.apartments.com/130-lewelling-blvd-san-lorenzo-ca/24kc5dc/,1 BA,800 Sq Ft,800,1 Month Lease,Available Now,"$1,950",,,,
Palm Desert,Condos,CA,92260,"[{'bedroom_type': '1 Bed', 'price': '$1,200'}]","Palm Desert, CA 92260",https://www.apartments.com/45875-ocotillo-dr-palm-desert-ca/5sl08cp/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$1,200",,,
Los Angeles,Condos,CA,91356,"[{'bedroom_type': '1 Bed', 'price': '$1,775'}]","Los Angeles, CA 91356",https://www.apartments.com/18375-collins-st-los-angeles-ca/n8tb1sn/,1 BA,886 Sq Ft,886,12 Month Lease,Available Now,,"$1,775",,,
Huntington Beach,Condos,CA,92649,"[{'bedroom_type': '2 Beds', 'price': '$2,420'}]","Huntington Beach, CA 92649",https://www.apartments.com/5041-dunbar-dr-huntington-beach-ca/csw69ng/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,"$2,420",,,,
Los Angeles,Condos,CA,90032,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Los Angeles, CA 90032",https://www.apartments.com/4630-grey-dr-los-angeles-ca/qhynd9w/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,900",,,,
Los Angeles,Condos,CA,90032,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Los Angeles, CA 90032",https://www.apartments.com/4630-grey-dr-los-angeles-ca/qhynd9w/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,900",,,,
Los Angeles,Condos,CA,90032,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]","Los Angeles, CA 90032",https://www.apartments.com/4630-grey-dr-los-angeles-ca/6kj6xzv/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,850",,,,
San Jose,Condos,CA,95128,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}]","San Jose, CA 95128",https://www.apartments.com/361-s-clover-ave-san-jose-ca/r5xj5m0/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,"$1,800",,,
San Jose,Condos,CA,95131,"[{'bedroom_type': '2 Beds', 'price': '$2,460'}]","San Jose, CA 95131",https://www.apartments.com/1402-foothill-meadows-ct-san-jose-ca-unit-1402/td8ept8/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,460",,,,
Fresno,Condos,CA,93721,"[{'bedroom_type': '2 Beds', 'price': '$1,500'}]","Fresno, CA 93721",https://www.apartments.com/2881-e-huntington-blvd-fresno-ca-unit-110/qk4vwvw/,1½ BAs,900 Sq Ft,900,1 Month Lease,Available Now,"$1,500",,,,
Redondo Beach,Condos,CA,90277,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","507 Elena N Ave, Redondo Beach, CA 90277",https://www.apartments.com/507-elena-n-ave-redondo-beach-ca/dmqc6wh/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,850",,,,
San Clemente,Condos,CA,92672,"[{'bedroom_type': '1 Bed', 'price': '$2,699'}]","San Clemente, CA 92672",https://www.apartments.com/127-avenida-serra-san-clemente-ca/4lq0hml/,1 BA,800 Sq Ft,800,6 Month Lease,Available Now,,"$2,699",,,
San Clemente,Condos,CA,92672,"[{'bedroom_type': '1 Bed', 'price': '$1,899'}]","San Clemente, CA 92672",https://www.apartments.com/127-avenida-serra-san-clemente-ca/hyg0he0/,1 BA,500 Sq Ft,500,6 Month Lease,Available Now,,"$1,899",,,
San Francisco,Condos,CA,94109,"[{'bedroom_type': '4 Beds', 'price': '$5,490'}]","San Francisco, CA 94109",https://www.apartments.com/622-leavenworth-st-san-francisco-ca-unit-622/w28zc4h/,1 BA,"1,690 Sq Ft","1,690",3 Month Lease,Available Now,,,,,"$5,490"
Santa Clarita,Condos,CA,91355,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]","Santa Clarita, CA 91355",https://www.apartments.com/23515-lyons-ave-santa-clarita-ca-unit-s5/xmrfgym/,1 BA,480 Sq Ft,480,12 Month Lease,Aug 1,,"$1,700",,,
Monrovia,Condos,CA,91016,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]","215 N Myrtle Ave, Monrovia, CA 91016",https://www.apartments.com/215-n-myrtle-ave-monrovia-ca/n8jxt0n/,1 BA,890 Sq Ft,890,12 Month Lease,Available Now,"$1,750",,,,
Pasadena,Condos,CA,91106,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Pasadena, CA 91106",https://www.apartments.com/99-n-wilson-ave-pasadena-ca-unit-99/9683ve7/,2½ BAs,"1,800 Sq Ft","1,800",12 Month Lease,Aug 1,"$3,500",,,,
Santa Cruz,Condos,CA,95060,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]","Santa Cruz, CA 95060",https://www.apartments.com/921-western-dr-santa-cruz-ca/dl8ze0l/,2 BAs,630 Sq Ft,630,12 Month Lease,Jul 22,"$3,100",,,,
Encinitas,Condos,CA,92024,"[{'bedroom_type': '2 Beds', 'price': '$2,095'}]","Encinitas, CA 92024",https://www.apartments.com/1710-s-el-camino-real-encinitas-ca/g8e73ty/,2 BAs,906 Sq Ft,906,12 Month Lease,Available Now,"$2,095",,,,
Los Angeles,Condos,CA,91335,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}]","Los Angeles, CA 91335",https://www.apartments.com/7135-geyser-ave-los-angeles-ca/mc16rzj/,1 BA,293 Sq Ft,293,1 Month Lease,Available Now,,"$1,400",,,
Los Angeles,Condos,CA,90033,"[{'bedroom_type': '2 Beds', 'price': '$2,150'}]","Los Angeles, CA 90033",https://www.apartments.com/601-bailey-st-los-angeles-ca/me6hmjk/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$2,150",,,,
Burbank,Condos,CA,91501,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]","Burbank, CA 91501",https://www.apartments.com/650-e-palm-ave-burbank-ca-unit-302/37hvkpd/,2 BAs,"1,470 Sq Ft","1,470",12 Month Lease,Aug 1,,,,"$4,200",
Hayward,Condos,CA,94544,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Hayward, CA 94544",https://www.apartments.com/30017-vanderbilt-st-hayward-ca/07evdl3/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$1,900",,,,
El Segundo,Condos,CA,90245,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","304 Loma Vista St, El Segundo, CA 90245",https://www.apartments.com/304-loma-vista-st-el-segundo-ca/f0tmfbv/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,100",,,,
Glendale,Condos,CA,91203,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Glendale, CA 91203",https://www.apartments.com/634-pioneer-dr-glendale-ca/kzgvqzc/,2½ BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$2,400",,,,
San Jose,Condos,CA,95128,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","San Jose, CA 95128",https://www.apartments.com/333-santana-row-san-jose-ca-unit-218/d3kefkk/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$4,500",,,,
