City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,3 Beds,4+ Beds
Los Angeles,Houses,CA,91335,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]","Los Angeles, CA 91335",https://www.apartments.com/8153-tunney-ave-los-angeles-ca/rf6f180/,2 BAs,"1,296 Sq Ft","1,296",,Available Now,,,,"$3,800",
Twentynine Palms,Houses,CA,92277,"[{'bedroom_type': '2 Beds', 'price': '$1,000'}]","Twentynine Palms, CA 92277",https://www.apartments.com/7371-araby-ave-twentynine-palms-ca/brx7ssc/,1 BA,864 Sq Ft,864,6 Month Lease,Jul 15,"$1,000",,,,
Glendale,Houses,CA,91206,"[{'bedroom_type': '4 Beds', 'price': '$6,000'}]","Glendale, CA 91206",https://www.apartments.com/2644-e-chevy-chase-dr-glendale-ca/s8j5997/,4 BAs,"3,081 Sq Ft","3,081",12 Month Lease,Available Now,,"$6,000",,,
View Park-Windsor Hills,Houses,CA,90043,"[{'bedroom_type': '3 Beds', 'price': '$3,495'}]","View Park-Windsor Hills, CA 90043",https://www.apartments.com/5715-s-rimpau-blvd-view-park-windsor-hills-ca/nl16ryn/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,,"$3,495",
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","Manhattan Beach, CA 90266",https://www.apartments.com/1311-19th-st-manhattan-beach-ca/0srhx61/,1 BA,"1,200 Sq Ft","1,200",6 Month Lease,Aug 1,"$4,500",,,,
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '2 Beds', 'price': '$3,150'}]","Los Angeles, CA 90045",https://www.apartments.com/8410-lilienthal-ave-los-angeles-ca/9lszt06/,2 BAs,900 Sq Ft,900,12 Month Lease,Available Now,"$3,150",,,,
Los Angeles,Houses,CA,90043,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]","Los Angeles, CA 90043",https://www.apartments.com/6435-madden-ave-los-angeles-ca/2ym4pl8/,1½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,,"$3,200",
Newport Beach,Houses,CA,92661,"[{'bedroom_type': '3 Beds', 'price': '$5,400'}]","1005 Bay W Ave, Newport Beach, CA 92661",https://www.apartments.com/1005-bay-w-ave-newport-beach-ca/wsssdbj/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,,"$5,400",
Sacramento,Houses,CA,95816,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","Sacramento, CA 95816",https://www.apartments.com/733-35th-st-sacramento-ca/3xssesg/,1 BA,"1,400 Sq Ft","1,400",6 Month Lease,Sep 4,"$3,000",,,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$4,300'}]","4354 Coolidge Ave, Los Angeles, CA 90066",https://www.apartments.com/4354-coolidge-ave-los-angeles-ca/3lhxwcd/,1 BA,990 Sq Ft,990,12 Month Lease,Available Now,"$4,300",,,,
Los Angeles,Houses,CA,90028,"[{'bedroom_type': '4 Beds', 'price': '$5,975'}]","Los Angeles, CA 90028",https://www.apartments.com/1735-taft-ave-los-angeles-ca/3gj8ymd/,2 BAs,"3,045 Sq Ft","3,045",12 Month Lease,Available Now,,"$5,975",,,
Los Angeles,Houses,CA,91364,"[{'bedroom_type': '1 Bed', 'price': '$2,175'}]","5133 Medina Rd, Los Angeles, CA 91364",https://www.apartments.com/5133-medina-rd-los-angeles-ca/fkp9z3s/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,"$2,175",,
Los Angeles,Houses,CA,91423,"[{'bedroom_type': '4+ Beds', 'price': '$6,400'}]","Los Angeles, CA 91423",https://www.apartments.com/3962-oakfield-dr-los-angeles-ca/c79lcpg/,5 BAs,"3,700 Sq Ft","3,700",12 Month Lease,Available Now,,,,,"$6,400"
West Carson,Houses,CA,90710,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","West Carson, CA 90710",https://www.apartments.com/23741-pasatiempo-ln-west-carson-ca/zb3md0x/,3 BAs,"2,100 Sq Ft","2,100",12 Month Lease,Aug 1,,,,"$3,000",
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]","Los Angeles, CA 90066",https://www.apartments.com/3712-barrington-s-ave-los-angeles-ca/qxg20hz/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,,"$5,000",
Los Angeles,Houses,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$2,650'}]","629 W 53rd St, Los Angeles, CA 90037",https://www.apartments.com/629-w-53rd-st-los-angeles-ca/28dmrh8/,1 BA,"1,680 Sq Ft","1,680",12 Month Lease,Available Now,,,,"$2,650",
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '3 Beds', 'price': '$3,985'}]","Los Angeles, CA 91606",https://www.apartments.com/5961-st-clair-ave-los-angeles-ca/def9z3h/,2½ BAs,"1,850 Sq Ft","1,850",,Available Now,,,,"$3,985",
Beverly Hills,Houses,CA,90212,"[{'bedroom_type': '3 Beds', 'price': '$5,950'}]","Beverly Hills, CA 90212",https://www.apartments.com/257-spalding-s-dr-beverly-hills-ca/10ddmd5/,2½ BAs,"2,100 Sq Ft","2,100",12 Month Lease,Available Now,,,,"$5,950",
West Hollywood,Houses,CA,90046,"[{'bedroom_type': '3 Beds', 'price': '$6,999'}]","West Hollywood, CA 90046",https://www.apartments.com/1336-n-fairfax-ave-west-hollywood-ca/bkjs3gb/,3½ BAs,"2,450 Sq Ft","2,450",12 Month Lease,Available Now,,,,"$6,999",
San Francisco,Houses,CA,94127,"[{'bedroom_type': '4 Beds', 'price': '$8,000'}]","San Francisco, CA 94127",https://www.apartments.com/462-joost-ave-san-francisco-ca/4v3vvkl/,3½ BAs,"2,600 Sq Ft","2,600",12 Month Lease,Available Now,,"$8,000",,,
Long Beach,Houses,CA,90804,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Long Beach, CA 90804",https://www.apartments.com/4245-e-14th-st-long-beach-ca/nx9vrep/,1 BA,"1,200 Sq Ft","1,200",,Available Now,"$2,400",,,,
San Jose,Houses,CA,95138,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","San Jose, CA 95138",https://www.apartments.com/5882-southview-dr-san-jose-ca/z97kzkx/,1 BA,"1,474 Sq Ft","1,474",6 Month Lease,Available Now,"$2,500",,,,
Pismo Beach,Houses,CA,93449,"[{'bedroom_type': '3 Beds', 'price': '$3,995'}]","Pismo Beach, CA 93449",https://www.apartments.com/1309-costa-brava-pismo-beach-ca/2fz6068/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,,"$3,995",
Santa Barbara,Houses,CA,93101,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]","Santa Barbara, CA 93101",https://www.apartments.com/126-de-la-guerra-w-st-santa-barbara-ca/d4n1mxl/,1 BA,"1,000 Sq Ft","1,000",1 Month Lease,Aug 15,"$3,200",,,,
San Diego,Houses,CA,92104,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}]","San Diego, CA 92104",https://www.apartments.com/4117-33rd-st-san-diego-ca/62ymr6t/,1 BA,650 Sq Ft,650,,Available Now,,,"$1,995",,
Beverly Hills,Houses,CA,90212,"[{'bedroom_type': '3 Beds', 'price': '$10,500'}]","333 Linden S Dr, Beverly Hills, CA 90212",https://www.apartments.com/333-linden-s-dr-beverly-hills-ca/bg73f2c/,4½ BAs,"2,800 Sq Ft","2,800",,Available Now,,,,"$10,500",
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$6,500'}]","Los Angeles, CA 90066",https://www.apartments.com/3462-beethoven-st-los-angeles-ca/cv017sg/,1 BA,"1,500 Sq Ft","1,500",,Sep 1,"$6,500",,,,
Los Angeles,Houses,CA,90037,"[{'bedroom_type': '1 Bed', 'price': '$1,525'}]","Los Angeles, CA 90037",https://www.apartments.com/4306-s-budlong-ave-los-angeles-ca/gtpsn9z/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,,"$1,525",,
Los Angeles,Houses,CA,90026,"[{'bedroom_type': '4 Beds', 'price': '$5,450'}]","1034 W Kensington Rd, Los Angeles, CA 90026",https://www.apartments.com/1034-w-kensington-rd-los-angeles-ca/l6b1q3f/,1½ BAs,"2,400 Sq Ft","2,400",12 Month Lease,Sep 1,,"$5,450",,,
Beverly Hills,Houses,CA,90211,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]","345 Swall S Dr, Beverly Hills, CA 90211",https://www.apartments.com/345-swall-s-dr-beverly-hills-ca/e66m7ln/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,,"$3,000",,
San Diego,Houses,CA,92121,"[{'bedroom_type': '4+ Beds', 'price': '$4,200'}]","San Diego, CA 92121",https://www.apartments.com/6639-maycrest-ln-san-diego-ca/9ql2yn4/,3 BAs,"2,150 Sq Ft","2,150",12 Month Lease,Available Now,,,,,"$4,200"
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]","Los Angeles, CA 90068",https://www.apartments.com/6830-alta-loma-ter-los-angeles-ca/0jjn8m3/,2 BAs,"1,400 Sq Ft","1,400",,Available Now,"$5,000",,,,
Santa Monica,Houses,CA,90404,"[{'bedroom_type': '3 Beds', 'price': '$4,900'}]","Santa Monica, CA 90404",https://www.apartments.com/2002-20th-st-santa-monica-ca/127hvq7/,2 BAs,"1,238 Sq Ft","1,238",,Available Now,,,,"$4,900",
Los Angeles,Houses,CA,90011,"[{'bedroom_type': '3 Beds', 'price': '$2,850'}]","Los Angeles, CA 90011",https://www.apartments.com/1588-e-45th-st-los-angeles-ca/sbjstw7/,2 BAs,"2,004 Sq Ft","2,004",12 Month Lease,Available Now,,,,"$2,850",
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$6,200'}]","2427 Beverly Ave, Santa Monica, CA 90405",https://www.apartments.com/2427-beverly-ave-santa-monica-ca/evhl5dq/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Sep 1,"$6,200",,,,
Loomis,Houses,CA,95650,"[{'bedroom_type': '4 Beds', 'price': '$4,900'}]","Loomis, CA 95650",https://www.apartments.com/9733-rim-rock-cir-loomis-ca/x5lj4cp/,4 BAs,"3,620 Sq Ft","3,620",,Available Now,,"$4,900",,,
Huntington Beach,Houses,CA,92649,"[{'bedroom_type': '1 Bed', 'price': '$2,150'}]","Huntington Beach, CA 92649",https://www.apartments.com/15346-cambay-ln-huntington-beach-ca/18h4fs7/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,"$2,150",,
Los Angeles,Houses,CA,91601,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]","Los Angeles, CA 91601",https://www.apartments.com/5327-biloxi-ave-los-angeles-ca/vsextfd/,1 BA,500 Sq Ft,500,,Available Now,,,"$1,700",,
Van Nuys,Houses,CA,91401,"[{'bedroom_type': '3 Beds', 'price': '$3,295'}]","13840 Bessemer St, Van Nuys, CA 91401",https://www.apartments.com/13840-bessemer-st-van-nuys-ca/3ljhq5e/,1 BA,"1,200 Sq Ft","1,200",36 Month Lease,Available Now,,,,"$3,295",
Sunnyvale,Houses,CA,94087,"[{'bedroom_type': '4 Beds', 'price': '$4,350'}]","Sunnyvale, CA 94087",https://www.apartments.com/932-leighton-way-sunnyvale-ca/62x99zr/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,"$4,350",,,
Van Nuys,Houses,CA,91401,"[{'bedroom_type': '3 Beds', 'price': '$3,795'}]","14011 Sylvan St, Van Nuys, CA 91401",https://www.apartments.com/14011-sylvan-st-van-nuys-ca/e1c1qqq/,1½ BAs,"1,500 Sq Ft","1,500",36 Month Lease,Aug 1,,,,"$3,795",
Glendale,Houses,CA,91208,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","Glendale, CA 91208",https://www.apartments.com/1512-wabasso-way-glendale-ca/dft441j/,1 BA,"1,200 Sq Ft","1,200",,Available Now,"$2,750",,,,
El Segundo,Houses,CA,90245,"[{'bedroom_type': '3 Beds', 'price': '$4,800'}]","El Segundo, CA 90245",https://www.apartments.com/433-kansas-st-el-segundo-ca/knmqs3b/,2 BAs,"1,787 Sq Ft","1,787",,Available Now,,,,"$4,800",
Oceanside,Houses,CA,92056,"[{'bedroom_type': '3 Beds', 'price': '$3,300'}]","Oceanside, CA 92056",https://www.apartments.com/1237-via-candelas-oceanside-ca/5cczsem/,2½ BAs,"1,771 Sq Ft","1,771",,Available Now,,,,"$3,300",
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '1 Bed', 'price': '$2,500'}]","Los Angeles, CA 91606",https://www.apartments.com/6725-st-clair-ave-los-angeles-ca/zth6cnx/,1 BA,700 Sq Ft,700,6 Month Lease,Available Now,,,"$2,500",,
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$5,700'}]","Los Angeles, CA 90046",https://www.apartments.com/2106-sunset-crest-dr-los-angeles-ca/xzfbgtn/,2 BAs,"1,637 Sq Ft","1,637",,Available Now,"$5,700",,,,
Los Angeles,Houses,CA,91364,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}]","Los Angeles, CA 91364",https://www.apartments.com/21313-san-miguel-st-los-angeles-ca/2w1e648/,1 BA,260 Sq Ft,260,,Available Now,,,"$1,400",,
Imperial Beach,Houses,CA,91932,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}]","Imperial Beach, CA 91932",https://www.apartments.com/1461-east-ln-imperial-beach-ca/56fdbrq/,1 BA,425 Sq Ft,425,12 Month Lease,Aug 1,,,"$1,500",,
Los Angeles,Houses,CA,91335,"[{'bedroom_type': '2 Beds', 'price': '$3,350'}]","Los Angeles, CA 91335",https://www.apartments.com/6906-enfield-ave-los-angeles-ca/sd50y06/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$3,350",,,,
Ojai,Houses,CA,93023,"[{'bedroom_type': '3 Beds', 'price': '$4,200'}]","Ojai, CA 93023",https://www.apartments.com/1139-forest-ave-ojai-ca/yt0sd8v/,1 BA,"1,050 Sq Ft","1,050",,Available Now,,,,"$4,200",
Piedmont,Houses,CA,94611,"[{'bedroom_type': '3 Beds', 'price': '$5,500'}]","Piedmont, CA 94611",https://www.apartments.com/21-arroyo-ave-piedmont-ca/0gt7yg0/,2 BAs,"1,851 Sq Ft","1,851",12 Month Lease,Jul 15,,,,"$5,500",
Milpitas,Houses,CA,95035,"[{'bedroom_type': '3 Beds', 'price': '$3,850'}]","Milpitas, CA 95035",https://www.apartments.com/1175-claridad-loop-milpitas-ca/pxszgdv/,2½ BAs,"2,045 Sq Ft","2,045",,Aug 15,,,,"$3,850",
Los Angeles,Houses,CA,90027,"[{'bedroom_type': '2 Beds', 'price': '$4,800'}]","Los Angeles, CA 90027",https://www.apartments.com/1918-n-normandie-ave-los-angeles-ca/r8hw1b1/,1½ BAs,"1,400 Sq Ft","1,400",,Aug 1,"$4,800",,,,
Los Angeles,Houses,CA,91335,"[{'bedroom_type': '4 Beds', 'price': '$3,499'}]","6759 Capps Ave, Los Angeles, CA 91335",https://www.apartments.com/6759-capps-ave-los-angeles-ca/zqwf2fw/,3 BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,"$3,499",,,
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","10741 Westminster Ave, Los Angeles, CA 90034",https://www.apartments.com/10741-westminster-ave-los-angeles-ca/3h5pxde/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,"$2,600",,,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Los Angeles, CA 90016",https://www.apartments.com/2622-alsace-ave-los-angeles-ca/429bvqj/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,200",,,,
Los Angeles,Houses,CA,91367,"[{'bedroom_type': '4 Beds', 'price': '$4,150'}]","Los Angeles, CA 91367",https://www.apartments.com/5620-valerie-ave-los-angeles-ca/466kc5l/,2 BAs,"2,438 Sq Ft","2,438",12 Month Lease,Jul 6,,"$4,150",,,
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","10741 Westminster Ave, Los Angeles, CA 90034",https://www.apartments.com/10741-westminster-ave-los-angeles-ca/3h5pxde/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,"$2,600",,,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Los Angeles, CA 90016",https://www.apartments.com/2622-alsace-ave-los-angeles-ca/429bvqj/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,200",,,,
Los Angeles,Houses,CA,91367,"[{'bedroom_type': '4 Beds', 'price': '$4,150'}]","Los Angeles, CA 91367",https://www.apartments.com/5620-valerie-ave-los-angeles-ca/466kc5l/,2 BAs,"2,438 Sq Ft","2,438",12 Month Lease,Jul 6,,"$4,150",,,
Los Angeles,Houses,CA,91405,"[{'bedroom_type': '2 Beds', 'price': '$2,690'}]","6710 Cantaloupe Ave, Los Angeles, CA 91405",https://www.apartments.com/6710-cantaloupe-ave-los-angeles-ca/3hlf8nf/,2 BAs,875 Sq Ft,875,12 Month Lease,Available Now,"$2,690",,,,
Los Angeles,Houses,CA,90038,"[{'bedroom_type': '2 Beds', 'price': '$3,850'}]","1203 Orange N Dr, Los Angeles, CA 90038",https://www.apartments.com/1203-orange-n-dr-los-angeles-ca/jrq6sh7/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$3,850",,,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]","1432 Orange S Dr, Los Angeles, CA 90019",https://www.apartments.com/1432-orange-s-dr-los-angeles-ca/kx0z4gb/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$3,200",,,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$3,850'}]","1430 Orange S Dr, Los Angeles, CA 90019",https://www.apartments.com/1430-orange-s-dr-los-angeles-ca/9w4yxt4/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,,,"$3,850",
San Francisco,Houses,CA,94134,"[{'bedroom_type': '3 Beds', 'price': '$4,900'}]","San Francisco, CA 94134",https://www.apartments.com/295-oxford-st-san-francisco-ca/4d5h7gh/,2 BAs,"1,440 Sq Ft","1,440",1 Month Lease,Available Now,,,,"$4,900",
San Francisco,Houses,CA,94134,"[{'bedroom_type': '2 Beds', 'price': '$4,100'}]","San Francisco, CA 94134",https://www.apartments.com/295-oxford-st-san-francisco-ca/smkkv97/,1 BA,"1,270 Sq Ft","1,270",,Available Now,"$4,100",,,,
Los Angeles,Houses,CA,91303,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Los Angeles, CA 91303",https://www.apartments.com/7445-jordan-ave-los-angeles-ca/ydxz3kv/,1 BA,900 Sq Ft,900,,Available Now,"$2,500",,,,
Los Angeles,Houses,CA,91423,"[{'bedroom_type': '4 Beds', 'price': '$12,500'}]","Los Angeles, CA 91423",https://www.apartments.com/4211-murietta-ave-los-angeles-ca/1sc7c76/,4 BAs,"3,291 Sq Ft","3,291",3 Month Lease,Available Now,,"$12,500",,,
Redondo Beach,Houses,CA,90278,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","1721 Van Horne Ln, Redondo Beach, CA 90278",https://www.apartments.com/1721-van-horne-ln-redondo-beach-ca/yc4l9hs/,1 BA,"1,200 Sq Ft","1,200",6 Month Lease,Available Now,"$3,000",,,,
Los Angeles,Houses,CA,90035,"[{'bedroom_type': '4+ Beds', 'price': '$8,995'}]","Los Angeles, CA 90035",https://www.apartments.com/1135-crest-s-dr-los-angeles-ca/3epdbxg/,4 BAs,"2,761 Sq Ft","2,761",,Available Now,,,,,"$8,995"
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]","Los Angeles, CA 90046",https://www.apartments.com/8751-lookout-mountain-ave-los-angeles-ca/661t4kv/,2½ BAs,"2,000 Sq Ft","2,000",,Available Now,"$5,500",,,,
Windsor,Houses,CA,95492,"[{'bedroom_type': '1 Bed', 'price': '$2,300'}]","Windsor, CA 95492",https://www.apartments.com/782-glen-miller-dr-windsor-ca/mzf2yml/,1 BA,690 Sq Ft,690,12 Month Lease,Aug 31,,,"$2,300",,
Santa Barbara,Houses,CA,93101,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]","Santa Barbara, CA 93101",https://www.apartments.com/128-w-de-la-guerra-st-santa-barbara-ca/0r0gpk2/,1 BA,"1,000 Sq Ft","1,000",1 Month Lease,Aug 15,"$3,200",,,,
Palm Springs,Houses,CA,92262,"[{'bedroom_type': '3 Beds', 'price': '$2,395'}]","Palm Springs, CA 92262",https://www.apartments.com/835-alta-rdg-palm-springs-ca/5pdys0p/,2 BAs,"2,250 Sq Ft","2,250",5 Month Lease,Jul 15,,,,"$2,395",
Santa Barbara,Houses,CA,93101,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]","Santa Barbara, CA 93101",https://www.apartments.com/126-de-la-guerra-w-st-santa-barbara-ca/6x74w7v/,1 BA,800 Sq Ft,800,1 Month Lease,Aug 15,"$2,900",,,,
Indio,Houses,CA,92201,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","Indio, CA 92201",https://www.apartments.com/82053-cochran-dr-indio-ca/90bpv35/,2 BAs,"1,943 Sq Ft","1,943",12 Month Lease,Available Now,"$2,100",,,,
Los Angeles,Houses,CA,90038,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}]","Los Angeles, CA 90038",https://www.apartments.com/827-mccadden-n-pl-los-angeles-ca/bgsmvh8/,1 BA,800 Sq Ft,800,6 Month Lease,Available Now,,,"$1,800",,
Los Angeles,Houses,CA,90025,"[{'bedroom_type': '1 Bed', 'price': '$1,399'}]","2014 Colby Ave, Los Angeles, CA 90025",https://www.apartments.com/2014-colby-ave-los-angeles-ca/xb109zm/,1 BA,250 Sq Ft,250,3 Month Lease,Available Now,,,"$1,399",,
Benicia,Houses,CA,94510,"[{'bedroom_type': '4+ Beds', 'price': '$4,800'}]","Benicia, CA 94510",https://www.apartments.com/50-la-cruz-ave-benicia-ca/m7kh2gj/,3 BAs,"2,500 Sq Ft","2,500",1 Month Lease,Available Now,,,,,"$4,800"
Pasadena,Houses,CA,91104,"[{'bedroom_type': '3 Beds', 'price': '$4,950'}]","2340 Brigden Rd, Pasadena, CA 91104",https://www.apartments.com/2340-brigden-rd-pasadena-ca/d6hvgvh/,3 BAs,"2,500 Sq Ft","2,500",12 Month Lease,Available Now,,,,"$4,950",
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '4 Beds', 'price': '$6,295'}]","842 Stanley N Ave, Los Angeles, CA 90046",https://www.apartments.com/842-stanley-n-ave-los-angeles-ca/1fr52m4/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$6,295",,,
West Hollywood,Houses,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$4,595'}]","West Hollywood, CA 90069",https://www.apartments.com/638-huntley-dr-west-hollywood-ca/rqyr162/,1 BA,"1,200 Sq Ft","1,200",,Available Now,"$4,595",,,,
