City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,3 Beds,4+ Beds
Burbank,Houses,CA,91504,"[{'bedroom_type': '4 Beds', 'price': '$3,800'}]","Burbank, CA 91504",https://www.apartments.com/2403-n-lamer-st-burbank-ca/qq0cdyz/,2 BAs,"1,800 Sq Ft","1,800",,Available Now,,"$3,800",,,
Bellflower,Houses,CA,90706,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]","Bellflower, CA 90706",https://www.apartments.com/16653-california-ave-bellflower-ca/h4hcbg1/,1 BA,750 Sq Ft,750,,Jul 15,"$2,000",,,,
Berkeley,Houses,CA,94705,"[{'bedroom_type': '3 Beds', 'price': '$3,850'}]","Berkeley, CA 94705",https://www.apartments.com/2131-stuart-st-berkeley-ca/fkq893r/,1½ BAs,800 Sq Ft,800,12 Month Lease,Available Now,,,,"$3,850",
Los Angeles,Houses,CA,90003,"[{'bedroom_type': '2 Beds', 'price': '$1,800'}]","Los Angeles, CA 90003",https://www.apartments.com/131-e-105th-st-los-angeles-ca/1zbf7f7/,1 BA,700 Sq Ft,700,,Available Now,"$1,800",,,,
Sacramento,Houses,CA,95820,"[{'bedroom_type': '2 Beds', 'price': '$1,650'}]","Sacramento, CA 95820",https://www.apartments.com/4733-9th-ave-sacramento-ca/1xkfqj5/,1 BA,916 Sq Ft,916,12 Month Lease,Available Now,"$1,650",,,,
Manteca,Houses,CA,95336,"[{'bedroom_type': '4 Beds', 'price': '$2,450'}]","Manteca, CA 95336",https://www.apartments.com/1047-alfonso-ln-manteca-ca/bl6qzc8/,2 BAs,"1,830 Sq Ft","1,830",,Available Now,,"$2,450",,,
Stockton,Houses,CA,95204,"[{'bedroom_type': '4 Beds', 'price': '$495'}]","Stockton, CA 95204",https://www.apartments.com/3126-n-center-st-stockton-ca/nvx337m/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,$495,,,
Santa Monica,Houses,CA,90404,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]","1236 Franklin St, Santa Monica, CA 90404",https://www.apartments.com/1236-franklin-st-santa-monica-ca/mdnfv9l/,1 BA,700 Sq Ft,700,1 Month Lease,Aug 2,,,"$3,000",,
Tehachapi,Houses,CA,93561,"[{'bedroom_type': '3 Beds', 'price': '$1,900'}]","Tehachapi, CA 93561",https://www.apartments.com/23171-woodford-tehachapi-rd-tehachapi-ca/xjpj5jp/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,,"$1,900",
Los Angeles,Houses,CA,90011,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]","456 E 47th St, Los Angeles, CA 90011",https://www.apartments.com/456-e-47th-st-los-angeles-ca/yjweryt/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$3,000",,,
San Bruno,Houses,CA,94066,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]","San Bruno, CA 94066",https://www.apartments.com/725-easton-ave-san-bruno-ca/edx9ygp/,1 BA,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$3,750",,,,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]","5951 Chula Vista Way, Los Angeles, CA 90068",https://www.apartments.com/5951-chula-vista-way-los-angeles-ca/7my3lrz/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,"$3,000",,
Los Angeles,Houses,CA,91367,"[{'bedroom_type': '3 Beds', 'price': '$3,650'}]","Los Angeles, CA 91367",https://www.apartments.com/24309-friar-st-los-angeles-ca/ztgvlmx/,2½ BAs,"1,600 Sq Ft","1,600",,Available Now,,,,"$3,650",
San Diego,Houses,CA,92115,"[{'bedroom_type': '2 Beds', 'price': '$1,200'}]","San Diego, CA 92115",https://www.apartments.com/5617-dorothy-way-san-diego-ca/9f5jhb7/,1 BA,"2,600 Sq Ft","2,600",11 Month Lease,Available Now,"$1,200",,,,
