City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,4 Beds,4+ Beds
Pasadena,Houses,CA,91105,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]","Pasadena, CA 91105",https://www.apartments.com/50-fern-dr-pasadena-ca/74tv1fz/,1 BA,400 Sq Ft,400,12 Month Lease,Jul 11,,"$2,200",,,
Los Angeles,Houses,CA,90043,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","3416 W 59th St, Los Angeles, CA 90043",https://www.apartments.com/3416-w-59th-st-los-angeles-ca/nwqvspp/,1 BA,"1,100 Sq Ft","1,100",,Available Now,"$2,500",,,,
San Bruno,Houses,CA,94066,"[{'bedroom_type': '1 Bed', 'price': '$1,100'}]","San Bruno, CA 94066",https://www.apartments.com/280-east-ave-san-bruno-ca/5qsrq6p/,1 BA,135 Sq Ft,135,,Available Now,,"$1,100",,,
Napa,Houses,CA,94558,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]","Napa, CA 94558",https://www.apartments.com/4018-e-3rd-ave-napa-ca/nrfk0dp/,1 BA,750 Sq Ft,750,,Available Now,"$2,650",,,,
Beverly Hills,Houses,CA,90212,"[{'bedroom_type': '3 Beds', 'price': '$8,500'}]","Beverly Hills, CA 90212",https://www.apartments.com/345-s-canon-dr-beverly-hills-ca/8ph9j12/,3½ BAs,"1,807 Sq Ft","1,807",3 Month Lease,Available Now,,,"$8,500",,
Daly City,Houses,CA,94014,"[{'bedroom_type': '4 Beds', 'price': '$4,800'}]","Daly City, CA 94014",https://www.apartments.com/178-abbot-ave-daly-city-ca/e8bggsp/,2 BAs,"1,500 Sq Ft","1,500",,Available Now,,,,"$4,800",
Los Angeles,Houses,CA,91602,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}]","Los Angeles, CA 91602",https://www.apartments.com/11147-landale-st-los-angeles-ca/8xrykf3/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,"$1,650",,,
Los Angeles,Houses,CA,90064,"[{'bedroom_type': '3 Beds', 'price': '$5,900'}]","Los Angeles, CA 90064",https://www.apartments.com/2836-malcolm-ave-los-angeles-ca/cj63rlf/,2 BAs,"1,300 Sq Ft","1,300",,Available Now,,,"$5,900",,
Bakersfield,Houses,CA,93304,"[{'bedroom_type': '2 Beds', 'price': '$1,250'}]","Bakersfield, CA 93304",https://www.apartments.com/413-beech-st-bakersfield-ca/tt8b6rc/,1 BA,852 Sq Ft,852,12 Month Lease,Jul 5,"$1,250",,,,
Inglewood,Houses,CA,90303,"[{'bedroom_type': '1 Bed', 'price': '$1,025'}]","Inglewood, CA 90303",https://www.apartments.com/2610-w-102nd-st-inglewood-ca/lc689ye/,1 BA,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$1,025",,,
Inglewood,Houses,CA,90303,"[{'bedroom_type': '1 Bed', 'price': '$1,075'}]","Inglewood, CA 90303",https://www.apartments.com/2610-w-102nd-st-inglewood-ca/vfqy78f/,1 BA,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$1,075",,,
Glendale,Houses,CA,91203,"[{'bedroom_type': '4 Beds', 'price': '$4,500'}]","Glendale, CA 91203",https://www.apartments.com/452-salem-st-glendale-ca/4sgtv6h/,3 BAs,"1,988 Sq Ft","1,988",12 Month Lease,Available Now,,,,"$4,500",
Los Angeles,Houses,CA,91306,"[{'bedroom_type': '4 Beds', 'price': '$3,350'}]","Los Angeles, CA 91306",https://www.apartments.com/7053-cozycroft-ave-los-angeles-ca/24zxdr9/,2 BAs,"1,342 Sq Ft","1,342",,Available Now,,,,"$3,350",
Canyon Lake,Houses,CA,92587,"[{'bedroom_type': '4+ Beds', 'price': '$6,999'}]","29642 Vacation Dr, Canyon Lake, CA 92587",https://www.apartments.com/29642-vacation-dr-canyon-lake-ca/1ezbsm5/,3 BAs,"2,400 Sq Ft","2,400",,Available Now,,,,,"$6,999"
Redondo Beach,Houses,CA,90278,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","Redondo Beach, CA 90278",https://www.apartments.com/2505-mackay-ln-redondo-beach-ca/36923qe/,1½ BAs,"1,687 Sq Ft","1,687",,Aug 1,,,"$4,500",,
Montebello,Houses,CA,90640,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Montebello, CA 90640",https://www.apartments.com/720-date-st-montebello-ca/ehfws2p/,1 BA,640 Sq Ft,640,,Available Now,"$2,200",,,,
North Hollywood,Houses,CA,91601,"[{'bedroom_type': '3 Beds', 'price': '$3,795'}]","10936 Otsego St, North Hollywood, CA 91601",https://www.apartments.com/10936-otsego-st-north-hollywood-ca/mckt7cl/,2 BAs,"1,585 Sq Ft","1,585",12 Month Lease,Available Now,,,"$3,795",,
Irvine,Houses,CA,92604,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","Irvine, CA 92604",https://www.apartments.com/4762-lindstrom-ave-irvine-ca/51nzkvp/,2 BAs,"1,450 Sq Ft","1,450",,Available Now,,,"$3,000",,
Inglewood,Houses,CA,90303,"[{'bedroom_type': '1 Bed', 'price': '$1,025'}]","2610 W 102nd St, Inglewood, CA 90303",https://www.apartments.com/2610-w-102nd-st-inglewood-ca/d2crcjh/,1 BA,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$1,025",,,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]","2009 6th St, Santa Monica, CA 90405",https://www.apartments.com/2009-6th-st-santa-monica-ca/8z9v913/,2 BAs,"1,200 Sq Ft","1,200",,Jul 31,,,"$5,200",,
Los Angeles,Houses,CA,90018,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]","Los Angeles, CA 90018",https://www.apartments.com/3107-harvard-los-angeles-ca/gx1qrly/,2½ BAs,"1,550 Sq Ft","1,550",,Aug 31,,,"$4,000",,
Los Angeles,Houses,CA,90744,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","Los Angeles, CA 90744",https://www.apartments.com/625-e-246th-st-los-angeles-ca/gghbcwy/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Sep 1,,,"$3,000",,
Los Angeles,Houses,CA,90077,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]","Los Angeles, CA 90077",https://www.apartments.com/2660-n-beverly-glen-blvd-los-angeles-ca/5kvpsym/,1 BA,600 Sq Ft,600,,Available Now,,"$2,000",,,
Los Angeles,Houses,CA,90042,"[{'bedroom_type': '3 Beds', 'price': '$3,700'}]","Los Angeles, CA 90042",https://www.apartments.com/4765-charters-ave-los-angeles-ca/d25bf7j/,2 BAs,"1,650 Sq Ft","1,650",12 Month Lease,Aug 1,,,"$3,700",,
San Gabriel,Houses,CA,91775,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","San Gabriel, CA 91775",https://www.apartments.com/7258-jackson-pl-san-gabriel-ca/rx9dm82/,2 BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,,,"$3,000",,
Los Angeles,Houses,CA,91364,"[{'bedroom_type': '3 Beds', 'price': '$3,775'}]","Los Angeles, CA 91364",https://www.apartments.com/5318-alhama-dr-los-angeles-ca/h8pdf03/,2 BAs,"1,000 Sq Ft","1,000",,Available Now,,,"$3,775",,
Los Angeles,Houses,CA,91403,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]","Los Angeles, CA 91403",https://www.apartments.com/3508-woodcliff-rd-los-angeles-ca/nds83lq/,2 BAs,"2,156 Sq Ft","2,156",12 Month Lease,Available Now,,,"$5,200",,
West Hills,Houses,CA,91304,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]","West Hills, CA 91304",https://www.apartments.com/west-hills-ca/1elftk5/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,950",,,,
Los Angeles,Houses,CA,91335,"[{'bedroom_type': '3 Beds', 'price': '$2,750'}]","7330 Rhea Ave, Los Angeles, CA 91335",https://www.apartments.com/7330-rhea-ave-los-angeles-ca/sp1ts37/,1 BA,"1,100 Sq Ft","1,100",,Available Now,,,"$2,750",,
Los Angeles,Houses,CA,90049,"[{'bedroom_type': '2 Beds', 'price': '$3,850'}]","Los Angeles, CA 90049",https://www.apartments.com/12240-darlington-ave-los-angeles-ca/b56b3tc/,1 BA,950 Sq Ft,950,,Available Now,"$3,850",,,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]","2832 S Sycamore Ave, Los Angeles, CA 90016",https://www.apartments.com/2832-s-sycamore-ave-los-angeles-ca/cwj6jje/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Sep 1,,"$2,200",,,
Los Angeles,Houses,CA,90025,"[{'bedroom_type': '1 Bed', 'price': '$2,400'}]","1658 Centinela Ave, Los Angeles, CA 90025",https://www.apartments.com/1658-centinela-ave-los-angeles-ca/b5psgzc/,1 BA,500 Sq Ft,500,3 Month Lease,Jul 22,,"$2,400",,,
Sierra Madre,Houses,CA,91024,"[{'bedroom_type': '3 Beds', 'price': '$2,850'}]","Sierra Madre, CA 91024",https://www.apartments.com/233-santa-anita-ct-sierra-madre-ca/68jbn7v/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$2,850",,
Redondo Beach,Houses,CA,90278,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]","1721 Van Horne Ln, Redondo Beach, CA 90278",https://www.apartments.com/1721-van-horne-ln-redondo-beach-ca/35b7dwf/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,200",,,
Los Angeles,Houses,CA,91356,"[{'bedroom_type': '4 Beds', 'price': '$6,500'}]","5523 Shirley Ave, Los Angeles, CA 91356",https://www.apartments.com/5523-shirley-ave-los-angeles-ca/epbwybn/,4 BAs,"2,170 Sq Ft","2,170",,Available Now,,,,"$6,500",
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '4+ Beds', 'price': '$12,000'}]","Los Angeles, CA 90068",https://www.apartments.com/2525-carman-crest-dr-los-angeles-ca/5dfcnpp/,3 BAs,"231,014 Sq Ft","231,014",,Available Now,,,,,"$12,000"
Simi Valley,Houses,CA,93063,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","Simi Valley, CA 93063",https://www.apartments.com/1248-rocky-rd-simi-valley-ca/vz9le2e/,1 BA,"1,100 Sq Ft","1,100",,Available Now,"$3,500",,,,
Long Beach,Houses,CA,90805,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]","Long Beach, CA 90805",https://www.apartments.com/1825-e-64th-st-long-beach-ca/ysp0zmv/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,"$2,600",,
San Rafael,Houses,CA,94901,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]","San Rafael, CA 94901",https://www.apartments.com/11-woodland-pl-san-rafael-ca/7y8pstx/,2 BAs,"2,000 Sq Ft","2,000",,Available Now,,,"$4,000",,
Encino,Houses,CA,91316,"[{'bedroom_type': '4 Beds', 'price': '$4,400'}]","5927 Balcom Ave, Encino, CA 91316",https://www.apartments.com/5927-balcom-ave-encino-ca/t4eqqcb/,2 BAs,"2,001 Sq Ft","2,001",12 Month Lease,Available Now,,,,"$4,400",
Los Angeles,Houses,CA,91364,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]","Los Angeles, CA 91364",https://www.apartments.com/23035-gainford-st-los-angeles-ca/z11gcsw/,1 BA,500 Sq Ft,500,,Available Now,,"$2,200",,,
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '1 Bed', 'price': '$880'}]","Los Angeles, CA 90034",https://www.apartments.com/6030-comey-ave-los-angeles-ca/zbl9sew/,0½ BAs,160 Sq Ft,160,6 Month Lease,Jul 15,,$880,,,
Los Altos,Houses,CA,94022,"[{'bedroom_type': '3 Beds', 'price': '$5,950'}]","Los Altos, CA 94022",https://www.apartments.com/800-s-el-monte-ave-los-altos-ca/kx6zfhb/,2 BAs,"1,800 Sq Ft","1,800",,Available Now,,,"$5,950",,
Los Angeles,Houses,CA,90035,"[{'bedroom_type': '1 Bed', 'price': '$2,100'}]","Los Angeles, CA 90035",https://www.apartments.com/9123-monte-mar-dr-los-angeles-ca/hwwhsp3/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$2,100",,,
Los Angeles,Houses,CA,90077,"[{'bedroom_type': '4+ Beds', 'price': '$14,950'}]","3033 Beverly Glen Cir, Los Angeles, CA 90077",https://www.apartments.com/3033-beverly-glen-cir-los-angeles-ca/sccbmz5/,5 BAs,"4,044 Sq Ft","4,044",,Available Now,,,,,"$14,950"
Hawthorne,Houses,CA,90250,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","4817 134th Pl, Hawthorne, CA 90250",https://www.apartments.com/4817-134th-pl-hawthorne-ca/23w5nt9/,2 BAs,"1,141 Sq Ft","1,141",,Available Now,,,"$3,000",,
Santa Monica,Houses,CA,90402,"[{'bedroom_type': '4 Beds', 'price': '$8,900'}]","727 15th St, Santa Monica, CA 90402",https://www.apartments.com/727-15th-st-santa-monica-ca/wc2ry9h/,2½ BAs,"2,883 Sq Ft","2,883",,Available Now,,,,"$8,900",
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '2 Beds', 'price': '$4,750'}]","5801 Cazaux Dr, Los Angeles, CA 90068",https://www.apartments.com/5801-cazaux-dr-los-angeles-ca/x5q6pym/,2½ BAs,"1,900 Sq Ft","1,900",,Available Now,"$4,750",,,,
Los Angeles,Houses,CA,91306,"[{'bedroom_type': '3 Beds', 'price': '$2,750'}]","Los Angeles, CA 91306",https://www.apartments.com/20159-archwood-st-los-angeles-ca/zpby3yx/,2 BAs,"1,300 Sq Ft","1,300",,Available Now,,,"$2,750",,
San Rafael,Houses,CA,94901,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]","San Rafael, CA 94901",https://www.apartments.com/105-graceland-dr-san-rafael-ca/k4z7n4b/,1 BA,700 Sq Ft,700,12 Month Lease,Aug 1,,"$2,200",,,
Gardena,Houses,CA,90247,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]","815 W 134th St, Gardena, CA 90247",https://www.apartments.com/815-w-134th-st-gardena-ca/herlgv2/,1 BA,640 Sq Ft,640,12 Month Lease,Available Now,"$1,850",,,,
Los Angeles,Houses,CA,91345,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]","Los Angeles, CA 91345",https://www.apartments.com/14840-germain-st-los-angeles-ca/dyz5bbl/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,"$1,850",,,
South Pasadena,Houses,CA,91030,"[{'bedroom_type': '2 Beds', 'price': '$2,875'}]","South Pasadena, CA 91030",https://www.apartments.com/701-mound-ave-south-pasadena-ca/x93pywp/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,875",,,,
Sacramento,Houses,CA,95818,"[{'bedroom_type': '2 Beds', 'price': '$1,975'}]","Sacramento, CA 95818",https://www.apartments.com/2415-26th-st-sacramento-ca/y22xrgs/,1 BA,800 Sq Ft,800,,Available Now,"$1,975",,,,
Daly City,Houses,CA,94015,"[{'bedroom_type': '1 Bed', 'price': '$1,550'}]","Daly City, CA 94015",https://www.apartments.com/3-midvale-dr-daly-city-ca/qbdjbmz/,1 BA,220 Sq Ft,220,,Available Now,,"$1,550",,,
