City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,4 Beds,4+ Beds
Los Angeles,Houses,CA,91606,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]","Los Angeles, CA 91606",https://www.apartments.com/11302-delano-st-los-angeles-ca/k1c954b/,1 BA,938 Sq Ft,938,,Jul 15,"$3,100",,,,
Pacific Palisades,Houses,CA,90272,"[{'bedroom_type': '1 Bed', 'price': '$2,800'}]","16321 Pacific Coast Hwy, Pacific Palisades, CA 90272",https://www.apartments.com/16321-pacific-coast-hwy-pacific-palisades-ca/n3f08dq/,1 BA,518 Sq Ft,518,12 Month Lease,Available Now,,"$2,800",,,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$4,800'}]","639 Grant St, Santa Monica, CA 90405",https://www.apartments.com/639-grant-st-santa-monica-ca/lte9jxe/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Aug 1,"$4,800",,,,
Los Angeles,Houses,CA,91601,"[{'bedroom_type': '1 Bed', 'price': '$2,350'}]","Los Angeles, CA 91601",https://www.apartments.com/5016-riverton-ave-los-angeles-ca/c7d1m6e/,1 BA,750 Sq Ft,750,,Available Now,,"$2,350",,,
San Mateo,Houses,CA,94403,"[{'bedroom_type': '2 Beds', 'price': '$4,800'}]","San Mateo, CA 94403",https://www.apartments.com/703-28th-ave-san-mateo-ca/mhtg8qj/,1½ BAs,"1,170 Sq Ft","1,170",12 Month Lease,Available Now,"$4,800",,,,
Los Angeles,Houses,CA,90008,"[{'bedroom_type': '2 Beds', 'price': '$3,850'}]","3973 McClung Dr, Los Angeles, CA 90008",https://www.apartments.com/3973-mcclung-dr-los-angeles-ca/yk8t3zs/,1½ BAs,"1,520 Sq Ft","1,520",,Sep 1,"$3,850",,,,
Orange,Houses,CA,92867,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]","328 E Jacaranda Ave, Orange, CA 92867",https://www.apartments.com/328-e-jacaranda-ave-orange-ca/6qcyhrv/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Aug 1,"$3,000",,,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$3,550'}]","2300 Carmona Ave, Los Angeles, CA 90016",https://www.apartments.com/2300-carmona-ave-los-angeles-ca/be5fw6b/,2 BAs,"1,020 Sq Ft","1,020",12 Month Lease,Available Now,,,"$3,550",,
Vallejo,Houses,CA,94591,"[{'bedroom_type': '4 Beds', 'price': '$3,300'}]","Vallejo, CA 94591",https://www.apartments.com/6585-deerfield-dr-vallejo-ca/338fxtd/,3 BAs,"2,400 Sq Ft","2,400",12 Month Lease,Available Now,,,,"$3,300",
Los Angeles,Houses,CA,90044,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]","Los Angeles, CA 90044",https://www.apartments.com/1047-w-71st-st-los-angeles-ca/dkbt2mj/,2 BAs,"1,520 Sq Ft","1,520",12 Month Lease,Available Now,,,"$3,200",,
West Hollywood,Houses,CA,90048,"[{'bedroom_type': '3 Beds', 'price': '$6,999'}]","138 N Almont Dr, West Hollywood, CA 90048",https://www.apartments.com/138-n-almont-dr-west-hollywood-ca/bvg3w5b/,2 BAs,"1,769 Sq Ft","1,769",12 Month Lease,Available Now,,,"$6,999",,
Topanga,Houses,CA,90290,"[{'bedroom_type': '4 Beds', 'price': '$8,000'}]","20314 Callon Dr, Topanga, CA 90290",https://www.apartments.com/20314-callon-dr-topanga-ca/mw755xh/,4 BAs,"4,000 Sq Ft","4,000",12 Month Lease,Available Now,,,,"$8,000",
West Hollywood,Houses,CA,90046,"[{'bedroom_type': '1 Bed', 'price': '$3,500'}]","1241 N Formosa Ave, West Hollywood, CA 90046",https://www.apartments.com/1241-n-formosa-ave-west-hollywood-ca/bn1245c/,1 BA,"1,000 Sq Ft","1,000",,Available Now,,"$3,500",,,
Lancaster,Houses,CA,93536,"[{'bedroom_type': '3 Beds', 'price': '$2,000'}]","Lancaster, CA 93536",https://www.apartments.com/43330-28th-st-w-lancaster-ca/es8lmgq/,2 BAs,"1,304 Sq Ft","1,304",12 Month Lease,Aug 1,,,"$2,000",,
Mountain View,Houses,CA,94040,"[{'bedroom_type': '1 Bed', 'price': '$3,145'}]","Mountain View, CA 94040",https://www.apartments.com/135-carmelita-dr-mountain-view-ca/fsvbj3r/,1 BA,875 Sq Ft,875,12 Month Lease,Available Now,,"$3,145",,,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$7,500'}]","2628 3rd St, Santa Monica, CA 90405",https://www.apartments.com/2628-3rd-st-santa-monica-ca/4347ndk/,1½ BAs,"1,200 Sq Ft","1,200",3 Month Lease,Available Now,"$7,500",,,,
Los Angeles,Houses,CA,91604,"[{'bedroom_type': '1 Bed', 'price': '$3,590'}]","4323 Laurelgrove Ave, Los Angeles, CA 91604",https://www.apartments.com/4323-laurelgrove-ave-los-angeles-ca/3097syf/,1 BA,700 Sq Ft,700,,Available Now,,"$3,590",,,
Castaic,Houses,CA,91384,"[{'bedroom_type': '4+ Beds', 'price': '$3,295'}]","Castaic, CA 91384",https://www.apartments.com/32242-big-oak-ln-castaic-ca/p51mhbs/,3 BAs,"2,600 Sq Ft","2,600",,Aug 8,,,,,"$3,295"
San Jose,Houses,CA,95125,"[{'bedroom_type': '3 Beds', 'price': '$3,750'}]","San Jose, CA 95125",https://www.apartments.com/2549-skylark-dr-san-jose-ca/gfw0dmy/,2 BAs,"1,313 Sq Ft","1,313",,Jul 15,,,"$3,750",,
Los Angeles,Houses,CA,91352,"[{'bedroom_type': '4 Beds', 'price': '$5,500'}]","Los Angeles, CA 91352",https://www.apartments.com/8722-amboy-ave-los-angeles-ca/jy5xz55/,2 BAs,"1,604 Sq Ft","1,604",12 Month Lease,Available Now,,,,"$5,500",
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '3 Beds', 'price': '$6,750'}]","Los Angeles, CA 90034",https://www.apartments.com/2712-s-beverly-dr-los-angeles-ca/qljp9yw/,2½ BAs,"2,467 Sq Ft","2,467",12 Month Lease,Available Now,,,"$6,750",,
Los Angeles,Houses,CA,90042,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]","Los Angeles, CA 90042",https://www.apartments.com/1616-n-ave-51-ave-los-angeles-ca/dl3rrqj/,1 BA,696 Sq Ft,696,12 Month Lease,Available Now,"$2,950",,,,
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]","Los Angeles, CA 90045",https://www.apartments.com/6531-w-84th-st-los-angeles-ca/ll7bsxe/,2 BAs,"1,480 Sq Ft","1,480",12 Month Lease,Sep 14,,,"$5,200",,
Culver City,Houses,CA,90230,"[{'bedroom_type': '1 Bed', 'price': '$3,900'}]","Culver City, CA 90230",https://www.apartments.com/11148-culver-blvd-culver-city-ca/063lm01/,1 BA,"1,161 Sq Ft","1,161",12 Month Lease,Available Now,,"$3,900",,,
Santa Monica,Houses,CA,90401,"[{'bedroom_type': '1 Bed', 'price': '$2,495'}]","1543 11th St, Santa Monica, CA 90401",https://www.apartments.com/1543-11th-st-santa-monica-ca/4rrv28h/,1 BA,695 Sq Ft,695,,Available Now,,"$2,495",,,
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '3 Beds', 'price': '$5,200'}]","Los Angeles, CA 90045",https://www.apartments.com/6531-w-84th-st-los-angeles-ca/ll7bsxe/,2 BAs,"1,480 Sq Ft","1,480",12 Month Lease,Sep 14,,,"$5,200",,
Culver City,Houses,CA,90230,"[{'bedroom_type': '1 Bed', 'price': '$3,900'}]","Culver City, CA 90230",https://www.apartments.com/11148-culver-blvd-culver-city-ca/063lm01/,1 BA,"1,161 Sq Ft","1,161",12 Month Lease,Available Now,,"$3,900",,,
Santa Monica,Houses,CA,90401,"[{'bedroom_type': '1 Bed', 'price': '$2,495'}]","1543 11th St, Santa Monica, CA 90401",https://www.apartments.com/1543-11th-st-santa-monica-ca/4rrv28h/,1 BA,695 Sq Ft,695,,Available Now,,"$2,495",,,
Santa Monica,Houses,CA,90403,"[{'bedroom_type': '4+ Beds', 'price': '$19,995'}]","1126 Yale St, Santa Monica, CA 90403",https://www.apartments.com/1126-yale-st-santa-monica-ca/vv3l8ef/,6½ BAs,"4,700 Sq Ft","4,700",,Available Now,,,,,"$19,995"
Glendale,Houses,CA,91205,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","Glendale, CA 91205",https://www.apartments.com/1374-e-garfield-ave-glendale-ca/1k1j375/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,"$3,300",,,,
Santa Monica,Houses,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]","1915 Arizona Ave, Santa Monica, CA 90404",https://www.apartments.com/1915-arizona-ave-santa-monica-ca/ygwxtxr/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$4,000",,,,
Santa Monica,Houses,CA,90404,"[{'bedroom_type': '2 Beds', 'price': '$6,000'}]","1257 19th St, Santa Monica, CA 90404",https://www.apartments.com/1257-19th-st-santa-monica-ca/3thd5le/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$6,000",,,,
Oakland,Houses,CA,94602,"[{'bedroom_type': '3 Beds', 'price': '$4,250'}]","Oakland, CA 94602",https://www.apartments.com/3095-guido-st-oakland-ca/ynry59v/,2½ BAs,"1,775 Sq Ft","1,775",12 Month Lease,Jul 15,,,"$4,250",,
Los Angeles,Houses,CA,90056,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Los Angeles, CA 90056",https://www.apartments.com/5725-s-corning-ave-los-angeles-ca/nsmxqqn/,1 BA,"1,144 Sq Ft","1,144",12 Month Lease,Available Now,"$2,500",,,,
Carson,Houses,CA,90745,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]","307 W 229th St, Carson, CA 90745",https://www.apartments.com/307-w-229th-st-carson-ca/pz1xw1v/,2 BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,,"$2,950",,
Carson,Houses,CA,90745,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]","307 W 229th St, Carson, CA 90745",https://www.apartments.com/307-w-229th-st-carson-ca/zr4v7zw/,2 BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,,"$2,950",,
Roseville,Houses,CA,95678,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Roseville, CA 95678",https://www.apartments.com/205-grove-st-roseville-ca/mn4grqk/,1 BA,"1,086 Sq Ft","1,086",,Available Now,"$1,900",,,,
Inglewood,Houses,CA,90303,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","Inglewood, CA 90303",https://www.apartments.com/3306-w-115th-st-inglewood-ca/fg9ctwv/,1 BA,"1,204 Sq Ft","1,204",12 Month Lease,Available Now,,,"$3,000",,
Piedmont,Houses,CA,94611,"[{'bedroom_type': '3 Beds', 'price': '$4,800'}]","Piedmont, CA 94611",https://www.apartments.com/964-rose-ave-piedmont-ca/8hvjv00/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,"$4,800",,
San Francisco,Houses,CA,94114,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]","San Francisco, CA 94114",https://www.apartments.com/160-grand-view-ave-san-francisco-ca/7xdn8ly/,1½ BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,,"$6,500",,
Hawthorne,Houses,CA,90250,"[{'bedroom_type': '4+ Beds', 'price': '$4,900'}]","Hawthorne, CA 90250",https://www.apartments.com/5313-w-140th-st-hawthorne-ca/nfnrzln/,4 BAs,"3,064 Sq Ft","3,064",,Available Now,,,,,"$4,900"
Malibu,Houses,CA,90265,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]","Malibu, CA 90265",https://www.apartments.com/6216-paseo-cyn-dr-malibu-ca/2r3kef9/,2 BAs,"2,145 Sq Ft","2,145",6 Month Lease,Available Now,,,"$5,000",,
Rancho Palos Verdes,Houses,CA,90275,"[{'bedroom_type': '4 Beds', 'price': '$5,700'}]","6753 Vallon Dr, Rancho Palos Verdes, CA 90275",https://www.apartments.com/6753-vallon-dr-rancho-palos-verdes-ca/f1f9z3v/,4½ BAs,"2,720 Sq Ft","2,720",12 Month Lease,Available Now,,,,"$5,700",
San Jose,Houses,CA,95124,"[{'bedroom_type': '3 Beds', 'price': '$4,100'}]","San Jose, CA 95124",https://www.apartments.com/1628-orchard-view-dr-san-jose-ca/chwdbmd/,2 BAs,"1,940 Sq Ft","1,940",12 Month Lease,Available Now,,,"$4,100",,
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$5,400'}]","Los Angeles, CA 90046",https://www.apartments.com/8558-walnut-dr-los-angeles-ca/w1cft0j/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$5,400",,,,
Los Angeles,Houses,CA,91307,"[{'bedroom_type': '3 Beds', 'price': '$3,490'}]","23401 Schoolcraft St, Los Angeles, CA 91307",https://www.apartments.com/23401-schoolcraft-st-los-angeles-ca/4q5wpjk/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,"$3,490",,
Los Angeles,Houses,CA,90063,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Los Angeles, CA 90063",https://www.apartments.com/3117-2nd-e-st-los-angeles-ca/1xl3hz4/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,500",,,,
Los Angeles,Houses,CA,91367,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}]","22850 Erwin St, Los Angeles, CA 91367",https://www.apartments.com/22850-erwin-st-los-angeles-ca/ml2mlqh/,1 BA,600 Sq Ft,600,,Available Now,,"$1,900",,,
Los Angeles,Houses,CA,90018,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","2813 2nd Ave, Los Angeles, CA 90018",https://www.apartments.com/2813-2nd-ave-los-angeles-ca/9qqhdl7/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Sep 1,"$2,750",,,,
Simi Valley,Houses,CA,93063,"[{'bedroom_type': '4+ Beds', 'price': '$10,995'}]","Simi Valley, CA 93063",https://www.apartments.com/1248-rocky-rd-simi-valley-ca/8vrtj90/,3 BAs,"4,510 Sq Ft","4,510",12 Month Lease,Available Now,,,,,"$10,995"
Culver City,Houses,CA,90232,"[{'bedroom_type': '1 Bed', 'price': '$3,150'}]","4233 Lafayette Pl, Culver City, CA 90232",https://www.apartments.com/4233-lafayette-pl-culver-city-ca/g8vj4gx/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$3,150",,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$4,900'}]","708 Marr St, Los Angeles, CA 90291",https://www.apartments.com/708-marr-st-los-angeles-ca/dsncdtl/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Jul 27,"$4,900",,,,
Los Angeles,Houses,CA,90064,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]","Los Angeles, CA 90064",https://www.apartments.com/2537-barry-ave-los-angeles-ca/lxr6ymg/,2½ BAs,"1,800 Sq Ft","1,800",6 Month Lease,Aug 1,,,"$6,500",,
Campbell,Houses,CA,95008,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]","Campbell, CA 95008",https://www.apartments.com/1057-shamrock-dr-campbell-ca/wrsb2bl/,3 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Sep 1,,,"$5,000",,
Cathedral City,Houses,CA,92234,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","Cathedral City, CA 92234",https://www.apartments.com/28587-w-natoma-dr-cathedral-city-ca/bj2csdb/,2½ BAs,"1,860 Sq Ft","1,860",4 Month Lease,Aug 3,,,"$3,500",,
Los Angeles,Houses,CA,91042,"[{'bedroom_type': '4 Beds', 'price': '$6,990'}]","Los Angeles, CA 91042",https://www.apartments.com/11137-provence-ln-los-angeles-ca/wpkj9sh/,3 BAs,"3,551 Sq Ft","3,551",2 Month Lease,Dec 1,,,,"$6,990",
Inglewood,Houses,CA,90303,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","Inglewood, CA 90303",https://www.apartments.com/10931-wilkie-ave-inglewood-ca/60q0ezs/,1½ BAs,"1,277 Sq Ft","1,277",12 Month Lease,Jul 25,,,"$3,000",,
West Hollywood,Houses,CA,90069,"[{'bedroom_type': '4 Beds', 'price': '$11,500'}]","1423 Devlin Dr, West Hollywood, CA 90069",https://www.apartments.com/1423-devlin-dr-west-hollywood-ca/0qyhqj2/,3½ BAs,"3,500 Sq Ft","3,500",6 Month Lease,Available Now,,,,"$11,500",
Los Angeles,Houses,CA,90046,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]","7258 1/2 Fountain Ave, Los Angeles, CA 90046",https://www.apartments.com/7258-1-2-fountain-ave-los-angeles-ca/0ryegn0/,1 BA,980 Sq Ft,980,6 Month Lease,Available Now,,,"$2,900",,
Santa Monica,Houses,CA,90405,"[{'bedroom_type': '2 Beds', 'price': '$4,700'}]","728 Pacific St, Santa Monica, CA 90405",https://www.apartments.com/728-pacific-st-santa-monica-ca/xv5smnp/,2 BAs,840 Sq Ft,840,12 Month Lease,Available Now,"$4,700",,,,
Hawthorne,Houses,CA,90250,"[{'bedroom_type': '3 Beds', 'price': '$3,475'}]","Hawthorne, CA 90250",https://www.apartments.com/11655-s-wilton-pl-hawthorne-ca/8wdzjc1/,2 BAs,"1,557 Sq Ft","1,557",12 Month Lease,Sep 17,,,"$3,475",,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '1 Bed', 'price': '$3,150'}]","Los Angeles, CA 90068",https://www.apartments.com/6122-glen-tower-st-los-angeles-ca/8yxn0b1/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,"$3,150",,,
Los Angeles,Houses,CA,91423,"[{'bedroom_type': '3 Beds', 'price': '$7,000'}]","Los Angeles, CA 91423",https://www.apartments.com/4079-woodman-canyon-los-angeles-ca/qt6cqtz/,2 BAs,"1,166 Sq Ft","1,166",,Available Now,,,"$7,000",,
San Diego,Houses,CA,92109,"[{'bedroom_type': '4+ Beds', 'price': '$6,200'}]","San Diego, CA 92109",https://www.apartments.com/2159-emerald-st-san-diego-ca/jhf1yv6/,3½ BAs,"2,975 Sq Ft","2,975",12 Month Lease,Aug 31,,,,,"$6,200"
Los Angeles,Houses,CA,91602,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]","11145 Landale St, Los Angeles, CA 91602",https://www.apartments.com/11145-landale-st-los-angeles-ca/7yt6rfy/,1 BA,1 Sq Ft,1,12 Month Lease,Available Now,,"$1,700",,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$3,750'}]","Los Angeles, CA 90291",https://www.apartments.com/1708-linden-ave-los-angeles-ca/ty3xbk9/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$3,750",,,
Inglewood,Houses,CA,90302,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","939 E 67th St, Inglewood, CA 90302",https://www.apartments.com/939-e-67th-st-inglewood-ca/9feq685/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,100",,,,
Pasadena,Houses,CA,91104,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","750 E Orange Grove Blvd, Pasadena, CA 91104",https://www.apartments.com/750-e-orange-grove-blvd-pasadena-ca/qkn8l0z/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$1,750",,,
Los Angeles,Houses,CA,91325,"[{'bedroom_type': '3 Beds', 'price': '$4,750'}]","17544 Lorne St, Los Angeles, CA 91325",https://www.apartments.com/17544-lorne-st-los-angeles-ca/nxxxgqn/,3 BAs,"1,650 Sq Ft","1,650",12 Month Lease,Available Now,,,"$4,750",,
Los Angeles,Houses,CA,91324,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}]","8358 Calvin Ave, Los Angeles, CA 91324",https://www.apartments.com/8358-calvin-ave-los-angeles-ca/dnxd7vj/,1 BA,500 Sq Ft,500,12 Month Lease,Jul 5,,"$1,600",,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]","127 W Avenue 42 Ave, Los Angeles, CA 90065",https://www.apartments.com/127-w-avenue-42-ave-los-angeles-ca/4qwrthj/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,"$2,000",,,,
North Hollywood,Houses,CA,91601,"[{'bedroom_type': '2 Beds', 'price': '$2,995'}]","10800 Otsego St, North Hollywood, CA 91601",https://www.apartments.com/10800-otsego-st-north-hollywood-ca/ymd4kxs/,1 BA,"1,157 Sq Ft","1,157",12 Month Lease,Available Now,"$2,995",,,,
Los Angeles,Houses,CA,91436,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}]","Los Angeles, CA 91436",https://www.apartments.com/5004-petit-ave-los-angeles-ca/p86680t/,1 BA,450 Sq Ft,450,6 Month Lease,Available Now,,"$1,650",,,
Encino,Houses,CA,91316,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","17646 Delano St, Encino, CA 91316",https://www.apartments.com/17646-delano-st-encino-ca/szrcxq5/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$3,000",,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '1 Bed', 'price': '$3,250'}]","3101 Highland Ave, Manhattan Beach, CA 90266",https://www.apartments.com/3101-highland-ave-manhattan-beach-ca/1sgryn5/,1 BA,600 Sq Ft,600,12 Month Lease,Aug 1,,"$3,250",,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]","12510 Barbara Ave, Los Angeles, CA 90066",https://www.apartments.com/12510-barbara-ave-los-angeles-ca/qfp0f4w/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,"$2,000",,,
Culver City,Houses,CA,90232,"[{'bedroom_type': '1 Bed', 'price': '$2,395'}]","4259 Vinton Ave, Culver City, CA 90232",https://www.apartments.com/4259-vinton-ave-culver-city-ca/4byd7hh/,1 BA,750 Sq Ft,750,6 Month Lease,Available Now,,"$2,395",,,
Culver City,Houses,CA,90232,"[{'bedroom_type': '3 Beds', 'price': '$4,350'}]","4400 Vinton Ave, Culver City, CA 90232",https://www.apartments.com/4400-vinton-ave-culver-city-ca/75341my/,1½ BAs,"1,900 Sq Ft","1,900",12 Month Lease,Available Now,,,"$4,350",,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '4 Beds', 'price': '$6,500'}]","3760 Moore St, Los Angeles, CA 90066",https://www.apartments.com/3760-moore-st-los-angeles-ca/p6kxz4v/,3 BAs,"1,850 Sq Ft","1,850",,Available Now,,,,"$6,500",
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]","3488 Redwood Ave, Los Angeles, CA 90066",https://www.apartments.com/3488-redwood-ave-los-angeles-ca/12vj715/,1 BA,"1,000 Sq Ft","1,000",,Available Now,,,"$4,000",,
Venice,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]","222 6th Ave, Venice, CA 90291",https://www.apartments.com/222-6th-ave-venice-ca/8mkj2d0/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$5,000",,,,
Gardena,Houses,CA,90247,"[{'bedroom_type': '3 Beds', 'price': '$2,800'}]","1939 162nd W St, Gardena, CA 90247",https://www.apartments.com/1939-162nd-w-st-gardena-ca/fp7dtpr/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$2,800",,
Toluca Lake,Houses,CA,91602,"[{'bedroom_type': '3 Beds', 'price': '$5,100'}]","10732 Bloomfield St, Toluca Lake, CA 91602",https://www.apartments.com/10732-bloomfield-st-toluca-lake-ca/q7m2nzy/,4 BAs,"1,986 Sq Ft","1,986",12 Month Lease,Available Now,,,"$5,100",,
Westchester,Houses,CA,90045,"[{'bedroom_type': '3 Beds', 'price': '$3,650'}]","7913 Reading Ave, Westchester, CA 90045",https://www.apartments.com/7913-reading-ave-westchester-ca/sypm3g7/,2 BAs,"1,650 Sq Ft","1,650",,Available Now,,,"$3,650",,
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '4+ Beds', 'price': '$9,500'}]","3110 Military Ave, Los Angeles, CA 90034",https://www.apartments.com/3110-military-ave-los-angeles-ca/hrn8gc3/,5 BAs,"3,250 Sq Ft","3,250",12 Month Lease,Available Now,,,,,"$9,500"
San Diego,Houses,CA,92110,"[{'bedroom_type': '4 Beds', 'price': '$5,000'}]","San Diego, CA 92110",https://www.apartments.com/5167-savannah-st-san-diego-ca/v7xlk0d/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,,"$5,000",
West Hollywood,Houses,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$4,750'}]","West Hollywood, CA 90069",https://www.apartments.com/9127-phyllis-st-west-hollywood-ca/t9pwhp9/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,"$4,750",,,,
Los Angeles,Houses,CA,90068,"[{'bedroom_type': '4 Beds', 'price': '$4,950'}]","1945 Holly Dr, Los Angeles, CA 90068",https://www.apartments.com/1945-holly-dr-los-angeles-ca/8l8j931/,3 BAs,"2,272 Sq Ft","2,272",,Available Now,,,,"$4,950",
Culver City,Houses,CA,90232,"[{'bedroom_type': '2 Beds', 'price': '$3,395'}]","Culver City, CA 90232",https://www.apartments.com/3530-helms-ave-culver-city-ca/ypxsflr/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$3,395",,,,
Torrance,Houses,CA,90502,"[{'bedroom_type': '4 Beds', 'price': '$2,599'}]","Torrance, CA 90502",https://www.apartments.com/21904-vermont-ave-torrance-ca/9zy68g4/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,,"$2,599",
Los Angeles,Houses,CA,90024,"[{'bedroom_type': '4 Beds', 'price': '$14,850'}]","1416 Comstock Ave, Los Angeles, CA 90024",https://www.apartments.com/1416-comstock-ave-los-angeles-ca/fj9efpt/,4½ BAs,"3,500 Sq Ft","3,500",12 Month Lease,Available Now,,,,"$14,850",
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '3 Beds', 'price': '$3,975'}]","6420 W 82nd St, Los Angeles, CA 90045",https://www.apartments.com/6420-w-82nd-st-los-angeles-ca/4c5r0hl/,1 BA,"1,004 Sq Ft","1,004",12 Month Lease,Available Now,,,"$3,975",,
Rancho Mirage,Houses,CA,92270,"[{'bedroom_type': '3 Beds', 'price': '$4,499'}]","Rancho Mirage, CA 92270",https://www.apartments.com/192-n-kavenish-dr-rancho-mirage-ca/965fgm4/,3 BAs,"2,456 Sq Ft","2,456",,Available Now,,,"$4,499",,
La Cañada Flintridge,Houses,CA,91011,"[{'bedroom_type': '1 Bed', 'price': '$1,875'}]","2105 Via Venado St, La Cañada Flintridge, CA 91011",https://www.apartments.com/2105-via-venado-st-la-canada-flintridge-ca/q8c3fdw/,1 BA,480 Sq Ft,480,12 Month Lease,Available Now,,"$1,875",,,
Los Angeles,Houses,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$2,499'}]","Los Angeles, CA 90034",https://www.apartments.com/3735-veteran-ave-los-angeles-ca/2h7pnv9/,1 BA,830 Sq Ft,830,12 Month Lease,Available Now,"$2,499",,,,
Bakersfield,Houses,CA,93304,"[{'bedroom_type': '3 Beds', 'price': '$1,050'}]","Bakersfield, CA 93304",https://www.apartments.com/2920-dore-dr-bakersfield-ca/3dlqs6g/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,"$1,050",,
