City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,4 Beds,2 Beds,3 Beds,4+ Beds
300 Myer Dr,Townhomes,Chowchilla,CA,"[{'bedroom_type': '1 Bed', 'price': '$494'}]","Chowchilla, CA 93610",https://www.apartments.com/300-myer-dr-chowchilla-ca/q7zwzcx/,1 BA,,,12 Month Lease,Available Now,$494,,,,
2026 Barbara St,Townhomes,Selma,CA,"[{'bedroom_type': '1 Bed', 'price': '$854'}]","Selma, CA 93662",https://www.apartments.com/2026-barbara-st-selma-ca/kvgkheb/,1 BA,,,12 Month Lease,Available Now,$854,,,,
2425 Shady Ln,Townhomes,Anderson,CA,"[{'bedroom_type': '1 Bed', 'price': '$764'}]","Anderson, CA 96007",https://www.apartments.com/2425-shady-ln-anderson-ca/1ytvey7/,1 BA,,,12 Month Lease,Available Now,$764,,,,
1565 Fair Oaks Dr,Townhomes,Anderson,CA,"[{'bedroom_type': '1 Bed', 'price': '$707'}]","Anderson, CA 96007",https://www.apartments.com/1565-fair-oaks-dr-anderson-ca/sys3em7/,1 BA,,,12 Month Lease,Available Now,$707,,,,
73747 Raymond Way,Townhomes,Twentynine Palms,CA,"[{'bedroom_type': '1 Bed', 'price': '$653'}]","Twentynine Palms, CA 92277",https://www.apartments.com/73747-raymond-way-twentynine-palms-ca/pgzpmfs/,1 BA,,,12 Month Lease,Available Now,$653,,,,
11190 Mesquite Ave,Townhomes,Desert Hot Springs,CA,"[{'bedroom_type': '1 Bed', 'price': '$565'}]","Desert Hot Springs, CA 92240",https://www.apartments.com/11190-mesquite-ave-desert-hot-springs-ca/rcbpx32/,1 BA,,,12 Month Lease,Available Now,$565,,,,
333 E St,Townhomes,Eureka,CA,"[{'bedroom_type': '1 Bed', 'price': '$718'}]","Eureka, CA 95501",https://www.apartments.com/333-e-st-eureka-ca/2s52kjc/,1 BA,,,12 Month Lease,Available Now,$718,,,,
18225 Coastline Dr,Townhomes,Malibu,CA,"[{'bedroom_type': '4 Beds', 'price': '$10,995'}]","Malibu, CA 90265",https://www.apartments.com/18225-coastline-dr-malibu-ca/m1fp86h/,4 BAs,,,,Available Now,,"$10,995",,,
6435 Zumirez Dr,Townhomes,Malibu,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,400'}]","Malibu, CA 90265",https://www.apartments.com/6435-zumirez-dr-malibu-ca/yfybq1t/,3 BAs,,,,Available Now,,,"$5,400",,
930 3rd St,Townhomes,Santa Monica,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]","Santa Monica, CA 90403",https://www.apartments.com/930-3rd-st-santa-monica-ca/fl4c05s/,2 BAs,,,,Available Now,,,"$4,500",,
235 S Ave 20,Townhomes,Los Angeles,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Los Angeles, CA 90031",https://www.apartments.com/235-s-ave-20-los-angeles-ca/1z597v5/,1 BA,,,,Available Now,,,"$2,200",,
466 Sherman Canal,Townhomes,Los Angeles,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,395'}]","Los Angeles, CA 90291",https://www.apartments.com/466-sherman-canal-los-angeles-ca/l9kb94g/,1 BA,,,,Available Now,,,"$5,395",,
6471 Zuma View Pl,Townhomes,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$6,150'}]","Malibu, CA 90265",https://www.apartments.com/6471-zuma-view-pl-malibu-ca/5kwwt2p/,3 BAs,,,,Available Now,,,,"$6,150",
28711 Pacific Coast Hwy,Townhomes,Malibu,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,700'}]","Malibu, CA 90265",https://www.apartments.com/28711-pacific-coast-hwy-malibu-ca/3lrm07f/,2 BAs,,,,Available Now,,,"$4,700",,
1505 Amsterdam Ct,Townhomes,Upland,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]","Upland, CA 91786",https://www.apartments.com/1505-amsterdam-ct-upland-ca/lx85lvg/,3 BAs,,,,Available Now,,,,"$2,400",
1565 Palisades Dr,Townhomes,Los Angeles,CA,"[{'bedroom_type': '3 Beds', 'price': '$6,200'}]","Los Angeles, CA 90272",https://www.apartments.com/1565-palisades-dr-los-angeles-ca/ldb0wtd/,4 BAs,,,,Available Now,,,,"$6,200",
835 Arcadia Ave,Townhomes,Arcadia,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,980'}]","Arcadia, CA 91007",https://www.apartments.com/835-arcadia-ave-arcadia-ca/8xbe562/,3 BAs,"1,587 Sq Ft","1,587",,Available Now,,,,"$2,980",
64 Waterleaf,Townhomes,Irvine,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,300'}]","Irvine, CA 92620",https://www.apartments.com/64-waterleaf-irvine-ca/40pxefl/,3 BAs,"1,611 Sq Ft","1,611",,Available Now,,,,"$3,300",
1013 Eucalipto Pl,Townhomes,Montebello,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Montebello, CA 90640",https://www.apartments.com/1013-eucalipto-pl-montebello-ca/pfvxfns/,3 BAs,"1,310 Sq Ft","1,310",,Available Now,,,"$2,500",,
