City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,3 Beds,4+ Beds,2 Beds,1 Bed,Studio
2033 Rio Vista,Houses,Needles,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,000'}]","Needles, CA 92363",https://www.apartments.com/2033-rio-vista-needles-ca/p9r5v7v/,2 BAs,"1,200 Sq Ft","1,200",,Available Now,,"$1,000",,,,
12 Morro Bay Dr,Houses,Newport Beach,CA,"[{'bedroom_type': '4 Beds', 'price': '$9,500'}]","Newport Beach, CA 92625",https://www.apartments.com/12-morro-bay-dr-newport-beach-ca/4fe9lhl/,3 BAs,"4,063 Sq Ft","4,063",,Available Now,"$9,500",,,,,
24 Dogwood,Houses,Lake Forest,CA,"[{'bedroom_type': '4+ Beds', 'price': '$4,680'}]","Lake Forest, CA 92630",https://www.apartments.com/24-dogwood-lake-forest-ca/bzlkpt8/,6 BAs,"3,453 Sq Ft","3,453",,Available Now,,,"$4,680",,,
24961 CA-74,Houses,Perris,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,600'}]","Perris, CA 92570",https://www.apartments.com/24961-ca-74-perris-ca/mdz5hfk/,2 BAs,"1,200 Sq Ft","1,200",,Available Now,,"$1,600",,,,
11865 Ambrosio Dr,Houses,Desert Hot Springs,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,595'}]","Desert Hot Springs, CA 92240",https://www.apartments.com/11865-ambrosio-dr-desert-hot-springs-ca/9xqc657/,2 BAs,"1,260 Sq Ft","1,260",,Available Now,,"$1,595",,,,
565 Walnut Ave,Houses,Redlands,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]","Redlands, CA 92373",https://www.apartments.com/565-walnut-ave-redlands-ca/jxh6jh4/,2 BAs,"2,200 Sq Ft","2,200",,Available Now,,"$3,200",,,,
46011 Sandia Creek Dr,Houses,Temecula,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,750'}]","Temecula, CA 92590",https://www.apartments.com/46011-sandia-creek-dr-temecula-ca/9tllmy4/,2 BAs,"1,344 Sq Ft","1,344",,Available Now,,"$2,750",,,,
1155 West St,Houses,Morro Bay,CA,"[{'bedroom_type': '4 Beds', 'price': '$10,000'}]","Morro Bay, CA 93442",https://www.apartments.com/1155-west-st-morro-bay-ca/nhhbfpq/,4 BAs,"3,611 Sq Ft","3,611",,Available Now,"$10,000",,,,,
35700 Trabuco Dr,Houses,Lake Elsinore,CA,"[{'bedroom_type': '4+ Beds', 'price': '$4,595'}]","Lake Elsinore, CA 92530",https://www.apartments.com/35700-trabuco-dr-lake-elsinore-ca/5kfvm1m/,5 BAs,"4,200 Sq Ft","4,200",,Available Now,,,"$4,595",,,
24180 Cresta Dr,Houses,Crestline,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Crestline, CA 92325",https://www.apartments.com/24180-cresta-dr-crestline-ca/t9nc1b9/,4 BAs,"1,792 Sq Ft","1,792",,Available Now,,"$2,500",,,,
185 Janzen Way,Houses,Hemet,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]","Hemet, CA 92545",https://www.apartments.com/185-janzen-way-hemet-ca/cd1zn4e/,2 BAs,"1,761 Sq Ft","1,761",,Available Now,,,,"$1,750",,
2495 Riviera Dr,Houses,Laguna Beach,CA,"[{'bedroom_type': '4+ Beds', 'price': '$95,000'}]","Laguna Beach, CA 92651",https://www.apartments.com/2495-riviera-dr-laguna-beach-ca/r1mvq91/,9 BAs,"7,200 Sq Ft","7,200",,Available Now,,,"$95,000",,,
4 Volanta Ct,Houses,Rancho Mission Viejo,CA,"[{'bedroom_type': '4 Beds', 'price': '$5,495'}]","Rancho Mission Viejo, CA 92694",https://www.apartments.com/4-volanta-ct-rancho-mission-viejo-ca/3rk4q4e/,5 BAs,"3,184 Sq Ft","3,184",,Available Now,"$5,495",,,,,
2041 St Bernard Dr,Houses,Frazier Park,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]","Frazier Park, CA 93225",https://www.apartments.com/2041-st-bernard-dr-frazier-park-ca/ky19eqc/,3 BAs,"2,389 Sq Ft","2,389",,Available Now,,"$2,400",,,,
Sacramento,Houses,CA,95815,"[{'bedroom_type': '2 Beds', 'price': '$1,500'}]","Sacramento, CA 95815",https://www.apartments.com/3211-pamela-dr-sacramento-ca/cqnfg1e/,1 BA,"1,000 Sq Ft","1,000",,Available Now,,,,"$1,500",,
Merced,Houses,CA,95348,"[{'bedroom_type': '3 Beds', 'price': '$1,600'}]","Merced, CA 95348",https://www.apartments.com/1199-paseo-verde-dr-merced-ca/kszfzzc/,2 BAs,"1,840 Sq Ft","1,840",,Available Now,,"$1,600",,,,
Fairfield,Houses,CA,94534,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Fairfield, CA 94534",https://www.apartments.com/2092-bridgeport-ave-fairfield-ca/dkh77el/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,"$2,400",,
Atascadero,Houses,CA,93422,"[{'bedroom_type': '3 Beds', 'price': '$2,100'}]","Atascadero, CA 93422",https://www.apartments.com/8555-el-centro-rd-atascadero-ca/dcnpcrk/,2 BAs,"1,700 Sq Ft","1,700",6 Month Lease,Available Now,,"$2,100",,,,
