City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,3 Beds,4+ Beds,2 Beds,1 Bed,Studio
57312 Buena Suerte Rd,Houses,Yucca Valley,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]","Yucca Valley, CA 92284",https://www.apartments.com/57312-buena-suerte-rd-yucca-valley-ca/dtdqm1h/,3 BAs,"2,175 Sq Ft","2,175",,Available Now,"$3,000",,,,,
7261 O'Donovan Rd,Houses,Creston,CA,"[{'bedroom_type': '4+ Beds', 'price': '$7,500'}]","Creston, CA 93432",https://www.apartments.com/7261-odonovan-rd-creston-ca/c1p0rne/,5 BAs,,,,Available Now,,,"$7,500",,,
29160 Arrowhead Dr,Houses,Lake Arrowhead,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,350'}]","Lake Arrowhead, CA 92321",https://www.apartments.com/29160-arrowhead-dr-lake-arrowhead-ca/pbd71gv/,1 BA,,,,Available Now,,,,,"$1,350",
0 Uphill Rd,Houses,JOSHUA TREE,CA,"[{'bedroom_type': '3 Beds', 'price': '$35,000'}]","JOSHUA TREE, CA 92252",https://www.apartments.com/0-uphill-rd-joshua-tree-ca/f8bzr8r/,3 BAs,,,,Available Now,,"$35,000",,,,
34300 Holcomb Valley Rd,Houses,Fawnskin,CA,"[{'bedroom_type': '4 Beds', 'price': '$12,000'}]","Fawnskin, CA 92333",https://www.apartments.com/34300-holcomb-valley-rd-fawnskin-ca/mmbvkrh/,4 BAs,,,,Available Now,"$12,000",,,,,
27070 Malibu Cove Colony Dr,Houses,Malibu,CA,"[{'bedroom_type': '2 Beds', 'price': '$15,000'}]","Malibu, CA 90265",https://www.apartments.com/27070-malibu-cove-colony-dr-malibu-ca/2jg4ew8/,2 BAs,,,,Available Now,,,,"$15,000",,
13136 Elizabeth Lake Rd,Houses,Leona Valley,CA,"[{'bedroom_type': '4+ Beds', 'price': '$9,950'}]","Leona Valley, CA 93551",https://www.apartments.com/13136-elizabeth-lake-rd-leona-valley-ca/m1k9gpj/,6 BAs,,,,Available Now,,,"$9,950",,,
9241 Wood Rd,Houses,Forest Falls,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Forest Falls, CA 92339",https://www.apartments.com/9241-wood-rd-forest-falls-ca/e15lx5m/,2 BAs,"1,320 Sq Ft","1,320",,Available Now,,"$2,500",,,,
22055 Rosary Ave,Houses,Nuevo,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Nuevo, CA 92567",https://www.apartments.com/22055-rosary-ave-nuevo-ca/lxpe9eg/,2 BAs,"1,585 Sq Ft","1,585",,Available Now,,"$2,500",,,,
203 Arbona Cir S,Houses,Sonora,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,650'}]","Sonora, CA 95370",https://www.apartments.com/203-arbona-cir-s-sonora-ca/qjy7jzx/,2 BAs,"1,640 Sq Ft","1,640",,Available Now,,"$1,650",,,,
2630 Colorado River Rd,Houses,Blythe,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,250'}]","Blythe, CA 92225",https://www.apartments.com/2630-colorado-river-rd-blythe-ca/5yx9thq/,3 BAs,"2,450 Sq Ft","2,450",,Available Now,,"$3,250",,,,
49366 Canyon House Rd,Houses,Morongo Valley,CA,"[{'bedroom_type': 'Studio', 'price': '$650'}]","Morongo Valley, CA 92256",https://www.apartments.com/49366-canyon-house-rd-morongo-valley-ca/ejfcg3q/,1 BA,500 Sq Ft,500,,Available Now,,,,,,$650
2614 Buena Rosa,Houses,Fallbrook,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]","Fallbrook, CA 92028",https://www.apartments.com/2614-buena-rosa-fallbrook-ca/rfb3z33/,2 BAs,"1,390 Sq Ft","1,390",,Available Now,,"$2,700",,,,
12532 Carmel Way,Houses,Santa Ana,CA,"[{'bedroom_type': '4+ Beds', 'price': '$8,495'}]","Santa Ana, CA 92705",https://www.apartments.com/12532-carmel-way-santa-ana-ca/ytl7mfr/,7 BAs,"4,985 Sq Ft","4,985",,Available Now,,,"$8,495",,,
316 Cibola St,Houses,Needles,CA,"[{'bedroom_type': '3 Beds', 'price': '$900'}]","Needles, CA 92363",https://www.apartments.com/316-cibola-st-needles-ca/q06hz1y/,2 BAs,"1,622 Sq Ft","1,622",,Available Now,,$900,,,,
2330 Indian Creek Rd,Houses,Diamond Bar,CA,"[{'bedroom_type': '4+ Beds', 'price': '$4,900'}]","Diamond Bar, CA 91765",https://www.apartments.com/2330-indian-creek-rd-diamond-bar-ca/r5e9zf2/,4 BAs,"3,888 Sq Ft","3,888",,Available Now,,,"$4,900",,,
4400 Encinal Canyon Rd,Houses,Malibu,CA,"[{'bedroom_type': '4+ Beds', 'price': '$45,000'}]","Malibu, CA 90265",https://www.apartments.com/4400-encinal-canyon-rd-malibu-ca/npv1ssm/,8 BAs,,,,Available Now,,,"$45,000",,,
