City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,Studio,1 Bed,4 Beds
Oakland,Condos,CA,94602,"[{'bedroom_type': '1 Bed', 'price': '$2,160'}]","Oakland, CA 94602",https://www.apartments.com/3215-macarthur-blvd-oakland-ca/kh836s9/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,,"$2,160",
Pasadena,Condos,CA,91101,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","254 Pleasant St, Pasadena, CA 91101",https://www.apartments.com/254-pleasant-st-pasadena-ca/kmbf8gc/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,"$1,750",
Huntington Beach,Condos,CA,92649,"[{'bedroom_type': 'Studio', 'price': '$1,800'}]","Huntington Beach, CA 92649",https://www.apartments.com/17088-st-andrews-ln-huntington-beach-ca/lny8pxg/,1 BA,500 Sq Ft,500,12 Month Lease,Aug 1,,,"$1,800",,
Huntington Beach,Condos,CA,92649,"[{'bedroom_type': 'Studio', 'price': '$2,100'}]","Huntington Beach, CA 92649",https://www.apartments.com/16932-pacific-coast-hwy-huntington-beach-ca-unit-104/hjcbnr2/,1 BA,475 Sq Ft,475,12 Month Lease,Sep 1,,,"$2,100",,
San Diego,Condos,CA,92109,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]","San Diego, CA 92109",https://www.apartments.com/3745-mission-blvd-san-diego-ca-unit-3/n01nq2p/,1 BA,850 Sq Ft,850,3 Month Lease,Aug 20,,"$3,750",,,
Mission Viejo,Condos,CA,92691,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Mission Viejo, CA 92691",https://www.apartments.com/23251-la-glorieta-ln-mission-viejo-ca-unit-f/rkw96k2/,1 BA,812 Sq Ft,812,12 Month Lease,Available Now,,"$1,900",,,
Lake Forest,Condos,CA,92610,"[{'bedroom_type': '2 Beds', 'price': '$2,195'}]","Lake Forest, CA 92610",https://www.apartments.com/19431-rue-de-valore-lake-forest-ca-unit-54c/qd17stz/,2 BAs,"1,060 Sq Ft","1,060",12 Month Lease,Available Now,,"$2,195",,,
Los Angeles,Condos,CA,90045,"[{'bedroom_type': '1 Bed', 'price': '$2,095'}]","Los Angeles, CA 90045",https://www.apartments.com/7039-w-manchester-ave-los-angeles-ca/wpjefbh/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,,"$2,095",
Mission Viejo,Condos,CA,92691,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Mission Viejo, CA 92691",https://www.apartments.com/23251-la-glorieta-ln-mission-viejo-ca-unit-f/rkw96k2/,1 BA,812 Sq Ft,812,12 Month Lease,Available Now,,"$1,900",,,
Lake Forest,Condos,CA,92610,"[{'bedroom_type': '2 Beds', 'price': '$2,195'}]","Lake Forest, CA 92610",https://www.apartments.com/19431-rue-de-valore-lake-forest-ca-unit-54c/qd17stz/,2 BAs,"1,060 Sq Ft","1,060",12 Month Lease,Available Now,,"$2,195",,,
Los Angeles,Condos,CA,90045,"[{'bedroom_type': '1 Bed', 'price': '$2,095'}]","Los Angeles, CA 90045",https://www.apartments.com/7039-w-manchester-ave-los-angeles-ca/wpjefbh/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,,"$2,095",
San Diego,Condos,CA,92108,"[{'bedroom_type': '1 Bed', 'price': '$1,350'}]","San Diego, CA 92108",https://www.apartments.com/3890-sipes-ln-san-diego-ca/p5p2rjv/,1 BA,560 Sq Ft,560,12 Month Lease,Available Now,,,,"$1,350",
Diamond Bar,Condos,CA,91765,"[{'bedroom_type': '2 Beds', 'price': '$1,870'}]","Diamond Bar, CA 91765",https://www.apartments.com/901-golden-springs-dr-diamond-bar-ca-unit-f12/f8mx4lv/,2 BAs,926 Sq Ft,926,12 Month Lease,Available Now,,"$1,870",,,
Oakland,Condos,CA,94602,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Oakland, CA 94602",https://www.apartments.com/3676-laurel-ave-oakland-ca/j0j1ee5/,1 BA,1 Sq Ft,1,12 Month Lease,Available Now,,"$2,500",,,
Palo Alto,Condos,CA,94301,"[{'bedroom_type': '2 Beds', 'price': '$7,000'}]","Palo Alto, CA 94301",https://www.apartments.com/251-middlefield-rd-palo-alto-ca/3rpccdg/,2 BAs,"1,414 Sq Ft","1,414",12 Month Lease,Available Now,,"$7,000",,,
Palo Alto,Condos,CA,94301,"[{'bedroom_type': 'Studio', 'price': '$2,900'}]","Palo Alto, CA 94301",https://www.apartments.com/715-everett-ave-palo-alto-ca/xwdx9qm/,1 BA,299 Sq Ft,299,12 Month Lease,Available Now,,,"$2,900",,
Palo Alto,Condos,CA,94301,"[{'bedroom_type': '1 Bed', 'price': '$3,600'}]","Palo Alto, CA 94301",https://www.apartments.com/715-everett-ave-palo-alto-ca/jg1jbt5/,1 BA,495 Sq Ft,495,12 Month Lease,Available Now,,,,"$3,600",
Palo Alto,Condos,CA,94301,"[{'bedroom_type': '3 Beds', 'price': '$8,000'}]","Palo Alto, CA 94301",https://www.apartments.com/715-everett-ave-palo-alto-ca/ddxkvwl/,2 BAs,"2,132 Sq Ft","2,132",12 Month Lease,Available Now,"$8,000",,,,
Palo Alto,Condos,CA,94301,"[{'bedroom_type': '2 Beds', 'price': '$4,750'}]","Palo Alto, CA 94301",https://www.apartments.com/715-everett-ave-palo-alto-ca/zm8ytyy/,1 BA,721 Sq Ft,721,12 Month Lease,Available Now,,"$4,750",,,
Los Angeles,Condos,CA,90065,"[{'bedroom_type': '2 Beds', 'price': '$2,195'}]","3336 Drew St, Los Angeles, CA 90065",https://www.apartments.com/3336-drew-st-los-angeles-ca/fh2g0dv/,2 BAs,950 Sq Ft,950,12 Month Lease,Jul 6,,"$2,195",,,
Irvine,Condos,CA,92612,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","Irvine, CA 92612",https://www.apartments.com/2105-watermarke-pl-irvine-ca-unit-2105/sp9vb87/,2 BAs,"1,122 Sq Ft","1,122",12 Month Lease,Available Now,,"$2,600",,,
Los Angeles,Condos,CA,91042,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}]","Los Angeles, CA 91042",https://www.apartments.com/10201-mountair-ave-los-angeles-ca/8r6gm22/,2½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$2,350",,,
Santa Clarita,Condos,CA,91351,"[{'bedroom_type': '2 Beds', 'price': '$1,750'}]","Santa Clarita, CA 91351",https://www.apartments.com/18209-sierra-hwy-santa-clarita-ca-unit-38/8q2d0b1/,2 BAs,795 Sq Ft,795,12 Month Lease,Available Now,,"$1,750",,,
Los Angeles,Condos,CA,91367,"[{'bedroom_type': '2 Beds', 'price': '$2,475'}]","5520 Owensmouth Ave, Los Angeles, CA 91367",https://www.apartments.com/5520-owensmouth-ave-los-angeles-ca-unit-313/9c6pbs6/,2 BAs,"1,030 Sq Ft","1,030",12 Month Lease,Available Now,,"$2,475",,,
Burlingame,Condos,CA,94010,"[{'bedroom_type': '3 Beds', 'price': '$4,900'}]","Burlingame, CA 94010",https://www.apartments.com/500-almer-rd-burlingame-ca-unit-309/h7wdct1/,2 BAs,"1,607 Sq Ft","1,607",12 Month Lease,Available Now,"$4,900",,,,
Santa Ana,Condos,CA,92707,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Santa Ana, CA 92707",https://www.apartments.com/1000-w-macarthur-blvd-santa-ana-ca-unit-50/q28411y/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Jul 15,,"$1,900",,,
Oakland,Condos,CA,94605,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}]","Oakland, CA 94605",https://www.apartments.com/6107-laird-ave-oakland-ca/94ezx06/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,,"$1,900",
Los Angeles,Condos,CA,91325,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","Los Angeles, CA 91325",https://www.apartments.com/17830-lassen-st-los-angeles-ca/0vl1lj0/,2 BAs,700 Sq Ft,700,12 Month Lease,Available Now,,"$1,900",,,
San Francisco,Condos,CA,94122,"[{'bedroom_type': '2 Beds', 'price': '$3,250'}]","San Francisco, CA 94122",https://www.apartments.com/1356-17th-ave-san-francisco-ca/tlnlyj8/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$3,250",,,
Downey,Condos,CA,90241,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Downey, CA 90241",https://www.apartments.com/11514-1-2-adco-ave-downey-ca/pd0nftt/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,"$2,200",,,
Los Angeles,Condos,CA,90094,"[{'bedroom_type': '3 Beds', 'price': '$4,750'}]","12920 W Runway Rd, Los Angeles, CA 90094",https://www.apartments.com/12920-w-runway-rd-los-angeles-ca-unit-210/c1cv4bf/,2 BAs,"1,550 Sq Ft","1,550",12 Month Lease,Available Now,"$4,750",,,,
Riverside,Condos,CA,92507,"[{'bedroom_type': '2 Beds', 'price': '$1,525'}]","Riverside, CA 92507",https://www.apartments.com/1935-linden-w-st-riverside-ca/wfwg5yj/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,"$1,525",,,
Long Beach,Condos,CA,90802,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]","235 W 5th St, Long Beach, CA 90802",https://www.apartments.com/235-w-5th-st-long-beach-ca-unit-1/4109j3h/,2 BAs,"1,200 Sq Ft","1,200",36 Month Lease,Available Now,"$2,900",,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '1 Bed', 'price': '$2,195'}]","Los Angeles, CA 90035",https://www.apartments.com/1515-s-beverly-dr-los-angeles-ca-unit-405/6sz4qys/,1 BA,681 Sq Ft,681,12 Month Lease,Available Now,,,,"$2,195",
Long Beach,Condos,CA,90802,"[{'bedroom_type': '2 Beds', 'price': '$3,150'}]","700 E Ocean Blvd, Long Beach, CA 90802",https://www.apartments.com/700-e-ocean-blvd-long-beach-ca-unit-2102/ck6bxjg/,2 BAs,"1,080 Sq Ft","1,080",12 Month Lease,Available Now,,"$3,150",,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '3 Beds', 'price': '$4,499'}]","Santa Monica, CA 90403",https://www.apartments.com/814-6th-st-santa-monica-ca-unit-4/5kyrytq/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Aug 1,"$4,499",,,,
Los Angeles,Condos,CA,91316,"[{'bedroom_type': '2 Beds', 'price': '$2,650'}]","Los Angeles, CA 91316",https://www.apartments.com/5412-lindley-ave-los-angeles-ca-unit-323/6nqqe4s/,2 BAs,"1,161 Sq Ft","1,161",12 Month Lease,Available Now,,"$2,650",,,
Santa Clarita,Condos,CA,91350,"[{'bedroom_type': '2 Beds', 'price': '$1,895'}]","26123 Bouquet Canyon Rd, Santa Clarita, CA 91350",https://www.apartments.com/26123-bouquet-canyon-rd-santa-clarita-ca/k2q01f8/,2 BAs,868 Sq Ft,868,12 Month Lease,Available Now,,"$1,895",,,
San Jose,Condos,CA,95112,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}]","San Jose, CA 95112",https://www.apartments.com/633-s-8th-st-san-jose-ca/82772s3/,1 BA,500 Sq Ft,500,1 Month Lease,Available Now,,,,"$1,995",
San Fernando,Condos,CA,91340,"[{'bedroom_type': 'Studio', 'price': '$1,350'}]","756 Harps St, San Fernando, CA 91340",https://www.apartments.com/756-harps-st-san-fernando-ca/t51918b/,1 BA,400 Sq Ft,400,12 Month Lease,Jul 15,,,"$1,350",,
San Diego,Condos,CA,92104,"[{'bedroom_type': '2 Beds', 'price': '$1,800'}]","San Diego, CA 92104",https://www.apartments.com/4386-alabama-st-san-diego-ca/s8mpc74/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,"$1,800",,,
San Jose,Condos,CA,95126,"[{'bedroom_type': '1 Bed', 'price': '$1,875'}]","San Jose, CA 95126",https://www.apartments.com/340-gifford-ave-san-jose-ca/2t52g28/,1 BA,350 Sq Ft,350,12 Month Lease,Available Now,,,,"$1,875",
Santa Monica,Condos,CA,90402,"[{'bedroom_type': '3 Beds', 'price': '$4,995'}]","129 Marguerita Ave, Santa Monica, CA 90402",https://www.apartments.com/129-marguerita-ave-santa-monica-ca/r2lwe60/,2½ BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,"$4,995",,,,
Los Angeles,Condos,CA,90048,"[{'bedroom_type': '1 Bed', 'price': '$2,700'}]","8225 W 4th St, Los Angeles, CA 90048",https://www.apartments.com/8225-w-4th-st-los-angeles-ca/mftfqdk/,1 BA,440 Sq Ft,440,1 Month Lease,Available Now,,,,"$2,700",
Los Angeles,Condos,CA,90293,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]","Los Angeles, CA 90293",https://www.apartments.com/7740-redlands-st-los-angeles-ca-unit-m1071/0tvend3/,2 BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,"$3,100",,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '1 Bed', 'price': '$2,600'}]","Los Angeles, CA 90024",https://www.apartments.com/1284-devon-ave-los-angeles-ca/bk7ncx9/,1 BA,800 Sq Ft,800,1 Month Lease,Available Now,,,,"$2,600",
Oakland,Condos,CA,94612,"[{'bedroom_type': '1 Bed', 'price': '$1,899'}]","Oakland, CA 94612",https://www.apartments.com/581-18th-st-oakland-ca/tf80zl8/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,,,"$1,899",
Santa Monica,Condos,CA,90403,"[{'bedroom_type': 'Studio', 'price': '$2,175'}]","Santa Monica, CA 90403",https://www.apartments.com/933-6th-st-santa-monica-ca/q2mj78z/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,,"$2,175",,
San Jose,Condos,CA,95118,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","San Jose, CA 95118",https://www.apartments.com/5747-via-monte-dr-san-jose-ca/esfx8wm/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,500",,,
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '1 Bed', 'price': '$2,500'}]","Santa Monica, CA 90404",https://www.apartments.com/1253-19th-st-santa-monica-ca/gxeh05w/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,"$2,500",
Los Angeles,Condos,CA,91606,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]","Los Angeles, CA 91606",https://www.apartments.com/6661-rhodes-ave-los-angeles-ca/s9ve5m5/,1 BA,"1,034 Sq Ft","1,034",12 Month Lease,Available Now,,"$2,250",,,
San Diego,Condos,CA,92109,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","San Diego, CA 92109",https://www.apartments.com/919-agate-st-san-diego-ca-unit-2/rzwr7e1/,3 BAs,"1,875 Sq Ft","1,875",3 Month Lease,Aug 15,"$4,500",,,,
Palm Springs,Condos,CA,92264,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Palm Springs, CA 92264",https://www.apartments.com/505-s-farrell-dr-palm-springs-ca-unit-p95/wz10h5l/,2 BAs,"1,175 Sq Ft","1,175",6 Month Lease,Available Now,,"$2,500",,,
Mentone,Condos,CA,92359,"[{'bedroom_type': '3 Beds', 'price': '$1,685'}]","Mentone, CA 92359",https://www.apartments.com/1365-crafton-ave-mentone-ca-unit-2009/4hqr66j/,2 BAs,944 Sq Ft,944,12 Month Lease,Available Now,"$1,685",,,,
Ridgecrest,Condos,CA,93555,"[{'bedroom_type': '2 Beds', 'price': '$1,395'}]","Ridgecrest, CA 93555",https://www.apartments.com/308-w-wilson-ave-ridgecrest-ca/071dq73/,1 BA,880 Sq Ft,880,12 Month Lease,Aug 1,,"$1,395",,,
San Mateo,Condos,CA,94404,"[{'bedroom_type': '3 Beds', 'price': '$4,650'}]","San Mateo, CA 94404",https://www.apartments.com/400-mariners-island-blvd-san-mateo-ca-unit-122/qzpf07y/,2 BAs,"1,453 Sq Ft","1,453",12 Month Lease,Jul 31,"$4,650",,,,
Bellflower,Condos,CA,90706,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}]","9414 Flower St, Bellflower, CA 90706",https://www.apartments.com/9414-flower-st-bellflower-ca/3183v7d/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$1,400",
Los Angeles,Condos,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]","2304 Carmona Ave, Los Angeles, CA 90016",https://www.apartments.com/2304-carmona-ave-los-angeles-ca-unit-1-2/blghpnb/,3½ BAs,"1,673 Sq Ft","1,673",12 Month Lease,Available Now,"$4,500",,,,
Alameda,Condos,CA,94501,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]","Alameda, CA 94501",https://www.apartments.com/2106-otis-dr-alameda-ca-unit-k/2xwhpp8/,1½ BAs,"1,325 Sq Ft","1,325",12 Month Lease,Available Now,,"$3,200",,,
Long Beach,Condos,CA,90802,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","Long Beach, CA 90802",https://www.apartments.com/315-w-3rd-st-long-beach-ca-unit-1003/7efhhwx/,1 BA,500 Sq Ft,500,1 Month Lease,Available Now,,,,"$1,750",
Marina del Rey,Condos,CA,90292,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","Marina del Rey, CA 90292",https://www.apartments.com/4060-glencoe-ave-marina-del-rey-ca-unit-330/kljm4x8/,2 BAs,960 Sq Ft,960,12 Month Lease,Available Now,,"$3,300",,,
Los Angeles,Condos,CA,91602,"[{'bedroom_type': '2 Beds', 'price': '$2,145'}]","Los Angeles, CA 91602",https://www.apartments.com/10923-moorpark-st-los-angeles-ca/0nhrjn1/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$2,145",,,
Livermore,Condos,CA,94550,"[{'bedroom_type': '1 Bed', 'price': '$2,050'}]","Livermore, CA 94550",https://www.apartments.com/1009-murrieta-blvd-livermore-ca-unit-87/qkwzq4z/,1 BA,674 Sq Ft,674,12 Month Lease,Aug 1,,,,"$2,050",
Milpitas,Condos,CA,95035,"[{'bedroom_type': '2 Beds', 'price': '$2,340'}]","Milpitas, CA 95035",https://www.apartments.com/400-dempsey-rd-milpitas-ca/ns17pcm/,1 BA,842 Sq Ft,842,12 Month Lease,Available Now,,"$2,340",,,
Los Angeles,Condos,CA,91602,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]","Los Angeles, CA 91602",https://www.apartments.com/11139-acama-st-los-angeles-ca/wxc1tfh/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,,"$1,850",
Concord,Condos,CA,94521,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}]","Concord, CA 94521",https://www.apartments.com/1505-kirker-pass-rd-concord-ca-unit-700/f4jccgt/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,,"$1,700",
Altadena,Condos,CA,91001,"[{'bedroom_type': '1 Bed', 'price': '$2,475'}]","Altadena, CA 91001",https://www.apartments.com/2680-lake-ave-altadena-ca-unit-3/gslgfqz/,1 BA,788 Sq Ft,788,12 Month Lease,Available Now,,,,"$2,475",
Redondo Beach,Condos,CA,90278,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","Redondo Beach, CA 90278",https://www.apartments.com/2618-grant-ave-redondo-beach-ca/ewcgmnp/,1 BA,700 Sq Ft,700,1 Month Lease,Available Now,,"$2,100",,,
Los Angeles,Condos,CA,90011,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]","Los Angeles, CA 90011",https://www.apartments.com/1428-e-54th-st-los-angeles-ca/jgwl625/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,400",,,,
San Francisco,Condos,CA,94107,"[{'bedroom_type': '4 Beds', 'price': '$5,995'}]","San Francisco, CA 94107",https://www.apartments.com/289-connecticut-st-san-francisco-ca-unit-1/ymsqfws/,2 BAs,"1,432 Sq Ft","1,432",12 Month Lease,Available Now,,,,,"$5,995"
San Jose,Condos,CA,95117,"[{'bedroom_type': '3 Beds', 'price': '$2,750'}]","San Jose, CA 95117",https://www.apartments.com/1077-topaz-ave-san-jose-ca/74tqxwx/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,750",,,,
Burbank,Condos,CA,91504,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","2241 N Naomi St, Burbank, CA 91504",https://www.apartments.com/2241-n-naomi-st-burbank-ca/g4sszwx/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,100",,,
Berkeley,Condos,CA,94703,"[{'bedroom_type': '4 Beds', 'price': '$3,995'}]","Berkeley, CA 94703",https://www.apartments.com/1520-harmon-st-berkeley-ca/ndf7zzq/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,,,"$3,995"
Los Angeles,Condos,CA,90013,"[{'bedroom_type': '1 Bed', 'price': '$3,400'}]","530 Hewitt S St, Los Angeles, CA 90013",https://www.apartments.com/530-hewitt-s-st-los-angeles-ca-unit-425/z1ebl9w/,1 BA,950 Sq Ft,950,6 Month Lease,Available Now,,,,"$3,400",
San Francisco,Condos,CA,94117,"[{'bedroom_type': '1 Bed', 'price': '$1,950'}]","San Francisco, CA 94117",https://www.apartments.com/1388-page-st-san-francisco-ca/gsx24nz/,1 BA,276 Sq Ft,276,12 Month Lease,Available Now,,,,"$1,950",
Santa Clara,Condos,CA,95051,"[{'bedroom_type': '2 Beds', 'price': '$2,795'}]","Santa Clara, CA 95051",https://www.apartments.com/976-kiely-blvd-santa-clara-ca-unit-b/vcqzkvd/,2 BAs,956 Sq Ft,956,12 Month Lease,Available Now,,"$2,795",,,
Castro Valley,Condos,CA,94546,"[{'bedroom_type': 'Studio', 'price': '$1,875'}]","Castro Valley, CA 94546",https://www.apartments.com/3900-seven-hills-rd-castro-valley-ca/h4flsl2/,1 BA,375 Sq Ft,375,12 Month Lease,Available Now,,,"$1,875",,
Watsonville,Condos,CA,95076,"[{'bedroom_type': 'Studio', 'price': '$1,700'}]","Watsonville, CA 95076",https://www.apartments.com/444-main-st-watsonville-ca/d8wgfcl/,1 BA,400 Sq Ft,400,12 Month Lease,Jul 15,,,"$1,700",,
Beverly Hills,Condos,CA,90212,"[{'bedroom_type': '3 Beds', 'price': '$7,300'}]","Beverly Hills, CA 90212",https://www.apartments.com/141-s-linden-dr-beverly-hills-ca-unit-201/55lzg7p/,2 BAs,"2,029 Sq Ft","2,029",12 Month Lease,Available Now,"$7,300",,,,
Burbank,Condos,CA,91502,"[{'bedroom_type': '1 Bed', 'price': '$1,695'}]","Burbank, CA 91502",https://www.apartments.com/233-e-alameda-ave-burbank-ca/0xd03p2/,1 BA,1 Sq Ft,1,12 Month Lease,Available Now,,,,"$1,695",
San Pedro,Condos,CA,90731,"[{'bedroom_type': '2 Beds', 'price': '$2,250'}]","961 W 18th St, San Pedro, CA 90731",https://www.apartments.com/961-w-18th-st-san-pedro-ca/5ze018q/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$2,250",,,
Fremont,Condos,CA,94539,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]","Fremont, CA 94539",https://www.apartments.com/43102-starr-st-fremont-ca/hbmpr70/,2 BAs,"1,540 Sq Ft","1,540",12 Month Lease,Available Now,"$3,100",,,,
San Diego,Condos,CA,92109,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]","1438 Pacific Beach Dr, San Diego, CA 92109",https://www.apartments.com/1438-pacific-beach-dr-san-diego-ca/11clfl6/,1 BA,925 Sq Ft,925,12 Month Lease,Aug 2,,"$2,850",,,
