City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,Studio,1 Bed,4 Beds
Sunnyvale,Condos,CA,94085,"[{'bedroom_type': '1 Bed', 'price': '$2,040'}]","Sunnyvale, CA 94085",https://www.apartments.com/744-san-jule-ct-sunnyvale-ca/vbe1p0f/,1 BA,510 Sq Ft,510,6 Month Lease,Available Now,,,,"$2,040",
San Jose,Condos,CA,95128,"[{'bedroom_type': 'Studio', 'price': '$1,755'}]","San Jose, CA 95128",https://www.apartments.com/1260-n-bascom-ave-san-jose-ca/1lf3m96/,1 BA,467 Sq Ft,467,6 Month Lease,Available Now,,,"$1,755",,
Oakland,Condos,CA,94610,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]","Oakland, CA 94610",https://www.apartments.com/485-wickson-ave-oakland-ca/d6725fj/,1 BA,850 Sq Ft,850,12 Month Lease,Jul 3,,,,"$3,000",
Berkeley,Condos,CA,94703,"[{'bedroom_type': '1 Bed', 'price': '$1,998'}]","Berkeley, CA 94703",https://www.apartments.com/1501-stuart-st-berkeley-ca/r7wc1r2/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,,,"$1,998",
West Hollywood,Condos,CA,90069,"[{'bedroom_type': '2 Beds', 'price': '$5,300'}]","West Hollywood, CA 90069",https://www.apartments.com/1140-alta-loma-rd-west-hollywood-ca-unit-302/l667h3g/,2½ BAs,"1,845 Sq Ft","1,845",12 Month Lease,Available Now,,"$5,300",,,
San Luis Obispo,Condos,CA,93401,"[{'bedroom_type': 'Studio', 'price': '$1,600'}]","San Luis Obispo, CA 93401",https://www.apartments.com/1359-phillips-ln-san-luis-obispo-ca/lcqc5qf/,1 BA,400 Sq Ft,400,12 Month Lease,Sep 4,,,"$1,600",,
San Diego,Condos,CA,92110,"[{'bedroom_type': '2 Beds', 'price': '$2,495'}]","San Diego, CA 92110",https://www.apartments.com/2225-linwood-st-san-diego-ca-unit-b8/jcrddl5/,2 BAs,832 Sq Ft,832,12 Month Lease,Available Now,,"$2,495",,,
Whittier,Condos,CA,90604,"[{'bedroom_type': '2 Beds', 'price': '$1,956'}]","Whittier, CA 90604",https://www.apartments.com/12428-clearglen-ave-whittier-ca/zjt5fdz/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,"$1,956",,,
Mountain View,Condos,CA,94043,"[{'bedroom_type': '2 Beds', 'price': '$3,495'}]","Mountain View, CA 94043",https://www.apartments.com/905-w-middlefield-rd-mountain-view-ca-unit-903/7e814gw/,2 BAs,998 Sq Ft,998,12 Month Lease,Available Now,,"$3,495",,,
Covina,Condos,CA,91724,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","Covina, CA 91724",https://www.apartments.com/21017-e-cienega-ave-covina-ca-unit-1/erfet8n/,2½ BAs,"1,630 Sq Ft","1,630",12 Month Lease,Aug 1,"$2,500",,,,
