City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,4 Beds,4+ Beds
Big Bear,Townhomes,CA,92314,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Big Bear, CA 92314",https://www.apartments.com/880-summit-blvd-big-bear-ca/3xpxv0e/,2 BAs,"1,200 Sq Ft","1,200",1 Month Lease,Apr 1,,,"$2,200",,
Los Angeles,Townhomes,CA,90036,"[{'bedroom_type': '4 Beds', 'price': '$5,000'}]","239 S Mansfield Ave, Los Angeles, CA 90036",https://www.apartments.com/239-s-mansfield-ave-los-angeles-ca/kjjc48c/,3 BAs,"2,200 Sq Ft","2,200",,Available Now,,,,"$5,000",
San Jose,Townhomes,CA,95116,"[{'bedroom_type': '4 Beds', 'price': '$4,250'}]","San Jose, CA 95116",https://www.apartments.com/442-s-22nd-st-san-jose-ca/rqrfsh2/,3½ BAs,"1,917 Sq Ft","1,917",12 Month Lease,Available Now,,,,"$4,250",
Huntington Beach,Townhomes,CA,92649,"[{'bedroom_type': '3 Beds', 'price': '$3,195'}]","Huntington Beach, CA 92649",https://www.apartments.com/16562-regina-cir-huntington-beach-ca/wp8qxel/,1½ BAs,"1,240 Sq Ft","1,240",,Available Now,,"$3,195",,,
San Diego,Townhomes,CA,92037,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","San Diego, CA 92037",https://www.apartments.com/3269-caminito-eastbluff-san-diego-ca/nxpelgn/,2½ BAs,"1,450 Sq Ft","1,450",12 Month Lease,Jul 16,,"$3,500",,,
San Pedro,Townhomes,CA,90731,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]","530 W 14th St, San Pedro, CA 90731",https://www.apartments.com/530-w-14th-st-san-pedro-ca/nvtj92q/,3 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,"$2,950",,,
Sherman Oaks,Townhomes,CA,91403,"[{'bedroom_type': '2 Beds', 'price': '$2,995'}]","4551 Kester Ave, Sherman Oaks, CA 91403",https://www.apartments.com/4551-kester-ave-sherman-oaks-ca/cyj4x2e/,3 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$2,995",,
Sherman Oaks,Townhomes,CA,91403,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","15017 Dickens St, Sherman Oaks, CA 91403",https://www.apartments.com/15017-dickens-st-sherman-oaks-ca/0hy2pn0/,1½ BAs,"1,150 Sq Ft","1,150",12 Month Lease,Jul 26,,,"$2,600",,
Los Angeles,Townhomes,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","1226 Selby Ave, Los Angeles, CA 90024",https://www.apartments.com/1226-selby-ave-los-angeles-ca/sycbtz4/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,,"$3,300",,
West Hollywood,Townhomes,CA,90046,"[{'bedroom_type': '2 Beds', 'price': '$2,899'}]","7137 Hawthorn Ave, West Hollywood, CA 90046",https://www.apartments.com/7137-hawthorn-ave-west-hollywood-ca/zq3h1gw/,2 BAs,"1,100 Sq Ft","1,100",18 Month Lease,Available Now,,,"$2,899",,
Los Angeles,Townhomes,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]","3638 Hughes Ave, Los Angeles, CA 90034",https://www.apartments.com/3638-hughes-ave-los-angeles-ca/5etjcfq/,2½ BAs,"1,500 Sq Ft","1,500",6 Month Lease,Jul 20,,,"$5,500",,
Los Angeles,Townhomes,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]","10600 Holman Ave, Los Angeles, CA 90024",https://www.apartments.com/10600-holman-ave-los-angeles-ca/m4w68ll/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$3,750",,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]","1655 Greenfield Ave, Los Angeles, CA 90025",https://www.apartments.com/1655-greenfield-ave-los-angeles-ca/9780ll6/,2½ BAs,"1,151 Sq Ft","1,151",12 Month Lease,Aug 1,,,"$3,600",,
Santa Monica,Townhomes,CA,90404,"[{'bedroom_type': '3 Beds', 'price': '$4,150'}]","1528 Berkeley St, Santa Monica, CA 90404",https://www.apartments.com/1528-berkeley-st-santa-monica-ca/t81spxc/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$4,150",,,
Los Angeles,Townhomes,CA,90035,"[{'bedroom_type': '3 Beds', 'price': '$3,995'}]","1149 S Hayworth Ave, Los Angeles, CA 90035",https://www.apartments.com/1149-s-hayworth-ave-los-angeles-ca/s484cy4/,2 BAs,"1,950 Sq Ft","1,950",12 Month Lease,Aug 1,,"$3,995",,,
Garden Grove,Townhomes,CA,92845,"[{'bedroom_type': '4 Beds', 'price': '$3,200'}]","Garden Grove, CA 92845",https://www.apartments.com/12580-george-reyburn-rd-garden-grove-ca/nyz4z6n/,3 BAs,"1,549 Sq Ft","1,549",,Available Now,,,,"$3,200",
Garden Grove,Townhomes,CA,92845,"[{'bedroom_type': '4 Beds', 'price': '$3,200'}]","Garden Grove, CA 92845",https://www.apartments.com/12580-george-reyburn-rd-garden-grove-ca/nyz4z6n/,3 BAs,"1,549 Sq Ft","1,549",,Available Now,,,,"$3,200",
Los Angeles,Townhomes,CA,90049,"[{'bedroom_type': '4 Beds', 'price': '$10,500'}]","Los Angeles, CA 90049",https://www.apartments.com/823-s-bundy-dr-los-angeles-ca/4k5stgl/,5 BAs,"4,041 Sq Ft","4,041",12 Month Lease,Available Now,,,,"$10,500",
La Crescenta-Montrose,Townhomes,CA,91020,"[{'bedroom_type': '3 Beds', 'price': '$3,550'}]","La Crescenta-Montrose, CA 91020",https://www.apartments.com/2231-montrose-ave-la-crescenta-montrose-ca/zveb2gx/,2½ BAs,"1,760 Sq Ft","1,760",,Available Now,,"$3,550",,,
Los Angeles,Townhomes,CA,91306,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","Los Angeles, CA 91306",https://www.apartments.com/8348-penfield-ave-los-angeles-ca/by9llx9/,2½ BAs,"1,591 Sq Ft","1,591",,Jul 30,,"$3,000",,,
Los Angeles,Townhomes,CA,90027,"[{'bedroom_type': '1 Bed', 'price': '$1,550'}]","Los Angeles, CA 90027",https://www.apartments.com/1409-n-edgemont-st-los-angeles-ca/k6mmz58/,1 BA,350 Sq Ft,350,6 Month Lease,Aug 31,"$1,550",,,,
Gardena,Townhomes,CA,90247,"[{'bedroom_type': '3 Beds', 'price': '$2,480'}]","16118 Ainsworth S St, Gardena, CA 90247",https://www.apartments.com/16118-ainsworth-s-st-gardena-ca/fbx7ftt/,1½ BAs,"1,100 Sq Ft","1,100",1 Month Lease,Available Now,,"$2,480",,,
Los Angeles,Townhomes,CA,91405,"[{'bedroom_type': '3 Beds', 'price': '$3,095'}]","14019 Vanowen St, Los Angeles, CA 91405",https://www.apartments.com/14019-vanowen-st-los-angeles-ca/l624k1g/,3 BAs,"1,650 Sq Ft","1,650",12 Month Lease,Available Now,,"$3,095",,,
Los Angeles,Townhomes,CA,91405,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","Los Angeles, CA 91405",https://www.apartments.com/14019-vanowen-st-los-angeles-ca/hcj4zx0/,2½ BAs,"1,150 Sq Ft","1,150",12 Month Lease,Available Now,,,"$2,750",,
Hawthorne,Townhomes,CA,90250,"[{'bedroom_type': '3 Beds', 'price': '$2,895'}]","Hawthorne, CA 90250",https://www.apartments.com/3912-w-116th-st-hawthorne-ca/nr9jtxm/,2½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$2,895",,,
San Diego,Townhomes,CA,92115,"[{'bedroom_type': '4 Beds', 'price': '$3,499'}]","San Diego, CA 92115",https://www.apartments.com/6612-reservoir-ln-san-diego-ca/dl04p8k/,2½ BAs,"2,300 Sq Ft","2,300",12 Month Lease,Available Now,,,,"$3,499",
