1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$1,025",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,025'}]",10469 10th St,"Jamestown, CA 95327",,https://www.apartments.com/10469-10th-st-jamestown-ca/6ryd49v/,"1,125","1,125 Sq Ft",Jamestown,Townhomes,CA
,,,"$2,100",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,100'}]",10627 Lind Ave,"Loma Linda, CA 92354",,https://www.apartments.com/10627-lind-ave-loma-linda-ca/k7dflp9/,"1,650","1,650 Sq Ft",Loma Linda,Townhomes,CA
,,,"$2,200",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$2,200'}]",11578 River Heights Dr,"Riverside, CA 92505",,https://www.apartments.com/11578-river-heights-dr-riverside-ca/gstx2hz/,"1,927","1,927 Sq Ft",Riverside,Townhomes,CA
,,"$3,195",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,195'}]",18377 Iris Ln,"Yorba Linda, CA 92886",,https://www.apartments.com/18377-iris-ln-yorba-linda-ca/21xbpq9/,"1,578","1,578 Sq Ft",Yorba Linda,Townhomes,CA
,"$2,200",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",13987 Coteau Dr,"Whittier, CA 90604",,https://www.apartments.com/13987-coteau-dr-whittier-ca/j2e2l05/,"1,305","1,305 Sq Ft",Whittier,Townhomes,CA
,,"$2,600",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]",979 Shady Ln,"Glendora, CA 91740",,https://www.apartments.com/979-shady-ln-glendora-ca/04z4m23/,"1,290","1,290 Sq Ft",Glendora,Townhomes,CA
,"$3,000",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,000'}]",204 Harbor Woods Pl,"Newport Beach, CA 92660",,https://www.apartments.com/204-harbor-woods-pl-newport-beach-ca/6hjq8kv/,"1,120","1,120 Sq Ft",Newport Beach,Townhomes,CA
,,"$6,500",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,500'}]",157 Follyhatch,"Irvine, CA 92618",,https://www.apartments.com/157-follyhatch-irvine-ca/wxlnwcj/,"2,375","2,375 Sq Ft",Irvine,Townhomes,CA
,"$5,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]",737 Griffith Way,"Laguna Beach, CA 92651",,https://www.apartments.com/737-griffith-way-laguna-beach-ca/mxj1wth/,"1,000","1,000 Sq Ft",Laguna Beach,Townhomes,CA
,,"$3,250",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,250'}]",3 Sablewood Cir,"Mission Viejo, CA 92694",,https://www.apartments.com/3-sablewood-cir-mission-viejo-ca/byd2snc/,"1,800","1,800 Sq Ft",Mission Viejo,Townhomes,CA
,"$1,250",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,250'}]",33117 Jamieson St,"Lake Elsinore, CA 92530",,https://www.apartments.com/33117-jamieson-st-lake-elsinore-ca/kbjzj38/,"1,000","1,000 Sq Ft",Lake Elsinore,Townhomes,CA
,,"$3,295",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,295'}]",17270 Markross Ct,"Morgan Hill, CA 95037",,https://www.apartments.com/17270-markross-ct-morgan-hill-ca/vzb03vg/,"1,100","1,100 Sq Ft",Morgan Hill,Townhomes,CA
,,"$3,250",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,250'}]",73 Promesa Ave,"Ladera Ranch, CA 92694",,https://www.apartments.com/73-promesa-ave-ladera-ranch-ca/zxgg6qy/,"1,700","1,700 Sq Ft",Ladera Ranch,Townhomes,CA
"$1,595",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}]",6628 National Park Dr,"Twentynine Palms, CA 92277",,https://www.apartments.com/6628-national-park-dr-twentynine-palms-ca/nh78q6n/,900,900 Sq Ft,Twentynine Palms,Townhomes,CA
,"$2,300",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",131 White Sands,"Coto de Caza, CA 92679",,https://www.apartments.com/131-white-sands-coto-de-caza-ca/n35nw7n/,874,874 Sq Ft,Coto de Caza,Townhomes,CA
,,"$3,800",,,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,800'}]",155 N Wabash Ave,"Glendora, CA 91741",,https://www.apartments.com/155-n-wabash-ave-glendora-ca/mylcs5k/,"2,283","2,283 Sq Ft",Glendora,Townhomes,CA
,"$3,100",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]",125 Mongoose,"Irvine, CA 92618",,https://www.apartments.com/125-mongoose-irvine-ca/snmll65/,"1,694","1,694 Sq Ft",Irvine,Townhomes,CA
,"$2,000",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",11936 Rosecrans Ave,"Norwalk, CA 90650",,https://www.apartments.com/11936-rosecrans-ave-norwalk-ca/tfx5kzb/,840,840 Sq Ft,Norwalk,Townhomes,CA
,"$1,700",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]",890 N Pepper Ave,"Rialto, CA 92376",,https://www.apartments.com/890-n-pepper-ave-rialto-ca/5lxkqtm/,"1,302","1,302 Sq Ft",Rialto,Townhomes,CA
,$900,,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$900'}]",928 E Navajo St,"Barstow, CA 92311",,https://www.apartments.com/928-e-navajo-st-barstow-ca/pf7x95s/,778,778 Sq Ft,Barstow,Townhomes,CA
,,"$4,250",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,250'}]",39 Anjou,"Newport Beach, CA 92657",,https://www.apartments.com/39-anjou-newport-beach-ca/3zq389f/,"1,666","1,666 Sq Ft",Newport Beach,Townhomes,CA
,,"$2,700",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]",14891 Valencia Plaza,"Westminster, CA 92683",,https://www.apartments.com/14891-valencia-plaza-westminster-ca/tcmeppc/,"1,554","1,554 Sq Ft",Westminster,Townhomes,CA
,,"$3,850",,,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,850'}]",2220 Synergy,"Irvine, CA 92614",,https://www.apartments.com/2220-synergy-irvine-ca/0pkwfp2/,"1,900","1,900 Sq Ft",Irvine,Townhomes,CA
,,"$4,900",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,900'}]",4024 Emerald Downs Dr,"Yorba Linda, CA 92886",,https://www.apartments.com/4024-emerald-downs-dr-yorba-linda-ca/vjfxjlf/,"2,601","2,601 Sq Ft",Yorba Linda,Townhomes,CA
,"$1,095",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,095'}]",11200 Chamberlaine Way,"Adelanto, CA 92301",,https://www.apartments.com/11200-chamberlaine-way-adelanto-ca/z1shtzx/,803,803 Sq Ft,Adelanto,Townhomes,CA
,"$1,650",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,650'}]",9040 Cypress Ave,"Fontana, CA 92335",,https://www.apartments.com/9040-cypress-ave-fontana-ca/9zj5zz7/,900,900 Sq Ft,Fontana,Townhomes,CA
,,"$4,500",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",320 5th St,"Huntington Beach, CA 92648",,https://www.apartments.com/320-5th-st-huntington-beach-ca/xqpfvvm/,"2,409","2,409 Sq Ft",Huntington Beach,Townhomes,CA
,,"$3,400",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,400'}]",624 San Nicholas Ct,"Laguna Beach, CA 92651",,https://www.apartments.com/624-san-nicholas-ct-laguna-beach-ca/s7vpp97/,"1,527","1,527 Sq Ft",Laguna Beach,Townhomes,CA
"$1,995",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}]",5065 Pacific Ave,"Long Beach, CA 90805",,https://www.apartments.com/5065-pacific-ave-long-beach-ca/kdmeh9c/,837,837 Sq Ft,Long Beach,Townhomes,CA
,"$2,200",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",28264 Desert Princess Dr,"Cathedral City, CA 92234",,https://www.apartments.com/28264-desert-princess-dr-cathedral-city-ca/c7svtfd/,"1,212","1,212 Sq Ft",Cathedral City,Townhomes,CA
,"$2,700",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",518 Timberwood,"Irvine, CA 92620",,https://www.apartments.com/518-timberwood-irvine-ca/c54wjmf/,"1,267","1,267 Sq Ft",Irvine,Townhomes,CA
,,"$3,350",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,350'}]",195 Follyhatch,"Irvine, CA 92618",,https://www.apartments.com/195-follyhatch-irvine-ca/el8hm4m/,"2,010","2,010 Sq Ft",Irvine,Townhomes,CA
,,"$2,600",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,600'}]",7155 Citrus Ave,"Fontana, CA 92336",,https://www.apartments.com/7155-citrus-ave-fontana-ca/1f0dc36/,"1,687","1,687 Sq Ft",Fontana,Townhomes,CA
,,"$3,150",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,150'}]",1525 S Euclid St,"Anaheim, CA 92804",,https://www.apartments.com/1525-s-euclid-st-anaheim-ca/551yj3p/,"1,755","1,755 Sq Ft",Anaheim,Townhomes,CA
,,"$4,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",413 Ocean Ave,"Seal Beach, CA 90740",,https://www.apartments.com/413-ocean-ave-seal-beach-ca/95wts45/,"1,100","1,100 Sq Ft",Seal Beach,Townhomes,CA
,,"$5,600",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,600'}]",376 Loma Terrace,"Laguna Beach, CA 92651",,https://www.apartments.com/376-loma-terrace-laguna-beach-ca/mrghj2k/,"1,600","1,600 Sq Ft",Laguna Beach,Townhomes,CA
,,,,"$1,700",Available Now,3 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$1,700'}]",25141 W 5th St,"San Bernardino, CA 92410",,https://www.apartments.com/25141-w-5th-st-san-bernardino-ca/z3yhpqx/,"1,766","1,766 Sq Ft",San Bernardino,Townhomes,CA
,,"$2,400",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]",8729 Olive Tree Dr,"Rancho Cucamonga, CA 91730",,https://www.apartments.com/8729-olive-tree-dr-rancho-cucamonga-ca/rcvhyx2/,"1,793","1,793 Sq Ft",Rancho Cucamonga,Townhomes,CA
,,"$4,000",,,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]",792 Leeward Way,"Costa Mesa, CA 92627",,https://www.apartments.com/792-leeward-way-costa-mesa-ca/qrk806z/,"2,000","2,000 Sq Ft",Costa Mesa,Townhomes,CA
,,"$1,998",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,998'}]",3428 Terrace Dr,"Chino Hills, CA 91709",,https://www.apartments.com/3428-terrace-dr-chino-hills-ca/gvnz0cw/,"1,280","1,280 Sq Ft",Chino Hills,Townhomes,CA
,"$2,000",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",11936 Rosecrans Ave,"Norwalk, CA 90650",,https://www.apartments.com/11936-rosecrans-ave-norwalk-ca/pyw9ktt/,840,840 Sq Ft,Norwalk,Townhomes,CA
