1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$4,800",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,800'}]",Santa Monica,"Santa Monica, CA 90402",,https://www.apartments.com/703-9th-st-santa-monica-ca/z1y2mbz/,"1,610","1,610 Sq Ft",CA,Townhomes,90402
,"$2,850",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]",San Diego,"1440 Pacific Beach Dr, San Diego, CA 92109",,https://www.apartments.com/1440-pacific-beach-dr-san-diego-ca/yr6yf7v/,925,925 Sq Ft,CA,Townhomes,92109
"$3,250",,,,Jun 25,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,250'}]",Los Angeles,"807 N Curson Ave, Los Angeles, CA 90046",3 Month Lease,https://www.apartments.com/807-n-curson-ave-los-angeles-ca/5gmhtzm/,710,710 Sq Ft,CA,Townhomes,90046
,,"$2,945",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,945'}]",Escondido,"Escondido, CA 92026",12 Month Lease,https://www.apartments.com/917-w-lincoln-ave-escondido-ca/t7spxq9/,"1,326","1,326 Sq Ft",CA,Townhomes,92026
,,"$4,500",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",Los Angeles,"854 N Orange Dr, Los Angeles, CA 90038",1 Month Lease,https://www.apartments.com/854-n-orange-dr-los-angeles-ca/qg61sgy/,"1,800","1,800 Sq Ft",CA,Townhomes,90038
"$1,545",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,545'}]",Bakersfield,"Bakersfield, CA 93304",,https://www.apartments.com/1924-dracena-st-bakersfield-ca/grpk07x/,900,900 Sq Ft,CA,Townhomes,93304
,"$2,200",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",Glendale,"Glendale, CA 91204",12 Month Lease,https://www.apartments.com/649-hawthorne-st-glendale-ca/rfn4853/,950,950 Sq Ft,CA,Townhomes,91204
,,,"$4,800",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,800'}]",Culver City,"Culver City, CA 90232",,https://www.apartments.com/11102-venice-blvd-culver-city-ca/8n84zw0/,"1,920","1,920 Sq Ft",CA,Townhomes,90232
,,"$3,900",,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,900'}]",Rancho Mirage,"Rancho Mirage, CA 92270",1 Month Lease,https://www.apartments.com/17-n-kavenish-dr-rancho-mirage-ca/6tpdc5r/,"3,246","3,246 Sq Ft",CA,Townhomes,92270
,"$2,200",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]",Port Hueneme,"Port Hueneme, CA 93041",12 Month Lease,https://www.apartments.com/429-reed-way-port-hueneme-ca/89zf3v3/,"1,372","1,372 Sq Ft",CA,Townhomes,93041
