1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
$880,,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$880'}]",111 Sale Ln,"Red Bluff, CA 96080",12 Month Lease,https://www.apartments.com/111-sale-ln-red-bluff-ca/n3e0vcp/,,,Red Bluff,,Townhomes,CA
$734,,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$734'}]",21424 S Marks Ave,"Riverdale, CA 93656",12 Month Lease,https://www.apartments.com/21424-s-marks-ave-riverdale-ca/0mc7db0/,,,Riverdale,,Townhomes,CA
$782,,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$782'}]",1391 E Sumner Ave,"Fowler, CA 93625",12 Month Lease,https://www.apartments.com/1391-e-sumner-ave-fowler-ca/73mtl6w/,,,Fowler,,Townhomes,CA
$755,,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$755'}]",640 S Zediker Ave,"Parlier, CA 93648",12 Month Lease,https://www.apartments.com/640-s-zediker-ave-parlier-ca/xce78gm/,,,Parlier,,Townhomes,CA
,"$2,600",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]",13966 La Jolla Plaza,"Garden Grove, CA 92844",,https://www.apartments.com/13966-la-jolla-plaza-garden-grove-ca/hfp0cd1/,"1,269","1,269 Sq Ft",Garden Grove,,Townhomes,CA
"$3,100",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,100'}]",658 Doheny Way,"Dana Point, CA 92629",,https://www.apartments.com/658-doheny-way-dana-point-ca/epx2qyq/,934,934 Sq Ft,Dana Point,,Townhomes,CA
,,"$2,350",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,350'}]",745 Knollwood Ln,"San Dimas, CA 91773",,https://www.apartments.com/745-knollwood-ln-san-dimas-ca/b71x459/,"1,496","1,496 Sq Ft",San Dimas,,Townhomes,CA
,"$3,300",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]",7341 Coho Dr,"Huntington Beach, CA 92648",,https://www.apartments.com/7341-coho-dr-huntington-beach-ca/jhzffh5/,"1,217","1,217 Sq Ft",Huntington Beach,,Townhomes,CA
,"$3,600",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,600'}]",1150 Epic,"Irvine, CA 92618",,https://www.apartments.com/1150-epic-irvine-ca/mry3l5l/,"1,100","1,100 Sq Ft",Irvine,,Townhomes,CA
$880,,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$880'}]",111 Sale Ln,"Red Bluff, CA 96080",12 Month Lease,https://www.apartments.com/111-sale-ln-red-bluff-ca/n3e0vcp/,,,Red Bluff,,Townhomes,CA
