1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$3,500",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]",Huntington Beach,"19123 Alexa Ln, Huntington Beach, CA 92648",,https://www.apartments.com/19123-alexa-ln-huntington-beach-ca/4x2jbll/,"1,575","1,575 Sq Ft",CA,Townhomes,92648
,,"$4,295",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,295'}]",Campbell,"Campbell, CA 95008",12 Month Lease,https://www.apartments.com/134-redding-rd-campbell-ca/qlvwh3y/,"1,836","1,836 Sq Ft",CA,Townhomes,95008
,"$2,395",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]",Watsonville,"Watsonville, CA 95076",12 Month Lease,https://www.apartments.com/242-crestview-dr-watsonville-ca/fm1b5qv/,"1,350","1,350 Sq Ft",CA,Townhomes,95076
,,"$4,175",,Available Now,1½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,175'}]",Beverly Hills,"Beverly Hills, CA 90212",12 Month Lease,https://www.apartments.com/232-s-lasky-dr-beverly-hills-ca/rd9hxz1/,"1,500","1,500 Sq Ft",CA,Townhomes,90212
,,"$2,795",,Available Now,1½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,795'}]",San Jose,"San Jose, CA 95123",12 Month Lease,https://www.apartments.com/421-velasco-dr-san-jose-ca/zgv731y/,"1,156","1,156 Sq Ft",CA,Townhomes,95123
,,"$4,900",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,900'}]",Sausalito,"Sausalito, CA 94965",,https://www.apartments.com/71-marin-ave-sausalito-ca/5by4h9p/,"1,550","1,550 Sq Ft",CA,Townhomes,94965
,"$3,650",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,650'}]",Los Angeles,"13136 Riverside Dr, Los Angeles, CA 91423",12 Month Lease,https://www.apartments.com/13136-riverside-dr-los-angeles-ca/xpwlq3n/,"1,425","1,425 Sq Ft",CA,Townhomes,91423
,,"$4,700",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,700'}]",Westlake Village,"Westlake Village, CA 91362",12 Month Lease,https://www.apartments.com/978-blue-mountain-cir-westlake-village-ca/84166f3/,"2,373","2,373 Sq Ft",CA,Townhomes,91362
,,"$4,995",,Apr 15,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,995'}]",Oakland,"Oakland, CA 94607",12 Month Lease,https://www.apartments.com/2335-market-st-oakland-ca/7c3p0hz/,"2,000","2,000 Sq Ft",CA,Townhomes,94607
,,"$2,649",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,649'}]",Los Angeles,"Los Angeles, CA 90023",11 Month Lease,https://www.apartments.com/2510-e-6th-st-los-angeles-ca/1tr4eh7/,"1,200","1,200 Sq Ft",CA,Townhomes,90023
,"$1,950",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]",Santa Rosa,"Santa Rosa, CA 95404",6 Month Lease,https://www.apartments.com/1570-north-st-santa-rosa-ca/flwh2pr/,950,950 Sq Ft,CA,Townhomes,95404
