1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$3,200",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}]",Los Angeles,"Los Angeles, CA 90019",12 Month Lease,https://www.apartments.com/1330-s-rimpau-blvd-los-angeles-ca/43w2bjj/,"1,194","1,194 Sq Ft",CA,Houses,90019
,,"$5,800",,,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,800'}]",Santa Monica,"1338 Berkeley St, Santa Monica, CA 90404",12 Month Lease,https://www.apartments.com/1338-berkeley-st-santa-monica-ca/7kxn64y/,"1,900","1,900 Sq Ft",CA,Houses,90404
,"$4,000",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]",Los Angeles,"Los Angeles, CA 90291",12 Month Lease,https://www.apartments.com/220-venice-way-los-angeles-ca/0b1qqj2/,750,750 Sq Ft,CA,Houses,90291
,,"$2,950",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]",Los Angeles,"2550 S Genesee Ave, Los Angeles, CA 90016",12 Month Lease,https://www.apartments.com/2550-s-genesee-ave-los-angeles-ca/qe9ee8w/,"1,300","1,300 Sq Ft",CA,Houses,90016
"$2,995",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,995'}]",Los Angeles,"1607 Courtney Ave, Los Angeles, CA 90046",12 Month Lease,https://www.apartments.com/1607-courtney-ave-los-angeles-ca/qt15ecy/,650,650 Sq Ft,CA,Houses,90046
"$2,350",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,350'}]",Los Angeles,"Los Angeles, CA 90291",1 Month Lease,https://www.apartments.com/807-warren-ave-los-angeles-ca/dfwht9h/,850,850 Sq Ft,CA,Houses,90291
,"$3,500",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",Santa Monica,"2607 6th St, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/2607-6th-st-santa-monica-ca/0k49dd2/,850,850 Sq Ft,CA,Houses,90405
,,"$3,650",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,650'}]",Woodland Hills,"4335 Morro Dr, Woodland Hills, CA 91364",12 Month Lease,https://www.apartments.com/4335-morro-dr-woodland-hills-ca/vzjcy9g/,"2,000","2,000 Sq Ft",CA,Houses,91364
,"$2,350",,,,Apr 4,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}]",Altadena,"495 Vermont St, Altadena, CA 91001",12 Month Lease,https://www.apartments.com/495-vermont-st-altadena-ca/j10xsy7/,940,940 Sq Ft,CA,Houses,91001
"$1,950",,,,,Apr 15,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,950'}]",Westchester,"6509 Riggs Pl, Westchester, CA 90045",12 Month Lease,https://www.apartments.com/6509-riggs-pl-westchester-ca/6jr13bs/,400,400 Sq Ft,CA,Houses,90045
,,,"$6,000",,Apr 15,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$6,000'}]",Santa Monica,"2429 Beverley Ave, Santa Monica, CA 90405",12 Month Lease,https://www.apartments.com/2429-beverley-ave-santa-monica-ca/s1vddh7/,"1,400","1,400 Sq Ft",CA,Houses,90405
,"$3,500",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]",Los Angeles,"3057 Hollycrest Dr, Los Angeles, CA 90068",12 Month Lease,https://www.apartments.com/3057-hollycrest-dr-los-angeles-ca/t3g5ctb/,"1,200","1,200 Sq Ft",CA,Houses,90068
,"$3,850",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,850'}]",Burbank,"141 S Brighton St, Burbank, CA 91506",12 Month Lease,https://www.apartments.com/141-s-brighton-st-burbank-ca/gmepsfy/,"1,300","1,300 Sq Ft",CA,Houses,91506
,,"$3,600",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,600'}]",Pasadena,"1880 Paloma St, Pasadena, CA 91104",12 Month Lease,https://www.apartments.com/1880-paloma-st-pasadena-ca/zy47f5w/,"1,581","1,581 Sq Ft",CA,Houses,91104
