"
												1 Bed
														–
3 Beds										",1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
,"$2,625","$2,992","$4,805",,"[{'bedroom_type': 'Studio', 'price': '$2,422'}, {'bedroom_type': '1 Bed', 'price': '$2,625'}, {'bedroom_type': '2 Beds', 'price': '$2,992'}, {'bedroom_type': '3 Beds', 'price': '$4,805'}]",Oakland,"255 9th Ave, Oakland, CA 94606",Orion,https://www.apartments.com/orion-oakland-ca/21eze18/,CA,"$2,422",Apartment,94606
,"$1,119","$1,399",,,"[{'bedroom_type': '1 Bed', 'price': '$1,119'}, {'bedroom_type': '2 Beds', 'price': '$1,399'}]",Sacramento,"8719 Woodman Way, Sacramento, CA 95826",Apex on the River,https://www.apartments.com/apex-on-the-river-sacramento-ca/bk02c3b/,CA,,Apartment,95826
,"$2,768","$3,814",,,"[{'bedroom_type': 'Studio', 'price': '$2,423'}, {'bedroom_type': '1 Bed', 'price': '$2,768'}, {'bedroom_type': '2 Beds', 'price': '$3,814'}]",Los Angeles,"6200 Hollywood Blvd, Los Angeles, CA 90028",El Centro Apartments and Bungalows,https://www.apartments.com/el-centro-apartments-and-bungalows-los-angeles-ca/m5m52rl/,CA,"$2,423",Apartment,90028
,"$1,839","$2,347","$2,979",,"[{'bedroom_type': '1 Bed', 'price': '$1,839'}, {'bedroom_type': '2 Beds', 'price': '$2,347'}, {'bedroom_type': '3 Beds', 'price': '$2,979'}]",Downey,"9140 Brookshire Ave, Downey, CA 90240",Parc at 5 Apartments,https://www.apartments.com/parc-at-5-apartments-downey-ca/vdx289e/,CA,,Apartment,90240
,"$3,430","$4,325","$5,550",,"[{'bedroom_type': '1 Bed', 'price': '$3,430'}, {'bedroom_type': '2 Beds', 'price': '$4,325'}, {'bedroom_type': '3 Beds', 'price': '$5,550'}]",Burbank,"3425 W Olive Ave, Burbank, CA 91505",Talaria,https://www.apartments.com/talaria-burbank-ca/yex8pqr/,CA,,Apartment,91505
,"$2,243","$3,325",,,"[{'bedroom_type': 'Studio', 'price': '$1,929'}, {'bedroom_type': '1 Bed', 'price': '$2,243'}, {'bedroom_type': '2 Beds', 'price': '$3,325'}, {'bedroom_type': '3 Beds', 'price': ''}]",San Diego,"1601 Broadway, San Diego, CA 92101",Broadstone Makers Quarter,https://www.apartments.com/broadstone-makers-quarter-san-diego-ca/zd2drxy/,CA,"$1,929",Apartment,92101
,"$1,299","$1,440",,,"[{'bedroom_type': '1 Bed', 'price': '$1,299'}, {'bedroom_type': '2 Beds', 'price': '$1,440'}]",Sacramento,"2500 Fair Oaks Blvd, Sacramento, CA 95825",THE RETRO,https://www.apartments.com/the-retro-sacramento-ca/cm44ftf/,CA,,Apartment,95825
,"$1,650",,"$2,435",,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$2,435'}]",Roseville,"1501 Secret Ravine Pkwy, Roseville, CA 95661",THE PHOENICIAN,https://www.apartments.com/the-phoenician-roseville-ca/lqlb0gg/,CA,,Apartment,95661
,"$1,474","$1,795",,,"[{'bedroom_type': '1 Bed', 'price': '$1,474'}, {'bedroom_type': '2 Beds', 'price': '$1,795'}, {'bedroom_type': '3 Beds', 'price': ''}]",Roseville,"1601 Vineyard Rd, Roseville, CA 95747",VINEYARD GATE APARTMENTS,https://www.apartments.com/vineyard-gate-apartments-roseville-ca/0pxqle0/,CA,,Apartment,95747
,"$2,025","$2,450","$3,100",,"[{'bedroom_type': '1 Bed', 'price': '$2,025'}, {'bedroom_type': '2 Beds', 'price': '$2,450'}, {'bedroom_type': '3 Beds', 'price': '$3,100'}]",San Diego,"9800 Mira Lee Way, San Diego, CA 92126",Casa Mira View,https://www.apartments.com/casa-mira-view-san-diego-ca/yn9q6jt/,CA,,Apartment,92126
,,"$2,425",,,"[{'bedroom_type': '2 Beds', 'price': '$2,425'}]",Fremont,"4445 Stevenson Blvd, Fremont, CA 94538",Parc 88 Townhomes,https://www.apartments.com/parc-88-townhomes-fremont-ca/vmwkj6d/,CA,,Apartment,94538
,"$2,495","$3,450",,,"[{'bedroom_type': '1 Bed', 'price': '$2,495'}, {'bedroom_type': '2 Beds', 'price': '$3,450'}]",Los Angeles,"105 S Fairfax Ave, Los Angeles, CA 90036",THE FAIRFAX,https://www.apartments.com/the-fairfax-los-angeles-ca/dednhbk/,CA,,Apartment,90036
,,"$2,000",,,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",San Diego,"2015 Hancock St, San Diego, CA 92110",Loft2015,https://www.apartments.com/loft2015-san-diego-ca/z5thh3w/,CA,,Apartment,92110
,"$1,670","$2,085",,,"[{'bedroom_type': 'Studio', 'price': '$1,440'}, {'bedroom_type': '1 Bed', 'price': '$1,670'}, {'bedroom_type': '2 Beds', 'price': '$2,085'}]",Redlands,"26000 W Lugonia Ave, Redlands, CA 92374",The Crossings at Redlands,https://www.apartments.com/the-crossings-at-redlands-redlands-ca/zl42wsx/,CA,"$1,440",Apartment,92374
,"$1,775","$2,095","$2,900",,"[{'bedroom_type': '1 Bed', 'price': '$1,775'}, {'bedroom_type': '2 Beds', 'price': '$2,095'}, {'bedroom_type': '3 Beds', 'price': '$2,900'}]",Davis,"619 Pole Line Rd, Davis, CA 95618",Cambridge House,https://www.apartments.com/cambridge-house-davis-ca/0f4xxg2/,CA,,Apartment,95618
,"$3,049","$4,099",,,"[{'bedroom_type': 'Studio', 'price': '$2,598'}, {'bedroom_type': '1 Bed', 'price': '$3,049'}, {'bedroom_type': '2 Beds', 'price': '$4,099'}]",Marina Del Rey,"13448 Beach Ave, Marina Del Rey, CA 90292",G8 by CLG,https://www.apartments.com/g8-by-clg-marina-del-rey-ca/9cp0475/,CA,"$2,598",Apartment,90292
,"$4,045","$5,785",,,"[{'bedroom_type': '1 Bed', 'price': '$4,045'}, {'bedroom_type': '2 Beds', 'price': '$5,785'}]",San Francisco,"2112 Market St, San Francisco, CA 94114",Sonder Residences,https://www.apartments.com/sonder-residences-san-francisco-ca/95v10m5/,CA,,Apartment,94114
,"$1,900","$2,200",,,"[{'bedroom_type': 'Studio', 'price': '$1,550'}, {'bedroom_type': '1 Bed', 'price': '$1,900'}, {'bedroom_type': '2 Beds', 'price': '$2,200'}]",Van Nuys,"8155 Van Nuys Blvd, Van Nuys, CA 91402",Panorama Tower,https://www.apartments.com/panorama-tower-van-nuys-ca/q4ckk5w/,CA,"$1,550",Apartment,91402
,"$2,095","$2,910","$4,515",,"[{'bedroom_type': 'Studio', 'price': '$1,680'}, {'bedroom_type': '1 Bed', 'price': '$2,095'}, {'bedroom_type': '2 Beds', 'price': '$2,910'}, {'bedroom_type': '3 Beds', 'price': '$4,515'}]",Sacramento,"1714 21st St, Sacramento, CA 95811",The Press,https://www.apartments.com/the-press-sacramento-ca/8k68em0/,CA,"$1,680",Apartment,95811
,"$2,150","$2,370",,,"[{'bedroom_type': '1 Bed', 'price': '$2,150'}, {'bedroom_type': '2 Beds', 'price': '$2,370'}]",Oakland,"805 N 71st Ave, Oakland, CA 94621",Coliseum Connections,https://www.apartments.com/coliseum-connections-oakland-ca/1n0krn4/,CA,,Apartment,94621
,,"$1,680","$2,150",,"[{'bedroom_type': '2 Beds', 'price': '$1,680'}, {'bedroom_type': '3 Beds', 'price': '$2,150'}]",San Diego,"15095 Via Hondonada, San Diego, CA 92129",The Hills,https://www.apartments.com/the-hills-san-diego-ca/llzmp1g/,CA,,Apartment,92129
,"$3,860","$5,512",,,"[{'bedroom_type': 'Studio', 'price': '$3,375'}, {'bedroom_type': '1 Bed', 'price': '$3,860'}, {'bedroom_type': '2 Beds', 'price': '$5,512'}]",Mountain View,"394 Ortega Ave, Mountain View, CA 94040",Anton Ladera,https://www.apartments.com/anton-ladera-mountain-view-ca/fjs69kv/,CA,"$3,375",Apartment,94040
,"$2,095","$2,495","$3,215",,"[{'bedroom_type': 'Studio', 'price': '$1,895'}, {'bedroom_type': '1 Bed', 'price': '$2,095'}, {'bedroom_type': '2 Beds', 'price': '$2,495'}, {'bedroom_type': '3 Beds', 'price': '$3,215'}]",San Jose,"4951 Cherry Ave, San Jose, CA 95118",Cherrywood Apartments,https://www.apartments.com/cherrywood-apartments-san-jose-ca/bbnek58/,CA,"$1,895",Apartment,95118
,"$2,045","$2,475","$3,105",,"[{'bedroom_type': 'Studio', 'price': '$1,795'}, {'bedroom_type': '1 Bed', 'price': '$2,045'}, {'bedroom_type': '2 Beds', 'price': '$2,475'}, {'bedroom_type': '3 Beds', 'price': '$3,105'}]",San Jose,"4300 The Woods Dr, San Jose, CA 95136",The Woods,https://www.apartments.com/the-woods-san-jose-ca/75d8npw/,CA,"$1,795",Apartment,95136
,"$1,855","$2,245",,,"[{'bedroom_type': 'Studio', 'price': '$1,720'}, {'bedroom_type': '1 Bed', 'price': '$1,855'}, {'bedroom_type': '2 Beds', 'price': '$2,245'}]",Walnut Creek,"1357 Creekside Dr, Walnut Creek, CA 94596",Four Seasons Apartments,https://www.apartments.com/four-seasons-apartments-walnut-creek-ca/q5rlysy/,CA,"$1,720",Apartment,94596
,"$3,463","$3,852","$5,758",,"[{'bedroom_type': 'Studio', 'price': '$3,119'}, {'bedroom_type': '1 Bed', 'price': '$3,463'}, {'bedroom_type': '2 Beds', 'price': '$3,852'}, {'bedroom_type': '3 Beds', 'price': '$5,758'}]",Los Angeles,"1010 Wilshire Blvd, Los Angeles, CA 90017",TENTEN WILSHIRE - All Inclusive Living,https://www.apartments.com/tenten-wilshire-all-inclusive-living-los-angeles-ca/337dtrf/,CA,"$3,119",Apartment,90017
,"$2,269","$3,596","$9,960",,"[{'bedroom_type': 'Studio', 'price': '$1,953'}, {'bedroom_type': '1 Bed', 'price': '$2,269'}, {'bedroom_type': '2 Beds', 'price': '$3,596'}, {'bedroom_type': '3 Beds', 'price': '$9,960'}]",Los Angeles,"354 S Spring St, Los Angeles, CA 90013",HWH Luxury Living,https://www.apartments.com/hwh-luxury-living-los-angeles-ca/qp5npbz/,CA,"$1,953",Apartment,90013
,,"$1,885",,,"[{'bedroom_type': '2 Beds', 'price': '$1,885'}]",Placentia,"100 S Highland Ave, Placentia, CA 92870",Highland Orchard Apartments,https://www.apartments.com/highland-orchard-apartments-placentia-ca/mtp9s0j/,CA,,Apartment,92870
,,,"$4,495",,"[{'bedroom_type': '3 Beds', 'price': '$4,495'}]",Culver City,"4025 Grand View Blvd, Culver City, CA 90066",LidoApartments.com,https://www.apartments.com/lidoapartmentscom-culver-city-ca/8rbhex0/,CA,,Apartment,90066
,"$1,965",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,965'}]",Los Angeles,"1039 S Hobart Blvd, Los Angeles, CA 90006",LidoApartments.com,https://www.apartments.com/lidoapartmentscom-los-angeles-ca/ww151nl/,CA,,Apartment,90006
,"$2,195","$2,895","$3,395",,"[{'bedroom_type': '1 Bed', 'price': '$2,195'}, {'bedroom_type': '2 Beds', 'price': '$2,895'}, {'bedroom_type': '3 Beds', 'price': '$3,395'}]",Los Angeles,"4847 Oakwood Ave, Los Angeles, CA 90004",LidoApartments.com,https://www.apartments.com/lidoapartmentscom-los-angeles-ca/9nkznr5/,CA,,Apartment,90004
,"$1,800",,"$2,875",,"[{'bedroom_type': 'Studio', 'price': '$1,700'}, {'bedroom_type': '1 Bed', 'price': '$1,800'}, {'bedroom_type': '3 Beds', 'price': '$2,875'}]",Alhambra,"1801 Garvey Ave, Alhambra, CA 91803",LUXE 1801,https://www.apartments.com/luxe-1801-alhambra-ca/rdny3q2/,CA,"$1,700",Apartment,91803
,"$2,210","$3,150","$3,770",,"[{'bedroom_type': 'Studio', 'price': '$2,100'}, {'bedroom_type': '1 Bed', 'price': '$2,210'}, {'bedroom_type': '2 Beds', 'price': '$3,150'}, {'bedroom_type': '3 Beds', 'price': '$3,770'}]",Canoga Park,"6606 N Variel Ave, Canoga Park, CA 91303",Vert,https://www.apartments.com/vert-canoga-park-ca/tc615y8/,CA,"$2,100",Apartment,91303
,"$2,300","$2,600","$3,700",,"[{'bedroom_type': '1 Bed', 'price': '$2,300'}, {'bedroom_type': '2 Beds', 'price': '$2,600'}, {'bedroom_type': '3 Beds', 'price': '$3,700'}]",Costa Mesa,"125 Baker St E, Costa Mesa, CA 92626",Baker Block,https://www.apartments.com/baker-block-costa-mesa-ca/dzhd6jk/,CA,,Apartment,92626
,"$1,931","$2,683",,,"[{'bedroom_type': 'Studio', 'price': '$1,491'}, {'bedroom_type': '1 Bed', 'price': '$1,931'}, {'bedroom_type': '2 Beds', 'price': '$2,683'}]",Los Angeles,"209 S Westmoreland Ave, Los Angeles, CA 90004",THE CHADWICK,https://www.apartments.com/the-chadwick-los-angeles-ca/jzr53m6/,CA,"$1,491",Apartment,90004
,"$2,695","$3,345",,,"[{'bedroom_type': '1 Bed', 'price': '$2,695'}, {'bedroom_type': '2 Beds', 'price': '$3,345'}]",Milpitas,"1828 S Milpitas Blvd, Milpitas, CA 95035",Anton Aspire,https://www.apartments.com/anton-aspire-milpitas-ca/ptmtmtt/,CA,,Apartment,95035
,"$1,700","$2,060",,,"[{'bedroom_type': 'Studio', 'price': '$1,675'}, {'bedroom_type': '1 Bed', 'price': '$1,700'}, {'bedroom_type': '2 Beds', 'price': '$2,060'}]",Santa Ana,"2414 N Tustin Ave, Santa Ana, CA 92705",Horizon Apartment Homes,https://www.apartments.com/horizon-apartment-homes-santa-ana-ca/9432hh5/,CA,"$1,675",Apartment,92705
,"$1,490","$1,645","$1,895",,"[{'bedroom_type': 'Studio', 'price': '$1,275'}, {'bedroom_type': '1 Bed', 'price': '$1,490'}, {'bedroom_type': '2 Beds', 'price': '$1,645'}, {'bedroom_type': '3 Beds', 'price': '$1,895'}]",South Gate,"10800 Wright Rd, South Gate, CA 90280",Palm Gate Apartments,https://www.apartments.com/palm-gate-apartments-south-gate-ca/mb5djkk/,CA,"$1,275",Apartment,90280
,"$1,700","$1,770","$2,460",,"[{'bedroom_type': '1 Bed', 'price': '$1,700'}, {'bedroom_type': '2 Beds', 'price': '$1,770'}, {'bedroom_type': '3 Beds', 'price': '$2,460'}]",Antioch,"600 Wilbur Ave, Antioch, CA 94509",Lakeshore Apartments,https://www.apartments.com/lakeshore-apartments-antioch-ca/q0k2l8y/,CA,,Apartment,94509
,$995,"$1,100",,,"[{'bedroom_type': '1 Bed', 'price': '$995'}, {'bedroom_type': '2 Beds', 'price': '$1,100'}]",Fresno,"373 W Nees Ave, Fresno, CA 93711",Windscape,https://www.apartments.com/windscape-fresno-ca/f79btmt/,CA,,Apartment,93711
,"$3,325","$4,260","$6,145",,"[{'bedroom_type': 'Studio', 'price': '$3,001'}, {'bedroom_type': '1 Bed', 'price': '$3,325'}, {'bedroom_type': '2 Beds', 'price': '$4,260'}, {'bedroom_type': '3 Beds', 'price': '$6,145'}]",Redwood City,"675 Bradford St, Redwood City, CA 94063",Indigo Apartments,https://www.apartments.com/indigo-apartments-redwood-city-ca/wbn2ybk/,CA,"$3,001",Apartment,94063
,"$1,765","$2,040","$2,461",,"[{'bedroom_type': '1 Bed', 'price': '$1,765'}, {'bedroom_type': '2 Beds', 'price': '$2,040'}, {'bedroom_type': '3 Beds', 'price': '$2,461'}]",Rancho Cucamonga,"11660 Church St, Rancho Cucamonga, CA 91730",Homecoming At Terra Vista,https://www.apartments.com/homecoming-at-terra-vista-rancho-cucamonga-ca/y5vg07v/,CA,,Apartment,91730
,"$1,669","$2,091","$2,476","$2,799","[{'bedroom_type': '1 Bed', 'price': '$1,669'}, {'bedroom_type': '2 Beds', 'price': '$2,091'}, {'bedroom_type': '3 Beds', 'price': '$2,476'}, {'bedroom_type': '4 Beds', 'price': '$2,799'}]",Chino,"16250 Homecoming Dr, Chino, CA 91708",Homecoming at The Preserve,https://www.apartments.com/homecoming-at-the-preserve-chino-ca/60dq5nr/,CA,,Apartment,91708
,"$2,000","$2,200",,,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}, {'bedroom_type': '2 Beds', 'price': '$2,200'}]",San Diego,"8155 Cargill Ave, San Diego, CA 92122",VILLAGE VIEW,https://www.apartments.com/village-view-san-diego-ca/8yyrn52/,CA,,Apartment,92122
,"$1,955","$2,399","$3,055",,"[{'bedroom_type': '1 Bed', 'price': '$1,955'}, {'bedroom_type': '2 Beds', 'price': '$2,399'}, {'bedroom_type': '3 Beds', 'price': '$3,055'}]",Oxnard,"450 Forest Park Blvd, Oxnard, CA 93036",Tempo at Riverpark,https://www.apartments.com/tempo-at-riverpark-oxnard-ca/c7xhslf/,CA,,Apartment,93036
,"$1,561","$1,515","$2,016",,"[{'bedroom_type': '1 Bed', 'price': '$1,561'}, {'bedroom_type': '2 Beds', 'price': '$1,515'}, {'bedroom_type': '3 Beds', 'price': '$2,016'}]",Roseville,"1751 E Roseville Pky, Roseville, CA 95661",Slate Creek,https://www.apartments.com/slate-creek-roseville-ca/prpmkts/,CA,,Apartment,95661
,"$2,285","$3,662","$6,025",,"[{'bedroom_type': 'Studio', 'price': '$2,225'}, {'bedroom_type': '1 Bed', 'price': '$2,285'}, {'bedroom_type': '2 Beds', 'price': '$3,662'}, {'bedroom_type': '3 Beds', 'price': '$6,025'}]",Hollywood,"1619 N La Brea Ave, Hollywood, CA 90028",The Avenue Hollywood,https://www.apartments.com/the-avenue-hollywood-hollywood-ca/pzblp3t/,CA,"$2,225",Apartment,90028
,"$2,315","$2,700","$3,496",,"[{'bedroom_type': '1 Bed', 'price': '$2,315'}, {'bedroom_type': '2 Beds', 'price': '$2,700'}, {'bedroom_type': '3 Beds', 'price': '$3,496'}]",San Jose,"5822 Charlotte Dr, San Jose, CA 95123",La Moraga Apartments,https://www.apartments.com/la-moraga-apartments-san-jose-ca/1yx3ep7/,CA,,Apartment,95123
,"$2,370","$2,904",,,"[{'bedroom_type': '1 Bed', 'price': '$2,370'}, {'bedroom_type': '2 Beds', 'price': '$2,904'}, {'bedroom_type': '3 Beds', 'price': ''}]",San Rafael,"1001 Cresta Way, San Rafael, CA 94903",Highlands of Marin,https://www.apartments.com/highlands-of-marin-san-rafael-ca/gs3mgxz/,CA,,Apartment,94903
,"$1,720","$1,840",,,"[{'bedroom_type': '1 Bed', 'price': '$1,720'}, {'bedroom_type': '2 Beds', 'price': '$1,840'}]",Vacaville,"555 Elmira Rd, Vacaville, CA 95687",The Parc,https://www.apartments.com/the-parc-vacaville-ca/143xlc7/,CA,,Apartment,95687
,"$1,410","$1,540",,,"[{'bedroom_type': '1 Bed', 'price': '$1,410'}, {'bedroom_type': '2 Beds', 'price': '$1,540'}]",San Bernardino,"1925 W College Ave, San Bernardino, CA 92407",Ridgeline Apartments,https://www.apartments.com/ridgeline-apartments-san-bernardino-ca/1lhtqq6/,CA,,Apartment,92407
,,,,,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]",Davis,"1880 Cowell Blvd, Davis, CA 95618",Tanglewood @ Davis,https://www.apartments.com/tanglewood-davis-davis-ca/xt2gz7p/,CA,,Apartment,95618
,"$2,312","$2,741","$3,182",,"[{'bedroom_type': '1 Bed', 'price': '$2,312'}, {'bedroom_type': '2 Beds', 'price': '$2,741'}, {'bedroom_type': '3 Beds', 'price': '$3,182'}]",Carlsbad,"3251 Marisol Pl, Carlsbad, CA 92010",Marisol Carlsbad,https://www.apartments.com/marisol-carlsbad-carlsbad-ca/j3vyb25/,CA,,Apartment,92010
,"$2,766","$2,712",,,"[{'bedroom_type': '1 Bed', 'price': '$2,766'}, {'bedroom_type': '2 Beds', 'price': '$2,712'}]",Los Angeles,"467 Arnaz Dr, Los Angeles, CA 90048",IMT Beverly Arnaz,https://www.apartments.com/imt-beverly-arnaz-los-angeles-ca/ekrw6lm/,CA,,Apartment,90048
,"$1,402","$1,961",,,"[{'bedroom_type': '1 Bed', 'price': '$1,402'}, {'bedroom_type': '2 Beds', 'price': '$1,961'}]",Antioch,"2201 San Jose Dr, Antioch, CA 94509",Mira Vista Hills,https://www.apartments.com/mira-vista-hills-antioch-ca/3hr5bmg/,CA,,Apartment,94509
,"$1,945","$2,275","$2,630",,"[{'bedroom_type': '1 Bed', 'price': '$1,945'}, {'bedroom_type': '2 Beds', 'price': '$2,275'}, {'bedroom_type': '3 Beds', 'price': '$2,630'}]",Oceanside,"4795 Frazee Rd, Oceanside, CA 92057",Capella at Rancho Del Oro Luxury Apartment...,https://www.apartments.com/capella-at-rancho-del-oro-luxury-apartment-oceanside-ca/6c3h6js/,CA,,Apartment,92057
,"$3,637","$5,047",,,"[{'bedroom_type': 'Studio', 'price': '$3,321'}, {'bedroom_type': '1 Bed', 'price': '$3,637'}, {'bedroom_type': '2 Beds', 'price': '$5,047'}]",San Francisco,"185 Channel St, San Francisco, CA 94158",Channel Mission Bay,https://www.apartments.com/channel-mission-bay-san-francisco-ca/7l08vty/,CA,"$3,321",Apartment,94158
,"$1,549","$1,809",,,"[{'bedroom_type': '1 Bed', 'price': '$1,549'}, {'bedroom_type': '2 Beds', 'price': '$1,809'}]",Ontario,"950 N Duesenberg Dr, Ontario, CA 91764",Camden Landmark,https://www.apartments.com/camden-landmark-ontario-ca/ks10mkc/,CA,,Apartment,91764
,"$2,195","$2,695","$3,895",,"[{'bedroom_type': 'Studio', 'price': '$1,995'}, {'bedroom_type': '1 Bed', 'price': '$2,195'}, {'bedroom_type': '2 Beds', 'price': '$2,695'}, {'bedroom_type': '3 Beds', 'price': '$3,895'}]",Anaheim,"2211 E Orangewood Ave, Anaheim, CA 92806",The George,https://www.apartments.com/the-george-anaheim-ca/5nl5dnq/,CA,"$1,995",Apartment,92806
,"$1,946","$2,253",,,"[{'bedroom_type': '1 Bed', 'price': '$1,946'}, {'bedroom_type': '2 Beds', 'price': '$2,253'}]",Vacaville,"300 Crescent Dr, Vacaville, CA 95688",Villas at North Village,https://www.apartments.com/villas-at-north-village-vacaville-ca/71kfdqz/,CA,,Apartment,95688
,"$3,344","$4,613",,,"[{'bedroom_type': '1 Bed', 'price': '$3,344'}, {'bedroom_type': '2 Beds', 'price': '$4,613'}]",Mountain View,"2020 W El Camino Real, Mountain View, CA 94040",Verve,https://www.apartments.com/verve-mountain-view-ca/dfw92yk/,CA,,Apartment,94040
,"$3,540","$4,295","$5,110",,"[{'bedroom_type': '1 Bed', 'price': '$3,540'}, {'bedroom_type': '2 Beds', 'price': '$4,295'}, {'bedroom_type': '3 Beds', 'price': '$5,110'}]",Newport Beach,"1000 San Joaquin Plz, Newport Beach, CA 92660",Villas Fashion Island,https://www.apartments.com/villas-fashion-island-newport-beach-ca/ppeym6r/,CA,,Apartment,92660
,"$3,459","$4,178",,,"[{'bedroom_type': 'Studio', 'price': '$2,857'}, {'bedroom_type': '1 Bed', 'price': '$3,459'}, {'bedroom_type': '2 Beds', 'price': '$4,178'}]",Culver City,"10601 Washington Blvd, Culver City, CA 90232",Cobalt,https://www.apartments.com/cobalt-culver-city-ca/fwf334r/,CA,"$2,857",Apartment,90232
,"$1,600","$1,795",,,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}, {'bedroom_type': '2 Beds', 'price': '$1,795'}, {'bedroom_type': '3 Beds', 'price': ''}]",Rocklin,"5002 Jewel St, Rocklin, CA 95677",GARNET CREEK,https://www.apartments.com/garnet-creek-rocklin-ca/kxfykgb/,CA,,Apartment,95677
,"$2,975","$3,770",,,"[{'bedroom_type': 'Studio', 'price': '$3,330'}, {'bedroom_type': '1 Bed', 'price': '$2,975'}, {'bedroom_type': '2 Beds', 'price': '$3,770'}]",Santa Clara,"3555 Monroe St, Santa Clara, CA 95051",Monticello Apartment Homes,https://www.apartments.com/monticello-apartment-homes-santa-clara-ca/svq6gr4/,CA,"$3,330",Apartment,95051
,"$1,797","$2,500",,,"[{'bedroom_type': '1 Bed', 'price': '$1,797'}, {'bedroom_type': '2 Beds', 'price': '$2,500'}]",American Canyon,"800 Reliant Way, American Canyon, CA 94503",Canyon Ridge at Napa Junction,https://www.apartments.com/canyon-ridge-at-napa-junction-american-canyon-ca/3hrcp0g/,CA,,Apartment,94503
,"$2,520","$3,425","$4,845",,"[{'bedroom_type': 'Studio', 'price': '$2,195'}, {'bedroom_type': '1 Bed', 'price': '$2,520'}, {'bedroom_type': '2 Beds', 'price': '$3,425'}, {'bedroom_type': '3 Beds', 'price': '$4,845'}]",Long Beach,"150 W Ocean Blvd, Long Beach, CA 90802",Oceanaire,https://www.apartments.com/oceanaire-long-beach-ca/mz21qgj/,CA,"$2,195",Apartment,90802
,"$3,680","$4,743","$7,005",,"[{'bedroom_type': 'Studio', 'price': '$3,353'}, {'bedroom_type': '1 Bed', 'price': '$3,680'}, {'bedroom_type': '2 Beds', 'price': '$4,743'}, {'bedroom_type': '3 Beds', 'price': '$7,005'}]",Mountain View,"1030 Castro St, Mountain View, CA 94040",Elan Mountain View,https://www.apartments.com/elan-mountain-view-mountain-view-ca/c2b84xg/,CA,"$3,353",Apartment,94040
,"$2,530","$2,960",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,530'}, {'bedroom_type': '2 Beds', 'price': '$2,960'}]",San Jose,"5560 Lexington Ave, San Jose, CA 95123",The Lex,https://www.apartments.com/the-lex-san-jose-ca/f72t6dt/,CA,,Apartment,95123
,"$3,850","$4,100",,,"[{'bedroom_type': 'Studio', 'price': '$2,875'}, {'bedroom_type': '1 Bed', 'price': '$3,850'}, {'bedroom_type': '2 Beds', 'price': '$4,100'}]",Campbell,"300 Railway Ave, Campbell, CA 95008",300 Railway,https://www.apartments.com/300-railway-campbell-ca/bj6kr9b/,CA,"$2,875",Apartment,95008
,"$1,695","$2,295",,,"[{'bedroom_type': '1 Bed', 'price': '$1,695'}, {'bedroom_type': '2 Beds', 'price': '$2,295'}]",Chula Vista,"986 Broadway, Chula Vista, CA 91911",Del Oro on Broadway,https://www.apartments.com/del-oro-on-broadway-chula-vista-ca/p7qc1lr/,CA,,Apartment,91911
,,"$2,698",,,"[{'bedroom_type': '2 Beds', 'price': '$2,698'}]",San Diego,"6345 Gullstrand St, San Diego, CA 92122",Avia La Jolla II,https://www.apartments.com/avia-la-jolla-ii-san-diego-ca/be9tnfc/,CA,,Apartment,92122
,"$2,250","$2,653",,,"[{'bedroom_type': 'Studio', 'price': '$1,835'}, {'bedroom_type': '1 Bed', 'price': '$2,250'}, {'bedroom_type': '2 Beds', 'price': '$2,653'}, {'bedroom_type': '3 Beds', 'price': ''}]",Studio City,"10979 Bluffside Dr, Studio City, CA 91604",AVA Studio City,https://www.apartments.com/ava-studio-city-studio-city-ca/sxyjjp4/,CA,"$1,835",Apartment,91604
,"$1,850","$2,200",,,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}, {'bedroom_type': '2 Beds', 'price': '$2,200'}]",San Marcos,"768 Woodward St, San Marcos, CA 92069",Coastal Living at San Marcos 55+ Community,https://www.apartments.com/coastal-living-at-san-marcos-55-community-san-marcos-ca/93k50h6/,CA,,Apartment,92069
,"$2,747","$3,057",,,"[{'bedroom_type': 'Studio', 'price': '$2,265'}, {'bedroom_type': '1 Bed', 'price': '$2,747'}, {'bedroom_type': '2 Beds', 'price': '$3,057'}]",Oceanside,"115 N Cleveland St, Oceanside, CA 92054",Pierside South,https://www.apartments.com/pierside-south-oceanside-ca/2jc1knb/,CA,"$2,265",Apartment,92054
