"
												1 Bed
														–
3 Beds										",1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
,"$1,600","$1,861",,,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}, {'bedroom_type': '2 Beds', 'price': '$1,861'}]",Pittsburg,"241 W Buchanan Rd, Pittsburg, CA 94565",Woodland Hills,https://www.apartments.com/woodland-hills-pittsburg-ca/vz7d30d/,CA,,Apartment,94565
,"$1,899","$2,236",,,"[{'bedroom_type': '1 Bed', 'price': '$1,899'}, {'bedroom_type': '2 Beds', 'price': '$2,236'}, {'bedroom_type': '3 Beds', 'price': ''}]",Pittsburg,"2000 Villa Dr, Pittsburg, CA 94565",San Marco Villas,https://www.apartments.com/san-marco-villas-pittsburg-ca/4qxw2vj/,CA,,Apartment,94565
,"$2,350","$2,861",,,"[{'bedroom_type': '1 Bed', 'price': '$2,350'}, {'bedroom_type': '2 Beds', 'price': '$2,861'}]",Irvine,"16101 Murphy Ave, Irvine, CA 92606",THE MURPHY | IRVINE,https://www.apartments.com/the-murphy-irvine-irvine-ca/v68nxtf/,CA,,Apartment,92606
,"$1,426","$1,587",,,"[{'bedroom_type': 'Studio', 'price': '$1,276'}, {'bedroom_type': '1 Bed', 'price': '$1,426'}, {'bedroom_type': '2 Beds', 'price': '$1,587'}]",Turlock,"3025 W Christoffersen Pky, Turlock, CA 95382",Sierra Oaks,https://www.apartments.com/sierra-oaks-turlock-ca/5hf4srq/,CA,"$1,276",Apartment,95382
,"$1,995","$2,200",,,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,200'}]",San Ramon,"12355 Alcosta Blvd, San Ramon, CA 94583",Country Brook Rental Condos,https://www.apartments.com/country-brook-rental-condos-san-ramon-ca/04m18g2/,CA,,Apartment,94583
,"$1,880","$2,275","$3,270",,"[{'bedroom_type': '1 Bed', 'price': '$1,880'}, {'bedroom_type': '2 Beds', 'price': '$2,275'}, {'bedroom_type': '3 Beds', 'price': '$3,270'}]",San Diego,"6555 Ambrosia Dr, San Diego, CA 92124",The Village Mission Valley,https://www.apartments.com/the-village-mission-valley-san-diego-ca/4pt04hj/,CA,,Apartment,92124
,"$2,550","$3,124","$4,085",,"[{'bedroom_type': 'Studio', 'price': '$2,550'}, {'bedroom_type': '1 Bed', 'price': '$2,550'}, {'bedroom_type': '2 Beds', 'price': '$3,124'}, {'bedroom_type': '3 Beds', 'price': '$4,085'}]",Walnut Creek,"1001 Harvey Dr, Walnut Creek, CA 94597",Avalon Walnut Creek,https://www.apartments.com/avalon-walnut-creek-walnut-creek-ca/m3ny3ek/,CA,"$2,550",Apartment,94597
,"$1,900","$2,300",,,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}, {'bedroom_type': '2 Beds', 'price': '$2,300'}]",Los Angeles,"131, 143, 171 S Burlington Ave, Los Angeles, CA 90057",The Collective,https://www.apartments.com/the-collective-los-angeles-ca/4qm136k/,CA,,Apartment,90057
,"$2,123","$2,237","$4,009",,"[{'bedroom_type': '1 Bed', 'price': '$2,123'}, {'bedroom_type': '2 Beds', 'price': '$2,237'}, {'bedroom_type': '3 Beds', 'price': '$4,009'}]",Los Angeles,"14500 Sherman Cir, Los Angeles, CA 91405",IMT Sherman Circle,https://www.apartments.com/imt-sherman-circle-los-angeles-ca/zkgf4zx/,CA,,Apartment,91405
,"$1,861","$2,163","$3,213",,"[{'bedroom_type': '1 Bed', 'price': '$1,861'}, {'bedroom_type': '2 Beds', 'price': '$2,163'}, {'bedroom_type': '3 Beds', 'price': '$3,213'}]",Petaluma,"One Lakeville Cir, Petaluma, CA 94954",The Vineyard Luxury Apartments,https://www.apartments.com/the-vineyard-luxury-apartments-petaluma-ca/9dpz676/,CA,,Apartment,94954
,"$1,560","$1,745",,,"[{'bedroom_type': '1 Bed', 'price': '$1,560'}, {'bedroom_type': '2 Beds', 'price': '$1,745'}]",Suisun City,"313 Sandy Ln, Suisun City, CA 94585",The Henley Apartment Homes,https://www.apartments.com/the-henley-apartment-homes-suisun-city-ca/h0e50t1/,CA,,Apartment,94585
,"$3,255","$3,915",,,"[{'bedroom_type': 'Studio', 'price': '$2,895'}, {'bedroom_type': '1 Bed', 'price': '$3,255'}, {'bedroom_type': '2 Beds', 'price': '$3,915'}]",Santa Clara,"3320 Montgomery Dr, Santa Clara, CA 95054",Santa Clara Square Apartment Homes,https://www.apartments.com/santa-clara-square-apartment-homes-santa-clara-ca/rqgtnx3/,CA,"$2,895",Apartment,95054
,"$1,982","$2,251","$4,402",,"[{'bedroom_type': '1 Bed', 'price': '$1,982'}, {'bedroom_type': '2 Beds', 'price': '$2,251'}, {'bedroom_type': '3 Beds', 'price': '$4,402'}]",Brea,"420 La Crescenta Dr, Brea, CA 92823",Pearl La Floresta,https://www.apartments.com/pearl-la-floresta-brea-ca/qt47l1y/,CA,,Apartment,92823
,"$1,878","$2,245","$2,736",,"[{'bedroom_type': '1 Bed', 'price': '$1,878'}, {'bedroom_type': '2 Beds', 'price': '$2,245'}, {'bedroom_type': '3 Beds', 'price': '$2,736'}]",Chula Vista,"1625 Santa Venetia St, Chula Vista, CA 91913",Enclave Otay Ranch,https://www.apartments.com/enclave-otay-ranch-chula-vista-ca/lgy03re/,CA,,Apartment,91913
,"$2,701","$3,441","$5,987",,"[{'bedroom_type': 'Studio', 'price': '$2,348'}, {'bedroom_type': '1 Bed', 'price': '$2,701'}, {'bedroom_type': '2 Beds', 'price': '$3,441'}, {'bedroom_type': '3 Beds', 'price': '$5,987'}]",Oakland,"2450 Valdez St, Oakland, CA 94612",Hanover Northgate,https://www.apartments.com/hanover-northgate-oakland-ca/67v1f2r/,CA,"$2,348",Apartment,94612
,,"$2,775","$3,015",,"[{'bedroom_type': '2 Beds', 'price': '$2,775'}, {'bedroom_type': '3 Beds', 'price': '$3,015'}]",American Canyon,"100 Toscana Dr, American Canyon, CA 94503",THE VILLAGE AT VINTAGE RANCH,https://www.apartments.com/the-village-at-vintage-ranch-american-canyon-ca/ngmdtrm/,CA,,Apartment,94503
,"$2,765","$3,550",,,"[{'bedroom_type': '1 Bed', 'price': '$2,765'}, {'bedroom_type': '2 Beds', 'price': '$3,550'}, {'bedroom_type': '3 Beds', 'price': ''}]",Fremont,"1031 Walnut Ave, Fremont, CA 94536",The Asher,https://www.apartments.com/the-asher-fremont-ca/8j9vbx0/,CA,,Apartment,94536
,"$2,350","$3,475",,,"[{'bedroom_type': 'Studio', 'price': '$2,460'}, {'bedroom_type': '1 Bed', 'price': '$2,350'}, {'bedroom_type': '2 Beds', 'price': '$3,475'}]",Long Beach,"230 W 3rd St, Long Beach, CA 90802",The Pacific,https://www.apartments.com/the-pacific-long-beach-ca/6k8p0nr/,CA,"$2,460",Apartment,90802
,"$3,215","$4,115",,,"[{'bedroom_type': 'Studio', 'price': '$2,974'}, {'bedroom_type': '1 Bed', 'price': '$3,215'}, {'bedroom_type': '2 Beds', 'price': '$4,115'}]",Oakland,"385 14th St, Oakland, CA 94607",Atlas,https://www.apartments.com/atlas-oakland-ca/drpzh4l/,CA,"$2,974",Apartment,94607
,"$3,086","$3,955",,,"[{'bedroom_type': '1 Bed', 'price': '$3,086'}, {'bedroom_type': '2 Beds', 'price': '$3,955'}, {'bedroom_type': '3 Beds', 'price': ''}]",South San Francisco,"398-405 Cypress Ave, South San Francisco, CA 94080",Cadence,https://www.apartments.com/cadence-south-san-francisco-ca/9pskr57/,CA,,Apartment,94080
,"$1,705","$2,190",,,"[{'bedroom_type': 'Studio', 'price': '$1,600'}, {'bedroom_type': '1 Bed', 'price': '$1,705'}, {'bedroom_type': '2 Beds', 'price': '$2,190'}]",Folsom,"1550 Broadstone Pky, Folsom, CA 95630",Talavera,https://www.apartments.com/talavera-folsom-ca/15gkqm4/,CA,"$1,600",Apartment,95630
,"$2,195","$2,800","$3,230",,"[{'bedroom_type': '1 Bed', 'price': '$2,195'}, {'bedroom_type': '2 Beds', 'price': '$2,800'}, {'bedroom_type': '3 Beds', 'price': '$3,230'}]",Livermore,"1001-1097 Westwind St, Livermore, CA 94550",Ageno Apartments,https://www.apartments.com/ageno-apartments-livermore-ca/fmcm39v/,CA,,Apartment,94550
,"$1,985","$2,605","$3,443",,"[{'bedroom_type': 'Studio', 'price': '$1,900'}, {'bedroom_type': '1 Bed', 'price': '$1,985'}, {'bedroom_type': '2 Beds', 'price': '$2,605'}, {'bedroom_type': '3 Beds', 'price': '$3,443'}]",Sacramento,"3675 T St, Sacramento, CA 95816",GIO,https://www.apartments.com/gio-sacramento-ca/9jxvlp4/,CA,"$1,900",Apartment,95816
,"$2,185","$2,810","$3,750",,"[{'bedroom_type': 'Studio', 'price': '$2,125'}, {'bedroom_type': '1 Bed', 'price': '$2,185'}, {'bedroom_type': '2 Beds', 'price': '$2,810'}, {'bedroom_type': '3 Beds', 'price': '$3,750'}]",Laguna Niguel,"26033 Getty Dr, Laguna Niguel, CA 92677",BROADSTONE VILARA,https://www.apartments.com/broadstone-vilara-laguna-niguel-ca/tc5zfv8/,CA,"$2,125",Apartment,92677
,"$2,150","$2,775",,,"[{'bedroom_type': 'Studio', 'price': '$1,745'}, {'bedroom_type': '1 Bed', 'price': '$2,150'}, {'bedroom_type': '2 Beds', 'price': '$2,775'}]",Sacramento,"731 16th St, Sacramento, CA 95814",H16,https://www.apartments.com/h16-sacramento-ca/dmcnktk/,CA,"$1,745",Apartment,95814
,"$2,295","$2,395",,,"[{'bedroom_type': '1 Bed', 'price': '$2,295'}, {'bedroom_type': '2 Beds', 'price': '$2,395'}, {'bedroom_type': '3 Beds', 'price': ''}]",Folsom,"101 Pique Loop, Folsom, CA 95630",THE PIQUE,https://www.apartments.com/the-pique-folsom-ca/t9yx7xb/,CA,,Apartment,95630
,"$2,381","$3,115","$3,915",,"[{'bedroom_type': 'Studio', 'price': '$2,045'}, {'bedroom_type': '1 Bed', 'price': '$2,381'}, {'bedroom_type': '2 Beds', 'price': '$3,115'}, {'bedroom_type': '3 Beds', 'price': '$3,915'}]",Santa Ana,"1951 E Dyer Rd, Santa Ana, CA 92705",Broadstone Arden,https://www.apartments.com/broadstone-arden-santa-ana-ca/vtqcklf/,CA,"$2,045",Apartment,92705
,"$4,050","$4,975",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$4,050'}, {'bedroom_type': '2 Beds', 'price': '$4,975'}]",San Francisco,"1699 Market St, San Francisco, CA 94103",The Rise Hayes Valley,https://www.apartments.com/the-rise-hayes-valley-san-francisco-ca/plmhlcr/,CA,,Apartment,94103
,"$2,325","$3,305",,,"[{'bedroom_type': '1 Bed', 'price': '$2,325'}, {'bedroom_type': '2 Beds', 'price': '$3,305'}]",Los Angeles,"269 S Mariposa Ave, Los Angeles, CA 90004",Mariposa on 3rd,https://www.apartments.com/mariposa-on-3rd-los-angeles-ca/d73wkdh/,CA,,Apartment,90004
,"$2,995","$4,495",,,"[{'bedroom_type': 'Studio', 'price': '$2,585'}, {'bedroom_type': '1 Bed', 'price': '$2,995'}, {'bedroom_type': '2 Beds', 'price': '$4,495'}]",Los Angeles,"11916 W Pico Blvd, Los Angeles, CA 90064",&Pico,https://www.apartments.com/pico-los-angeles-ca/p2ed18v/,CA,"$2,585",Apartment,90064
