1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$3,400",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,400'}]",Los Angeles,"8180 Manitoba St, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/8180-manitoba-st-los-angeles-ca-unit-224/eg9xkyq/,"1,380","1,380 Sq Ft",CA,,Condos,90293
,"$7,995",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$7,995'}]",Malibu,"Malibu, CA 90265",12 Month Lease,https://www.apartments.com/18125-coastline-dr-malibu-ca-unit-c/npprklq/,"1,385","1,385 Sq Ft",CA,,Condos,90265
,,,"$9,995",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$9,995'}]",Aptos,"Aptos, CA 95003",1 Month Lease,https://www.apartments.com/122-rio-del-mar-blvd-aptos-ca-unit-122/g6ns26x/,"1,563","1,563 Sq Ft",CA,,Condos,95003
"$2,495",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,495'}]",Oakland,"Oakland, CA 94607",12 Month Lease,https://www.apartments.com/801-franklin-st-oakland-ca-unit-613/dktf9hj/,822,822 Sq Ft,CA,,Condos,94607
"$1,800",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}]",Palm Springs,"Palm Springs, CA 92262",,https://www.apartments.com/470-s-calle-encilia-palm-springs-ca-unit-3/hz98370/,580,580 Sq Ft,CA,,Condos,92262
,,"$2,850",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,850'}]",Palm Springs,"Palm Springs, CA 92262",12 Month Lease,https://www.apartments.com/2268-n-indian-canyon-dr-palm-springs-ca-unit-a/nj006yp/,"1,750","1,750 Sq Ft",CA,,Condos,92262
,"$3,250",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,250'}]",Rancho Mirage,"Rancho Mirage, CA 92270",7 Month Lease,https://www.apartments.com/35032-mission-hills-dr-rancho-mirage-ca-unit-0/j3hg5d6/,"1,624","1,624 Sq Ft",CA,,Condos,92270
"$2,000",,,,Available Now,2 BAs,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}]",Palm Springs,"Palm Springs, CA 92264",1 Month Lease,https://www.apartments.com/5301-e-waverly-dr-palm-springs-ca-unit-217/l66ghhe/,"1,000","1,000 Sq Ft",CA,,Condos,92264
"$3,150",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,150'}]",Oakland,"Oakland, CA 94612",12 Month Lease,https://www.apartments.com/630-thomas-l-berkley-way-oakland-ca-unit-704/jzl7jm4/,728,728 Sq Ft,CA,,Condos,94612
,,"$3,000",,May 1,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",Pleasant Hill,"Pleasant Hill, CA 94523",12 Month Lease,https://www.apartments.com/752-stubbs-rd-pleasant-hill-ca-unit-752/jm2q9b4/,"1,182","1,182 Sq Ft",CA,,Condos,94523
"$1,725",,,,May 15,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,725'}]",Salinas,"Salinas, CA 93906",12 Month Lease,https://www.apartments.com/405-tyler-pl-salinas-ca-unit-d/0f0k573/,684,684 Sq Ft,CA,,Condos,93906
,"$1,680",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,680'}]",Antioch,"Antioch, CA 94509",12 Month Lease,https://www.apartments.com/3116-lone-tree-way-antioch-ca-unit-2/mpnxh5k/,900,900 Sq Ft,CA,,Condos,94509
,"$2,100",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]",Cathedral City,"Cathedral City, CA 92234",6 Month Lease,https://www.apartments.com/68344-calle-cordoba-cathedral-city-ca-unit-0/1dg3g05/,"1,500","1,500 Sq Ft",CA,,Condos,92234
,"$1,790",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,790'}]",Cathedral City,"Cathedral City, CA 92234",6 Month Lease,https://www.apartments.com/68001-lakeland-dr-cathedral-city-ca-unit-0/4vs1pfl/,"1,200","1,200 Sq Ft",CA,,Condos,92234
