Bath,Bed,City,Half-bath,House_type,Latitude,Listing_type,Longitude,Price,Square_Feet,State,Street,Zip_code,Rent
1,1,San Diego,0,Condo/Townhome,32.7159,FOR SALE,-117.151,379000,808,CA,1480 Broadway 2620,92101,2645
1,1,Aliso Viejo,0,Condo/Townhome,33.5694,FOR SALE,-117.722,369000,762,CA,23412 PACIFIC PARK Drive 28B,92656,1835
1,1,Laguna Niguel,0,Condo/Townhome,33.5658,FOR SALE,-117.703,343900,890,CA,27368 Young Drive,92677,2120
1,1,Thousand Oaks,0,Condo/Townhome,34.190377,FOR SALE,-118.885663,219000,514,CA,351 Chestnut Hill Court 36,91360,1470
1,1,Lake Forest,0,Condo/Townhome,33.6414,FOR SALE,-117.681,300000,599,CA,25671 Le Parc 1,92630,1635
1,1,San Diego,0,Condo/Townhome,32.8013,FOR SALE,-117.027,249950,724,CA,7838 Cowles Mountain Court C17,92119,1500
1,1,Lake Forest,0,Condo/Townhome,33.6595,FOR SALE,-117.65,310000,686,CA,20702 El Toro Road 406,92630,1635
1,1,Irvine,0,Condo/Townhome,33.715,FOR SALE,-117.76,245000,415,CA,264 Streamwood,92620,1840
1,1,Glendale,0,Condo/Townhome,34.16724,FOR SALE,-118.256271,460000,759,CA,125 W Mountain Street 210,91202,2380
1,1,Pomona,0,Condo/Townhome,34.0253,FOR SALE,-117.763,298800,751,CA,27 Carriage Way,91766,1765
1,1,San Jose,0,Condo/Townhome,37.32031,FOR SALE,-121.84224,398000,730,CA,1088 Summerplace Dr,95122,1950
1,1,Mission Viejo,1,Condo/Townhome,33.62419,FOR SALE,-117.67383,305000,698,CA,26181 La Real #A,92691,1835
1,1,Aliso Viejo,0,Condo/Townhome,33.5694,FOR SALE,-117.722,379000,780,CA,23412 Pacific Park Drive 17J,92656,1835
1,1,Los Angeles,0,Condo/Townhome,34.06155,FOR SALE,-118.30944,550000,830,CA,3810 Wilshire Blvd Unit 1602,90010,2870
1,1,Rancho Cucamonga,0,Condo/Townhome,34.099,FOR SALE,-117.5838,220000,708,CA,10151 Arrow Route #133,91730,1743
1,1,San Diego,0,Condo/Townhome,32.7089,FOR SALE,-117.155,530000,1049,CA,350 11th Ave 347,92101,2645
1,1,Long Beach,0,Condo/Townhome,33.7715878,FOR SALE,-118.1819387,399900,803,CA,834 E 4th Street 5,90802,1995
2,1,Ontario,0,Condo/Townhome,34.03303146,FOR SALE,-117.6386414,318800,990,CA,3230 E Yountville Dr #14,91761,1356
1,1,San Diego,0,Condo/Townhome,32.783707,FOR SALE,-117.112175,259500,530,CA,6064 Rancho Mission 444,92108,1760
1,1,Los Angeles,1,Condo/Townhome,34.0646,FOR SALE,-118.449,725000,829,CA,10982 Roebling Avenue 104,90024,3110
1,1,Pacific Beach,0,Condo/Townhome,32.80095,FOR SALE,-117.228,297000,714,CA,2266 Grand Ave 28,92109,1825
1,1,Valencia,0,Condo/Townhome,34.4199,FOR SALE,-118.564,339500,800,CA,24545 Town Center Drive 5303,91355,2060
1,1,Laguna Niguel,0,Condo/Townhome,33.52596,FOR SALE,-117.68446,339900,759,CA,61 Martinique Street 280,92677,2120
1,1,San Francisco,0,Condo/Townhome,37.78606,FOR SALE,-122.392593,995000,710,CA,425 1st Street Unit: 4905,94105,4185
