"
                        1 Bedroom
                            –
2 Bedrooms                    ","
                        1 Bedroom
                            –
3 Bedrooms                    ","
                        Studio
                            –
2 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,,,"$1,925 ","$2,515 ","$2,965 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,825 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,925 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,515 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,965 '}]",San Jose,The Woods,CA,"$1,825 ",Apartment,95136
,,,"$1,355 ",,,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,355 '}]",Escondido,55 + Casa Escondida,CA,,Apartment,92025
,,,"$1,482 ","$1,582 ","$2,068 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,482 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,582 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,068 '}]",Sacramento,Monte Bello,CA,,Apartment,95826
,,,"$2,159 ","$2,579 ","$3,624 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,045 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,159 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,579 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,624 '}]",Huntington Beach,The Residences at Bella Terra,CA,"$2,045 ",Apartment,92647
,,,"$2,274 ","$3,094 ",,,,"[{'bedroom_type': 'Studio', 'price': '$2,079 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,274 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,094 '}]",Glendale,AMLI Lex on Orange,CA,"$2,079 ",Apartment,91203
,,,"$2,495 ","$2,980 ","$3,880 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,495 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,980 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,880 '}]",Walnut Creek,Avalon Walnut Creek,CA,,Apartment,94597
,,,"$2,595 ","$3,595 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,595 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,595 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Cupertino,Glenbrook Apartments,CA,,Apartment,95014
,,,"$1,225 ","$1,325 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,225 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,325 '}]",Fontana,Maple Hill,CA,,Apartment,92335
,,,,"$1,770 ","$2,319 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,770 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,319 '}]",Roseville,Carmel At Woodcreek West,CA,,Apartment,95747
,,,,"$2,195 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,195 '}]",Mission Viejo,ReNew at the Shops,CA,,Apartment,92692
,,,"$1,730 ","$2,030 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,730 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,030 '}]",Chino Hills,Capriana at Chino Hills Apartments,CA,,Apartment,91709
,,,"$2,080 ","$2,529 ","$3,160 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,080 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,529 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,160 '}]",Los Angeles,IMT Sherman Circle,CA,,Apartment,91405
,,,"$1,705 ","$1,945 ","$2,560 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,705 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,945 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,560 '}]",West Covina,Lafayette Parc Apartments,CA,,Apartment,91790
,,,"$1,470 ","$1,800 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,290 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,470 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,800 '}]",Thousand Oaks,Charter Oaks Apartments,CA,"$1,290 ",Apartment,91360
,,,"$2,036 ","$2,342 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,648 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,036 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,342 '}]",Sacramento,800J Lofts,CA,"$1,648 ",Apartment,95814
,,,"$2,265 ","$3,165 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,900 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,265 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,165 '}]",North Hollywood,AVA North Hollywood,CA,"$1,900 ",Apartment,91601
,,,"$2,160 ","$2,590 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,160 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,590 '}]",Fullerton,Aspect,CA,,Apartment,92832
,,,"$1,199 ","$1,375 ","$1,599 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,199 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,375 '}, {'bedroom_type': '3 Bedrooms', 'price': '$1,599 '}]",Fresno,Dominion Heights,CA,,Apartment,93720
,,,"$1,310 ","$1,340 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,310 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,340 '}]",San Bernardino,Ridgeline Apartments,CA,,Apartment,92407
,,,,,"$1,800 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': '$1,800 '}]",Pomona,Virginia Square Townhomes,CA,,Apartment,91768
,,,"$1,483 ","$1,666 ","$2,389 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,483 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,666 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,389 '}]",Long Beach,Seaport Village,CA,,Apartment,90805
,,,"$1,810 ","$2,090 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,810 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,090 '}]",Norwalk,Norwalk MetroPointe,CA,,Apartment,90650
,,,"$1,850 ","$2,165 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,850 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,165 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Oceanside,Capella at Rancho Del Oro Luxury Apartment...,CA,,Apartment,92057
,,,,"$2,200 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,200 '}]",San Diego,Loft2015,CA,,Apartment,92110
,,,"$3,922 ","$5,273 ",,,,"[{'bedroom_type': 'Studio', 'price': '$3,547 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,922 '}, {'bedroom_type': '2 Bedrooms', 'price': '$5,273 '}]",San Francisco,Channel Mission Bay,CA,"$3,547 ",Apartment,94158
,,,"$2,180 ","$2,813 ","$3,737 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,910 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,180 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,813 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,737 '}]",San Diego,Vive on the Park,CA,"$1,910 ",Apartment,92123
,,,"$1,710 ","$1,970 ","$2,275 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,710 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,970 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,275 '}]",Ontario,Paloma Apartment Homes,CA,,Apartment,91761
