1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
"$1,670 ","$2,040 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,670 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,040 '}]",Santa Ana,Artists Village,CA,,Apartment,92701
"$2,832 ","$3,246 ","$4,288 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,832 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,246 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,288 '}]",San Jose,Vista 99,CA,,Apartment,95134
"$2,390 ","$2,945 ","$3,924 ",,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,390 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,945 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,924 '}]",Dublin,Avalon Dublin Station,CA,,Apartment,94568
"$2,430 ","$3,220 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,075 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,430 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,220 '}]",San Diego,Alexan ALX,CA,"$2,075 ",Apartment,92101
"$2,625 ","$3,400 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,625 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,400 '}]",Milpitas,Capitol 650,CA,,Apartment,95035
"$2,500 ","$3,430 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,500 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,430 '}]",Los Angeles,Villas at Park La Brea Apartments,CA,,Apartment,90036
,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Santa Clara,Spring Creek Apartments,CA,,Apartment,95051
"$1,740 ","$2,045 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,740 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,045 '}]",Costa Mesa,Pinecreek Village Apartments,CA,,Apartment,92626
"$2,320 ","$2,480 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,320 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,480 '}]",Sunnyvale,The Highlander,CA,,Apartment,94086
"$2,255 ","$2,630 ","$3,684 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,255 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,630 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,684 '}]",San Diego,Valentia,CA,,Apartment,92122
"$2,950 ","$3,485 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,950 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,485 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Sunnyvale,Avalon Silicon Valley,CA,,Apartment,94085
"$2,370 ","$2,925 ","$3,460 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,370 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,925 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,460 '}]",Pleasanton,Park Hacienda,CA,,Apartment,94588
"$1,482 ","$1,675 ","$2,235 ",,"[{'bedroom_type': 'Studio', 'price': '$1,399 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,482 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,675 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,235 '}]",Rancho Cucamonga,Terra Vista Apartments,CA,"$1,399 ",Apartment,91730
"$4,000 ","$7,875 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,200 '}, {'bedroom_type': '1 Bedroom', 'price': '$4,000 '}, {'bedroom_type': '2 Bedrooms', 'price': '$7,875 '}]",Santa Monica,Chelsea Santa Monica,CA,"$3,200 ",Apartment,90401
"$2,267 ","$2,945 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,361 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,267 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,945 '}]",Pasadena,Avalon Del Mar Station,CA,"$2,361 ",Apartment,91105
"$2,657 ","$3,828 ","$5,143 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,657 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,828 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,143 '}]",Marina Del Rey,Tierra del Rey,CA,,Apartment,90292
"$2,285 ","$3,590 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,750 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,285 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,590 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,Stoa,CA,"$1,750 ",Apartment,90012
"$2,206 ","$3,190 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,101 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,206 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,190 '}]",Glendale,Brio Apartment Homes and Villas,CA,"$2,101 ",Apartment,91204
"$2,029 ","$2,573 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,029 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,573 '}]",San Diego,Olympus Corsair,CA,,Apartment,92123
"$2,864 ","$3,389 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,864 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,389 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Diego,Strata,CA,,Apartment,92101
"$2,857 ","$3,509 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,857 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,509 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,Accent,CA,,Apartment,90066
,"$2,399 ","$2,899 ",,"[{'bedroom_type': '2 Bedrooms', 'price': '$2,399 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,899 '}]",Woodland Hills,Summit at Warner Center,CA,,Apartment,91367
,,,,"[{'bedroom_type': '\r\n                        Studio\r\n                            –\r\n3 Bedrooms                    ', 'price': ''}]",Berkeley,Varsity Berkeley,CA,,Apartment,94704
"$2,122 ","$2,586 ","$3,500 ",,"[{'bedroom_type': 'Studio', 'price': '$1,995 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,122 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,586 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,500 '}]",Anaheim,Jefferson Platinum Triangle,CA,"$1,995 ",Apartment,92805
"$2,453 ","$2,820 ","$3,078 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,453 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,820 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,078 '}]",Fremont,The Rexford,CA,,Apartment,94536
,"$2,655 ","$3,690 ",,"[{'bedroom_type': '2 Bedrooms', 'price': '$2,655 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,690 '}]",Irvine,Carlyle,CA,,Apartment,92612
"$1,865 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,865 '}]",Los Angeles,LP by CLG,CA,,Apartment,90057
,"$2,255 ",,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,255 '}]",Westminster,Jasmine Place Apartments,CA,,Apartment,92683
"$2,595 ","$3,075 ","$4,195 ",,"[{'bedroom_type': 'Studio', 'price': '$2,400 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,595 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,075 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,195 '}]",San Jose,North Park Apartment Homes,CA,"$2,400 ",Apartment,95134
"$3,425 ","$4,565 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,065 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,425 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,565 '}]",San Francisco,L Seven,CA,"$3,065 ",Apartment,94103
"$3,973 ","$4,944 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,973 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,944 '}]",Mountain View,Verve,CA,,Apartment,94040
"$2,630 ","$3,015 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,385 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,630 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,015 '}]",San Jose,Foundry Commons,CA,"$2,385 ",Apartment,95112
"$2,355 ","$2,904 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,775 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,355 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,904 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Studio City,AVA Studio City,CA,"$1,775 ",Apartment,91604
"$1,655 ","$1,955 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,655 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,955 '}]",Huntington Beach,Pacific Shores,CA,,Apartment,92647
"$2,380 ","$2,705 ","$3,505 ",,"[{'bedroom_type': 'Studio', 'price': '$2,085 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,380 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,705 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,505 '}]",Newport Beach,Newport Bluffs Apartment Village,CA,"$2,085 ",Apartment,92660
"$2,385 ","$3,310 ","$3,705 ",,"[{'bedroom_type': 'Studio', 'price': '$2,375 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,385 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,310 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,705 '}]",Los Angeles,Playa Del Oro,CA,"$2,375 ",Apartment,90045
"$2,890 ",,,,"[{'bedroom_type': 'Studio', 'price': '$3,115 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,890 '}]",Cupertino,Main Street Cupertino Lofts,CA,"$3,115 ",Apartment,95014
"$2,012 ","$2,828 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,012 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,828 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Woodland Hills,Bella Vista At Warner Ridge,CA,,Apartment,91367
"$1,525 ","$1,695 ","$2,136 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$1,525 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,695 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,136 '}]",Rancho Cucamonga,Evergreen,CA,,Apartment,91730
"$4,034 ","$4,870 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,473 '}, {'bedroom_type': '1 Bedroom', 'price': '$4,034 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,870 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Francisco,340 Fremont,CA,"$3,473 ",Apartment,94105
"$2,800 ","$3,458 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,800 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,458 '}]",Emeryville,AVE Emeryville at Bay Street,CA,,Apartment,94608
"$1,795 ","$2,445 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,670 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,795 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,445 '}]",San Diego,La Scala Apartments,CA,"$1,670 ",Apartment,92122
"$2,095 ","$2,525 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,095 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,525 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Dublin,Park Wood,CA,,Apartment,94568
,,,,"[{'bedroom_type': '\r\n                        2 Bedrooms\r\n                            –\r\n4 Bedrooms                    ', 'price': ''}]",San Diego,The Village at Serra Mesa - Lincoln Military,CA,,Apartment,92123
,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Venice,Avalon Venice on Rose,CA,,Apartment,90291
,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,NMS 1759,CA,,Apartment,90025
"$2,087 ","$2,358 ","$3,426 ",,"[{'bedroom_type': 'Studio', 'price': '$1,798 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,087 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,358 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,426 '}]",Orange,AMLI Uptown Orange,CA,"$1,798 ",Apartment,92868
"$2,425 ","$3,226 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,840 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,425 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,226 '}]",San Diego,Shift,CA,"$1,840 ",Apartment,92101
"$2,645 ","$3,160 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,645 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,160 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,AVA Little Tokyo,CA,,Apartment,90012
,"$2,990 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': '$2,990 '}]",Los Angeles,Maya,CA,,Apartment,90020
"$3,560 ","$4,835 ","$5,970 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$3,560 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,835 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,970 '}]",Mountain View,Elan Mountain View,CA,,Apartment,94041
"$2,935 ","$3,565 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,395 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,935 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,565 '}]",San Jose,808 West Apartments,CA,"$2,395 ",Apartment,95126
"$2,028 ","$2,336 ","$2,685 ",,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,028 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,336 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,685 '}]",Woodland Hills,The Reserve at Warner Center,CA,,Apartment,91367
,,,,"[{'bedroom_type': 'Studio', 'price': '$1,725 '}]",Los Angeles,Kenmore Commons,CA,"$1,725 ",Apartment,90020
"$1,950 ","$2,244 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,950 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,244 '}]",San Diego,River Run Village,CA,,Apartment,92108
"$2,030 ","$2,393 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,030 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,393 '}]",Pleasanton,eaves Pleasanton,CA,,Apartment,94588
"$2,380 ","$2,905 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,380 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,905 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Glendale,Avalon Glendale,CA,,Apartment,91202
"$3,402 ","$4,601 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$3,402 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,601 '}]",San Francisco,Potrero 1010,CA,,Apartment,94107
"$1,785 ","$1,904 ","$2,322 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$1,785 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,904 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,322 '}]",Rancho Cucamonga,Carmel,CA,,Apartment,91730
"$2,918 ",,,,"[{'bedroom_type': 'Studio', 'price': '$2,349 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,918 '}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",San Diego,Broadstone Makers Quarter,CA,"$2,349 ",Apartment,92101
"$2,965 ","$3,550 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,965 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,550 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Jose,Avalon at Cahill Park,CA,,Apartment,95126
"$2,043 ","$2,955 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,043 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,955 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Costa Mesa,Blue Sol,CA,,Apartment,92627
"$1,875 ","$2,470 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,740 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,875 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,470 '}]",Huntington Beach,Avalon Huntington Beach,CA,"$1,740 ",Apartment,92647
"$2,695 ","$3,560 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,695 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,560 '}]",Marina del Rey,Villa del Mar Apartments & Marina,CA,,Apartment,90292
"$2,225 ","$2,815 ","$3,700 ",,"[{'bedroom_type': 'Studio', 'price': '$2,150 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,225 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,815 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,700 '}]",Irvine,Metropolis,CA,"$2,150 ",Apartment,92614
"$2,162 ","$3,437 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,017 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,162 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,437 '}]",Los Angeles,AXIS,CA,"$2,017 ",Apartment,90015
"$4,735 ","$6,785 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,106 '}, {'bedroom_type': '1 Bedroom', 'price': '$4,735 '}, {'bedroom_type': '2 Bedrooms', 'price': '$6,785 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,Vision on Wilshire,CA,"$3,106 ",Apartment,90048
"$1,915 ","$2,060 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,915 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,060 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Woodland Hills,eaves Warner Center,CA,,Apartment,91367
"$2,654 ","$3,212 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,654 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,212 '}]",Marina del Rey,Marina 41,CA,,Apartment,90292
"$2,851 ","$3,587 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,081 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,851 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,587 '}]",Los Angeles,G12,CA,"$2,081 ",Apartment,90015
,,,,"[{'bedroom_type': '\r\n                        Studio\r\n                            –\r\n2 Bedrooms                    ', 'price': ''}]",San Diego,Broadstone North Park,CA,,Apartment,92104
"$1,705 ","$2,209 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,530 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,705 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,209 '}]",Newport Beach,Eight 80 Newport Beach,CA,"$1,530 ",Apartment,92663
"$2,915 ","$3,340 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,915 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,340 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,Avalon Playa Vista,CA,,Apartment,90066
"$1,915 ","$2,320 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,915 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,320 '}]",Irvine,Villa Coronado Apartment Homes,CA,,Apartment,92614
,,,,"[{'bedroom_type': 'Studio', 'price': '$3,870 '}, {'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Francisco,Jasper,CA,"$3,870 ",Apartment,94105
,"$3,700 ",,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$3,700 '}]",Los Angeles,The LC by CLG,CA,,Apartment,90038
"$1,700 ","$2,390 ","$3,055 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$1,700 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,390 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,055 '}]",San Diego,Pinnacle on The Park,CA,,Apartment,92101
"$1,912 ","$2,423 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,797 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,912 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,423 '}]",Anaheim,Parallel,CA,"$1,797 ",Apartment,92805
,"$1,945 ","$2,387 ",,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,945 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,387 '}]",Rancho Cucamonga,Jamboree,CA,,Apartment,91730
,,,,"[{'bedroom_type': '\r\n                        Studio\r\n                            –\r\n2 Bedrooms                    ', 'price': ''}]",Los Angeles,The Rhys,CA,,Apartment,90020
"$1,745 ","$2,505 ","$3,240 ",,"[{'bedroom_type': 'Studio', 'price': '$1,870 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,745 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,505 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,240 '}]",Irvine,Villa Siena Apartment Homes,CA,"$1,870 ",Apartment,92612
"$2,496 ","$3,372 ","$3,911 ",,"[{'bedroom_type': 'Studio', 'price': '$2,116 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,496 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,372 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,911 '}]",Marina del Rey,Mariners Village,CA,"$2,116 ",Apartment,90292
,"$5,358 ","$7,841 ",,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$5,358 '}, {'bedroom_type': '3 Bedrooms', 'price': '$7,841 '}]",San Francisco,388 Beale,CA,,Apartment,94105
"$2,583 ","$3,164 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,583 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,164 '}]",Los Angeles,Broadcast Center Apartments,CA,,Apartment,90036
"$2,145 ","$2,920 ","$3,615 ",,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,145 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,920 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,615 '}]",San Diego,West Park,CA,,Apartment,92108
,,,,"[{'bedroom_type': 'Studio', 'price': ''}]",Los Angeles,Garment Lofts,CA,,Apartment,90014
"$1,975 ","$2,662 ","$3,230 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$1,975 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,662 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,230 '}]",Los Angeles,Madrid,CA,,Apartment,90045
"$2,639 ","$3,497 ","$5,197 ",,"[{'bedroom_type': 'Studio', 'price': '$1,918 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,639 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,497 '}, {'bedroom_type': '3 Bedrooms', 'price': '$5,197 '}]",San Diego,Park 12,CA,"$1,918 ",Apartment,92101
"$3,400 ","$4,400 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$3,400 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,400 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Francisco,Abaca,CA,,Apartment,94107
"$1,690 ","$1,950 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,690 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,950 '}]",Garden Grove,Moss Creek Apartments,CA,,Apartment,92840
"$2,179 ","$2,974 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,929 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,179 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,974 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Irvine,The Residences on Jamboree,CA,"$1,929 ",Apartment,92614
"$2,870 ","$4,200 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,248 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,870 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,200 '}]",Los Angeles,3033 Wilshire,CA,"$2,248 ",Apartment,90010
"$2,205 ","$2,774 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,843 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,205 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,774 '}]",San Diego,13th & Market,CA,"$1,843 ",Apartment,92101
"$2,627 ","$3,745 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,431 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,627 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,745 '}]",Los Angeles,Altitude,CA,"$2,431 ",Apartment,90045
"$3,975 ","$5,320 ","$7,650 ",,"[{'bedroom_type': 'Studio', 'price': '$3,275 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,975 '}, {'bedroom_type': '2 Bedrooms', 'price': '$5,320 '}, {'bedroom_type': '3 Bedrooms', 'price': '$7,650 '}]",Marina del Rey,AMLI Marina Del Rey,CA,"$3,275 ",Apartment,90292
"$2,420 ","$3,327 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,304 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,420 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,327 '}]",Los Angeles,La Belle At Hollywood Tower,CA,"$2,304 ",Apartment,90028
"$3,575 ","$4,450 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,265 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,575 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,450 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Francisco,Avalon at Mission Bay,CA,"$3,265 ",Apartment,94107
"$2,895 ","$3,575 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,895 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,575 '}]",Marina del Rey,Shores,CA,,Apartment,90292
"$2,582 ","$3,413 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,958 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,582 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,413 '}]",Los Angeles,The Preston Miracle Mile Apartments,CA,"$1,958 ",Apartment,90036
"$1,965 ","$2,550 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,845 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,965 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,550 '}]",Irvine,Toscana,CA,"$1,845 ",Apartment,92612
"$2,005 ","$2,460 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,740 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,005 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,460 '}]",San Diego,AVA Cortez Hill,CA,"$1,740 ",Apartment,92101
