1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
"$2,240 ","$2,905 ","$3,360 ",,"[{'bedroom_type': 'Studio', 'price': '$1,905 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,240 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,905 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,360 '}]",San Diego,Pacific Ridge,CA,"$1,905 ",Apartment,92110
"$3,410 ","$4,153 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,410 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,153 '}]",Sunnyvale,Loft House,CA,,Apartment,94086
"$1,925 ","$1,997 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,925 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,997 '}]",Santa Ana,The Californian Apartments-South Coast Metro,CA,,Apartment,92707
"$2,735 ","$3,330 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,590 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,735 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,330 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Jose,Crescent Village Apartment Homes,CA,"$2,590 ",Apartment,95134
"$2,525 ","$3,318 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,000 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,525 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,318 '}]",Los Angeles,Next on Sixth,CA,"$2,000 ",Apartment,90005
"$1,584 ","$2,058 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,584 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,058 '}]",Corona,One11,CA,,Apartment,92880
"$2,060 ","$2,795 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,825 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,060 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,795 '}]",San Diego,IDEA1,CA,"$1,825 ",Apartment,92101
"$2,284 ","$2,874 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,309 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,284 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,874 '}]",Cerritos,Sage at Cerritos,CA,"$2,309 ",Apartment,90703
,"$2,030 ","$2,415 ",,"[{'bedroom_type': '2 Bedrooms', 'price': '$2,030 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,415 '}]",Ontario,Paseos at Ontario,CA,,Apartment,91764
"$1,938 ","$2,511 ","$3,339 ",,"[{'bedroom_type': 'Studio', 'price': '$1,849 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,938 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,511 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,339 '}]",San Diego,Hanover Mission Gorge,CA,"$1,849 ",Apartment,92120
