1 Bedroom,2 Bedrooms,3 Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
"$1,025 – ","$1,095 – ",,"[{'bedroom_type': '1 Bedroom', 'price': '$1,025 – '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,095 – '}]",Fresno,Villa Lucia Apartments,CA,,Apartment,93722
"$2,365 – ","$3,072 – ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,365 – '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,072 – '}]",Berkeley,Berkeley Apartments - Gaia,CA,,Apartment,94704
"$1,835 – ","$2,195 – ",,"[{'bedroom_type': '1 Bedroom', 'price': '$1,835 – '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,195 – '}]",San Clemente,Seacrest Apartment Homes,CA,,Apartment,92672
"$1,281 – ","$1,558 – ",,"[{'bedroom_type': '1 Bedroom', 'price': '$1,281 – '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,558 – '}]",Riverside,Artessa,CA,,Apartment,92504
,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}]",El Cajon,The Timbers Apartments,CA,,Apartment,92020
,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Sacramento,Greenridge Apartments,CA,,Apartment,95824
"$1,345 – ","$1,545 – ","$1,995 – ","[{'bedroom_type': '1 Bedroom', 'price': '$1,345 – '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,545 – '}, {'bedroom_type': '3 Bedrooms', 'price': '$1,995 – '}]",Temecula,Portofino Apartments,CA,,Apartment,92591
,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",San Diego,Barclay Square,CA,,Apartment,92117
$960 – ,"$1,075 – ",,"[{'bedroom_type': '1 Bedroom', 'price': '$960 – '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,075 – '}]",Fresno,Windscape,CA,,Apartment,93711
"$1,788 – ","$1,819 – ","$2,191 – ","[{'bedroom_type': '1 Bedroom', 'price': '$1,788 – '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,819 – '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,191 – '}]",Eastvale,Homecoming At Eastvale,CA,,Apartment,91752
"$2,372 – ","$3,077 – ",,"[{'bedroom_type': 'Studio', 'price': '$1,879 – '}, {'bedroom_type': '1 Bedroom', 'price': '$2,372 – '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,077 – '}]",Los Angeles,The Pearl,CA,"$1,879 – ",Apartment,90005
