Bath	Bed	City	Half-bath	House_type	Latitude	Listing_type	Longitude	Price	Square_Feet	State	Street	Zip_code
1	1	Los Angeles	0	Apartment	34.04582	FOR SALE	-118.2606	"$449,000 "	650	CA	645 9th Street 224	90015
3	3	El Monte	0	Apartment	34.05773	FOR SALE	-118.02539	"$648,000 "	"1,480"	CA	11941 Elliott Avenue	91732
