Actual,Predicted,Deviation
" $389,900 "," $397,475 "," $7,575 "
" $380,000 "," $387,660 "," $7,660 "
" $374,888 "," $382,751 "," $7,863 "
" $359,000 "," $366,501 "," $7,501 "
" $344,900 "," $352,265 "," $7,365 "
" $339,000 "," $346,877 "," $7,877 "
" $339,000 "," $346,940 "," $7,940 "
" $334,900 "," $342,946 "," $8,046 "
" $329,000 "," $336,664 "," $7,664 "
" $325,000 "," $332,563 "," $7,563 "
" $319,000 "," $326,425 "," $7,425 "
" $289,000 "," $296,516 "," $7,516 "
" $255,000 "," $262,651 "," $7,651 "
" $253,950 "," $261,601 "," $7,651 "
" $1,389,000 "," $1,396,471 "," $7,471 "
" $1,380,000 "," $1,386,877 "," $6,877 "
" $1,350,000 "," $1,356,790 "," $6,790 "
" $1,350,000 "," $1,356,986 "," $6,986 "
" $1,350,000 "," $1,357,000 "," $7,000 "
" $1,350,000 "," $1,357,287 "," $7,287 "
" $1,349,900 "," $1,356,876 "," $6,976 "
" $1,348,800 "," $1,356,070 "," $7,270 "
" $1,348,800 "," $1,356,070 "," $7,270 "
" $1,300,000 "," $1,305,767 "," $5,767 "
" $1,299,000 "," $1,306,035 "," $7,035 "
" $1,299,000 "," $1,305,962 "," $6,962 "
" $1,299,000 "," $1,306,467 "," $7,467 "
" $1,298,800 "," $1,305,929 "," $7,129 "
" $1,279,000 "," $1,285,354 "," $6,354 "
" $1,275,000 "," $1,282,889 "," $7,889 "
" $1,250,000 "," $1,256,587 "," $6,587 "
" $1,250,000 "," $1,256,604 "," $6,604 "
" $1,225,000 "," $1,232,219 "," $7,219 "
" $1,199,888 "," $1,206,903 "," $7,015 "
" $799,000 "," $806,610 "," $7,610 "
" $795,000 "," $802,678 "," $7,678 "
" $795,000 "," $802,737 "," $7,737 "
" $776,900 "," $784,670 "," $7,770 "
" $775,000 "," $782,892 "," $7,892 "
" $774,767 "," $782,045 "," $7,278 "
" $770,000 "," $777,306 "," $7,306 "
" $769,900 "," $776,715 "," $6,815 "
" $765,000 "," $772,358 "," $7,358 "
" $759,900 "," $767,104 "," $7,204 "
" $754,999 "," $762,002 "," $7,003 "
" $750,000 "," $757,526 "," $7,526 "
" $749,900 "," $757,231 "," $7,331 "
" $749,900 "," $757,231 "," $7,331 "
" $749,888 "," $757,065 "," $7,177 "
" $749,000 "," $756,662 "," $7,662 "
" $748,500 "," $756,136 "," $7,636 "
" $745,000 "," $752,541 "," $7,541 "
" $739,000 "," $746,773 "," $7,773 "
" $730,000 "," $736,969 "," $6,969 "
" $569,900 "," $577,379 "," $7,479 "
" $569,900 "," $577,519 "," $7,619 "
" $569,000 "," $576,751 "," $7,751 "
" $564,950 "," $571,821 "," $6,871 "
" $559,900 "," $567,421 "," $7,521 "
" $559,900 "," $567,421 "," $7,521 "
" $550,000 "," $557,904 "," $7,904 "
" $549,945 "," $556,606 "," $6,661 "
" $549,945 "," $556,944 "," $6,999 "
" $549,900 "," $557,506 "," $7,606 "
" $549,500 "," $557,022 "," $7,522 "
" $549,500 "," $557,130 "," $7,630 "
" $549,000 "," $556,244 "," $7,244 "
" $549,000 "," $556,635 "," $7,635 "
" $549,000 "," $557,003 "," $8,003 "
" $548,900 "," $556,419 "," $7,519 "
" $545,000 "," $552,623 "," $7,623 "
" $545,000 "," $552,773 "," $7,773 "
" $539,900 "," $547,260 "," $7,360 "
" $539,900 "," $547,383 "," $7,483 "
" $279,900 "," $287,462 "," $7,562 "
" $279,500 "," $286,993 "," $7,493 "
" $279,000 "," $286,196 "," $7,196 "
" $275,000 "," $282,570 "," $7,570 "
" $268,000 "," $275,799 "," $7,799 "
" $265,000 "," $272,749 "," $7,749 "
" $265,000 "," $272,749 "," $7,749 "
" $260,000 "," $267,658 "," $7,658 "
" $259,000 "," $266,093 "," $7,093 "
" $250,000 "," $257,791 "," $7,791 "
" $249,999 "," $257,569 "," $7,570 "
" $249,990 "," $257,757 "," $7,767 "
" $245,000 "," $252,505 "," $7,505 "
" $245,000 "," $252,847 "," $7,847 "
" $239,000 "," $246,924 "," $7,924 "
" $235,000 "," $242,736 "," $7,736 "
" $230,000 "," $237,940 "," $7,940 "
" $229,995 "," $237,659 "," $7,664 "
" $229,900 "," $237,582 "," $7,682 "
" $6,500,000 "," $6,506,678 "," $6,678 "
" $4,495,000 "," $4,500,163 "," $5,163 "
" $3,980,000 "," $3,986,716 "," $6,716 "
" $2,900,000 "," $2,907,001 "," $7,001 "
" $2,398,000 "," $2,405,541 "," $7,541 "
" $2,075,000 "," $2,080,609 "," $5,609 "
" $2,050,000 "," $2,056,776 "," $6,776 "
" $1,849,000 "," $1,856,023 "," $7,023 "
" $1,549,000 "," $1,556,754 "," $7,754 "
" $1,548,800 "," $1,556,388 "," $7,588 "
" $1,478,000 "," $1,484,657 "," $6,657 "
" $1,399,000 "," $1,406,113 "," $7,113 "
" $1,399,000 "," $1,407,051 "," $8,051 "
" $1,345,000 "," $1,352,660 "," $7,660 "
" $1,298,000 "," $1,304,818 "," $6,818 "
" $1,295,000 "," $1,302,235 "," $7,235 "
" $1,250,000 "," $1,257,775 "," $7,775 "
" $1,199,000 "," $1,206,087 "," $7,087 "
" $324,500 "," $332,178 "," $7,678 "
" $297,000 "," $304,677 "," $7,677 "
" $279,950 "," $287,958 "," $8,008 "
" $274,900 "," $282,425 "," $7,525 "
" $274,500 "," $282,641 "," $8,141 "
" $265,000 "," $273,096 "," $8,096 "
" $247,880 "," $255,524 "," $7,644 "
" $239,000 "," $246,636 "," $7,636 "
" $225,900 "," $233,951 "," $8,051 "
" $225,000 "," $233,178 "," $8,178 "
" $189,000 "," $197,065 "," $8,065 "
" $155,000 "," $162,773 "," $7,773 "
" $1,480,000 "," $1,486,667 "," $6,667 "
" $1,480,000 "," $1,487,211 "," $7,211 "
" $674,900 "," $682,085 "," $7,185 "
" $638,000 "," $645,916 "," $7,916 "
" $500,000 "," $507,884 "," $7,884 "
" $369,900 "," $377,171 "," $7,271 "
" $240,000 "," $247,509 "," $7,509 "
" $1,095,000 "," $1,102,415 "," $7,415 "
" $1,034,000 "," $1,041,338 "," $7,338 "
" $999,950 "," $1,007,083 "," $7,133 "
" $999,900 "," $1,006,655 "," $6,755 "
" $995,000 "," $1,002,771 "," $7,771 "
" $989,000 "," $996,178 "," $7,178 "
" $978,000 "," $985,728 "," $7,728 "
" $975,000 "," $982,527 "," $7,527 "
" $954,000 "," $960,711 "," $6,711 "
" $950,000 "," $956,446 "," $6,446 "
" $950,000 "," $956,967 "," $6,967 "
" $950,000 "," $957,626 "," $7,626 "
" $949,988 "," $957,580 "," $7,592 "
" $949,900 "," $956,740 "," $6,840 "
" $949,888 "," $957,289 "," $7,401 "
" $948,000 "," $955,234 "," $7,234 "
" $945,900 "," $952,318 "," $6,418 "
" $945,000 "," $951,929 "," $6,929 "
" $939,000 "," $945,966 "," $6,966 "
" $929,000 "," $936,128 "," $7,128 "
" $619,900 "," $626,746 "," $6,846 "
" $619,900 "," $627,129 "," $7,229 "
" $609,000 "," $616,517 "," $7,517 "
" $607,000 "," $614,838 "," $7,838 "
" $599,999 "," $607,431 "," $7,432 "
" $599,900 "," $606,431 "," $6,531 "
" $599,900 "," $607,495 "," $7,595 "
" $599,888 "," $607,394 "," $7,506 "
" $599,000 "," $606,310 "," $7,310 "
" $599,000 "," $606,746 "," $7,746 "
" $598,000 "," $605,412 "," $7,412 "
" $595,000 "," $601,756 "," $6,756 "
" $589,900 "," $597,274 "," $7,374 "
" $589,400 "," $596,977 "," $7,577 "
" $589,000 "," $596,671 "," $7,671 "
" $585,000 "," $592,059 "," $7,059 "
" $585,000 "," $592,690 "," $7,690 "
" $584,999 "," $592,594 "," $7,595 "
" $580,000 "," $587,859 "," $7,859 "
" $575,000 "," $582,440 "," $7,440 "
" $360,000 "," $367,751 "," $7,751 "
" $359,000 "," $366,693 "," $7,693 "
" $349,900 "," $357,196 "," $7,296 "
" $349,900 "," $357,498 "," $7,598 "
" $345,000 "," $352,886 "," $7,886 "
" $335,000 "," $342,504 "," $7,504 "
" $334,900 "," $342,192 "," $7,292 "
" $330,000 "," $337,833 "," $7,833 "
" $329,900 "," $336,992 "," $7,092 "
" $327,300 "," $334,650 "," $7,350 "
" $319,900 "," $327,434 "," $7,534 "
" $315,000 "," $322,519 "," $7,519 "
" $315,000 "," $322,863 "," $7,863 "
" $309,999 "," $317,472 "," $7,473 "
" $309,999 "," $317,472 "," $7,473 "
" $309,900 "," $317,144 "," $7,244 "
" $309,900 "," $317,627 "," $7,727 "
" $309,900 "," $317,627 "," $7,727 "
" $305,500 "," $313,482 "," $7,982 "
" $299,990 "," $307,631 "," $7,641 "
" $579,999 "," $587,289 "," $7,290 "
" $569,000 "," $576,470 "," $7,470 "
" $549,000 "," $556,656 "," $7,656 "
" $499,000 "," $506,733 "," $7,733 "
" $495,000 "," $502,584 "," $7,584 "
" $489,900 "," $497,866 "," $7,966 "
" $475,000 "," $482,587 "," $7,587 "
" $470,000 "," $476,872 "," $6,872 "
" $449,000 "," $456,644 "," $7,644 "
" $418,000 "," $425,346 "," $7,346 "
" $415,000 "," $422,986 "," $7,986 "
" $399,999 "," $407,767 "," $7,768 "
" $380,000 "," $387,350 "," $7,350 "
" $375,000 "," $382,498 "," $7,498 "
" $350,000 "," $357,421 "," $7,421 "
" $345,000 "," $352,505 "," $7,505 "
" $335,000 "," $342,324 "," $7,324 "
" $329,900 "," $337,827 "," $7,927 "
" $329,500 "," $337,354 "," $7,854 "
" $320,000 "," $327,486 "," $7,486 "
" $585,000 "," $592,314 "," $7,314 "
" $585,000 "," $592,917 "," $7,917 "
" $580,000 "," $587,704 "," $7,704 "
" $549,000 "," $556,225 "," $7,225 "
" $540,000 "," $547,248 "," $7,248 "
" $499,900 "," $507,062 "," $7,162 "
" $499,000 "," $505,962 "," $6,962 "
" $495,000 "," $502,631 "," $7,631 "
" $479,900 "," $486,988 "," $7,088 "
" $479,000 "," $486,772 "," $7,772 "
" $477,000 "," $484,569 "," $7,569 "
" $450,000 "," $456,978 "," $6,978 "
" $450,000 "," $457,074 "," $7,074 "
" $445,000 "," $452,589 "," $7,589 "
" $439,900 "," $447,129 "," $7,229 "
" $429,000 "," $436,842 "," $7,842 "
" $425,000 "," $432,512 "," $7,512 "
" $425,000 "," $432,518 "," $7,518 "
" $425,000 "," $433,101 "," $8,101 "
" $414,999 "," $422,670 "," $7,671 "
" $2,395,000 "," $2,401,838 "," $6,838 "
" $2,388,000 "," $2,394,809 "," $6,809 "
" $2,385,000 "," $2,392,293 "," $7,293 "
" $2,360,000 "," $2,366,899 "," $6,899 "
" $2,329,000 "," $2,336,173 "," $7,173 "
" $2,300,000 "," $2,306,305 "," $6,305 "
" $2,299,000 "," $2,306,079 "," $7,079 "
" $2,275,000 "," $2,281,117 "," $6,117 "
" $2,098,000 "," $2,104,399 "," $6,399 "
" $1,975,000 "," $1,982,024 "," $7,024 "
" $1,899,000 "," $1,904,173 "," $5,173 "
" $1,895,000 "," $1,901,030 "," $6,030 "
" $1,800,000 "," $1,807,346 "," $7,346 "
" $1,798,800 "," $1,805,722 "," $6,922 "
" $1,795,000 "," $1,801,806 "," $6,806 "
" $1,725,000 "," $1,731,692 "," $6,692 "
" $1,699,000 "," $1,706,604 "," $7,604 "
" $1,650,000 "," $1,657,374 "," $7,374 "
" $1,600,000 "," $1,607,492 "," $7,492 "
" $1,599,000 "," $1,605,490 "," $6,490 "
" $795,000 "," $802,144 "," $7,144 "
" $795,000 "," $802,412 "," $7,412 "
" $789,950 "," $797,277 "," $7,327 "
" $775,000 "," $782,040 "," $7,040 "
" $769,000 "," $776,503 "," $7,503 "
" $749,950 "," $757,435 "," $7,485 "
" $749,950 "," $757,491 "," $7,541 "
" $749,900 "," $756,956 "," $7,056 "
" $749,000 "," $756,629 "," $7,629 "
" $748,888 "," $756,016 "," $7,128 "
" $748,888 "," $756,016 "," $7,128 "
" $740,000 "," $746,628 "," $6,628 "
" $740,000 "," $747,481 "," $7,481 "
" $739,000 "," $746,665 "," $7,665 "
" $735,000 "," $741,946 "," $6,946 "
" $729,530 "," $736,417 "," $6,887 "
" $729,000 "," $736,454 "," $7,454 "
" $729,000 "," $736,454 "," $7,454 "
" $725,000 "," $732,703 "," $7,703 "
" $719,900 "," $727,331 "," $7,431 "
" $530,000 "," $537,778 "," $7,778 "
" $525,000 "," $531,532 "," $6,532 "
" $525,000 "," $531,626 "," $6,626 "
" $524,997 "," $532,730 "," $7,733 "
" $516,000 "," $523,785 "," $7,785 "
" $510,000 "," $517,265 "," $7,265 "
" $510,000 "," $517,265 "," $7,265 "
" $510,000 "," $517,674 "," $7,674 "
" $509,000 "," $516,040 "," $7,040 "
" $509,000 "," $516,040 "," $7,040 "
" $500,000 "," $507,493 "," $7,493 "
" $500,000 "," $507,493 "," $7,493 "
" $499,900 "," $506,750 "," $6,850 "
" $499,900 "," $506,750 "," $6,850 "
" $499,000 "," $506,660 "," $7,660 "
" $499,000 "," $506,683 "," $7,683 "
" $498,900 "," $506,532 "," $7,632 "
" $498,900 "," $506,532 "," $7,632 "
" $495,000 "," $502,847 "," $7,847 "
" $495,000 "," $502,847 "," $7,847 "
" $329,900 "," $337,461 "," $7,561 "
" $329,000 "," $336,326 "," $7,326 "
" $325,000 "," $332,810 "," $7,810 "
" $325,000 "," $332,982 "," $7,982 "
" $325,000 "," $332,709 "," $7,709 "
" $324,900 "," $332,515 "," $7,615 "
" $324,500 "," $332,404 "," $7,904 "
" $315,000 "," $322,461 "," $7,461 "
" $309,990 "," $317,401 "," $7,411 "
" $309,900 "," $317,418 "," $7,518 "
" $309,500 "," $316,845 "," $7,345 "
" $305,000 "," $312,438 "," $7,438 "
" $305,000 "," $312,874 "," $7,874 "
" $305,000 "," $312,721 "," $7,721 "
" $304,999 "," $312,324 "," $7,325 "
" $299,900 "," $307,504 "," $7,604 "
" $299,000 "," $306,491 "," $7,491 "
" $299,000 "," $306,662 "," $7,662 "
" $297,000 "," $304,844 "," $7,844 "
" $297,000 "," $304,844 "," $7,844 "
" $315,000 "," $322,815 "," $7,815 "
" $300,000 "," $307,558 "," $7,558 "
" $265,000 "," $272,483 "," $7,483 "
" $225,000 "," $232,815 "," $7,815 "
" $6,995,000 "," $7,000,952 "," $5,952 "
" $2,999,888 "," $3,006,153 "," $6,265 "
" $1,688,000 "," $1,694,834 "," $6,834 "
" $1,495,000 "," $1,502,536 "," $7,536 "
" $1,449,000 "," $1,455,518 "," $6,518 "
" $1,368,000 "," $1,375,386 "," $7,386 "
" $1,295,000 "," $1,302,327 "," $7,327 "
" $1,279,000 "," $1,285,185 "," $6,185 "
" $1,095,000 "," $1,102,138 "," $7,138 "
" $1,088,000 "," $1,095,966 "," $7,966 "
" $1,074,900 "," $1,082,085 "," $7,185 "
" $1,050,000 "," $1,058,038 "," $8,038 "
" $995,500 "," $1,002,520 "," $7,020 "
" $975,000 "," $982,191 "," $7,191 "
" $699,000 "," $705,445 "," $6,445 "
" $697,000 "," $704,488 "," $7,488 "
" $695,000 "," $702,365 "," $7,365 "
" $659,000 "," $666,503 "," $7,503 "
" $639,900 "," $647,592 "," $7,692 "
" $639,500 "," $646,570 "," $7,070 "
" $629,900 "," $637,237 "," $7,337 "
" $629,000 "," $636,076 "," $7,076 "
" $599,000 "," $606,402 "," $7,402 "
" $579,000 "," $586,509 "," $7,509 "
" $560,000 "," $567,420 "," $7,420 "
" $559,000 "," $566,555 "," $7,555 "
" $549,000 "," $556,117 "," $7,117 "
" $549,000 "," $556,247 "," $7,247 "
" $529,000 "," $536,428 "," $7,428 "
" $525,000 "," $532,143 "," $7,143 "
" $524,500 "," $531,927 "," $7,427 "
" $519,900 "," $526,893 "," $6,993 "
" $517,900 "," $525,602 "," $7,702 "
" $495,000 "," $502,310 "," $7,310 "
" $479,000 "," $486,399 "," $7,399 "
" $420,000 "," $427,472 "," $7,472 "
" $399,000 "," $406,606 "," $7,606 "
" $399,000 "," $406,787 "," $7,787 "
" $380,000 "," $387,244 "," $7,244 "
" $380,000 "," $387,767 "," $7,767 "
" $355,000 "," $362,056 "," $7,056 "
" $349,500 "," $357,177 "," $7,677 "
" $309,000 "," $317,246 "," $8,246 "
" $284,900 "," $292,401 "," $7,501 "
" $284,482 "," $292,575 "," $8,093 "
" $180,000 "," $187,488 "," $7,488 "
" $180,000 "," $187,844 "," $7,844 "
" $165,000 "," $172,328 "," $7,328 "
" $2,149,000 "," $2,155,253 "," $6,253 "
" $1,789,000 "," $1,795,899 "," $6,899 "
" $1,699,000 "," $1,706,777 "," $7,777 "
" $1,569,000 "," $1,575,892 "," $6,892 "
" $849,800 "," $856,815 "," $7,015 "
" $810,000 "," $817,916 "," $7,916 "
" $799,000 "," $806,306 "," $7,306 "
" $775,900 "," $783,393 "," $7,493 "
" $775,900 "," $783,393 "," $7,493 "
" $774,900 "," $781,434 "," $6,534 "
" $769,900 "," $776,997 "," $7,097 "
" $769,900 "," $776,997 "," $7,097 "
" $755,000 "," $762,422 "," $7,422 "
" $755,000 "," $762,422 "," $7,422 "
" $750,000 "," $757,096 "," $7,096 "
" $749,980 "," $757,092 "," $7,112 "
" $749,900 "," $757,077 "," $7,177 "
" $749,900 "," $757,130 "," $7,230 "
" $745,000 "," $751,908 "," $6,908 "
" $740,000 "," $747,040 "," $7,040 "
" $739,900 "," $747,292 "," $7,392 "
" $729,900 "," $737,657 "," $7,757 "
" $709,000 "," $716,405 "," $7,405 "
" $699,000 "," $706,448 "," $7,448 "
" $289,000 "," $296,459 "," $7,459 "
" $275,000 "," $282,594 "," $7,594 "
" $275,000 "," $282,729 "," $7,729 "
" $275,000 "," $282,766 "," $7,766 "
" $275,000 "," $282,881 "," $7,881 "
" $274,990 "," $282,594 "," $7,604 "
" $265,000 "," $272,609 "," $7,609 "
" $259,500 "," $267,315 "," $7,815 "
" $258,000 "," $265,503 "," $7,503 "
" $254,500 "," $262,142 "," $7,642 "
" $249,900 "," $257,410 "," $7,510 "
" $244,900 "," $252,751 "," $7,851 "
" $240,888 "," $248,740 "," $7,852 "
" $229,995 "," $237,840 "," $7,845 "
" $218,000 "," $225,900 "," $7,900 "
" $214,900 "," $222,516 "," $7,616 "
" $214,900 "," $222,516 "," $7,616 "
" $185,000 "," $192,789 "," $7,789 "
" $180,000 "," $187,844 "," $7,844 "
" $139,000 "," $146,920 "," $7,920 "
" $270,000 "," $277,723 "," $7,723 "
" $215,000 "," $222,852 "," $7,852 "
" $210,000 "," $217,842 "," $7,842 "
" $209,000 "," $216,986 "," $7,986 "
" $169,000 "," $176,832 "," $7,832 "
" $149,999 "," $157,713 "," $7,714 "
" $109,900 "," $117,860 "," $7,960 "
" $87,000 "," $94,896 "," $7,896 "
" $23,450,000 "," $23,455,188 "," $5,188 "
" $10,900,000 "," $10,905,939 "," $5,939 "
" $7,850,000 "," $7,855,897 "," $5,897 "
" $7,195,000 "," $7,201,129 "," $6,129 "
" $6,980,000 "," $6,984,985 "," $4,985 "
" $5,600,000 "," $5,605,630 "," $5,630 "
" $4,499,000 "," $4,503,576 "," $4,576 "
" $409,000 "," $416,937 "," $7,937 "
" $404,700 "," $412,736 "," $8,036 "
" $396,900 "," $404,459 "," $7,559 "
" $389,000 "," $396,173 "," $7,173 "
" $389,000 "," $396,927 "," $7,927 "
" $384,900 "," $391,941 "," $7,041 "
" $379,900 "," $387,205 "," $7,305 "
" $364,900 "," $372,258 "," $7,358 "
" $355,400 "," $362,888 "," $7,488 "
" $350,000 "," $357,796 "," $7,796 "
" $339,900 "," $347,796 "," $7,896 "
" $337,500 "," $345,486 "," $7,986 "
" $329,900 "," $337,577 "," $7,677 "
" $324,950 "," $331,971 "," $7,021 "
" $319,900 "," $327,345 "," $7,445 "
" $318,000 "," $325,500 "," $7,500 "
" $310,000 "," $317,645 "," $7,645 "
" $299,900 "," $307,934 "," $8,034 "
" $1,175,000 "," $1,181,659 "," $6,659 "
" $1,175,000 "," $1,181,659 "," $6,659 "
" $1,135,000 "," $1,142,246 "," $7,246 "
" $1,129,000 "," $1,136,198 "," $7,198 "
" $1,100,000 "," $1,107,154 "," $7,154 "
" $1,100,000 "," $1,107,154 "," $7,154 "
" $1,100,000 "," $1,107,125 "," $7,125 "
" $1,095,000 "," $1,101,359 "," $6,359 "
" $1,075,000 "," $1,081,952 "," $6,952 "
" $1,025,000 "," $1,031,796 "," $6,796 "
" $1,024,888 "," $1,031,959 "," $7,071 "
" $999,000 "," $1,006,058 "," $7,058 "
" $999,000 "," $1,006,359 "," $7,359 "
" $999,000 "," $1,006,417 "," $7,417 "
" $998,000 "," $1,004,852 "," $6,852 "
" $998,000 "," $1,004,852 "," $6,852 "
" $998,000 "," $1,004,912 "," $6,912 "
" $998,000 "," $1,005,329 "," $7,329 "
" $995,000 "," $1,001,266 "," $6,266 "
" $979,500 "," $986,452 "," $6,952 "
" $675,000 "," $682,731 "," $7,731 "
" $675,000 "," $682,731 "," $7,731 "
" $674,900 "," $682,454 "," $7,554 "
" $670,000 "," $677,501 "," $7,501 "
" $669,900 "," $677,560 "," $7,660 "
" $669,888 "," $677,172 "," $7,284 "
" $665,000 "," $672,126 "," $7,126 "
" $659,900 "," $667,552 "," $7,652 "
" $659,800 "," $667,296 "," $7,496 "
" $658,888 "," $665,681 "," $6,793 "
" $649,900 "," $657,581 "," $7,681 "
" $649,000 "," $656,083 "," $7,083 "
" $648,000 "," $654,438 "," $6,438 "
" $639,980 "," $647,424 "," $7,444 "
" $639,000 "," $646,386 "," $7,386 "
" $639,000 "," $646,386 "," $7,386 "
" $639,000 "," $646,464 "," $7,464 "
" $635,000 "," $642,231 "," $7,231 "
" $635,000 "," $642,188 "," $7,188 "
" $635,000 "," $642,347 "," $7,347 "
" $499,900 "," $507,158 "," $7,258 "
" $499,000 "," $505,966 "," $6,966 "
" $499,000 "," $506,669 "," $7,669 "
" $499,000 "," $506,766 "," $7,766 "
" $495,000 "," $502,816 "," $7,816 "
" $489,900 "," $497,374 "," $7,474 "
" $489,000 "," $496,643 "," $7,643 "
" $489,000 "," $496,540 "," $7,540 "
" $487,990 "," $495,770 "," $7,780 "
" $485,000 "," $492,790 "," $7,790 "
" $479,000 "," $485,700 "," $6,700 "
" $475,000 "," $482,488 "," $7,488 "
" $475,000 "," $482,700 "," $7,700 "
" $470,000 "," $477,551 "," $7,551 "
" $469,900 "," $477,519 "," $7,619 "
" $469,000 "," $476,624 "," $7,624 "
" $469,000 "," $476,787 "," $7,787 "
" $464,999 "," $471,856 "," $6,857 "
" $464,999 "," $471,856 "," $6,857 "
" $459,900 "," $467,015 "," $7,115 "
" $279,000 "," $286,818 "," $7,818 "
" $279,000 "," $286,660 "," $7,660 "
" $270,000 "," $277,831 "," $7,831 "
" $269,900 "," $277,820 "," $7,920 "
" $269,000 "," $276,697 "," $7,697 "
" $259,000 "," $266,949 "," $7,949 "
" $245,000 "," $252,428 "," $7,428 "
" $245,000 "," $252,703 "," $7,703 "
" $235,000 "," $242,753 "," $7,753 "
" $230,000 "," $237,869 "," $7,869 "
" $229,900 "," $237,609 "," $7,709 "
" $229,500 "," $237,194 "," $7,694 "
" $229,000 "," $236,814 "," $7,814 "
" $225,000 "," $232,819 "," $7,819 "
" $224,999 "," $232,832 "," $7,833 "
" $215,900 "," $223,723 "," $7,823 "
" $215,000 "," $222,563 "," $7,563 "
" $210,000 "," $217,826 "," $7,826 "
" $199,900 "," $207,533 "," $7,633 "
" $199,900 "," $207,655 "," $7,755 "
" $185,000 "," $192,789 "," $7,789 "
" $7,500,000 "," $7,507,206 "," $7,206 "
" $6,975,000 "," $6,979,649 "," $4,649 "
" $3,850,000 "," $3,855,357 "," $5,357 "
" $2,999,000 "," $3,005,634 "," $6,634 "
" $2,995,000 "," $3,001,262 "," $6,262 "
" $2,880,000 "," $2,886,576 "," $6,576 "
" $2,495,000 "," $2,501,095 "," $6,095 "
" $2,388,000 "," $2,394,443 "," $6,443 "
" $2,219,000 "," $2,226,217 "," $7,217 "
" $1,999,000 "," $2,006,686 "," $7,686 "
" $1,988,000 "," $1,994,859 "," $6,859 "
" $1,983,000 "," $1,989,167 "," $6,167 "
" $1,980,000 "," $1,986,892 "," $6,892 "
" $1,980,000 "," $1,986,892 "," $6,892 "
" $1,888,888 "," $1,895,249 "," $6,361 "
" $1,888,888 "," $1,896,258 "," $7,370 "
" $1,599,888 "," $1,606,450 "," $6,562 "
" $350,000 "," $357,194 "," $7,194 "
" $349,900 "," $357,500 "," $7,600 "
" $329,500 "," $337,229 "," $7,729 "
" $325,500 "," $333,312 "," $7,812 "
" $315,000 "," $322,351 "," $7,351 "
" $310,000 "," $317,599 "," $7,599 "
" $295,000 "," $303,155 "," $8,155 "
" $290,000 "," $297,491 "," $7,491 "
" $269,900 "," $277,609 "," $7,709 "
" $269,500 "," $277,223 "," $7,723 "
" $265,000 "," $272,862 "," $7,862 "
" $253,500 "," $261,301 "," $7,801 "
" $249,500 "," $257,490 "," $7,990 "
" $240,000 "," $248,017 "," $8,017 "
" $210,000 "," $217,711 "," $7,711 "
" $204,999 "," $213,134 "," $8,135 "
" $199,900 "," $207,603 "," $7,703 "
" $1,150,000 "," $1,157,605 "," $7,605 "
" $1,149,900 "," $1,155,844 "," $5,944 "
" $1,149,800 "," $1,157,180 "," $7,380 "
" $1,149,000 "," $1,155,307 "," $6,307 "
" $1,100,000 "," $1,106,522 "," $6,522 "
" $1,100,000 "," $1,107,448 "," $7,448 "
" $1,100,000 "," $1,107,559 "," $7,559 "
" $1,099,900 "," $1,107,053 "," $7,153 "
" $1,099,900 "," $1,107,053 "," $7,153 "
" $1,099,000 "," $1,106,156 "," $7,156 "
" $1,075,000 "," $1,082,178 "," $7,178 "
" $1,075,000 "," $1,082,595 "," $7,595 "
" $1,060,000 "," $1,067,267 "," $7,267 "
" $1,049,000 "," $1,055,897 "," $6,897 "
" $1,025,000 "," $1,031,967 "," $6,967 "
" $999,999 "," $1,007,277 "," $7,278 "
" $999,999 "," $1,007,236 "," $7,237 "
" $995,000 "," $1,002,207 "," $7,207 "
" $990,000 "," $996,490 "," $6,490 "
" $990,000 "," $996,490 "," $6,490 "
" $669,000 "," $676,673 "," $7,673 "
" $660,000 "," $667,429 "," $7,429 "
" $654,888 "," $662,497 "," $7,609 "
" $654,888 "," $662,497 "," $7,609 "
" $654,000 "," $661,620 "," $7,620 "
" $649,999 "," $657,512 "," $7,513 "
" $649,900 "," $657,535 "," $7,635 "
" $649,500 "," $656,871 "," $7,371 "
" $649,000 "," $656,083 "," $7,083 "
" $649,000 "," $656,520 "," $7,520 "
" $649,000 "," $656,547 "," $7,547 "
" $649,000 "," $656,459 "," $7,459 "
" $648,800 "," $656,223 "," $7,423 "
" $645,999 "," $653,450 "," $7,451 "
" $645,000 "," $652,359 "," $7,359 "
" $645,000 "," $652,222 "," $7,222 "
" $639,900 "," $647,211 "," $7,311 "
" $630,000 "," $637,590 "," $7,590 "
" $629,900 "," $637,048 "," $7,148 "
" $629,900 "," $637,708 "," $7,808 "
" $429,000 "," $436,183 "," $7,183 "
" $422,000 "," $429,185 "," $7,185 "
" $419,900 "," $427,592 "," $7,692 "
" $399,990 "," $406,974 "," $6,984 "
" $399,990 "," $407,051 "," $7,061 "
" $399,900 "," $406,884 "," $6,984 "
" $399,500 "," $407,109 "," $7,609 "
" $399,000 "," $406,230 "," $7,230 "
" $399,000 "," $406,402 "," $7,402 "
" $399,000 "," $406,402 "," $7,402 "
" $399,000 "," $406,629 "," $7,629 "
" $399,000 "," $407,018 "," $8,018 "
" $397,500 "," $405,133 "," $7,633 "
" $395,000 "," $402,811 "," $7,811 "
" $390,000 "," $397,592 "," $7,592 "
" $389,900 "," $397,375 "," $7,475 "
" $387,000 "," $394,658 "," $7,658 "
