Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$420,000","355 S Madison Ave UNIT 121, Pasadena, CA 91101",355 S Madison Ave UNIT 121,Pasadena,CA,91101,1,1,726,null,null,Condominium,1972,Community Structure,$299 monthly,"$452,000","$2,030/mo",$579,https://www.zillow.com/homedetails/355-S-Madison-Ave-UNIT-121-Pasadena-CA-91101/20867584_zpid/
"$470,000","5096 Tortuga Dr APT 209, Huntington Beach, CA 92649",5096 Tortuga Dr APT 209,HuntingtonBeach,CA,92649,1,1,750,null,null,Condominium,1983,1 Garage space,$395 monthly,"$481,800","$2,098/mo",$627,https://www.zillow.com/homedetails/5096-Tortuga-Dr-APT-209-Huntington-Beach-CA-92649/25768647_zpid/
"$489,000","1510 Park Ave #302, Emeryville, CA 94608",1510 Park Ave #302,Emeryville,CA,94608,1,1,644,null,null,Condominium,2000,1 Attached Garage space,$424 monthly,null,null,$759,https://www.zillow.com/homedetails/1510-Park-Ave-302-Emeryville-CA-94608/2146944226_zpid/
"$399,000","4545 Collwood Blvd UNIT 1, San Diego, CA 92115",4545 Collwood Blvd UNIT 1,SanDiego,CA,92115,2,2,"1,062",null,null,"All Other Attached, Condominium",1971,1 Garage space,$340 monthly,"$416,200","$2,094/mo",$376,https://www.zillow.com/homedetails/4545-Collwood-Blvd-UNIT-1-San-Diego-CA-92115/16994932_zpid/
"$995,000","3035 Judah St, San Francisco, CA 94122",3035 Judah St,SanFrancisco,CA,94122,2,1,947,null,null,Condominium,1945,1 Garage space,$250 monthly,"$1,069,400","$2,900/mo","$1,051",https://www.zillow.com/homedetails/3035-Judah-St-San-Francisco-CA-94122/118484710_zpid/
"$539,500","5935 Hickory St APT 1, Carpinteria, CA 93013",5935 Hickory St APT 1,Carpinteria,CA,93013,2,1,837,null,null,Condominium,1972,1 Garage space,$340 monthly,"$557,700","$2,564/mo",$645,https://www.zillow.com/homedetails/5935-Hickory-St-APT-1-Carpinteria-CA-93013/15873866_zpid/
"$385,000","10655 Lemon Ave APT 3610, Rancho Cucamonga, CA 91737",10655 Lemon Ave APT 3610,RanchoCucamonga,CA,91737,2,2,"1,008",null,null,Condominium,1987,Carport,$370 monthly,"$399,437","$2,150/mo",$382,https://www.zillow.com/homedetails/10655-Lemon-Ave-APT-3610-Rancho-Cucamonga-CA-91737/64655091_zpid/
"$389,000","7740 Margerum Ave UNIT 204, San Diego, CA 92120",7740 Margerum Ave UNIT 204,SanDiego,CA,92120,2,1,812,null,null,Condominium,1975,1 Parking space,$340 monthly,"$384,300","$1,995/mo",$479,https://www.zillow.com/homedetails/7740-Margerum-Ave-UNIT-204-San-Diego-CA-92120/16980662_zpid/
"$685,000","249 N Bonnie Brae St #3, Los Angeles, CA 90026",249 N Bonnie Brae St #3,LosAngeles,CA,90026,3,2,"1,138",null,null,Condominium,No Data,"Assigned, Gated, Community Structure",$250 monthly,"$712,600","$2,138/mo",$602,https://www.zillow.com/homedetails/249-N-Bonnie-Brae-St-3-Los-Angeles-CA-90026/2075663282_zpid/
"$680,000","150 Seminary Dr, Mill Valley, CA 94941",150 Seminary Dr,MillValley,CA,94941,1,1,789,null,null,"Condominium, Low-Rise (1-3)",1974,1 Attached Garage space,$585 monthly,null,null,$862,https://www.zillow.com/homedetails/150-Seminary-Dr-Mill-Valley-CA-94941/2079096232_zpid/
"$575,000","16621 Big Basin Way #8, Boulder Creek, CA 95006",16621 Big Basin Way #8,BoulderCreek,CA,95006,2,2,"1,410",null,null,Condo,1969,Garage - Detached,$470 monthly,"$617,440","$3,314/mo",$408,https://www.zillow.com/homedetails/16621-Big-Basin-Way-8-Boulder-Creek-CA-95006/16158918_zpid/
"$265,000","874 Avenida Sevilla UNIT A, Laguna Woods, CA 92637",874 Avenida Sevilla UNIT A,LagunaWoods,CA,92637,2,2,"1,057",null,null,Stock Cooperative,1967,1 Carport space,$602 monthly,"$265,000","$2,267/mo",$251,https://www.zillow.com/homedetails/874-Avenida-Sevilla-UNIT-A-Laguna-Woods-CA-92637/2126388850_zpid/
"$298,000","895 Woodside Ln E UNIT 3, Sacramento, CA 95825",895 Woodside Ln E UNIT 3,Sacramento,CA,95825,2,2,"1,228",null,null,Condo,1970,1 Parking space,$451 monthly,"$307,400","$1,995/mo",$243,https://www.zillow.com/homedetails/895-Woodside-Ln-E-UNIT-3-Sacramento-CA-95825/26107513_zpid/
"$690,000","1369 Natoma St #A, San Francisco, CA 94103",1369 Natoma St #A,SanFrancisco,CA,94103,2,1,713,null,null,Condominium,1906,No Data,$350 monthly,null,null,$968,https://www.zillow.com/homedetails/1369-Natoma-St-A-San-Francisco-CA-94103/2070245823_zpid/
"$315,000","2412 N Main St UNIT A, Salinas, CA 93906",2412 N Main St UNIT A,Salinas,CA,93906,2,2,932,null,null,Condo,1980,Carport,$493 monthly,"$324,400","$2,799/mo",$338,https://www.zillow.com/homedetails/2412-N-Main-St-UNIT-A-Salinas-CA-93906/19380601_zpid/
"$399,900","2504 E Willow St UNIT 107, Signal Hill, CA 90755",2504 E Willow St UNIT 107,SignalHill,CA,90755,1,1,837,null,null,Condominium,1980,1 Garage space,$645 monthly,"$392,900","$1,950/mo",$478,https://www.zillow.com/homedetails/2504-E-Willow-St-UNIT-107-Signal-Hill-CA-90755/21197936_zpid/
"$649,900","10852 Sonoma Ln, Garden Grove, CA 92843",10852 Sonoma Ln,GardenGrove,CA,92843,3,3,"1,828",null,null,Condominium,2012,3 Attached Garage spaces,$270 monthly,"$686,700","$3,499/mo",$356,https://www.zillow.com/homedetails/10852-Sonoma-Ln-Garden-Grove-CA-92843/147889988_zpid/
"$1,249,000","38 Lusk St APT 2, San Francisco, CA 94107",38 Lusk St APT 2,SanFrancisco,CA,94107,2,2,"1,208",null,null,Condominium,1995,1 Attached Garage space,$360 monthly,"$1,232,200","$4,135/mo","$1,034",https://www.zillow.com/homedetails/38-Lusk-St-APT-2-San-Francisco-CA-94107/80740325_zpid/
"$290,000","2099 Hartford Dr UNIT 15, Chico, CA 95928",2099 Hartford Dr UNIT 15,Chico,CA,95928,3,2,"1,375",null,null,Condominium,2005,Assigned,$205 monthly,"$297,100","$1,800/mo",$211,https://www.zillow.com/homedetails/2099-Hartford-Dr-UNIT-15-Chico-CA-95928/69240551_zpid/
