Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zillow_price/sqft,Zestimate,Rent_zestimate,House_website
"$359,000 ","4116 Wheatley Cir, Sacramento, CA 95838",4116 Wheatley Cir,Sacramento,CA,95838,3,2,"1,008","7,405 sqft",7405,Apartment,1987,2 Covered Parking spaces,null,$356 ,"$375,318 ",null,https://www.zillow.com/homedetails/4116-Wheatley-Cir-Sacramento-CA-95838/26039183_zpid/
"$399,000 ","2017 Rockbridge Rd, Sacramento, CA 95815",2017 Rockbridge Rd,Sacramento,CA,95815,4,2,"1,097","6,098 sqft",6098,Apartment,1955,1 Covered Parking space,null,$364 ,null,null,https://www.zillow.com/homedetails/2017-Rockbridge-Rd-Sacramento-CA-95815/26090739_zpid/
"$579,000 ","4547 Edison Ave, Sacramento, CA 95821",4547 Edison Ave,Sacramento,CA,95821,3,3,"2,085","9,404 sqft",9404,Apartment,1978,2 Covered Parking spaces,null,$278 ,null,null,https://www.zillow.com/homedetails/4547-Edison-Ave-Sacramento-CA-95821/26066318_zpid/
