Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$419,900","5700 Baltimore Dr UNIT 114, La Mesa, CA 91942",5700 Baltimore Dr UNIT 114,LaMesa,CA,91942,2,2,"1,068",4.50 Acres,196020.0,"Townhouse, Condominium",1976,1 Garage space,$416 monthly,"$439,900","$2,245/mo",$393,https://www.zillow.com/homedetails/5700-Baltimore-Dr-UNIT-114-La-Mesa-CA-91942/52517947_zpid/
"$399,888","225 Diamond Way APT 111, Vista, CA 92083",225 Diamond Way APT 111,Vista,CA,92083,2,2,878,1.21 Acres,52707.6,Townhouse,1986,1 Garage space,$395 monthly,"$392,000","$2,124/mo",$455,https://www.zillow.com/homedetails/225-Diamond-Way-APT-111-Vista-CA-92083/16611250_zpid/
"$659,900","1193 Via Candelas, Oceanside, CA 92056",1193 Via Candelas,Oceanside,CA,92056,3,3,"1,499",No Data,null,Townhouse,2020,2 Attached Garage spaces,$385 monthly,null,null,$440,https://www.zillow.com/homedetails/1193-Via-Candelas-Oceanside-CA-92056/2069157824_zpid/
"$1,150,000","1001 Winston Ct, San Jose, CA 95131",1001 Winston Ct,SanJose,CA,95131,4,3,"1,846","4,765 sqft",4765.0,Townhouse,1989,Garage - Attached,$265 monthly,"$1,264,200","$4,028/mo",$623,https://www.zillow.com/homedetails/1001-Winston-Ct-San-Jose-CA-95131/19561061_zpid/
"$435,000","208 Teague Dr, San Dimas, CA 91773",208 Teague Dr,SanDimas,CA,91773,3,2,"1,206","2,137 sqft",2137.0,Townhouse,1981,2 Attached Garage spaces,$355 monthly,"$506,200","$2,513/mo",$361,https://www.zillow.com/homedetails/208-Teague-Dr-San-Dimas-CA-91773/21527932_zpid/
"$374,900","7041 Rancho Mirage Ct, Citrus Heights, CA 95621",7041 Rancho Mirage Ct,CitrusHeights,CA,95621,3,3,"1,831","2,178 sqft",2178.0,Townhouse,1985,2 Covered Parking spaces,$497 monthly,"$391,199","$2,414/mo",$205,https://www.zillow.com/homedetails/7041-Rancho-Mirage-Ct-Citrus-Heights-CA-95621/26025761_zpid/
"$999,900","203 Tuberose, Irvine, CA 92603",203 Tuberose,Irvine,CA,92603,3,3,"2,098","3,000 sqft",3000.0,Townhouse,2003,2 Attached Garage spaces,$388 monthly,"$1,040,400","$4,140/mo",$477,https://www.zillow.com/homedetails/203-Tuberose-Irvine-CA-92603/61500221_zpid/
"$750,000","1514 W Artesia Sq APT B, Gardena, CA 90248",1514 W Artesia Sq APT B,Gardena,CA,90248,3,3,"1,770",0.38 Acres,16552.8,Townhouse,2016,2 Attached Garage spaces,$314 monthly,"$875,300","$3,300/mo",$424,https://www.zillow.com/homedetails/1514-W-Artesia-Sq-APT-B-Gardena-CA-90248/2069331395_zpid/
"$593,588","957 Legend Ter, Davis, CA 95616",957 Legend Ter,Davis,CA,95616,2,3,"1,404","1,158 sqft",1158.0,Townhouse,2016,2 Covered Parking spaces,$257 monthly,"$593,590","$2,699/mo",$423,https://www.zillow.com/homedetails/957-Legend-Ter-Davis-CA-95616/241669497_zpid/
"$795,000","8500 Falmouth Ave UNIT 1109, Playa Del Rey, CA 90293",8500 Falmouth Ave UNIT 1109,PlayaDelRey,CA,90293,2,3,"1,116",2.46 Acres,107157.6,Townhouse,1986,3 Garage spaces,$582 monthly,"$807,905","$3,764/mo",$712,https://www.zillow.com/homedetails/8500-Falmouth-Ave-UNIT-1109-Playa-Del-Rey-CA-90293/20386917_zpid/
"$737,000","1844 Cannon Dr, Walnut Creek, CA 94597",1844 Cannon Dr,WalnutCreek,CA,94597,3,3,"1,263","1,000 sqft",1000.0,Townhouse,1972,2 Attached Garage spaces,$457 monthly,null,null,$584,https://www.zillow.com/homedetails/1844-Cannon-Dr-Walnut-Creek-CA-94597/18405603_zpid/
"$459,999","393 Cherry Hills Ln, Azusa, CA 91702",393 Cherry Hills Ln,Azusa,CA,91702,3,2,"1,168",7.18 Acres,312760.8,Townhouse,1973,2 Parking spaces,$395 monthly,"$461,181","$2,496/mo",$394,https://www.zillow.com/homedetails/393-Cherry-Hills-Ln-Azusa-CA-91702/21629988_zpid/
"$895,000","223 S Prospect Ave APT 1, Redondo Beach, CA 90277",223 S Prospect Ave APT 1,RedondoBeach,CA,90277,2,3,"1,584",0.44 Acres,19166.4,Townhouse,1980,2 Attached Garage spaces,$250 monthly,"$937,500","$3,999/mo",$565,https://www.zillow.com/homedetails/223-S-Prospect-Ave-APT-1-Redondo-Beach-CA-90277/21320072_zpid/
"$1,068,999","31 Gray Dove, Irvine, CA 92618",31 Gray Dove,Irvine,CA,92618,4,5,"2,655",No Data,null,Townhouse,2009,2 Attached Garage spaces,$379 monthly,"$1,095,400","$4,949/mo",$403,https://www.zillow.com/homedetails/31-Gray-Dove-Irvine-CA-92618/111425867_zpid/
"$798,000","108 Jerrold Ave, San Francisco, CA 94124",108 Jerrold Ave,SanFrancisco,CA,94124,3,2,"1,325","2,178 sqft",2178.0,Townhouse,1989,1 Attached Garage space,$432 monthly,"$833,100","$3,949/mo",$602,https://www.zillow.com/homedetails/108-Jerrold-Ave-San-Francisco-CA-94124/15153009_zpid/
"$420,000","6926 Kester Ave UNIT 4, Van Nuys, CA 91405",6926 Kester Ave UNIT 4,VanNuys,CA,91405,2,3,"1,254",0.34 Acres,14810.4,Townhouse,1982,Attached Garage,$285 monthly,"$425,454","$2,650/mo",$335,https://www.zillow.com/homedetails/6926-Kester-Ave-UNIT-4-Van-Nuys-CA-91405/19960612_zpid/
"$713,000","3740 Islander Walk, Oxnard, CA 93035",3740 Islander Walk,Oxnard,CA,93035,4,4,"2,207",No Data,null,Townhouse,2017,2 Attached Garage spaces,$245 monthly,"$726,500","$4,194/mo",$323,https://www.zillow.com/homedetails/3740-Islander-Walk-Oxnard-CA-93035/250067955_zpid/
"$749,950","10008 Reseda Blvd UNIT A, Northridge, CA 91324",10008 Reseda Blvd UNIT A,Northridge,CA,91324,3,3,"1,895",1.85 Acres,80586.0,Townhouse,1991,2 Attached Garage spaces,$297 monthly,"$705,600","$3,750/mo",$396,https://www.zillow.com/homedetails/10008-Reseda-Blvd-UNIT-A-Northridge-CA-91324/20168113_zpid/
"$660,000","123 Via Aldea, Thousand Oaks, CA 91320",123 Via Aldea,ThousandOaks,CA,91320,3,3,"1,524","1,524 sqft",1524.0,Townhouse,2005,2 Attached Garage spaces,$420 monthly,"$685,984","$3,249/mo",$433,https://www.zillow.com/homedetails/123-Via-Aldea-Thousand-Oaks-CA-91320/64453626_zpid/
"$1,125,000","168 Carlos Ave #B, Redwood City, CA 94061",168 Carlos Ave #B,RedwoodCity,CA,94061,3,3,"1,900",862 sqft,862.0,Townhouse,1990,"Garage - Attached, On-street",$250 monthly,"$1,177,161","$4,996/mo",$592,https://www.zillow.com/homedetails/168-Carlos-Ave-B-Redwood-City-CA-94061/15577056_zpid/
"$475,000","1705 Hoffman St, Woodland, CA 95776",1705 Hoffman St,Woodland,CA,95776,3,2,"1,516","4,356 sqft",4356.0,Townhouse,2012,2 Covered Parking spaces,null,"$475,001","$2,466/mo",$313,https://www.zillow.com/homedetails/1705-Hoffman-St-Woodland-CA-95776/114453965_zpid/
"$959,000","914 N Kings Rd APT 1, West Hollywood, CA 90069",914 N Kings Rd APT 1,WestHollywood,CA,90069,2,3,"1,476","7,461 sqft",7461.0,Townhouse,1981,Garage,$575 monthly,"$1,010,548","$4,323/mo",$650,https://www.zillow.com/homedetails/914-N-Kings-Rd-APT-1-West-Hollywood-CA-90069/20787699_zpid/
"$599,000","3121 Brighton Ave, Los Angeles, CA 90018",3121 Brighton Ave,LosAngeles,CA,90018,2,3,"1,164",0.84 Acres,36590.4,Townhouse,1983,"Door-Multi, Garage",$295 monthly,"$611,435","$2,995/mo",$515,https://www.zillow.com/homedetails/3121-Brighton-Ave-Los-Angeles-CA-90018/20592024_zpid/
"$645,000","25241 Crocker Ln, Lake Forest, CA 92630",25241 Crocker Ln,LakeForest,CA,92630,4,3,"1,444","2,322 sqft",2322.0,Townhouse,1972,2 Attached Garage spaces,$305 monthly,"$666,600","$3,128/mo",$447,https://www.zillow.com/homedetails/25241-Crocker-Ln-Lake-Forest-CA-92630/25530551_zpid/
"$525,000","26242 Via Roble #45, Mission Viejo, CA 92691",26242 Via Roble #45,MissionViejo,CA,92691,3,2,"1,120",120 sqft,120.0,Townhouse,1973,1 Garage space,$472 monthly,"$498,800","$2,777/mo",$469,https://www.zillow.com/homedetails/26242-Via-Roble-45-Mission-Viejo-CA-92691/25693234_zpid/
"$525,000","1431 Via Bonito, Camarillo, CA 93012",1431 Via Bonito,Camarillo,CA,93012,2,3,"1,106",No Data,null,Townhouse,2006,2 Attached Garage spaces,$280 monthly,"$541,300","$2,499/mo",$475,https://www.zillow.com/homedetails/1431-Via-Bonito-Camarillo-CA-93012/70588380_zpid/
"$700,000","2200 Canyon Dr APT A3, Costa Mesa, CA 92627",2200 Canyon Dr APT A3,CostaMesa,CA,92627,3,3,"1,481",No Data,null,Townhouse,1983,2 Attached Garage spaces,$300 monthly,"$733,800","$3,627/mo",$473,https://www.zillow.com/homedetails/2200-Canyon-Dr-APT-A3-Costa-Mesa-CA-92627/2084734053_zpid/
"$1,050,000","3948 Bentley Ave APT 101, Culver City, CA 90232",3948 Bentley Ave APT 101,CulverCity,CA,90232,3,4,"1,746","9,903 sqft",9903.0,Townhouse,1988,Attached Garage,$200 monthly,"$1,071,319","$4,539/mo",$601,https://www.zillow.com/homedetails/3948-Bentley-Ave-APT-101-Culver-City-CA-90232/20436294_zpid/
