Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$649,000","1275 Sunset Dr, Vista, CA 92081",1275 Sunset Dr,Vista,CA,92081,3,3,"2,165",0.65 Acres,28314.0,Single Family Residence,1955,2 Garage spaces,null,"$679,100","$3,800/mo",$300,https://www.zillow.com/homedetails/1275-Sunset-Dr-Vista-CA-92081/16623018_zpid/
"$389,000","6848 Donerail Dr, Sacramento, CA 95842",6848 Donerail Dr,Sacramento,CA,95842,4,2,"1,345","10,018 sqft",10018.0,SingleFamily,1974,2 Covered Parking spaces,null,"$408,488","$2,257/mo",$289,https://www.zillow.com/homedetails/6848-Donerail-Dr-Sacramento-CA-95842/26003984_zpid/
"$394,900","2227 Jornada Dr, Perris, CA 92571",2227 Jornada Dr,Perris,CA,92571,3,2,"1,355","4,792 sqft",4792.0,Single Family Residence,2004,2 Attached Garage spaces,null,"$402,000","$2,452/mo",$291,https://www.zillow.com/homedetails/2227-Jornada-Dr-Perris-CA-92571/63175931_zpid/
"$349,900","1118 S Drake Ave, Stockton, CA 95215",1118 S Drake Ave,Stockton,CA,95215,3,2,"1,394",0.36 Acres,15681.6,SingleFamily,1943,6 Covered Parking spaces,null,"$369,947","$1,900/mo",$251,https://www.zillow.com/homedetails/1118-S-Drake-Ave-Stockton-CA-95215/15333185_zpid/
"$210,000","526 E 10th St, Hanford, CA 93230",526 E 10th St,Hanford,CA,93230,2,1,878,"5,623 sqft",5623.0,SingleFamily,1927,0 spaces,null,"$165,700","$1,234/mo",$239,https://www.zillow.com/homedetails/526-E-10th-St-Hanford-CA-93230/19062843_zpid/
"$575,000","43545 Kaweah River Dr, Three Rivers, CA 93271",43545 Kaweah River Dr,ThreeRivers,CA,93271,3,2,"1,100",1.92 Acres,83635.2,SingleFamily,1970,1 Parking space,null,"$575,005","$2,403/mo",$523,https://www.zillow.com/homedetails/43545-Kaweah-River-Dr-Three-Rivers-CA-93271/305989931_zpid/
$199,"35914 222nd Sier, Wishon, CA 93669",35914 222nd Sier,Wishon,CA,93669,2,1,800,0.28 Acres,12196.8,Single Family Residence,1960,2 Garage spaces,null,null,null,null,https://www.zillow.com/homedetails/35914-222nd-Sier-Wishon-CA-93669/2069207418_zpid/
"$1,995,000","836 Spruce St, Berkeley, CA 94707",836 Spruce St,Berkeley,CA,94707,3,3,"3,642","6,667 sqft",6667.0,Detached,1927,2 Attached Garage spaces,null,"$2,639,900","$6,205/mo",$548,https://www.zillow.com/homedetails/836-Spruce-St-Berkeley-CA-94707/24845460_zpid/
"$635,000","1112 Madera St, San Diego, CA 92114",1112 Madera St,SanDiego,CA,92114,3,2,"1,239",0.25 Acres,10890.0,Single Family Residence,1959,1 Attached Garage space,null,"$665,800","$2,849/mo",$513,https://www.zillow.com/homedetails/1112-Madera-St-San-Diego-CA-92114/17083745_zpid/
"$370,000","3832 Encino Trl, Frazier Park, CA 93225",3832 Encino Trl,FrazierPark,CA,93225,3,2,"1,582","6,970 sqft",6970.0,Single Family Residence,1987,2 Attached Garage spaces,null,"$316,800","$2,005/mo",$234,https://www.zillow.com/homedetails/3832-Encino-Trl-Frazier-Park-CA-93225/51068299_zpid/
"$315,000","231 Sequoia Ave, Valley Springs, CA 95252",231 Sequoia Ave,ValleySprings,CA,95252,2,2,"1,363","6,969 sqft",6969.0,SingleFamily,1935,4 Covered Parking spaces,null,"$313,073","$1,997/mo",$231,https://www.zillow.com/homedetails/231-Sequoia-Ave-Valley-Springs-CA-95252/52447889_zpid/
"$335,900","1423 E 20th St, Merced, CA 95340",1423 E 20th St,Merced,CA,95340,3,2,"1,757","9,583 sqft",9583.0,Single Family Residence,1961,2 Attached Garage spaces,null,"$349,300","$1,878/mo",$191,https://www.zillow.com/homedetails/1423-E-20th-St-Merced-CA-95340/19173963_zpid/
"$384,900","2538 Furmint Way, Rancho Cordova, CA 95670",2538 Furmint Way,RanchoCordova,CA,95670,3,2,"1,364","6,298 sqft",6298.0,SingleFamily,1956,3 Covered Parking spaces,null,"$397,100","$2,184/mo",$282,https://www.zillow.com/homedetails/2538-Furmint-Way-Rancho-Cordova-CA-95670/25859401_zpid/
"$599,000","3929 Nevil St, Oakland, CA 94601",3929 Nevil St,Oakland,CA,94601,2,1,"1,010","4,028 sqft",4028.0,Detached,1940,1 Attached Garage space,null,"$694,400","$2,849/mo",$593,https://www.zillow.com/homedetails/3929-Nevil-St-Oakland-CA-94601/24778058_zpid/
"$399,900","7704 Tea Berry Way, Sacramento, CA 95828",7704 Tea Berry Way,Sacramento,CA,95828,3,2,"1,294","5,662 sqft",5662.0,SingleFamily,1990,3 Covered Parking spaces,null,"$418,077","$1,999/mo",$309,https://www.zillow.com/homedetails/7704-Tea-Berry-Way-Sacramento-CA-95828/25906486_zpid/
"$785,000","16916 Calahan St, Northridge, CA 91343",16916 Calahan St,Northridge,CA,91343,3,2,"1,592","8,204 sqft",8204.0,Single Family Residence,1955,2 Garage spaces,null,"$846,700","$3,314/mo",$493,https://www.zillow.com/homedetails/16916-Calahan-St-Northridge-CA-91343/20149715_zpid/
"$760,000","1272 Camino Carmelo, Chula Vista, CA 91913",1272 Camino Carmelo,ChulaVista,CA,91913,4,3,"2,165","3,201 sqft",3201.0,Single Family Residence,2019,2 Attached Garage spaces,$125 monthly,"$782,800","$3,863/mo",$351,https://www.zillow.com/homedetails/1272-Camino-Carmelo-Chula-Vista-CA-91913/250192393_zpid/
"$299,700","105 Danville Way, Sacramento, CA 95838",105 Danville Way,Sacramento,CA,95838,4,2,"1,242","5,662 sqft",5662.0,SingleFamily,1961,2 Covered Parking spaces,null,"$317,681","$2,276/mo",$241,https://www.zillow.com/homedetails/105-Danville-Way-Sacramento-CA-95838/26078487_zpid/
"$370,000","1960 E Sandalwood Ave, Tulare, CA 93274",1960 E Sandalwood Ave,Tulare,CA,93274,4,2,"1,921","6,499 sqft",6499.0,SingleFamily,2006,2 Parking spaces,null,"$386,980","$1,794/mo",$193,https://www.zillow.com/homedetails/1960-E-Sandalwood-Ave-Tulare-CA-93274/69313396_zpid/
"$580,000","506 Pointe Vista Ct, Corona, CA 92881",506 Pointe Vista Ct,Corona,CA,92881,4,3,"1,732","7,841 sqft",7841.0,Single Family Residence,1997,2 Attached Garage spaces,$62 monthly,"$707,700","$2,705/mo",$335,https://www.zillow.com/homedetails/506-Pointe-Vista-Ct-Corona-CA-92881/17768665_zpid/
"$600,000","445 Champlain Dr, Claremont, CA 91711",445 Champlain Dr,Claremont,CA,91711,3,2,"1,580","6,658 sqft",6658.0,Single Family Residence,1974,2 Attached Garage spaces,$295 monthly,"$625,900","$2,847/mo",$380,https://www.zillow.com/homedetails/445-Champlain-Dr-Claremont-CA-91711/21499123_zpid/
"$1,100,000","165 Suncrest Dr, Soquel, CA 95073",165 Suncrest Dr,Soquel,CA,95073,4,4,"2,859",1.41 Acres,61419.6,SingleFamily,1981,Garage - Attached,null,null,null,$385,https://www.zillow.com/homedetails/165-Suncrest-Dr-Soquel-CA-95073/16163625_zpid/
"$479,900","30548 Ticonderoga Ct, Murrieta, CA 92563",30548 Ticonderoga Ct,Murrieta,CA,92563,3,3,"1,864","3,484 sqft",3484.0,SingleFamily,2018,2 Parking spaces,$113 monthly,"$491,762","$2,763/mo",$257,https://www.zillow.com/homedetails/30548-Ticonderoga-Ct-Murrieta-CA-92563/250563547_zpid/
"$85,000","720 Birch St, Westwood, CA 96137",720 Birch St,Westwood,CA,96137,2,1,990,"10,018 sqft",10018.0,SingleFamily,1930,0 spaces,null,"$83,010","$1,474/mo",$86,https://www.zillow.com/homedetails/720-Birch-St-Westwood-CA-96137/19110621_zpid/
"$815,000","14833 Calpella St, La Mirada, CA 90638",14833 Calpella St,LaMirada,CA,90638,3,2,"1,844","8,055 sqft",8055.0,Single Family Residence,1959,2 Garage spaces,null,"$844,600","$3,267/mo",$442,https://www.zillow.com/homedetails/14833-Calpella-St-La-Mirada-CA-90638/21397884_zpid/
"$8,995,000","5115 Encino Ave, Encino, CA 91316",5115 Encino Ave,Encino,CA,91316,7,8,"9,000",0.65 Acres,28314.0,Single Family Residence,2021,3 Attached Garage spaces,null,"$2,891,000","$5,899/mo",$999,https://www.zillow.com/homedetails/5115-Encino-Ave-Encino-CA-91316/19978438_zpid/
"$275,000","13456 Pauhaska Rd, Apple Valley, CA 92308",13456 Pauhaska Rd,AppleValley,CA,92308,3,2,"1,373",0.71 Acres,30927.6,Single Family Residence,1990,2 Attached Garage spaces,null,"$314,200","$1,696/mo",$200,https://www.zillow.com/homedetails/13456-Pauhaska-Rd-Apple-Valley-CA-92308/17461450_zpid/
"$449,000","2341 Benita Dr, Rancho Cordova, CA 95670",2341 Benita Dr,RanchoCordova,CA,95670,4,3,"2,027","7,440 sqft",7440.0,SingleFamily,1959,Garage - Attached,null,"$461,200","$2,650/mo",$222,https://www.zillow.com/homedetails/2341-Benita-Dr-Rancho-Cordova-CA-95670/25860861_zpid/
"$1,078,000","1788 La Paz Rd, Altadena, CA 91001",1788 La Paz Rd,Altadena,CA,91001,2,2,"1,389","7,101 sqft",7101.0,Single Family Residence,1927,2 Garage spaces,null,"$1,279,000","$3,463/mo",$776,https://www.zillow.com/homedetails/1788-La-Paz-Rd-Altadena-CA-91001/20918796_zpid/
"$1,475,000","13771 Holt Ave, Santa Ana, CA 92705",13771 Holt Ave,SantaAna,CA,92705,4,3,"2,856","10,094 sqft",10094.0,Single Family Residence,1963,2 Attached Garage spaces,null,"$1,383,100","$4,814/mo",$516,https://www.zillow.com/homedetails/13771-Holt-Ave-Santa-Ana-CA-92705/25440364_zpid/
"$535,000","1435 Worland St, Beaumont, CA 92223",1435 Worland St,Beaumont,CA,92223,4,3,"2,255","8,712 sqft",8712.0,Single Family Residence,2016,3 Attached Garage spaces,$120 monthly,"$553,900","$2,746/mo",$237,https://www.zillow.com/homedetails/1435-Worland-St-Beaumont-CA-92223/145635423_zpid/
"$889,000","161 Kearney Ave, Sonoma, CA 95476",161 Kearney Ave,Sonoma,CA,95476,3,2,"1,795","9,328 sqft",9328.0,Single Family Residence,1980,2 Attached Garage spaces,null,"$896,100","$3,699/mo",$495,https://www.zillow.com/homedetails/161-Kearney-Ave-Sonoma-CA-95476/15800348_zpid/
"$355,000","2300 September Dr, Bakersfield, CA 93313",2300 September Dr,Bakersfield,CA,93313,3,2,"1,850","6,970 sqft",6970.0,Single Family Residence,2008,2 Garage spaces,null,"$331,400","$1,950/mo",$192,https://www.zillow.com/homedetails/2300-September-Dr-Bakersfield-CA-93313/83902023_zpid/
"$369,900","4808 L Pkwy, Sacramento, CA 95823",4808 L Pkwy,Sacramento,CA,95823,3,2,"1,092",0.25 Acres,10890.0,SingleFamily,1956,2 Covered Parking spaces,null,"$378,800","$1,895/mo",$339,https://www.zillow.com/homedetails/4808-L-Pkwy-Sacramento-CA-95823/25850717_zpid/
"$679,000","9403 Idle Way, Millville, CA 96062",9403 Idle Way,Millville,CA,96062,3,3,"3,387",5.29 Acres,230432.4,SingleFamily,1972,Garage - Detached,null,"$679,004","$2,162/mo",$200,https://www.zillow.com/homedetails/9403-Idle-Way-Millville-CA-96062/15215505_zpid/
"$499,000","13426 Red Dog Rd, Nevada City, CA 95959",13426 Red Dog Rd,NevadaCity,CA,95959,3,3,"1,850",0.57 Acres,24829.2,SingleFamily,1976,4 Covered Parking spaces,null,"$513,533","$2,947/mo",$270,https://www.zillow.com/homedetails/13426-Red-Dog-Rd-Nevada-City-CA-95959/19449683_zpid/
"$599,000","15416 Gridley Rd, Norwalk, CA 90650",15416 Gridley Rd,Norwalk,CA,90650,4,2,"1,426",No Data,null,Detached,1947,2 Garage spaces,null,"$620,200","$2,999/mo",$420,https://www.zillow.com/homedetails/15416-Gridley-Rd-Norwalk-CA-90650/21406356_zpid/
"$485,000","1144 Jasper Ct, Manteca, CA 95336",1144 Jasper Ct,Manteca,CA,95336,3,2,"1,558",0.27 Acres,11761.2,SingleFamily,1986,2 Covered Parking spaces,null,"$526,900","$2,499/mo",$311,https://www.zillow.com/homedetails/1144-Jasper-Ct-Manteca-CA-95336/15357694_zpid/
"$380,000","24761 Deertrail Dr, Tehachapi, CA 93561",24761 Deertrail Dr,Tehachapi,CA,93561,3,4,"2,562",5.03 Acres,219106.8,SingleFamily,1980,2 Parking spaces,$133 monthly,"$380,002","$2,264/mo",$148,https://www.zillow.com/homedetails/24761-Deertrail-Dr-Tehachapi-CA-93561/18982290_zpid/
"$399,000","37520 Rose St, Palmdale, CA 93552",37520 Rose St,Palmdale,CA,93552,4,3,"1,767","7,602 sqft",7602.0,Single Family Residence,1988,2 Attached Garage spaces,null,null,null,$226,https://www.zillow.com/homedetails/37520-Rose-St-Palmdale-CA-93552/20257993_zpid/
"$350,000","13335 Monterey Way, Victorville, CA 92392",13335 Monterey Way,Victorville,CA,92392,4,2,"1,512","4,791 sqft",4791.0,Single Family Residence,1996,2 Attached Garage spaces,null,"$354,500","$1,999/mo",$231,https://www.zillow.com/homedetails/13335-Monterey-Way-Victorville-CA-92392/17635651_zpid/
"$309,000","13123 E Ave W, Pearblossom, CA 93553",13123 E Ave W,Pearblossom,CA,93553,3,2,"1,330",0.39 Acres,16988.4,Single Family Residence,1957,2 Attached Garage spaces,null,null,null,$232,https://www.zillow.com/homedetails/13123-E-Ave-W-Pearblossom-CA-93553/20261644_zpid/
"$299,000","3759 Alma Ave, Redding, CA 96002",3759 Alma Ave,Redding,CA,96002,3,2,"1,176","10,018 sqft",10018.0,SingleFamily,1964,2 Parking spaces,null,"$306,726","$1,500/mo",$254,https://www.zillow.com/homedetails/3759-Alma-Ave-Redding-CA-96002/15218292_zpid/
"$875,000","114 Mackie Dr, Martinez, CA 94553",114 Mackie Dr,Martinez,CA,94553,2,2,"1,448",0.27 Acres,11761.2,Detached,1966,2 Carport spaces,null,"$896,900","$3,086/mo",$604,https://www.zillow.com/homedetails/114-Mackie-Dr-Martinez-CA-94553/18400197_zpid/
"$48,000,000","1380 Mockingbird Pl, West Hollywood, CA 90069",1380 Mockingbird Pl,WestHollywood,CA,90069,6,11,"14,000",1.54 Acres,67082.4,Single Family Residence,1922,4 Garage spaces,null,"$44,075,471","$46,477/mo","$3,429",https://www.zillow.com/homedetails/1380-Mockingbird-Pl-West-Hollywood-CA-90069/2076479866_zpid/
"$320,000","20585 Powder Horn Rd, Hidden Valley Lake, CA 95467",20585 Powder Horn Rd,HiddenValleyLake,CA,95467,3,2,"1,314",0.30 Acres,13068.0,Single Family Residence,1975,"Driveway, RV Access/Parking, Uncovered",$235 monthly,"$323,200","$2,114/mo",$244,https://www.zillow.com/homedetails/20585-Powder-Horn-Rd-Hidden-Valley-Lake-CA-95467/19103070_zpid/
"$240,000","8636 Oleander Ave, California City, CA 93505",8636 Oleander Ave,CaliforniaCity,CA,93505,3,2,"1,320","10,018 sqft",10018.0,Single Family Residence,1991,2 Attached Garage spaces,null,"$216,900","$1,394/mo",$182,https://www.zillow.com/homedetails/8636-Oleander-Ave-California-City-CA-93505/18961815_zpid/
"$649,999","6605 Bamboo Pl, Rancho Cucamonga, CA 91739",6605 Bamboo Pl,RanchoCucamonga,CA,91739,4,2,"1,145","6,160 sqft",6160.0,Single Family Residence,1985,2 Attached Garage spaces,null,"$682,400","$2,614/mo",$568,https://www.zillow.com/homedetails/6605-Bamboo-Pl-Rancho-Cucamonga-CA-91739/59199033_zpid/
"$899,000","1234 Calle Bandera, San Dimas, CA 91773",1234 Calle Bandera,SanDimas,CA,91773,4,3,"2,215","8,932 sqft",8932.0,Single Family Residence,1979,2 Attached Garage spaces,$42 monthly,"$975,000","$3,200/mo",$406,https://www.zillow.com/homedetails/1234-Calle-Bandera-San-Dimas-CA-91773/21534297_zpid/
"$365,000","2836 E Parker Ct, Visalia, CA 93292",2836 E Parker Ct,Visalia,CA,93292,3,2,"1,880","7,501 sqft",7501.0,SingleFamily,1990,2 Parking spaces,null,"$384,569","$1,895/mo",$194,https://www.zillow.com/homedetails/2836-E-Parker-Ct-Visalia-CA-93292/16242696_zpid/
"$415,000","2566 La Cumbra Cir, Rancho Cordova, CA 95670",2566 La Cumbra Cir,RanchoCordova,CA,95670,3,2,"1,165","7,061 sqft",7061.0,SingleFamily,1962,2 Covered Parking spaces,null,"$433,863","$2,145/mo",$356,https://www.zillow.com/homedetails/2566-La-Cumbra-Cir-Rancho-Cordova-CA-95670/25894061_zpid/
"$547,000","642 Beck Creek Ln, Patterson, CA 95363",642 Beck Creek Ln,Patterson,CA,95363,5,4,"3,167","6,298 sqft",6298.0,SingleFamily,2004,3 Covered Parking spaces,null,"$611,626","$2,728/mo",$173,https://www.zillow.com/homedetails/642-Beck-Creek-Ln-Patterson-CA-95363/63321915_zpid/
"$580,000","804 Somerset Way, Patterson, CA 95363",804 Somerset Way,Patterson,CA,95363,4,3,"2,491","6,473 sqft",6473.0,Loft,2020,2 Covered Parking spaces,null,null,null,$233,https://www.zillow.com/homedetails/804-Somerset-Way-Patterson-CA-95363/2078296603_zpid/
"$549,000","403 Eagle Crest Way, Rio Vista, CA 94571",403 Eagle Crest Way,RioVista,CA,94571,2,3,"2,528","9,419 sqft",9419.0,Detached,2013,3 Attached Garage spaces,$223 monthly,"$596,700","$3,499/mo",$217,https://www.zillow.com/homedetails/403-Eagle-Crest-Way-Rio-Vista-CA-94571/111925732_zpid/
