Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
"$400,000","99 Ocean Ave, Grass Valley, CA 95945",99 Ocean Ave,GrassValley,CA,95945,2,1,"1,166","6,098 sqft",6098.0,SingleFamily,1973,0 spaces,null,"$402,600","$1,964/mo",$343,https://www.zillow.com/homedetails/99-Ocean-Ave-Grass-Valley-CA-95945/19444149_zpid/
"$549,000","16803 Forrest Ave, Guinda, CA 95637",16803 Forrest Ave,Guinda,CA,95637,2,2,"2,673",1.42 Acres,61855.2,SingleFamily,2005,Garage - Detached,null,"$549,002","$2,600/mo",$205,https://www.zillow.com/homedetails/16803-Forrest-Ave-Guinda-CA-95637/72557879_zpid/
"$415,000","130 Holly St, Willits, CA 95490",130 Holly St,Willits,CA,95490,3,2,"1,300",0.25 Acres,10890.0,SingleFamily,1970,0 spaces,null,"$345,100","$2,070/mo",$319,https://www.zillow.com/homedetails/130-Holly-St-Willits-CA-95490/19200133_zpid/
"$625,000","43644 57th St W, Lancaster, CA 93536",43644 57th St W,Lancaster,CA,93536,4,3,"2,313","8,013 sqft",8013.0,SingleFamily,2005,0 spaces,null,"$496,300","$2,949/mo",$270,https://www.zillow.com/homedetails/43644-57th-St-W-Lancaster-CA-93536/68984708_zpid/
"$630,000","8077 Sunset Ave, Fair Oaks, CA 95628",8077 Sunset Ave,FairOaks,CA,95628,3,3,"2,428",0.28 Acres,12196.8,SingleFamily,2007,Off-street,null,"$609,900","$3,054/mo",$259,https://www.zillow.com/homedetails/8077-Sunset-Ave-Fair-Oaks-CA-95628/79567426_zpid/
"$475,000","32205 Avenue E, Yucaipa, CA 92399",32205 Avenue E,Yucaipa,CA,92399,3,1,"1,200",1.40 Acres,60984.0,SingleFamily,1930,3 Parking spaces,null,"$430,700","$2,400/mo",$396,https://www.zillow.com/homedetails/32205-Avenue-E-Yucaipa-CA-92399/17378653_zpid/
"$395,000","2316 S Eunice Ave, Fresno, CA 93706",2316 S Eunice Ave,Fresno,CA,93706,6,3,"2,350","6,795 sqft",6795.0,SingleFamily,1925,6 Parking spaces,null,"$237,900","$1,858/mo",$168,https://www.zillow.com/homedetails/2316-S-Eunice-Ave-Fresno-CA-93706/18769775_zpid/
"Est. $285,200","49965 Fuller Ave, Cabazon, CA 92230",49965 Fuller Ave,Cabazon,CA,92230,3,1,"1,120","6,098 sqft",6098.0,SingleFamily,1979,Garage - Attached,null,null,null,null,https://www.zillow.com/homedetails/49965-Fuller-Ave-Cabazon-CA-92230/18032754_zpid/
"$1,549,000","2019 Mendocino Blvd, San Diego, CA 92107",2019 Mendocino Blvd,SanDiego,CA,92107,4,3,"2,100",0.25 Acres,10890.0,SingleFamily,1972,2 Parking spaces,null,"$1,450,500","$6,449/mo",$738,https://www.zillow.com/homedetails/2019-Mendocino-Blvd-San-Diego-CA-92107/16963835_zpid/
"$1,250,000","23663 Meadcliff Pl, Diamond Bar, CA 91765",23663 Meadcliff Pl,DiamondBar,CA,91765,4,3,"2,810",0.32 Acres,13939.2,SingleFamily,1987,3 Parking spaces,null,"$1,076,500","$4,125/mo",$445,https://www.zillow.com/homedetails/23663-Meadcliff-Pl-Diamond-Bar-CA-91765/21489201_zpid/
"$793,150","2560 E Via Cesena Dr, Clovis, CA 93619",2560 E Via Cesena Dr,Clovis,CA,93619,4,3,"3,145","7,502 sqft",7502.0,SingleFamily,2021,2 Parking spaces,null,null,null,$252,https://www.zillow.com/homedetails/2560-E-Via-Cesena-Dr-Clovis-CA-93619/2069430179_zpid/
"$560,000","15130 Wright Ct, Fontana, CA 92336",15130 Wright Ct,Fontana,CA,92336,4,2,"2,355","6,534 sqft",6534.0,SingleFamily,1998,2 Parking spaces,null,"$573,500","$2,796/mo",$238,https://www.zillow.com/homedetails/15130-Wright-Ct-Fontana-CA-92336/17315782_zpid/
"$3,299,000","220 Hawthorne Ave, Larkspur, CA 94939",220 Hawthorne Ave,Larkspur,CA,94939,4,4,"2,890","8,755 sqft",8755.0,SingleFamily,1908,8 Parking spaces,null,"$2,870,800","$9,499/mo","$1,142",https://www.zillow.com/homedetails/220-Hawthorne-Ave-Larkspur-CA-94939/92963048_zpid/
"$752,403","11114 N Via Rimini Dr, Clovis, CA 93619",11114 N Via Rimini Dr,Clovis,CA,93619,3,3,"2,652","6,780 sqft",6780.0,SingleFamily,2021,3 Parking spaces,null,null,null,$284,https://www.zillow.com/homedetails/11114-N-Via-Rimini-Dr-Clovis-CA-93619/2069430176_zpid/
"$299,950","719 S 19th St, Kerman, CA 93630",719 S 19th St,Kerman,CA,93630,4,2,"1,322","7,840 sqft",7840.0,SingleFamily,2011,3 Parking spaces,null,"$307,719","$1,694/mo",$227,https://www.zillow.com/homedetails/719-S-19th-St-Kerman-CA-93630/111412736_zpid/
"$1,700,000","22501 Birchcrest, Mission Viejo, CA 92692",22501 Birchcrest,MissionViejo,CA,92692,5,5,"3,600","8,000 sqft",8000.0,SingleFamily,1990,Garage - Attached,$200 monthly,"$1,548,700","$6,499/mo",$472,https://www.zillow.com/homedetails/22501-Birchcrest-Mission-Viejo-CA-92692/25614639_zpid/
"$225,000","4615 Harrison Ave, Redding, CA 96001",4615 Harrison Ave,Redding,CA,96001,2,1,820,"5,967 sqft",5967.0,SingleFamily,1948,Garage - Attached,null,"$212,200","$1,252/mo",$274,https://www.zillow.com/homedetails/4615-Harrison-Ave-Redding-CA-96001/15233770_zpid/
"$410,000","44702 Foxboro Ct, Lancaster, CA 93535",44702 Foxboro Ct,Lancaster,CA,93535,4,2,"1,899","6,294 sqft",6294.0,SingleFamily,1990,4 Parking spaces,null,"$387,200","$2,350/mo",$216,https://www.zillow.com/homedetails/44702-Foxboro-Ct-Lancaster-CA-93535/20299517_zpid/
"$375,950","24228 Golf Links Dr, Mi Wuk Village, CA 95383",24228 Golf Links Dr,MiWukVillage,CA,95383,3,3,"1,968",0.28 Acres,12196.8,SingleFamily,1977,0 spaces,null,"$433,300","$2,534/mo",$191,https://www.zillow.com/homedetails/24228-Golf-Links-Dr-Mi-Wuk-Village-CA-95383/242163946_zpid/
"$640,000","11590 Jurupa Rd, Mira Loma, CA 91752",11590 Jurupa Rd,MiraLoma,CA,91752,4,2,"1,749",0.46 Acres,20037.6,SingleFamily,1979,2 Parking spaces,null,"$612,800","$2,900/mo",$366,https://www.zillow.com/homedetails/11590-Jurupa-Rd-Mira-Loma-CA-91752/17814396_zpid/
"$575,000","4708 W Hurley Ave, Visalia, CA 93291",4708 W Hurley Ave,Visalia,CA,93291,3,2,"2,497",0.50 Acres,21780.0,SingleFamily,1945,"Carport, Garage - Attached, On-street",null,"$424,600","$2,100/mo",$230,https://www.zillow.com/homedetails/4708-W-Hurley-Ave-Visalia-CA-93291/16229139_zpid/
"$420,000","2320 Walbridge St, Red Bluff, CA 96080",2320 Walbridge St,RedBluff,CA,96080,3,3,"1,600",3.11 Acres,135471.6,SingleFamily,1988,"Garage - Detached, Off-street, On-street",null,"$404,700","$1,995/mo",$263,https://www.zillow.com/homedetails/2320-Walbridge-St-Red-Bluff-CA-96080/16170082_zpid/
