Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,3,Irvine,"73 Woodleaf, Irvine, CA 92614",$489/month,Condo,https://www.zillow.com/homedetails/73-Woodleaf-Irvine-CA-92614/25738380_zpid/,Condo for sale,null,null,1 space,"$522,900","$2,845/mo","1,284",CA,73 Woodleaf,1982,"$522,185",$407,92614
3,4,MissionViejo,"27922 Muirfield #184, Mission Viejo, CA 92692",$281/month,Condo,https://www.zillow.com/homedetails/27922-Muirfield-184-Mission-Viejo-CA-92692/25736105_zpid/,Condo for sale,null,null,3 spaces,"$761,900","$3,732/mo","2,409",CA,27922 Muirfield #184,1994,"$761,905",$316,92692
3,3,SanDiego,"10382 Wateridge Cir UNIT 345, San Diego, CA 92121",$250/month,Condo,https://www.zillow.com/homedetails/10382-Wateridge-Cir-UNIT-345-San-Diego-CA-92121/16834076_zpid/,Condo for sale,null,null,2 spaces,"$650,000","$3,000/mo","1,390",CA,10382 Wateridge Cir UNIT 345,2000,"$650,925",$468,92121
1,1,SanDiego,"8332 Regents Rd UNIT D, San Diego, CA 92122",$434/month,Condo,https://www.zillow.com/homedetails/8332-Regents-Rd-UNIT-D-San-Diego-CA-92122/16836435_zpid/,Condo for sale,null,null,1 space,"$320,000","$1,895/mo",687,CA,8332 Regents Rd UNIT D,1981,"$315,490",$466,92122
2,2,PalmDesert,"76511 Daffodil Dr, Palm Desert, CA 92211",$664/month,Condo,https://www.zillow.com/homedetails/76511-Daffodil-Dr-Palm-Desert-CA-92211/18082006_zpid/,Condo for sale,null,null,2 spaces,"$290,000","$2,600/mo","1,650",CA,76511 Daffodil Dr,1984,"$273,896",$176,92211
3,3,Claremont,"864 E Baseline Rd, Claremont, CA 91711",$233/month,Condo,https://www.zillow.com/homedetails/864-E-Baseline-Rd-Claremont-CA-91711/124212397_zpid/,Condo for sale,null,null,2 spaces,"$481,900","$2,500/mo","1,384",CA,864 E Baseline Rd,2014,"$485,075",$348,91711
1,1,Oceanside,"999 N Pacific St UNIT G204, Oceanside, CA 92054",$590/month,Condo,https://www.zillow.com/homedetails/999-N-Pacific-St-UNIT-G204-Oceanside-CA-92054/52504164_zpid/,Condo for sale,null,null,1 space,"$425,000","$2,295/mo",762,CA,999 N Pacific St UNIT G204,1981,"$422,050",$558,92054
2,2,SanDiego,"6401 Mount Ada Rd UNIT 142, San Diego, CA 92111",$275/month,Condo,https://www.zillow.com/homedetails/6401-Mount-Ada-Rd-UNIT-142-San-Diego-CA-92111/64877931_zpid/,Condo for sale,null,null,2 spaces,"$345,000","$2,025/mo",866,CA,6401 Mount Ada Rd UNIT 142,1972,"$345,089",$398,92111
2,3,SanDiego,"11824 Bernardo Ter UNIT A, San Diego, CA 92128",$450/month,Condo,https://www.zillow.com/homedetails/11824-Bernardo-Ter-UNIT-A-San-Diego-CA-92128/16742374_zpid/,Condo for sale,null,null,2 spaces,"$487,900","$2,600/mo","1,418",CA,11824 Bernardo Ter UNIT A,1979,"$492,263",$344,92128
2,2,PalmSprings,"2403 Los Patos Dr, Palm Springs, CA 92264",$360/month,Condo,https://www.zillow.com/homedetails/2403-Los-Patos-Dr-Palm-Springs-CA-92264/18136153_zpid/,Condo for sale,null,null,2 spaces,"$260,000","$1,695/mo","1,066",CA,2403 Los Patos Dr,1974,"$258,483",$244,92264
