Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
4,3,LosAngeles,"3935 E Cesar E Chavez Ave, Los Angeles, CA 90063",None,Multi Family,https://www.zillow.com/homedetails/3935-E-Cesar-E-Chavez-Ave-Los-Angeles-CA-90063/135576177_zpid/,Apartment for sale,null,null,No Data,"$535,000","$2,200/mo","1,645",CA,3935 E Cesar E Chavez Ave,1930,"$546,325",$325,90063
4,6,Downey,"11638 Coldbrook Ave, Downey, CA 90241",null,Multi Family,https://www.zillow.com/homedetails/11638-Coldbrook-Ave-Downey-CA-90241/21065877_zpid/,Apartment for sale,null,null,8 spaces,"$1,237,000","$2,000/mo","3,186",CA,11638 Coldbrook Ave,1950,"$1,228,223",$388,90241
4,5,Selma,"2611 Logan St, Selma, CA 93662",null,Multi Family,https://www.zillow.com/homedetails/2611-Logan-St-Selma-CA-93662/82783574_zpid/,Apartment for sale,null,null,1 space,"$275,000",$975/mo,"2,291",CA,2611 Logan St,1950,"$275,001",$120,93662
9,13,ElMonte,"3908 Cogswell Rd, El Monte, CA 91732",None,Multi Family,https://www.zillow.com/homedetails/3908-Cogswell-Rd-El-Monte-CA-91732/21599492_zpid/,Apartment for sale,null,null,8 spaces,"$2,000,000","$2,500/mo","4,915",CA,3908 Cogswell Rd,2013,"$1,963,164",$407,91732
3,6,Portola,"260 Utah St, Portola, CA 96122",null,Multi Family,https://www.zillow.com/homedetails/260-Utah-St-Portola-CA-96122/299993651_zpid/,Apartment for sale,null,null,No Data,"$378,000","$1,850/mo","2,313",CA,260 Utah St,1932,"$360,625",$163,96122
2,4,LosAngeles,"1631 E 88th St, Los Angeles, CA 90002",None,Multi Family,https://www.zillow.com/homedetails/1631-E-88th-St-Los-Angeles-CA-90002/20954489_zpid/,Apartment for sale,null,null,No Data,"$525,000","$2,600/mo","1,623",CA,1631 E 88th St,1958,"$529,775",$323,90002
4,5,Oakland,"1440 Linden St, Oakland, CA 94607",null,Multi Family,https://www.zillow.com/homedetails/1440-Linden-St-Oakland-CA-94607/299071659_zpid/,Apartment for sale,null,null,4 spaces,"$1,050,000",null,"2,351",CA,1440 Linden St,1890,null,$447,94607
8,6,WestHollywood,"1336 N Fairfax Ave, West Hollywood, CA 90046",null,Multi Family,https://www.zillow.com/homedetails/1336-N-Fairfax-Ave-West-Hollywood-CA-90046/20795529_zpid/,Apartment for sale,null,null,4 spaces,"$3,099,000","$2,900/mo","4,880",CA,1336 N Fairfax Ave,2006,"$3,046,118",$635,90046
2,2,HermosaBeach,"703 Longfellow Ave, Hermosa Beach, CA 90254",None,Multi Family,https://www.zillow.com/homedetails/703-Longfellow-Ave-Hermosa-Beach-CA-90254/20416508_zpid/,Apartment for sale,null,null,4 spaces,"$1,975,000","$4,700/mo","1,344",CA,703 Longfellow Ave,1955,"$1,975,000","$1,469",90254
5,5,LosAngeles,"1027 W 110th St, Los Angeles, CA 90044",null,Multi Family,https://www.zillow.com/homedetails/1027-W-110th-St-Los-Angeles-CA-90044/20972971_zpid/,Apartment for sale,null,null,4 spaces,"$905,000","$2,500/mo","2,523",CA,1027 W 110th St,1954,"$906,490",$359,90044
--,22,Sacramento,"2713 T St, Sacramento, CA 95816",None,Multi Family,https://www.zillow.com/homedetails/2713-T-St-Sacramento-CA-95816/2080508940_zpid/,Apartment for sale,null,null,No Data,"$3,700,000",null,--,CA,2713 T St,1952,null,No Data,95816
3,5,SantaAna,"2129 S Center St, Santa Ana, CA 92704",null,Multi Family,https://www.zillow.com/homedetails/2129-S-Center-St-Santa-Ana-CA-92704/25455125_zpid/,Apartment for sale,null,null,3 spaces,"$800,000","$1,950/mo","2,820",CA,2129 S Center St,1960,"$807,956",$284,92704
--,Studio,ElCerrito,"802 Lexington Ave, El Cerrito, CA 94530",null,Multi Family,https://www.zillow.com/homedetails/802-Lexington-Ave-El-Cerrito-CA-94530/2080746113_zpid/,Apartment for sale,null,null,4 spaces,"$1,295,000",null,"2,609",CA,802 Lexington Ave,1938,null,$496,94530
