2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,1 bed,Studio,4 beds
2995.0,San Jose,Townhomes,CA,95126,"583 Auzerais Ave San Jose, CA 95126",https://www.apartments.com/583-auzerais-ave-san-jose-ca/gk7734w/,2.5 baths,"1,100 sq ft","1,100",,,,
,Walnut Creek,Townhomes,CA,94597,"44 Iron Horse Ln Walnut Creek, CA 94597",https://www.apartments.com/44-iron-horse-ln-walnut-creek-ca/xfn2qzq/,2 baths,"1,144 sq ft","1,144",,2950.0,,
,Lawndale,Townhomes,CA,90260,"4131 W 160th St Lawndale, CA 90260",https://www.apartments.com/4131-w-160th-st-lawndale-ca/gcqv2yz/,3 baths,"1,400 sq ft","1,400",3500.0,,,
2200.0,Sherman Oaks,Townhomes,CA,91423,"4931 Coldwater Canyon Ave Sherman Oaks, CA 91423",https://www.apartments.com/4931-coldwater-canyon-ave-sherman-oaks-ca/tt7g8lc/,1 bath,"1,100 sq ft","1,100",,,,
3390.0,San Mateo,Townhomes,CA,94403,"8 Paulson Ct San Mateo, CA 94403",https://www.apartments.com/8-paulson-ct-san-mateo-ca/demkbek/,1 bath,"1,300 sq ft","1,300",,,,
,San Jose,Townhomes,CA,95111,"2749 Ferrara Cir San Jose, CA 95111",https://www.apartments.com/2749-ferrara-cir-san-jose-ca/d58xhxj/,3.5 baths,"2,042 sq ft","2,042",,,,4100.0
2900.0,Mountain View,Townhomes,CA,94043,"2546 W Middlefield Rd Mountain View, CA 94043",https://www.apartments.com/2546-w-middlefield-rd-mountain-view-ca/9fm37l4/,1.5 baths,969 sq ft,969,,,,
,San Ramon,Townhomes,CA,94582,"1030 S Monarch Rd San Ramon, CA 94582",https://www.apartments.com/1030-s-monarch-rd-san-ramon-ca/wjzr85h/,2.5 baths,"1,763 sq ft","1,763",3600.0,,,
,Los Angeles,Townhomes,CA,90061,"11011 S Broadway Los Angeles, CA 90061",https://www.apartments.com/11011-s-broadway-los-angeles-ca/yet9g4t/,3 baths,"1,500 sq ft","1,500",,,,2900.0
,West Sacramento,Townhomes,CA,95691,"701 Pecan St West Sacramento, CA 95691",https://www.apartments.com/701-pecan-st-west-sacramento-ca/2b0tq68/,2 baths,"1,738 sq ft","1,738",2550.0,,,
,San Leandro,Townhomes,CA,94578,"595 Cape Cod Dr San Leandro, CA 94578",https://www.apartments.com/595-cape-cod-dr-san-leandro-ca/0snlpz2/,1 bath,625 sq ft,625,,1700.0,,
5500.0,Los Angeles,Townhomes,CA,90034,"3638 Hughes Ave Los Angeles, CA 90034",https://www.apartments.com/3638-hughes-ave-los-angeles-ca/5etjcfq/,2.5 baths,"1,500 sq ft","1,500",,,,
3200.0,Palo Alto,Townhomes,CA,94301,"1661 Alma St Palo Alto, CA 94301",https://www.apartments.com/1661-alma-st-palo-alto-ca/kh3gg9b/,1.5 baths,960 sq ft,960,,,,
,Venice,Townhomes,CA,90291,"422 Sherman Canal Venice, CA 90291",https://www.apartments.com/422-sherman-canal-venice-ca/mh1r8ej/,1 bath,550 sq ft,550,,5000.0,,
1350.0,California City,Townhomes,CA,93505,"9633 N Loop Blvd California City, CA 93505",https://www.apartments.com/9633-n-loop-blvd-california-city-ca/507jwlp/,1 bath,820 sq ft,820,,,,
,San Jose,Townhomes,CA,95132,"1925 Vinedale Sq San Jose, CA 95132",https://www.apartments.com/1925-vinedale-sq-san-jose-ca/c3r8hsd/,1.5 baths,"1,160 sq ft","1,160",2850.0,,,
,Santa Monica,Townhomes,CA,90402,"611 9th St Santa Monica, CA 90402",https://www.apartments.com/611-9th-st-santa-monica-ca/w7qhvrl/,2.5 baths,"1,380 sq ft","1,380",4250.0,,,
,Los Gatos,Townhomes,CA,95032,"109 Oakland Plz Los Gatos, CA 95032",https://www.apartments.com/109-oakland-plz-los-gatos-ca/27cezw8/,2.5 baths,"2,302 sq ft","2,302",,,,4950.0
,San Jose,Townhomes,CA,95139,"7159 Calero Hills Ct San Jose, CA 95139",https://www.apartments.com/7159-calero-hills-ct-san-jose-ca/3mw4tzf/,1 bath,250 sq ft,250,,1045.0,,
6500.0,Manhattan Beach,Townhomes,CA,90266,"4218 Ocean Dr Manhattan Beach, CA 90266",https://www.apartments.com/4218-ocean-dr-manhattan-beach-ca/lr7y6vd/,2.5 baths,"1,396 sq ft","1,396",,,,
,Los Angeles,Townhomes,CA,90035,"1109 Glenville Dr Los Angeles, CA 90035",https://www.apartments.com/1109-glenville-dr-los-angeles-ca/zqyk7gz/,1.5 baths,"1,600 sq ft","1,600",4500.0,,,
2895.0,Los Angeles,Townhomes,CA,90064,"2455 Corinth Ave Los Angeles, CA 90064",https://www.apartments.com/2455-corinth-ave-los-angeles-ca/hvsdsf1/,2 baths,"1,050 sq ft","1,050",,,,
5700.0,Santa Monica,Townhomes,CA,90403,"824 16th St Santa Monica, CA 90403",https://www.apartments.com/824-16th-st-santa-monica-ca/tlr65sc/,2.5 baths,"1,444 sq ft","1,444",,,,
2600.0,San Anselmo,Townhomes,CA,94960,"105 Sunnyside Ave San Anselmo, CA 94960",https://www.apartments.com/105-sunnyside-ave-san-anselmo-ca/x049wsp/,1 bath,"1,100 sq ft","1,100",,,,
,Redondo Beach,Townhomes,CA,90278,"2209 Huntington Ln Redondo Beach, CA 90278",https://www.apartments.com/2209-huntington-ln-redondo-beach-ca/1xmfm26/,2.5 baths,"1,818 sq ft","1,818",3850.0,,,
4200.0,Redwood City,Townhomes,CA,94063,"97 Wayne Ct Redwood City, CA 94063",https://www.apartments.com/97-wayne-ct-redwood-city-ca/7r575ny/,2 baths,"1,245 sq ft","1,245",,,,
4250.0,Redwood City,Townhomes,CA,94065,"875 Boardwalk Plz Redwood City, CA 94065",https://www.apartments.com/875-boardwalk-plz-redwood-city-ca/tg4txjc/,2.5 baths,"1,110 sq ft","1,110",,,,
,Milpitas,Townhomes,CA,95035,"1206 Nestwood Way Milpitas, CA 95035",https://www.apartments.com/1206-nestwood-way-milpitas-ca/tz6vjg9/,4 baths,"1,788 sq ft","1,788",3800.0,,,
2695.0,San Jose,Townhomes,CA,95118,"1439 Kooser Rd San Jose, CA 95118",https://www.apartments.com/1439-kooser-rd-san-jose-ca/2vrc6vc/,1 bath,"1,000 sq ft","1,000",,,,
,Los Angeles,Townhomes,CA,91335,"19200 Hamlin St Los Angeles, CA 91335",https://www.apartments.com/19200-hamlin-st-los-angeles-ca/kb2df19/,2 baths,"1,300 sq ft","1,300",3500.0,,,
,Torrance,Townhomes,CA,90504,"18535 Ashley Ave Torrance, CA 90504",https://www.apartments.com/18535-ashley-ave-torrance-ca/k55ykyc/,3 baths,"2,278 sq ft","2,278",,,,4950.0
,Los Angeles,Townhomes,CA,90039,"3040 Atwater Ave Los Angeles, CA 90039",https://www.apartments.com/3040-atwater-ave-los-angeles-ca/dlrwf7j/,2 baths,"1,400 sq ft","1,400",4195.0,,,
,San Ramon,Townhomes,CA,94582,"6213 Lakeview Cir San Ramon, CA 94582",https://www.apartments.com/6213-lakeview-cir-san-ramon-ca/01f12s1/,1 bath,400 sq ft,400,,1550.0,,
1800.0,Palm Desert,Townhomes,CA,92211,"434 Tava Ln Palm Desert, CA 92211",https://www.apartments.com/434-tava-ln-palm-desert-ca/xeekh8n/,2 baths,991 sq ft,991,,,,
2450.0,Castro Valley,Townhomes,CA,94552,"23069 Canyon Terrace Dr Castro Valley, CA 94552",https://www.apartments.com/23069-canyon-terrace-dr-castro-valley-ca/pp7sevs/,1 bath,984 sq ft,984,,,,
,Foster City,Townhomes,CA,94404,"750 Apollo Ln Foster City, CA 94404",https://www.apartments.com/750-apollo-ln-foster-city-ca/txx6wsc/,2.5 baths,"1,470 sq ft","1,470",4175.0,,,
,Lakeside,Townhomes,CA,92040,"9234 -9236 Winter Gardens Blvd Lakeside, CA 92040",https://www.apartments.com/9234-9236-winter-gardens-blvd-lakeside-ca/gdqye1w/,1 bath,550 sq ft,550,,1550.0,,
,Newport Beach,Townhomes,CA,92663,"9 Sundance Dr Newport Beach, CA 92663",https://www.apartments.com/9-sundance-dr-newport-beach-ca/h1hht30/,2.5 baths,"1,200 sq ft","1,200",3600.0,,,
,Los Angeles,Townhomes,CA,90068,"6821 Whitley Terrace Los Angeles, CA 90068",https://www.apartments.com/6821-whitley-terrace-los-angeles-ca/glfqxqz/,2 baths,"1,600 sq ft","1,600",6000.0,,,
,Los Angeles,Townhomes,CA,90291,"504 Pacific Ave Los Angeles, CA 90291",https://www.apartments.com/504-pacific-ave-los-angeles-ca/h0ejj13/,1 bath,780 sq ft,780,,2500.0,,
,Palm Springs,Townhomes,CA,92262,"2246 N Indian Canyon Dr Palm Springs, CA 92262",https://www.apartments.com/2246-n-indian-canyon-dr-palm-springs-ca/q58j28z/,2 baths,"1,344 sq ft","1,344",3700.0,,,
3250.0,Los Angeles,Townhomes,CA,90068,"3121 Hollycrest Dr Los Angeles, CA 90068",https://www.apartments.com/3121-hollycrest-dr-los-angeles-ca/42wqqkl/,1 bath,"1,600 sq ft","1,600",,,,
,San Jose,Townhomes,CA,95123,"856 White Moonstone Loop San Jose, CA 95123",https://www.apartments.com/856-white-moonstone-loop-san-jose-ca/95mrzq5/,3.5 baths,"1,793 sq ft","1,793",3800.0,,,
,Cotati,Townhomes,CA,94931,"32 Lipton Way Cotati, CA 94931",https://www.apartments.com/32-lipton-way-cotati-ca/q0xkhtz/,1 bath,600 sq ft,600,,2000.0,,
,Newark,Townhomes,CA,94560,"37627 Masts Cove Way Newark, CA 94560",https://www.apartments.com/37627-masts-cove-way-newark-ca/27c37r9/,3.5 baths,"1,700 sq ft","1,700",,,,3850.0
3200.0,Carlsbad,Townhomes,CA,92009,"6335 Citracado Cir Carlsbad, CA 92009",https://www.apartments.com/6335-citracado-cir-carlsbad-ca/33jnwqf/,2.5 baths,"1,300 sq ft","1,300",,,,
