1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,2 beds,Studio,5 beds,3 beds,4 beds
,San Francisco,Condos,CA,94102,"55 Page St Unit 514 San Francisco, CA 94102",https://www.apartments.com/55-page-st-san-francisco-ca-unit-514/g8tnn8y/,1 bath,476 sq ft,476,,3200.0,,,
,West Hollywood,Condos,CA,90069,"1155 N La Cienega Blvd Unit 1209 West Hollywood, CA 90069",https://www.apartments.com/1155-n-la-cienega-blvd-west-hollywood-ca-unit-1209/pmyfnet/,2.5 baths,"1,676 sq ft","1,676",9990.0,,,,
,Berkeley,Condos,CA,94710,"1917 6th St Berkeley, CA 94710",https://www.apartments.com/1917-6th-st-berkeley-ca/sqlzf05/,1 bath,700 sq ft,700,3000.0,,,,
,Oakland,Condos,CA,94608,"1102 28th St Unit 0 Oakland, CA 94608",https://www.apartments.com/1102-28th-st-oakland-ca-unit-0/f5wqtmr/,2 baths,"1,100 sq ft","1,100",,,,,4000.0
,Los Angeles,Condos,CA,90024,"10982 Roebling Ave Unit 351 10982 Roebling Ave, Los Angeles, CA 90024",https://www.apartments.com/10982-roebling-ave-los-angeles-ca-unit-351/v4271ve/,2 baths,898 sq ft,898,4500.0,,,,
,Sunnyvale,Condos,CA,94086,"1008 Helen Ave Unit 4 Sunnyvale, CA 94086",https://www.apartments.com/1008-helen-ave-sunnyvale-ca-unit-4/tvsk428/,1 bath,750 sq ft,750,2480.0,,,,
1895.0,Oakland,Condos,CA,94606,"650 E 17th St Oakland, CA 94606",https://www.apartments.com/650-e-17th-st-oakland-ca/dzxjtfk/,1 bath,800 sq ft,800,,1725.0,,,
,Burbank,Condos,CA,91502,"342 E Providencia Ave Burbank, CA 91502",https://www.apartments.com/342-e-providencia-ave-burbank-ca/5y6cpgm/,1 bath,425 sq ft,425,,1525.0,,,
2000.0,San Jose,Condos,CA,95112,"25 S 10th St San Jose, CA 95112",https://www.apartments.com/25-s-10th-st-san-jose-ca/g2hqw9w/,1 bath,800 sq ft,800,2500.0,,,,
,Los Alamitos,Condos,CA,90720,"3952 Howard Ave Los Alamitos, CA 90720",https://www.apartments.com/3952-howard-ave-los-alamitos-ca/lz035we/,2 baths,"1,299 sq ft","1,299",2300.0,,,3050.0,
,San Francisco,Condos,CA,94131,"970 Duncan St Unit 301F San Francisco, CA 94131",https://www.apartments.com/970-duncan-st-san-francisco-ca-unit-301f/c8bf0nd/,1 bath,"1,010 sq ft","1,010",4200.0,,,,
,Los Gatos,Condos,CA,95032,"131 Escobar Ave Los Gatos, CA 95032",https://www.apartments.com/131-escobar-ave-los-gatos-ca/pbs55ts/,2 baths,"1,218 sq ft","1,218",,,,3700.0,
,San Francisco,Condos,CA,94118,"614 Anza St San Francisco, CA 94118",https://www.apartments.com/614-anza-st-san-francisco-ca/qtl21hw/,2 baths,"1,600 sq ft","1,600",,,,4500.0,
,Inglewood,Condos,CA,90302,"555 E Hazel St Inglewood, CA 90302",https://www.apartments.com/555-e-hazel-st-inglewood-ca/nnvklwn/,1 bath,"1,010 sq ft","1,010",1900.0,,,,
,San Jose,Condos,CA,95129,"611 Bolton Ct San Jose, CA 95129",https://www.apartments.com/611-bolton-ct-san-jose-ca/hn7kh50/,1 bath,800 sq ft,800,2200.0,,,,
,Encino,Condos,CA,91436,"15540 Moorpark St Encino, CA 91436",https://www.apartments.com/15540-moorpark-st-encino-ca/r7ecw92/,2.5 baths,"1,600 sq ft","1,600",2495.0,,,3250.0,
2200.0,Los Angeles,Condos,CA,90034,"3466 Glendon Ave 3466 Glendon Ave, Los Angeles, CA 90034",https://www.apartments.com/3466-glendon-ave-los-angeles-ca/y32k7qs/,1 bath,600 sq ft,600,,,,,
1995.0,Oakland,Condos,CA,94609,"475 Alcatraz Ave Oakland, CA 94609",https://www.apartments.com/475-alcatraz-ave-oakland-ca/gtgd9wx/,1 bath,800 sq ft,800,2450.0,,,,
,Los Angeles,Condos,CA,90035,"1129 S Sherbourne Dr Los Angeles, CA 90035",https://www.apartments.com/1129-s-sherbourne-dr-los-angeles-ca/z6hrs7z/,2 baths,"1,000 sq ft","1,000",2600.0,,,,
,San Francisco,Condos,CA,94110,"555 Dolores St Unit 555 San Francisco, CA 94110",https://www.apartments.com/555-dolores-st-san-francisco-ca-unit-555/8jwbnf2/,1.5 baths,"1,584 sq ft","1,584",,,,8250.0,
2100.0,Los Angeles,Condos,CA,90293,"8710 Delgany Ave 8710 Delgany Ave, Los Angeles, CA 90293",https://www.apartments.com/8710-delgany-ave-los-angeles-ca/mp1hn0h/,1.5 baths,850 sq ft,850,,,,,
,Los Angeles,Condos,CA,90049,"11644 Montana Ave Los Angeles, CA 90049",https://www.apartments.com/11644-montana-ave-los-angeles-ca/esft3ep/,3 baths,100 sq ft,100,,,,,5250.0
