2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,3 beds,4 beds,6 beds
,Newport Beach,Townhomes,CA,92625,"421 Orchid Ave Newport Beach, CA 92625",https://www.apartments.com/421-orchid-ave-newport-beach-ca/7jgrv9x/,3 baths,"1,343 sq ft","1,343",,5800,,
,Newport Beach,Townhomes,CA,92662,"133 Agate Ave Newport Beach, CA 92662",https://www.apartments.com/133-agate-ave-newport-beach-ca/fxxcq9r/,3 baths,"1,700 sq ft","1,700",,13000,,
3250,Morgan Hill,Townhomes,CA,95037,"17170 Creekside Cir Morgan Hill, CA 95037",https://www.apartments.com/17170-creekside-cir-morgan-hill-ca/ssc2xh5/,2.5 baths,"1,613 sq ft","1,613",,,,
3200,Fountain Valley,Townhomes,CA,92708,"9921 Trower Ct Fountain Valley, CA 92708",https://www.apartments.com/9921-trower-ct-fountain-valley-ca/3v9l2xg/,3 baths,"1,690 sq ft","1,690",,,,
,Santa Clara,Townhomes,CA,95054,"4390 Rivermark Pky Santa Clara, CA 95054",https://www.apartments.com/4390-rivermark-pky-santa-clara-ca/2703hkb/,2.5 baths,"1,894 sq ft","1,894",,4095,,
,San Clemente,Townhomes,CA,92672,"7 Vista Encanta San Clemente, CA 92672",https://www.apartments.com/7-vista-encanta-san-clemente-ca/q99sfdz/,3 baths,"1,496 sq ft","1,496",,3200,,
,Carlsbad,Townhomes,CA,92009,"6074 Colt Pl Carlsbad, CA 92009",https://www.apartments.com/6074-colt-pl-carlsbad-ca/2ykft1c/,3 baths,"1,731 sq ft","1,731",,4750,,
3200,Dana Point,Townhomes,CA,92629,"33932 La Serena Dr Dana Point, CA 92629",https://www.apartments.com/33932-la-serena-dr-dana-point-ca/fez2sdt/,2 baths,"1,218 sq ft","1,218",,,,
,Moraga,Townhomes,CA,94556,"455 Chalda Way Moraga, CA 94556",https://www.apartments.com/455-chalda-way-moraga-ca/r99v5n3/,2 baths,"1,322 sq ft","1,322",,3495,,
,Burlingame,Townhomes,CA,94010,"1218 Bellevue Ave Burlingame, CA 94010",https://www.apartments.com/1218-bellevue-ave-burlingame-ca/7et3c3x/,1 bath,635 sq ft,635,2550,,,
,San Jose,Townhomes,CA,95125,"2066 Almaden Rd San Jose, CA 95125",https://www.apartments.com/2066-almaden-rd-san-jose-ca/00x2cz0/,3.5 baths,"1,792 sq ft","1,792",,3500,,
3990,Belmont,Townhomes,CA,94002,"200 Live Oak Way Belmont, CA 94002",https://www.apartments.com/200-live-oak-way-belmont-ca/mhzpchh/,2.5 baths,"1,496 sq ft","1,496",,,,
,Escondido,Townhomes,CA,92027,"415 Nantucket Glen Escondido, CA 92027",https://www.apartments.com/415-nantucket-glen-escondido-ca/59c8pzn/,2 baths,"1,000 sq ft","1,000",,2500,,
2450,San Diego,Townhomes,CA,92123,"8882 Spectrum Center Blvd San Diego, CA 92123",https://www.apartments.com/8882-spectrum-center-blvd-san-diego-ca/00m53e2/,2 baths,"1,008 sq ft","1,008",,,,
2300,Signal Hill,Townhomes,CA,90755,"3229 Lewis Ave Signal Hill, CA 90755",https://www.apartments.com/3229-lewis-ave-signal-hill-ca/x42gwfm/,1 bath,800 sq ft,800,,,,
,Thousand Oaks,Townhomes,CA,91320,"4797 Via Altamira Thousand Oaks, CA 91320",https://www.apartments.com/4797-via-altamira-thousand-oaks-ca/mec6r9l/,2.5 baths,"1,597 sq ft","1,597",,3500,,
,Oak Park,Townhomes,CA,91377,"942 Thistlegate Rd Oak Park, CA 91377",https://www.apartments.com/942-thistlegate-rd-oak-park-ca/sjsjmb6/,2.5 baths,"1,769 sq ft","1,769",,3750,,
5500,Beverly Hills,Townhomes,CA,90212,"9936 Durant Dr Beverly Hills, CA 90212",https://www.apartments.com/9936-durant-dr-beverly-hills-ca/zg0sqty/,2.5 baths,"2,000 sq ft","2,000",,,,
,West Covina,Townhomes,CA,91790,"1814 Seattle St West Covina, CA 91790",https://www.apartments.com/1814-seattle-st-west-covina-ca/y1300ws/,3 baths,"1,189 sq ft","1,189",,2750,,
,Ontario,Townhomes,CA,91762,"3240 Midsummer Privado Ontario, CA 91762",https://www.apartments.com/3240-midsummer-privado-ontario-ca/rzv6pf3/,3 baths,"1,578 sq ft","1,578",,2600,,
,South El Monte,Townhomes,CA,91733,"1 R W Cole Dr South El Monte, CA 91733",https://www.apartments.com/1-r-w-cole-dr-south-el-monte-ca/e129rqq/,4 baths,"1,847 sq ft","1,847",,,2850,
,Newport Beach,Townhomes,CA,92625,"617 Iris Ave Newport Beach, CA 92625",https://www.apartments.com/617-iris-ave-newport-beach-ca/9h6esd7/,3 baths,"1,910 sq ft","1,910",,,15000,
2100,Norwalk,Townhomes,CA,90650,"11414 Excelsior Dr Norwalk, CA 90650",https://www.apartments.com/11414-excelsior-dr-norwalk-ca/n39jtep/,1 bath,"1,556 sq ft","1,556",,,,
,Anaheim,Townhomes,CA,92806,"382 N Vía Milano Anaheim, CA 92806",https://www.apartments.com/382-n-via-milano-anaheim-ca/3ykzsze/,2 baths,"1,347 sq ft","1,347",,3000,,
,Norwalk,Townhomes,CA,90650,"12235 Pine St Norwalk, CA 90650",https://www.apartments.com/12235-pine-st-norwalk-ca/wz2x40h/,3 baths,"1,212 sq ft","1,212",,2700,,
,Long Beach,Townhomes,CA,90807,"230 E Bixby Rd Long Beach, CA 90807",https://www.apartments.com/230-e-bixby-rd-long-beach-ca/lmen79e/,1 bath,"1,528 sq ft","1,528",,3500,,
,El Monte,Townhomes,CA,91731,"11115 Kauffman St El Monte, CA 91731",https://www.apartments.com/11115-kauffman-st-el-monte-ca/3zv7f3e/,5 baths,"2,274 sq ft","2,274",,,,2900
2700,Huntington Beach,Townhomes,CA,92646,"18632 Demion Ln Huntington Beach, CA 92646",https://www.apartments.com/18632-demion-ln-huntington-beach-ca/ktjs1jc/,2 baths,"1,000 sq ft","1,000",,,,
