1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Studio,3 beds,2 beds,4 beds,6 beds,5 beds
,South San Francisco,Condos,CA,94080,"202 Second St South San Francisco, CA 94080",https://www.apartments.com/202-second-st-south-san-francisco-ca/25jtx19/,1 bath,800 sq ft,800,,,2950,,,
1775,Oakland,Condos,CA,94606,"659 Hillsborough St Oakland, CA 94606",https://www.apartments.com/659-hillsborough-st-oakland-ca/h7zk1l1/,1 bath,900 sq ft,900,,,,,,
,San Jose,Condos,CA,95133,"969 Gilchrist Dr San Jose, CA 95133",https://www.apartments.com/969-gilchrist-dr-san-jose-ca-unit-2/0tvxqk3/,1 bath,903 sq ft,903,,,2395,,,
,Torrance,Condos,CA,90501,"1613 W 227th St Torrance, CA 90501",https://www.apartments.com/1613-w-227th-st-torrance-ca/bk6dlhb/,1 bath,700 sq ft,700,,,1975,,,
,Winnetka,Condos,CA,91306,"7515 Winnetka Ave Winnetka, CA 91306",https://www.apartments.com/7515-winnetka-ave-winnetka-ca-unit-104/m6dk1tj/,2.5 baths,"1,204 sq ft","1,204",,2748,,,,
1525,Los Angeles,Condos,CA,91411,"15120 Victory Blvd Los Angeles, CA 91411",https://www.apartments.com/15120-victory-blvd-los-angeles-ca/5wb198p/,1 bath,906 sq ft,906,1200,,2050,,,
,San Ramon,Condos,CA,94583,"215 Stone Pine Ln San Ramon, CA 94583",https://www.apartments.com/215-stone-pine-ln-san-ramon-ca-unit-215/kcdb0y8/,2 baths,"1,357 sq ft","1,357",,6200,,,,
1895,Alhambra,Condos,CA,91801,"3 N Primrose Ave Alhambra, CA 91801",https://www.apartments.com/3-n-primrose-ave-alhambra-ca/cly8xqd/,1 bath,600 sq ft,600,,,,,,
1485,Rohnert Park,Condos,CA,94928,"7417 Bridgit Dr Rohnert Park, CA 94928",https://www.apartments.com/7417-bridgit-dr-rohnert-park-ca/449sl7h/,1 bath,500 sq ft,500,,,,,,
,Cupertino,Condos,CA,95014,"10136 Alpine Dr Cupertino, CA 95014",https://www.apartments.com/10136-alpine-dr-cupertino-ca/m4hb9fl/,2.5 baths,"1,400 sq ft","1,400",,,3300,,,
,Visalia,Condos,CA,93291,"718 N Floral St Visalia, CA 93291",https://www.apartments.com/718-n-floral-st-visalia-ca/0k368q2/,1 bath,880 sq ft,880,,,2250,,,
,Los Angeles,Condos,CA,90006,"1319 S Westlake Ave Los Angeles, CA 90006",https://www.apartments.com/1319-s-westlake-ave-los-angeles-ca/3fbjmrd/,1 bath,600 sq ft,600,1500,,,,,
,Larkspur,Condos,CA,94939,"615 Larkspur Plaza Dr Larkspur, CA 94939",https://www.apartments.com/615-larkspur-plaza-dr-larkspur-ca-unit-615/wfg6ygl/,2 baths,"1,045 sq ft","1,045",,,4250,,,
,Larkspur,Condos,CA,94939,"643 Larkspur Plaza Dr Larkspur, CA 94939",https://www.apartments.com/643-larkspur-plaza-dr-larkspur-ca/z2sb7zy/,2 baths,"1,045 sq ft","1,045",,,3795,,,
,San Diego,Condos,CA,92104,"4049 30th St San Diego, CA 92104",https://www.apartments.com/4049-30th-st-san-diego-ca/6qxy5mt/,1 bath,950 sq ft,950,,,3000,,,
,Sacramento,Condos,CA,95822,"5915 Gloria Dr Sacramento, CA 95822",https://www.apartments.com/5915-gloria-dr-sacramento-ca-unit-4/p2ctl6r/,2 baths,900 sq ft,900,,,2690,,,
,Irvine,Condos,CA,92603,"17 Rainbow Rdg Irvine, CA 92603",https://www.apartments.com/17-rainbow-rdg-irvine-ca-unit-17/db5rn9h/,2 baths,"1,563 sq ft","1,563",,,3500,,,
1595,Burbank,Condos,CA,91504,"1919 Church St Burbank, CA 91504",https://www.apartments.com/1919-church-st-burbank-ca/bv3mcjb/,1 bath,600 sq ft,600,,,,,,
1450,Van Nuys,Condos,CA,91405,"14011 Sherman Way Van Nuys, CA 91405",https://www.apartments.com/14011-sherman-way-van-nuys-ca/bkyvf59/,1 bath,750 sq ft,750,,,1750,,,
,Oceanside,Condos,CA,92954,"999 N Pacific Street Oceanside, CA 92954",https://www.apartments.com/999-n-pacific-street-oceanside-ca/mnf2egj/,2 baths,"1,050 sq ft","1,050",,,3000,,,
,Los Angeles,Condos,CA,90003,"6606 S Main St Los Angeles, CA 90003",https://www.apartments.com/6606-s-main-st-los-angeles-ca/ff4e1dt/,2 baths,"1,350 sq ft","1,350",,,,3300,,
1550,Anaheim,Condos,CA,92801,"2728 W Yale Ave Anaheim, CA 92801",https://www.apartments.com/2728-w-yale-ave-anaheim-ca/rns3v72/,1 bath,750 sq ft,750,,,,,,
1600,Torrance,Condos,CA,90501,"1514 W 204th St Torrance, CA 90501",https://www.apartments.com/1514-w-204th-st-torrance-ca/72czxhy/,1 bath,700 sq ft,700,,,,,,
,Campbell,Condos,CA,95008,"372 Union Ave Campbell, CA 95008",https://www.apartments.com/372-union-ave-campbell-ca-unit-a/l0rex5g/,2 baths,"1,210 sq ft","1,210",,2995,,,,
,Inglewood,Condos,CA,90303,"3920 W 113th St Inglewood, CA 90303",https://www.apartments.com/3920-w-113th-st-inglewood-ca/gg2nbyy/,1 bath,800 sq ft,800,,,2050,,,
,Davis,Condos,CA,95616,"805 H St Davis, CA 95616",https://www.apartments.com/805-h-st-davis-ca-unit-12/weqe45k/,3 baths,"1,500 sq ft","1,500",,,,4395,,
,Sacramento,Condos,CA,95842,"5906 Walerga Rd Sacramento, CA 95842",https://www.apartments.com/5906-walerga-rd-sacramento-ca/rs36hy1/,1 bath,900 sq ft,900,,,1200,,,
,Visalia,Condos,CA,93292,"2636 N St Johns Pkwy Visalia, CA 93292",https://www.apartments.com/2636-n-st-johns-pkwy-visalia-ca/vn2xx7g/,2 baths,"1,015 sq ft","1,015",,,1100,,,
,Anaheim,Condos,CA,92805,"318 S Helena St Anaheim, CA 92805",https://www.apartments.com/318-s-helena-st-anaheim-ca/tlgzbhc/,2.5 baths,"1,200 sq ft","1,200",,,2700,,,
,Oakland,Condos,CA,94606,"2922 22nd Ave Oakland, CA 94606",https://www.apartments.com/2922-22nd-ave-oakland-ca-unit-d/9lgshg7/,1 bath,850 sq ft,850,,,2500,,,
,San Diego,Condos,CA,92109,"5055 Mission Blvd San Diego, CA 92109",https://www.apartments.com/5055-mission-blvd-san-diego-ca/ssr6956/,2 baths,866 sq ft,866,,,3250,,,
,Chico,Condos,CA,95928,"418 Hazel St Chico, CA 95928",https://www.apartments.com/418-hazel-st-chico-ca/z3rlgrw/,2 baths,"1,100 sq ft","1,100",,,,2560,,
,El Cerrito,Condos,CA,94530,"925 King Ct El Cerrito, CA 94530",https://www.apartments.com/925-king-ct-el-cerrito-ca/4hm7wek/,1 bath,"1,200 sq ft","1,200",,,2600,,,
,Los Angeles,Condos,CA,90049,"11670 W Sunset Blvd Los Angeles, CA 90049",https://www.apartments.com/11670-w-sunset-blvd-los-angeles-ca-unit-106/tpcgnjb/,3 baths,"1,860 sq ft","1,860",,4500,,,,
,Dana Point,Condos,CA,92629,"24124 Paseo Corona Dana Point, CA 92629",https://www.apartments.com/24124-paseo-corona-dana-point-ca/cpr1f8d/,2 baths,"1,400 sq ft","1,400",,3495,,,,
,Thousand Oaks,Condos,CA,91362,"2450 Pleasant Way Unit A Thousand Oaks, CA 91362",https://www.apartments.com/2450-pleasant-way-unit-a-thousand-oaks-ca/l1c56wg/,1.5 baths,907 sq ft,907,,,2399,,,
,Los Angeles,Condos,CA,90066,"11919 Courtleigh Dr Los Angeles, CA 90066",https://www.apartments.com/11919-courtleigh-dr-los-angeles-ca/9tne8c7/,2 baths,900 sq ft,900,,,2395,,,
,Long Beach,Condos,CA,90807,"626 E San Antonio Dr Long Beach, CA 90807",https://www.apartments.com/626-e-san-antonio-dr-long-beach-ca/kyndbsc/,2 baths,"1,100 sq ft","1,100",,2750,,,,
