3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,2 beds,4 beds,6 beds,5 beds
,Dana Point,Townhomes,CA,92629,"33531 Marlinspike Dr Dana Point, CA 92629",https://www.apartments.com/33531-marlinspike-dr-dana-point-ca/5l60mqq/,3 baths,"3,010 sq ft","3,010",,,14000.0,,
6500.0,Newport Beach,Townhomes,CA,92660,"2112 Vista Dorado Newport Beach, CA 92660",https://www.apartments.com/2112-vista-dorado-newport-beach-ca/dxqv8kj/,3 baths,"1,881 sq ft","1,881",,,,,
,Temple City,Townhomes,CA,91780,"6213 Kauffman Ave Temple City, CA 91780",https://www.apartments.com/6213-kauffman-ave-temple-city-ca/0vnjpd2/,1 bath,776 sq ft,776,,2300.0,,,
,Malibu,Townhomes,CA,90265,"6450 Lunita Rd Malibu, CA 90265",https://www.apartments.com/6450-lunita-rd-malibu-ca/mjz53rl/,3 baths,"1,831 sq ft","1,831",,12000.0,,,
,Irvine,Townhomes,CA,92612,"196 Bowery Irvine, CA 92612",https://www.apartments.com/196-bowery-irvine-ca/d44f5bk/,4 baths,"2,500 sq ft","2,500",,6500.0,,,
,Laguna Beach,Townhomes,CA,92651,"183 Dumond Dr Laguna Beach, CA 92651",https://www.apartments.com/183-dumond-dr-laguna-beach-ca/0hn21g1/,1 bath,800 sq ft,800,,8000.0,,,
,Huntington Beach,Townhomes,CA,92647,"7842 Speer Drive Huntington Beach, CA 92647",https://www.apartments.com/7842-speer-drive-huntington-beach-ca/gmd6lty/,1 bath,592 sq ft,592,2000.0,,,,
,Dana Point,Townhomes,CA,92624,"34408 Via San Juan Dana Point, CA 92624",https://www.apartments.com/34408-via-san-juan-dana-point-ca/btw8lr8/,2 baths,"1,150 sq ft","1,150",,3400.0,,,
,Long Beach,Townhomes,CA,90813,"1074 E 7th St Long Beach, CA 90813",https://www.apartments.com/1074-e-7th-st-long-beach-ca/365bjgg/,1 bath,550 sq ft,550,,1550.0,,,
,Santa Ana,Townhomes,CA,92703,"1242 W Pine St Santa Ana, CA 92703",https://www.apartments.com/1242-w-pine-st-santa-ana-ca/f48z10r/,1 bath,700 sq ft,700,,2450.0,,,
,Laguna Beach,Townhomes,CA,92651,"871 Park Ave Laguna Beach, CA 92651",https://www.apartments.com/871-park-ave-laguna-beach-ca/e7k4qpp/,2 baths,"1,100 sq ft","1,100",,5000.0,,,
