2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed
2649.0,Mountain View,Townhomes,CA,94040,"2675 Fayette Dr, Mountain View, CA 94040",https://www.apartments.com/fayette-townhouse-apartments-mountain-view-ca/gd21dyy/,1.5 baths,900 sq ft,900,
,Los Angeles,Townhomes,CA,90045,"8600 Emerson Ave, Los Angeles, CA 90045",https://www.apartments.com/townhomes-on-emerson-los-angeles-ca/3dbh2qf/,1.5 baths,900 sq ft,900,
,Los Angeles,Townhomes,CA,90056,"6233 S La Brea Ln, Los Angeles, CA 90056",https://www.apartments.com/ladera-townhouse-los-angeles-ca/5ep4zrq/,1 bath,615 sq ft,615,1618.0
2546.0,San Diego,Townhomes,CA,92123,"7901-7921 Harmarsh St, San Diego, CA 92123",https://www.apartments.com/the-modern-apartments-san-diego-ca/0yehrj1/,1.5 baths,950 sq ft,950,
,Santa Clarita,Townhomes,CA,91387,"18005 W Annes Cir, Santa Clarita, CA 91387",https://www.apartments.com/river-ranch-townhomes-apartments-santa-clarita-ca/gp59qyy/,1.5 baths,950 sq ft,950,
3186.0,Wilmington,Townhomes,CA,90744,"1625 W Pacific Coast Hwy, Wilmington, CA 90744",https://www.apartments.com/portofino-townhomes-wilmington-ca/96znhk7/,1.5 baths,"1,152 sq ft","1,152",
,Rocklin,Townhomes,CA,95677,"6115 Brookside Cir, Rocklin, CA 95677",https://www.apartments.com/woodstream-townhomes-rocklin-ca/en0js5q/,1.5 baths,"1,152 sq ft","1,152",
