2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,4 beds,1 bed,Studio,5 beds
,Los Angeles,Condos,CA,91605,"6859 Coldwater Canyon Ave Los Angeles, CA 91605",https://www.apartments.com/6859-coldwater-canyon-ave-los-angeles-ca/0ervxl0/,1 bath,800 sq ft,800,,,1595.0,,
,North Hollywood,Condos,CA,91605,"6851 Coldwater Canyon Ave North Hollywood, CA 91605",https://www.apartments.com/6851-coldwater-canyon-ave-north-hollywood-ca/d4cs6eh/,1 bath,300 sq ft,300,,,1525.0,,
,Los Angeles,Condos,CA,90048,"6440 Orange St Los Angeles, CA 90048",https://www.apartments.com/6440-orange-st-los-angeles-ca/g4k7nrw/,1 bath,440 sq ft,440,,,,1450.0,
2315.0,Covina,Condos,CA,91723,"147 N Barranca Ave Covina, CA 91723",https://www.apartments.com/147-n-barranca-ave-covina-ca/6g1q2br/,1 bath,"1,000 sq ft","1,000",,,,,
2500.0,Fremont,Condos,CA,94538,"39450 Albany Cmn Fremont, CA 94538",https://www.apartments.com/39450-albany-cmn-fremont-ca-unit-u/blnnp5c/,2 baths,991 sq ft,991,,,,,
2350.0,Gardena,Condos,CA,90247,"16118 S Ainsworth St Gardena, CA 90247",https://www.apartments.com/16118-s-ainsworth-st-gardena-ca/lzqq3se/,1.5 baths,"1,100 sq ft","1,100",,,,,
2445.0,Los Angeles,Condos,CA,91605,"12160 Hart St Los Angeles, CA 91605",https://www.apartments.com/12160-hart-st-los-angeles-ca/n1xe8xm/,2 baths,952 sq ft,952,,,,,
,Oakland,Condos,CA,94610,"455 Crescent St Oakland, CA 94610",https://www.apartments.com/455-crescent-st-oakland-ca-unit-201/ct6mn9f/,1 bath,675 sq ft,675,,,2100.0,,
2480.0,Santa Clara,Condos,CA,95051,"879 Bing Dr Santa Clara, CA 95051",https://www.apartments.com/879-bing-dr-santa-clara-ca-unit-3/dn9nt9k/,1 bath,850 sq ft,850,,,,,
2700.0,Palm Springs,Condos,CA,92264,"243 E Twin Palms Dr Palm Springs, CA 92264",https://www.apartments.com/243-e-twin-palms-dr-palm-springs-ca-unit-243/7c8b0tx/,2 baths,"1,289 sq ft","1,289",,,,,
2400.0,Sunnyvale,Condos,CA,94086,"977 Mangrove Ave Sunnyvale, CA 94086",https://www.apartments.com/977-mangrove-ave-sunnyvale-ca/4ytrwgk/,1 bath,950 sq ft,950,,,,,
,Placentia,Condos,CA,92870,"219 Turf Dr Placentia, CA 92870",https://www.apartments.com/219-turf-dr-placentia-ca/9tseqd7/,1 bath,"1,200 sq ft","1,200",2200.0,,,,
1800.0,Cathedral City,Condos,CA,92234,"31200 Landau Blvd Cathedral City, CA 92234",https://www.apartments.com/31200-landau-blvd-cathedral-city-ca-unit-1602/ktcey1c/,2 baths,"1,064 sq ft","1,064",,,,,
,Glendale,Condos,CA,91205,"406 Griswold St Glendale, CA 91205",https://www.apartments.com/406-griswold-st-glendale-ca/szm8wd4/,1 bath,650 sq ft,650,,,1750.0,,
1895.0,Los Angeles,Condos,CA,90291,"933 Venice Blvd Los Angeles, CA 90291",https://www.apartments.com/933-venice-blvd-los-angeles-ca/zc4r19w/,1 bath,350 sq ft,350,,,1550.0,,
,Los Angeles,Condos,CA,90047,"7404 S Western Ave Los Angeles, CA 90047",https://www.apartments.com/7404-s-western-ave-los-angeles-ca/7gb3yez/,1 bath,700 sq ft,700,,,1599.0,,
2200.0,Orange,Condos,CA,92866,"616 South Fashion Park Street Orange, CA 92866",https://www.apartments.com/616-south-fashion-park-street-orange-ca/2qkg3zb/,2 baths,"1,200 sq ft","1,200",,,,,
,Los Angeles,Condos,CA,90013,"460 S Spring St Los Angeles, CA 90013",https://www.apartments.com/460-s-spring-st-los-angeles-ca/dxzbylk/,1 bath,720 sq ft,720,,,2400.0,,
2785.0,Oakland,Condos,CA,94610,"690 Mariposa Ave Oakland, CA 94610",https://www.apartments.com/690-mariposa-ave-oakland-ca/k7e75n8/,2 baths,100 sq ft,100,,,,,
,Walnut Creek,Condos,CA,94597,"221 Wootten Dr Walnut Creek, CA 94597",https://www.apartments.com/221-wootten-dr-walnut-creek-ca/0754263/,1 bath,650 sq ft,650,,,,1850.0,
,Pasadena,Condos,CA,91105,"79 W Glenarm St Pasadena, CA 91105",https://www.apartments.com/79-w-glenarm-st-pasadena-ca/kz2f879/,1 bath,550 sq ft,550,,,3000.0,,
,Monterey Park,Condos,CA,91754,"1401 College View Dr Monterey Park, CA 91754",https://www.apartments.com/1401-college-view-dr-monterey-park-ca/3q4q7mf/,1 bath,630 sq ft,630,,,1400.0,,
4550.0,San Francisco,Condos,CA,94109,"1809 Broadway San Francisco, CA 94109",https://www.apartments.com/1809-broadway-san-francisco-ca/m9q95hk/,2 baths,"1,000 sq ft","1,000",,,,,
,Santa Monica,Condos,CA,90404,"1824 Michigan Ave Santa Monica, CA 90404",https://www.apartments.com/1824-michigan-ave-santa-monica-ca/qhkle1w/,2 baths,"1,350 sq ft","1,350",5400.0,,,,
3000.0,Los Angeles,Condos,CA,90048,"6411 Orange St Los Angeles, CA 90048",https://www.apartments.com/6411-orange-st-los-angeles-ca/vq5weed/,1 bath,"1,450 sq ft","1,450",,,,,
