1 bed,2 beds,3 beds,Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Studio,4 beds
2080.0,2670.0,4070.0,Pinnacle on The Park,San Diego,Apartment,CA,92101,"424 15th St, San Diego, CA 92101",https://www.apartments.com/pinnacle-on-the-park-san-diego-ca/9r6e3y6/,,
,,,16 Powerhouse,Sacramento,Apartment,CA,95814,"1606 P St, Sacramento, CA 95814",https://www.apartments.com/16-powerhouse-sacramento-ca/9rz4gg4/,,
2241.0,2603.0,,The Retreat at Walnut Creek,Walnut Creek,Apartment,CA,94596,"1459 Creekside Dr, Walnut Creek, CA 94596",https://www.apartments.com/the-retreat-at-walnut-creek-walnut-creek-ca/1hw8tq7/,1867.0,
,7700.0,,AKA West Hollywood Apartment Residences,West Hollywood,Apartment,CA,90069,"8500 W Sunset Blvd, West Hollywood, CA 90069",https://www.apartments.com/aka-west-hollywood-apartment-residences-west-hollywood-ca/x4brlmm/,,
2299.0,2950.0,3650.0,Homecoming at Terra Vista,Rancho Cucamonga,Apartment,CA,91730,"11660 Church St, Rancho Cucamonga, CA 91730",https://www.apartments.com/homecoming-at-terra-vista-rancho-cucamonga-ca/y5vg07v/,,
2700.0,3700.0,4900.0,Parkmerced,San Francisco,Apartment,CA,94132,"3711 19th Ave, San Francisco, CA 94132",https://www.apartments.com/parkmerced-san-francisco-ca/26ht3d9/,,
2135.0,2670.0,,The James,Rocklin,Apartment,CA,95765,"6201 W Oaks Blvd, Rocklin, CA 95765",https://www.apartments.com/the-james-rocklin-ca/20fqev8/,,
4575.0,6690.0,,Gayley + Lindbrook,Los Angeles,Apartment,CA,90024,"1122 Gayley Ave, Los Angeles, CA 90024",https://www.apartments.com/gayley-lindbrook-los-angeles-ca/g26mwez/,,
3117.0,3725.0,,Loft House,Sunnyvale,Apartment,CA,94086,"150 S Taaffe St, Sunnyvale, CA 94086",https://www.apartments.com/loft-house-sunnyvale-ca/krd7xr9/,,
3279.0,3989.0,,The Civic,San Francisco,Apartment,CA,94102,"101-103 Polk St, San Francisco, CA 94102",https://www.apartments.com/the-civic-san-francisco-ca/32sh4lf/,,
3144.0,4640.0,6870.0,THEA at Metropolis,Los Angeles,Apartment,CA,90017,"1000 W 8th St, Los Angeles, CA 90017",https://www.apartments.com/thea-at-metropolis-los-angeles-ca/77hmelw/,2277.0,
1995.0,2600.0,7000.0,150 Van Ness,San Francisco,Apartment,CA,94102,"150 Van Ness Ave, San Francisco, CA 94102",https://www.apartments.com/150-van-ness-san-francisco-ca/8pdvlx3/,2700.0,
3769.0,4939.0,,The Mansfield at Miracle Mile,Los Angeles,Apartment,CA,90036,"5100 Wilshire Blvd, Los Angeles, CA 90036",https://www.apartments.com/the-mansfield-at-miracle-mile-los-angeles-ca/gsl9khx/,2663.0,
2854.0,3225.0,,Artist Walk,Fremont,Apartment,CA,94536,"3888 Artist Walk Commons, Fremont, CA 94536",https://www.apartments.com/artist-walk-fremont-ca/gjdk9rz/,,
2390.0,2855.0,,Metro Gateway,Riverside,Apartment,CA,92503,"3411 Grande Vista Pky, Riverside, CA 92503",https://www.apartments.com/metro-gateway-riverside-ca/6024rjv/,2180.0,
4275.0,6500.0,6745.0,Villas Fashion Island,Newport Beach,Apartment,CA,92660,"1000 San Joaquin Plz, Newport Beach, CA 92660",https://www.apartments.com/villas-fashion-island-newport-beach-ca/ppeym6r/,,
2440.0,3215.0,,AVA Toluca Hills,Los Angeles,Apartment,CA,90068,"3600 Barham Blvd, Los Angeles, CA 90068",https://www.apartments.com/ava-toluca-hills-los-angeles-ca/rl6jtf1/,1920.0,
3305.0,4185.0,,Santa Clara Square Apartment Homes,Santa Clara,Apartment,CA,95054,"3320 Montgomery Dr, Santa Clara, CA 95054",https://www.apartments.com/santa-clara-square-apartment-homes-santa-clara-ca/rqgtnx3/,3165.0,
3960.0,4362.0,6732.0,Elan Mountain View,Mountain View,Apartment,CA,94040,"1030 Castro St, Mountain View, CA 94040",https://www.apartments.com/elan-mountain-view-mountain-view-ca/c2b84xg/,,
