1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,2 beds,4 beds,5 beds,Studio
,San Francisco,Townhomes,CA,94131,"91 Miguel St San Francisco, CA 94131",https://www.apartments.com/91-miguel-st-san-francisco-ca/5n9jy9q/,1.5 baths,"1,350 sq ft","1,350",,4200,,,
,Hermosa Beach,Townhomes,CA,90254,"66 The Strand Hermosa Beach, CA 90254",https://www.apartments.com/66-the-strand-hermosa-beach-ca/jnb5l57/,2 baths,"1,129 sq ft","1,129",,6940,,,
,South Lake Tahoe,Townhomes,CA,96150,"3161 Berkeley Ave South Lake Tahoe, CA 96150",https://www.apartments.com/3161-berkeley-ave-south-lake-tahoe-ca/ywb8vyv/,1 bath,650 sq ft,650,,2599,,,
,Davis,Townhomes,CA,95616,"819 H St Davis, CA 95616",https://www.apartments.com/819-h-st-davis-ca/x90qj9p/,3 baths,"1,500 sq ft","1,500",,,3995,,
,Saratoga,Townhomes,CA,95070,"14598 Big Basin Way Saratoga, CA 95070",https://www.apartments.com/14598-big-basin-way-saratoga-ca/pz1qw4s/,3 baths,"2,900 sq ft","2,900",,,7500,,
,Hawthorne,Townhomes,CA,90250,"5510 W 149th Pl Hawthorne, CA 90250",https://www.apartments.com/5510-w-149th-pl-hawthorne-ca/krwmh1c/,2.5 baths,"1,790 sq ft","1,790",4000,,,,
1600,San Diego,Townhomes,CA,92104,"3147 Juniper St San Diego, CA 92104",https://www.apartments.com/3147-juniper-st-san-diego-ca/tbhyf09/,1 bath,420 sq ft,420,,,,,
2600,Los Angeles,Townhomes,CA,90004,"545 N Kenmore Ave Los Angeles, CA 90004",https://www.apartments.com/545-n-kenmore-ave-los-angeles-ca/e3mkhlq/,1.5 baths,900 sq ft,900,,,,,
,Anaheim,Townhomes,CA,92805,"951 E Mason Ln Anaheim, CA 92805",https://www.apartments.com/951-e-mason-ln-anaheim-ca/dp6eggj/,2.5 baths,"1,598 sq ft","1,598",3750,,,,
,Shasta Lake,Townhomes,CA,96019,"4832 Fort Peck St Shasta Lake, CA 96019",https://www.apartments.com/4832-fort-peck-st-shasta-lake-ca/81mrt20/,1.5 baths,950 sq ft,950,,1095,,,
1850,Oakland,Townhomes,CA,94607,"626 8th St Oakland, CA 94607",https://www.apartments.com/626-8th-st-oakland-ca/12dyxn6/,1 bath,750 sq ft,750,,,,,
,Vista,Townhomes,CA,92083,"363 N Melrose Dr Vista, CA 92083",https://www.apartments.com/363-n-melrose-dr-vista-ca/p4pprwt/,2 baths,"1,200 sq ft","1,200",,2595,,,
,Sunnyvale,Townhomes,CA,94086,"222 Peppermint Tree Ter Sunnyvale, CA 94086",https://www.apartments.com/222-peppermint-tree-ter-sunnyvale-ca/x40e7nn/,3.5 baths,"1,577 sq ft","1,577",4925,,,,
,Redwood City,Townhomes,CA,94061,"196 Orchard Ave Redwood City, CA 94061",https://www.apartments.com/196-orchard-ave-redwood-city-ca/p6812zs/,1 bath,920 sq ft,920,3100,,,,
,Culver City,Townhomes,CA,90232,"4227 Ince Blvd Culver City, CA 90232",https://www.apartments.com/4227-ince-blvd-culver-city-ca/m7bbqbh/,3.5 baths,"1,900 sq ft","1,900",6000,,,,
,Santa Clara,Townhomes,CA,95051,"2947 McKinley Dr Santa Clara, CA 95051",https://www.apartments.com/2947-mckinley-dr-santa-clara-ca/t3pc3fb/,2 baths,"1,490 sq ft","1,490",3745,,,,
,Redondo Beach,Townhomes,CA,90277,"402 Avenue G Redondo Beach, CA 90277",https://www.apartments.com/402-avenue-g-redondo-beach-ca/vrhjl4f/,2.5 baths,"1,541 sq ft","1,541",4200,,,,
,Oakland,Townhomes,CA,94607,"812 15th St Oakland, CA 94607",https://www.apartments.com/812-15th-st-oakland-ca/8hh6210/,2 baths,"1,100 sq ft","1,100",,3000,,,
,Lakewood,Townhomes,CA,90715,"11640 208th St Lakewood, CA 90715",https://www.apartments.com/11640-208th-st-lakewood-ca/9rv3y86/,2.5 baths,"1,300 sq ft","1,300",2595,,,,
,Sunnyvale,Townhomes,CA,94085,"556 Santa Rosalia Ter Sunnyvale, CA 94085",https://www.apartments.com/556-santa-rosalia-ter-sunnyvale-ca/rdsq9x2/,3 baths,"1,620 sq ft","1,620",4500,,,,
3200,La Jolla,Townhomes,CA,92037,"3362 Via Alicante La Jolla, CA 92037",https://www.apartments.com/3362-via-alicante-la-jolla-ca/4vnvc2l/,1 bath,874 sq ft,874,,,,,
,Hermosa Beach,Townhomes,CA,90254,"652 9th St Hermosa Beach, CA 90254",https://www.apartments.com/652-9th-st-hermosa-beach-ca/bynr6k8/,2.5 baths,"2,500 sq ft","2,500",,,6500,,
,Torrance,Townhomes,CA,90505,"3704 Newton St Torrance, CA 90505",https://www.apartments.com/3704-newton-st-torrance-ca/855zkx3/,2.5 baths,"1,160 sq ft","1,160",,2985,,,
,Chula Vista,Townhomes,CA,91915,"1051 Waterville Lake Rd Chula Vista, CA 91915",https://www.apartments.com/1051-waterville-lake-rd-chula-vista-ca/v9t87rg/,1.5 baths,"1,005 sq ft","1,005",,3800,,,
,Union City,Townhomes,CA,94587,"4262 Las Feliz Ct Union City, CA 94587",https://www.apartments.com/4262-las-feliz-ct-union-city-ca/6ldbzjr/,1 bath,875 sq ft,875,,2700,,,
,Newark,Townhomes,CA,94560,"6147 Thornton Ave Newark, CA 94560",https://www.apartments.com/6147-thornton-ave-newark-ca/773ydfy/,2.5 baths,"1,383 sq ft","1,383",3050,,,,
