3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,4 beds,2 beds,1 bed,Studio,5 beds
3400,Rancho Cucamonga,Townhomes,CA,91739,"7379 Solstice Pl Rancho Cucamonga, CA 91739",https://www.apartments.com/7379-solstice-pl-rancho-cucamonga-ca/yv2911t/,4 baths,"2,195 sq ft","2,195",,,,,
3400,Brea,Townhomes,CA,92821,"350 Mountain Ct Brea, CA 92821",https://www.apartments.com/350-mountain-ct-brea-ca/22h14yb/,2 baths,"1,462 sq ft","1,462",,,,,
2875,Simi Valley,Townhomes,CA,93065,"2401 Chandler Ave Simi Valley, CA 93065",https://www.apartments.com/2401-chandler-ave-simi-valley-ca/vkd3cgf/,3 baths,"1,583 sq ft","1,583",,,,,
,South Gate,Townhomes,CA,90280,"8932 Alexander Ave South Gate, CA 90280",https://www.apartments.com/8932-alexander-ave-south-gate-ca/q4ngetw/,1 bath,300 sq ft,300,,,1650,,
,Glendale,Townhomes,CA,91214,"3638 2nd Ave Glendale, CA 91214",https://www.apartments.com/3638-2nd-ave-glendale-ca/gmz2f3y/,1 bath,550 sq ft,550,,,1800,,
2800,Glendora,Townhomes,CA,91740,"2647 E Foothill Blvd Glendora, CA 91740",https://www.apartments.com/2647-e-foothill-blvd-glendora-ca/2h94q99/,3 baths,"1,496 sq ft","1,496",,,,,
,Indio,Townhomes,CA,92201,"80625 Liberia Pl Indio, CA 92201",https://www.apartments.com/80625-liberia-pl-indio-ca/jk5y8r4/,1 bath,800 sq ft,800,,1650,,,
,Los Angeles,Townhomes,CA,90272,"1450 Palisades Dr Los Angeles, CA 90272",https://www.apartments.com/1450-palisades-dr-los-angeles-ca/eyzbt2q/,3 baths,"2,126 sq ft","2,126",,5500,,,
,Seal Beach,Townhomes,CA,90740,"1117 E Seal Way Seal Beach, CA 90740",https://www.apartments.com/1117-e-seal-way-seal-beach-ca/9l7nd06/,1 bath,"1,200 sq ft","1,200",,5500,,,
4000,Irvine,Townhomes,CA,92602,"140 Parkwood Irvine, CA 92602",https://www.apartments.com/140-parkwood-irvine-ca/9qqn805/,3 baths,"1,724 sq ft","1,724",,,,,
2900,Fullerton,Townhomes,CA,92835,"3500 Sunnywood Dr Fullerton, CA 92835",https://www.apartments.com/3500-sunnywood-dr-fullerton-ca/66j0jtv/,2 baths,"1,536 sq ft","1,536",,,,,
3450,Fullerton,Townhomes,CA,92833,"2270 Andrews Dr Fullerton, CA 92833",https://www.apartments.com/2270-andrews-dr-fullerton-ca/hylp1m3/,3 baths,"1,582 sq ft","1,582",,,,,
,Irvine,Townhomes,CA,92614,"2318 Synergy Irvine, CA 92614",https://www.apartments.com/2318-synergy-irvine-ca/dfhb1xl/,3 baths,"1,245 sq ft","1,245",,3000,,,
,Rossmoor,Townhomes,CA,90720,"3342 Bradbury Rd Rossmoor, CA 90720",https://www.apartments.com/3342-bradbury-rd-rossmoor-ca/8rex243/,2 baths,"1,148 sq ft","1,148",,2600,,,
,San Clemente,Townhomes,CA,92672,"2711 S El Camino Real San Clemente, CA 92672",https://www.apartments.com/2711-s-el-camino-real-san-clemente-ca/3rsd8ee/,2 baths,"1,002 sq ft","1,002",,2650,,,
,Whittier,Townhomes,CA,90602,"12812 Dunton Dr Whittier, CA 90602",https://www.apartments.com/12812-dunton-dr-whittier-ca/g9b0vrx/,1 bath,869 sq ft,869,,2450,,,
,Covina,Townhomes,CA,91723,"345 E College St Covina, CA 91723",https://www.apartments.com/345-e-college-st-covina-ca/778x9rw/,2 baths,"1,300 sq ft","1,300",,2550,,,
,Laguna Niguel,Townhomes,CA,92677,"29441 Port Royal Way Laguna Niguel, CA 92677",https://www.apartments.com/29441-port-royal-way-laguna-niguel-ca/7prtd9z/,3 baths,"1,583 sq ft","1,583",,3500,,,
,Menifee,Townhomes,CA,92586,"28187 Encino Dr Menifee, CA 92586",https://www.apartments.com/28187-encino-dr-menifee-ca/y5emett/,2 baths,998 sq ft,998,,1495,,,
3400,Huntington Beach,Townhomes,CA,92646,"18739 Chapel Ln Huntington Beach, CA 92646",https://www.apartments.com/18739-chapel-ln-huntington-beach-ca/m0thbtj/,3 baths,"1,577 sq ft","1,577",,,,,
,Hacienda Heights,Townhomes,CA,91745,"1461 Forest Glen Dr Hacienda Heights, CA 91745",https://www.apartments.com/1461-forest-glen-dr-hacienda-heights-ca/3t61pqf/,2 baths,980 sq ft,980,,2200,,,
,Irvine,Townhomes,CA,92614,"26 Havenwood Irvine, CA 92614",https://www.apartments.com/26-havenwood-irvine-ca/q5d4s7y/,2 baths,"1,130 sq ft","1,130",,3100,,,
3500,Anaheim,Townhomes,CA,92808,"914 S Lone Pine Ln Anaheim, CA 92808",https://www.apartments.com/914-s-lone-pine-ln-anaheim-ca/7pbn5ew/,3 baths,"1,979 sq ft","1,979",,,,,
,Huntington Beach,Townhomes,CA,92648,"2416 England St Huntington Beach, CA 92648",https://www.apartments.com/2416-england-st-huntington-beach-ca/hnfmg12/,1 bath,900 sq ft,900,,2600,,,
,Riverside,Townhomes,CA,92504,"6808 Neil St Riverside, CA 92504",https://www.apartments.com/6808-neil-st-riverside-ca/v6l2kmf/,1 bath,800 sq ft,800,,2250,,,
2800,Riverside,Townhomes,CA,92504,"7806 Marbil Ln Riverside, CA 92504",https://www.apartments.com/7806-marbil-ln-riverside-ca/jd03ql5/,3 baths,"1,680 sq ft","1,680",,,,,
15000,Newport Beach,Townhomes,CA,92663,"419 29th St Newport Beach, CA 92663",https://www.apartments.com/419-29th-st-newport-beach-ca/y8vttxs/,5 baths,"3,341 sq ft","3,341",,,,,
,Fullerton,Townhomes,CA,92831,"2114 Rockridge Ct Fullerton, CA 92831",https://www.apartments.com/2114-rockridge-ct-fullerton-ca/qmtfh1z/,3 baths,"1,561 sq ft","1,561",,3050,,,
,Laguna Beach,Townhomes,CA,92651,"84 Blue Lagoon Laguna Beach, CA 92651",https://www.apartments.com/84-blue-lagoon-laguna-beach-ca/m76hekl/,3 baths,"1,680 sq ft","1,680",,10000,,,
3500,Long Beach,Townhomes,CA,90815,"1018 Palo Verde Ave Long Beach, CA 90815",https://www.apartments.com/1018-palo-verde-ave-long-beach-ca/sx5sxd5/,3 baths,"1,800 sq ft","1,800",,,,,
3200,Los Angeles,Townhomes,CA,91605,"12000 Runnymede St Los Angeles, CA 91605",https://www.apartments.com/12000-runnymede-st-los-angeles-ca/5vxg3pp/,2 baths,"1,600 sq ft","1,600",,,,,
3650,La Crescenta-Montrose,Townhomes,CA,91020,"2314 Montrose Ave La Crescenta-Montrose, CA 91020",https://www.apartments.com/2314-montrose-ave-la-crescenta-montrose-ca/rqf2qt2/,3 baths,"1,859 sq ft","1,859",,,,,
4100,San Diego,Townhomes,CA,92127,"16750 Coyote Bush Dr San Diego, CA 92127",https://www.apartments.com/16750-coyote-bush-dr-san-diego-ca/2jd70qb/,2 baths,"1,787 sq ft","1,787",,,,,
,Twentynine Palms,Townhomes,CA,92277,"6628 National Park Dr Twentynine Palms, CA 92277",https://www.apartments.com/6628-national-park-dr-twentynine-palms-ca/p9lwk2s/,1 bath,900 sq ft,900,,,1645,,
,Ontario,Townhomes,CA,91764,"710 Via Dolcetto Ontario, CA 91764",https://www.apartments.com/710-via-dolcetto-ontario-ca/lw5l4xd/,3 baths,"1,749 sq ft","1,749",2500,,,,
3900,Yorba Linda,Townhomes,CA,92886,"18699 Clubhouse Dr Yorba Linda, CA 92886",https://www.apartments.com/18699-clubhouse-dr-yorba-linda-ca/8x5vwv0/,3 baths,"2,297 sq ft","2,297",,,,,
2650,Chula Vista,Townhomes,CA,91910,"600 Sheffield Ct Chula Vista, CA 91910",https://www.apartments.com/600-sheffield-ct-chula-vista-ca/e564myp/,2 baths,"1,275 sq ft","1,275",,,,,
5600,Huntington Beach,Townhomes,CA,92648,"19281 Surf Dr Huntington Beach, CA 92648",https://www.apartments.com/19281-surf-dr-huntington-beach-ca/r2f3fd3/,3 baths,"2,142 sq ft","2,142",,,,,
3700,Arcadia,Townhomes,CA,91007,"656 W Huntington Dr Arcadia, CA 91007",https://www.apartments.com/656-w-huntington-dr-arcadia-ca/f2sxcjt/,3 baths,"1,770 sq ft","1,770",,,,,
2695,Rancho Cucamonga,Townhomes,CA,91730,"8692 E 9th St Rancho Cucamonga, CA 91730",https://www.apartments.com/8692-e-9th-st-rancho-cucamonga-ca/kdq9rv9/,3 baths,"1,560 sq ft","1,560",,,,,
,South El Monte,Townhomes,CA,91733,"2516 Edwards Ave South El Monte, CA 91733",https://www.apartments.com/2516-edwards-ave-south-el-monte-ca/jftg2c4/,3 baths,"1,800 sq ft","1,800",3600,,,,
,Newport Beach,Townhomes,CA,92625,"326 Marguerite Ave Newport Beach, CA 92625",https://www.apartments.com/326-marguerite-ave-newport-beach-ca/qvjr64w/,2 baths,"1,100 sq ft","1,100",,3600,,,
,San Clemente,Townhomes,CA,92672,"224 W Marquita San Clemente, CA 92672",https://www.apartments.com/224-w-marquita-san-clemente-ca/j0xynf5/,1 bath,572 sq ft,572,,,2350,,
,Rosemead,Townhomes,CA,91770,"9501 Steele St Rosemead, CA 91770",https://www.apartments.com/9501-steele-st-rosemead-ca/d3lpsxj/,1 bath,600 sq ft,600,,,1500,,
12000,Laguna Beach,Townhomes,CA,92651,"50 Blue Lagoon Laguna Beach, CA 92651",https://www.apartments.com/50-blue-lagoon-laguna-beach-ca/dnsn7kj/,3 baths,"1,820 sq ft","1,820",,,,,
5100,Redondo Beach,Townhomes,CA,90277,"908 Carnelian St Redondo Beach, CA 90277",https://www.apartments.com/908-carnelian-st-redondo-beach-ca/8dx9n21/,3 baths,"2,970 sq ft","2,970",,,,,
,Los Angeles,Townhomes,CA,90032,"4106 Abner St Los Angeles, CA 90032",https://www.apartments.com/4106-abner-st-los-angeles-ca/8g1xtb1/,1 bath,900 sq ft,900,,2050,,,
5500,Indio,Townhomes,CA,92203,"43183 Bacino Ct Indio, CA 92203",https://www.apartments.com/43183-bacino-ct-indio-ca/y6yfqtt/,3 baths,"2,157 sq ft","2,157",,,,,
,Los Angeles,Townhomes,CA,90033,"2422 Alcazar st Los Angeles, CA 90033",https://www.apartments.com/2422-alcazar-st-los-angeles-ca/5ghwhvp/,1 bath,900 sq ft,900,,2800,,,
,Malibu,Townhomes,CA,90265,"5665 Trancas Canyon Rd Malibu, CA 90265",https://www.apartments.com/5665-trancas-canyon-rd-malibu-ca/xxd0rqp/,2 baths,900 sq ft,900,,7150,,,
6475,Los Angeles,Townhomes,CA,90291,"603 Vernon Ave Los Angeles, CA 90291",https://www.apartments.com/603-vernon-ave-los-angeles-ca/vkxq81f/,3 baths,"1,925 sq ft","1,925",,,,,
,Beverly Hills,Townhomes,CA,90212,"147 S Camden Dr Beverly Hills, CA 90212",https://www.apartments.com/147-s-camden-dr-beverly-hills-ca/3qsq5kd/,3 baths,"1,750 sq ft","1,750",,5500,,,
10000,Laguna Beach,Townhomes,CA,92651,"1021 Gaviota Dr Laguna Beach, CA 92651",https://www.apartments.com/1021-gaviota-dr-laguna-beach-ca/4494teh/,2 baths,"1,200 sq ft","1,200",,,,,
