Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
,"$450,000","11133 Dell Ave, Forestville, CA 95436",11133 Dell Ave,Forestville,CA,95436,3,2,"1,358",null,null,MultiFamily,1950,"Guest, Uncovered Parking Spaces 2+, Gravel",$200 annually,"$498,915","$2,700/mo",$331,https://www.zillow.com/homedetails/11133-Dell-Ave-Forestville-CA-95436/15815300_zpid/
,"$575,000","1995 Clover Valley Rd, Upper Lake, CA 95485",1995 Clover Valley Rd,UpperLake,CA,95485,4,3,"3,300",null,null,MultiFamily,1977,"24'+ Deep Garage, Detached, RV Access/Parking, RV Possible, RV Storage, Uncovered Parking Spaces 2+, Workshop in Garage, Gravel",null,"$565,254","$1,500/mo",$174,https://www.zillow.com/homedetails/1995-Clover-Valley-Rd-Upper-Lake-CA-95485/19079881_zpid/
,"$289,900","125-129 W Orange Ave, El Centro, CA 92243",125-129 W Orange Ave,ElCentro,CA,92243,4,--,"1,644",null,null,MultiFamily,2021,0 spaces,null,null,null,$176,https://www.zillow.com/homedetails/125-129-W-Orange-Ave-El-Centro-CA-92243/2071513190_zpid/
RE/MAX GOLD COAST-BEACH MARINA OFFICE,"$495,000","2573 Neptune Pl, Port Hueneme, CA 93041",2573 Neptune Pl,PortHueneme,CA,93041,3,3,"1,481",null,null,MultiFamily,1970,Driveway,$299 monthly,"$527,180","$2,650/mo",$334,https://www.zillow.com/homedetails/2573-Neptune-Pl-Port-Hueneme-CA-93041/16384870_zpid/
,"$142,000","316 Portola Ave, Portola, CA 96122",316 Portola Ave,Portola,CA,96122,4,2,"1,650",null,null,MultiFamily,1978,0 spaces,null,"$132,079","$1,800/mo",$86,https://www.zillow.com/homedetails/316-Portola-Ave-Portola-CA-96122/2112547061_zpid/
CHAMPION CHARACTER INC.,"$486,000","4786 San Bernardino St, Montclair, CA 91763",4786 San Bernardino St,Montclair,CA,91763,4,2,"1,328",null,null,MultiFamily,1957,No Data,null,"$502,404","$2,430/mo",$366,https://www.zillow.com/homedetails/4786-San-Bernardino-St-Montclair-CA-91763/17522737_zpid/
HOMECOIN.COM,"$134,900","809 Richmond Rd, Susanville, CA 96130",809 Richmond Rd,Susanville,CA,96130,--,--,"2,358",null,null,MultiFamily,1935,Garage,null,"$131,741","$1,740/mo",$57,https://www.zillow.com/homedetails/809-Richmond-Rd-Susanville-CA-96130/19108779_zpid/
,"$475,000","911 Glendale Ave, Galt, CA 95632",911 Glendale Ave,Galt,CA,95632,3,--,"2,250",null,null,MultiFamily,1972,"Carport, , Garage",null,"$510,832","$1,795/mo",$211,https://www.zillow.com/homedetails/911-Glendale-Ave-Galt-CA-95632/25956866_zpid/
BERKSHIRE HATHAWAY HOMESERVICES CALIFORNIA REALTY,"$389,900","3048 Sepulveda Ave, San Bernardino, CA 92404",3048 Sepulveda Ave,SanBernardino,CA,92404,3,3,"1,715",null,null,MultiFamily,1946,Garage,null,"$394,603","$1,700/mo",$227,https://www.zillow.com/homedetails/3048-Sepulveda-Ave-San-Bernardino-CA-92404/17242777_zpid/
BETTER CHOICE REAL ESTATE,"$279,999","1368 Marjorie Ct, Orland, CA 95963",1368 Marjorie Ct,Orland,CA,95963,3,3,"1,556",null,null,MultiFamily,2013,"Assigned, Garage",$158 monthly,"$280,000","$2,400/mo",$180,https://www.zillow.com/homedetails/1368-Marjorie-Ct-Orland-CA-95963/242116527_zpid/
,"$499,000","3941 Golden Gate Ave, Santa Rosa, CA 95407",3941 Golden Gate Ave,SantaRosa,CA,95407,4,2,"1,983",null,null,MultiFamily,1947,Uncovered Parking Spaces 2+,null,"$409,637","$2,495/mo",$252,https://www.zillow.com/homedetails/3941-Golden-Gate-Ave-Santa-Rosa-CA-95407/15779733_zpid/
,"$329,500","518 & 520 Turre St, Yreka, CA 96097",518 & 520 Turre St,Yreka,CA,96097,--,2,"2,900",null,null,MultiFamily,No Data,0 spaces,null,null,null,$114,https://www.zillow.com/homedetails/518-520-Turre-St-Yreka-CA-96097/2071519149_zpid/
,"$1,499,000","28 Hazel Ave, Mill Valley, CA 94941",28 Hazel Ave,MillValley,CA,94941,3,3,"1,879",null,null,MultiFamily,1921,"Detached, Gravel",null,"$1,624,526","$4,200/mo",$798,https://www.zillow.com/homedetails/28-Hazel-Ave-Mill-Valley-CA-94941/19255630_zpid/
"MALIK REAL ESTATE GROUP, INC.","$800,000","67 Brewer St #69, Templeton, CA 93465",67 Brewer St #69,Templeton,CA,93465,6,4,"3,490",null,null,MultiFamily,1988,"Driveway, Garage",null,"$800,004",null,$229,https://www.zillow.com/homedetails/67-Brewer-St-69-Templeton-CA-93465/2076473942_zpid/
,"$825,000","1101 Rendezvous Ln, Somerset, CA 95684",1101 Rendezvous Ln,Somerset,CA,95684,4,5,"3,696",null,null,MultiFamily,1987,"Carport, ",null,"$3,100/mo",null,$223,https://www.zillow.com/homedetails/1101-Rendezvous-Ln-Somerset-CA-95684/18609310_zpid/
ALLIANCE PREMIER REAL ESTATE,"$580,000","641 Johnson St, Red Bluff, CA 96080",641 Johnson St,RedBluff,CA,96080,6,4,"2,412",null,null,MultiFamily,2017,Garage - Two Door,null,"$575,483","$2,400/mo",$240,https://www.zillow.com/homedetails/641-Johnson-St-Red-Bluff-CA-96080/96116715_zpid/
,"$749,000","4184 Eckerman Ct, Shingle Springs, CA 95682",4184 Eckerman Ct,ShingleSprings,CA,95682,2,2,"1,832",null,null,MultiFamily,1965,"Carport, Garage - Detached, ",null,"$763,557","$2,400/mo",$409,https://www.zillow.com/homedetails/4184-Eckerman-Ct-Shingle-Springs-CA-95682/18596163_zpid/
CENTURY 21 REALTY MASTERS,"$359,900","148 W E St, Colton, CA 92324",148 W E St,Colton,CA,92324,--,--,"1,646",null,null,MultiFamily,1900,No Data,null,"$371,375","$1,600/mo",$219,https://www.zillow.com/homedetails/148-W-E-St-Colton-CA-92324/17251623_zpid/
,"$499,000","226 N K St, Lompoc, CA 93436",226 N K St,Lompoc,CA,93436,6,3,--,null,null,MultiFamily,1958,Cpt #3,null,"$510,202","$2,350/mo",null,https://www.zillow.com/homedetails/226-N-K-St-Lompoc-CA-93436/15923610_zpid/
,"$375,000","5816 Castle Ave, Dunsmuir, CA 96025",5816 Castle Ave,Dunsmuir,CA,96025,--,5,"3,750",null,null,MultiFamily,1979,0 spaces,null,null,null,$100,https://www.zillow.com/homedetails/5816-Castle-Ave-Dunsmuir-CA-96025/2071520143_zpid/
,"$335,000","8657 Sandy Bay Ct, Sacramento, CA 95828",8657 Sandy Bay Ct,Sacramento,CA,95828,3,2,"1,108",null,null,MultiFamily,1983,"Garage - Attached, ",null,"$349,373","$1,750/mo",$302,https://www.zillow.com/homedetails/8657-Sandy-Bay-Ct-Sacramento-CA-95828/25866275_zpid/
,"$335,000","42365 Emigrant Gap Rd, Emigrant Gap, CA 95715",42365 Emigrant Gap Rd,EmigrantGap,CA,95715,2,3,"1,200",null,null,MultiFamily,1955,0 spaces,null,"$335,002",null,$279,https://www.zillow.com/homedetails/42365-Emigrant-Gap-Rd-Emigrant-Gap-CA-95715/2077693531_zpid/
,"$399,000","17342 Highway 116, Guerneville, CA 95446",17342 Highway 116,Guerneville,CA,95446,2,2,"1,046",null,null,MultiFamily,1948,Uncovered Parking Spaces 2+,null,"$442,388","$2,000/mo",$381,https://www.zillow.com/homedetails/17342-Highway-116-Guerneville-CA-95446/96059050_zpid/
BLUE JAY REALTY,"$449,990","8828 Cuyamaca St, Corona, CA 92883",8828 Cuyamaca St,Corona,CA,92883,2,2,"1,597",null,null,MultiFamily,2006,"Driveway Level, Garage, Garage - Single Door",$392 monthly,"$460,528","$2,350/mo",$282,https://www.zillow.com/homedetails/8828-Cuyamaca-St-Corona-CA-92883/69292422_zpid/
EXP REALTY OF CALIFORNIA INC.,"$675,000","312 E Santa Paula St, Santa Paula, CA 93060",312 E Santa Paula St,SantaPaula,CA,93060,3,1,"1,916",null,null,MultiFamily,1920,None,null,"$703,039",null,$352,https://www.zillow.com/homedetails/312-E-Santa-Paula-St-Santa-Paula-CA-93060/2071690587_zpid/
,"$825,000","7850 Hubbard Rd, Auburn, CA 95602",7850 Hubbard Rd,Auburn,CA,95602,5,3,"2,123",null,null,MultiFamily,1961,"Garage - Attached, Garage - Detached, ",null,"$2,495/mo",null,$389,https://www.zillow.com/homedetails/7850-Hubbard-Rd-Auburn-CA-95602/17663763_zpid/
"CENTURY 21 HOMETOWN REALTY, PASO ROBLES OFFICE","$329,900","1722 Kings Dr, Paso Robles, CA 93446",1722 Kings Dr,PasoRobles,CA,93446,2,1,826,null,null,MultiFamily,1979,Garage - Attached,$65 annually,"$345,523","$2,195/mo",$399,https://www.zillow.com/homedetails/1722-Kings-Dr-Paso-Robles-CA-93446/15399613_zpid/
,"$749,000","9807 E Keyes Rd, Denair, CA 95316",9807 E Keyes Rd,Denair,CA,95316,2,2,"2,472",null,null,MultiFamily,1956,"Garage - Detached, ",null,"$749,006","$3,176/mo",$303,https://www.zillow.com/homedetails/9807-E-Keyes-Rd-Denair-CA-95316/16014998_zpid/
,"$829,000","301 Sunrise Dr, Cloverdale, CA 95425",301 Sunrise Dr,Cloverdale,CA,95425,5,4,"2,976",null,null,MultiFamily,2005,"Detached, Garage Door Opener, RV Possible",null,"$1,036,499","$3,200/mo",$279,https://www.zillow.com/homedetails/301-Sunrise-Dr-Cloverdale-CA-95425/69032012_zpid/
"FIRST TEAM REAL ESTATE, TEM","$429,900","38731 Via Las Flores, Murrieta, CA 92563",38731 Via Las Flores,Murrieta,CA,92563,3,3,"1,550",null,null,MultiFamily,1973,"Driveway, Garage",$240 monthly,"$412,966","$2,100/mo",$277,https://www.zillow.com/homedetails/38731-Via-Las-Flores-Murrieta-CA-92563/18165903_zpid/
,"$250,000","10300 Alta Vista Way, Onyx, CA 93255",10300 Alta Vista Way,Onyx,CA,93255,6,4,"2,798",null,null,MultiFamily,1993,0 spaces,null,"$249,944","$1,450/mo",$89,https://www.zillow.com/homedetails/10300-Alta-Vista-Way-Onyx-CA-93255/89731409_zpid/
RE/MAX BLYTHE REALTY,"$170,000","436 E Avenue B, Blythe, CA 92225",436 E Avenue B,Blythe,CA,92225,5,3,"2,954",null,null,MultiFamily,1953,Driveway,null,"$170,001","$2,500/mo",$58,https://www.zillow.com/homedetails/436-E-Avenue-B-Blythe-CA-92225/18158623_zpid/
,"$925,000","5010 Flicker Way, Garden Valley, CA 95633",5010 Flicker Way,GardenValley,CA,95633,4,3,"4,018",null,null,MultiFamily,1994,"Garage - Detached, ",null,"$935,835","$4,500/mo",$230,https://www.zillow.com/homedetails/5010-Flicker-Way-Garden-Valley-CA-95633/18592086_zpid/
KELLER WILLIAMS REALTY,"$329,990","23507 Lake Dr, Crestline, CA 92325",23507 Lake Dr,Crestline,CA,92325,3,2,"1,452",null,null,MultiFamily,1947,Garage - Attached,null,"$334,364","$1,600/mo",$227,https://www.zillow.com/homedetails/23507-Lake-Dr-Crestline-CA-92325/17417578_zpid/
,"$309,900","95 Pulsar Cir, Sacramento, CA 95822",95 Pulsar Cir,Sacramento,CA,95822,2,1,958,null,null,MultiFamily,1982,"Garage - Attached, ",null,"$328,381","$1,725/mo",$323,https://www.zillow.com/homedetails/95-Pulsar-Cir-Sacramento-CA-95822/25849328_zpid/
PROSPERITY REAL ESTATE & ASSOC,"$380,000","1557 W 5th St, San Bernardino, CA 92411",1557 W 5th St,SanBernardino,CA,92411,5,2,"1,586",null,null,MultiFamily,1930,Garage,null,"$419,934","$1,775/mo",$240,https://www.zillow.com/homedetails/1557-W-5th-St-San-Bernardino-CA-92411/17222457_zpid/
BERKSHIRE HATHAWAY HOMESERVICE,"$1,199,900","741 E Claremont St, Pasadena, CA 91104",741 E Claremont St,Pasadena,CA,91104,4,3,"1,587",null,null,MultiFamily,1930,"Driveway Up Slope From Street, Garage",null,"$2,800/mo",null,$756,https://www.zillow.com/homedetails/741-E-Claremont-St-Pasadena-CA-91104/20866211_zpid/
,"$699,000","3257 Galindo St, Oakland, CA 94601",3257 Galindo St,Oakland,CA,94601,5,3,"2,373",null,null,MultiFamily,1965,"Attached, Off Street",null,"$925,811","$2,700/mo",$295,https://www.zillow.com/homedetails/3257-Galindo-St-Oakland-CA-94601/24767829_zpid/
,"$997,000","630 Redwood Ave, Corte Madera, CA 94925",630 Redwood Ave,CorteMadera,CA,94925,3,2,"2,125",null,null,MultiFamily,1923,Detached,null,"$1,774,008","$4,675/mo",$469,https://www.zillow.com/homedetails/630-Redwood-Ave-Corte-Madera-CA-94925/80743815_zpid/
,"$5,495,000","999 Mee Ln, Saint Helena, CA 94574",999 Mee Ln,SaintHelena,CA,94574,5,4,"4,084",null,null,MultiFamily,2005,"Side-by-Side, Gravel",null,"$5,321,881","$9,000/mo","$1,345",https://www.zillow.com/homedetails/999-Mee-Ln-Saint-Helena-CA-94574/19404754_zpid/
,"$450,000","2460 Escalon Ave, Clovis, CA 93611",2460 Escalon Ave,Clovis,CA,93611,4,3,"1,928",null,null,MultiFamily,1988,"Garage - Attached, ",null,"$460,843","$1,950/mo",$233,https://www.zillow.com/homedetails/2460-Escalon-Ave-Clovis-CA-93611/18792532_zpid/
,"$520,000","189 W School Ave, Porterville, CA 93257",189 W School Ave,Porterville,CA,93257,8,--,"3,026",null,null,MultiFamily,1938,0 spaces,null,$850/mo,null,$172,https://www.zillow.com/homedetails/189-W-School-Ave-Porterville-CA-93257/2104020273_zpid/
,"$520,000","427 N Hawaii St, Porterville, CA 93257",427 N Hawaii St,Porterville,CA,93257,8,--,"3,026",null,null,MultiFamily,1938,Garage - Attached,null,"$514,306",$950/mo,$172,https://www.zillow.com/homedetails/427-N-Hawaii-St-Porterville-CA-93257/16290846_zpid/
KELLER WILLIAMS SPECTRUM PROPERTIES,"$1,000,000","741 Raymond Ave, Long Beach, CA 90804",741 Raymond Ave,LongBeach,CA,90804,3,3,"1,978",null,null,MultiFamily,1941,"Driveway, Garage",null,"$1,018,983","$2,225/mo",$506,https://www.zillow.com/homedetails/741-Raymond-Ave-Long-Beach-CA-90804/21228786_zpid/
KELLER WILLIAMS COASTAL PROPER,"$699,999","2631 Kansas Ave, South Gate, CA 90280",2631 Kansas Ave,SouthGate,CA,90280,--,--,"1,938",null,null,MultiFamily,1941,Garage,null,"$725,428","$2,350/mo",$361,https://www.zillow.com/homedetails/2631-Kansas-Ave-South-Gate-CA-90280/21025909_zpid/
COLDWELL BANKER BORREGO,"$199,000","2952-54 Borrego Springs Rd, Borrego Springs, CA 92004",2952-54 Borrego Springs Rd,BorregoSprings,CA,92004,--,--,--,null,null,MultiFamily,1952,No Data,null,"$199,069","$2,130/mo",null,https://www.zillow.com/homedetails/2952-54-Borrego-Springs-Rd-Borrego-Springs-CA-92004/16644889_zpid/
CENTURY 21 EVEREST,"$495,000","239 2391/2 S 7th St, Santa Paula, CA 93060",239 2391/2 S 7th St,SantaPaula,CA,93060,3,2,"1,084",null,null,MultiFamily,1920,"Driveway, Off Street",null,"$519,954",null,$457,https://www.zillow.com/homedetails/239-2391-2-S-7th-St-Santa-Paula-CA-93060/2072035104_zpid/
,"$324,990","3489 Bridgeford Dr, Sacramento, CA 95834",3489 Bridgeford Dr,Sacramento,CA,95834,2,2,"1,311",null,null,MultiFamily,1984,"Garage - Attached, ",null,"$327,257","$1,895/mo",$248,https://www.zillow.com/homedetails/3489-Bridgeford-Dr-Sacramento-CA-95834/26013524_zpid/
,"$1,050,000","1620 3rd St, Livermore, CA 94550",1620 3rd St,Livermore,CA,94550,4,2,"1,531",null,null,MultiFamily,2006,Attached,null,null,null,$686,https://www.zillow.com/homedetails/1620-3rd-St-Livermore-CA-94550/299078020_zpid/
,"$475,000","1315 W Norwich Ave, Fresno, CA 93705",1315 W Norwich Ave,Fresno,CA,93705,6,4,"3,000",null,null,MultiFamily,1976,"Garage - Attached, ",null,"$482,489","$1,095/mo",$158,https://www.zillow.com/homedetails/1315-W-Norwich-Ave-Fresno-CA-93705/82866562_zpid/
