Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
,"$375,000","6352 Seastone Way, Sacramento, CA 95831",6352 Seastone Way,Sacramento,CA,95831,3,2,"1,248",null,null,Condo,1973,"Garage - Detached, ",$375 monthly,"$396,241","$2,000/mo",$300,https://www.zillow.com/homedetails/6352-Seastone-Way-Sacramento-CA-95831/25826015_zpid/
,"$284,500","4561 Oak Glen Dr UNIT B, Santa Barbara, CA 93110",4561 Oak Glen Dr UNIT B,SantaBarbara,CA,93110,2,1,832,null,null,Condo,1990,Cpt #1,$351 monthly,"$314,979","$2,250/mo",$342,https://www.zillow.com/homedetails/4561-Oak-Glen-Dr-UNIT-B-Santa-Barbara-CA-93110/15903515_zpid/
,"$475,000","675 Newbury Ln APT 141, Hayward, CA 94544",675 Newbury Ln APT 141,Hayward,CA,94544,2,2,894,null,null,Condo,1988,Space Per Unit - 2,$454 monthly,"$490,185","$2,400/mo",$531,https://www.zillow.com/homedetails/675-Newbury-Ln-APT-141-Hayward-CA-94544/68030806_zpid/
REDFIN,"$699,000","36 Jaripol Cir, Rancho Mission Viejo, CA 92694",36 Jaripol Cir,RanchoMissionViejo,CA,92694,3,3,"1,687",null,null,Condo,2018,Garage - Attached,$400 monthly,"$725,765",null,$414,https://www.zillow.com/homedetails/36-Jaripol-Cir-Rancho-Mission-Viejo-CA-92694/306353669_zpid/
THE DAVIDSON GROUP REALTY,"$258,300","1682 Circa Del Lago UNIT A110, San Marcos, CA 92078",1682 Circa Del Lago UNIT A110,SanMarcos,CA,92078,2,2,962,null,null,Condo,1986,"Carport, None","$2,426 monthly","$265,897",null,$269,https://www.zillow.com/homedetails/1682-Circa-Del-Lago-UNIT-A110-San-Marcos-CA-92078/2078544350_zpid/
"THE BETTS REALTY GROUP, INC.","$550,000","7011 Windmill Ln, Paramount, CA 90723",7011 Windmill Ln,Paramount,CA,90723,3,3,"1,302",null,null,Condo,2011,"Driveway, Garage - Two Door",$151 monthly,"$522,144","$2,600/mo",$422,https://www.zillow.com/homedetails/7011-Windmill-Ln-Paramount-CA-90723/113975216_zpid/
BERKSHIRE HATHAWAY HOMESERVICE,"$1,050,000","371 D Ave #A, Coronado, CA 92118",371 D Ave #A,Coronado,CA,92118,2,3,"1,153",null,null,Condo,1986,"Driveway, Garage",$175 monthly,null,null,$911,https://www.zillow.com/homedetails/371-D-Ave-A-Coronado-CA-92118/17070097_zpid/
RODEO REALTY,"$325,000","32221 Alipaz St APT 105, San Juan Capistrano, CA 92675",32221 Alipaz St APT 105,SanJuanCapistrano,CA,92675,1,1,764,null,null,Condo,1979,Carport,$333 monthly,"$331,455","$1,950/mo",$425,https://www.zillow.com/homedetails/32221-Alipaz-St-APT-105-San-Juan-Capistrano-CA-92675/25654736_zpid/
"SAIL PROPERTIES, INC.","$595,000","1200 Pacific Coast Hwy APT 124, Huntington Beach, CA 92648",1200 Pacific Coast Hwy APT 124,HuntingtonBeach,CA,92648,1,1,781,null,null,Condo,1987,Underground,$549 monthly,"$571,477","$3,000/mo",$762,https://www.zillow.com/homedetails/1200-Pacific-Coast-Hwy-APT-124-Huntington-Beach-CA-92648/25767682_zpid/
COMPASS,"$449,000","8648 New Salem St UNIT 19, San Diego, CA 92126",8648 New Salem St UNIT 19,SanDiego,CA,92126,2,2,831,null,null,Condo,1993,Assigned,$280 monthly,"$460,300","$2,100/mo",$540,https://www.zillow.com/homedetails/8648-New-Salem-St-UNIT-19-San-Diego-CA-92126/16788120_zpid/
EXP REALTY OF CALIFORNIA INC,"$399,990","9601 Sylmar Ave UNIT 16, Los Angeles, CA 91402",9601 Sylmar Ave UNIT 16,LosAngeles,CA,91402,2,2,"1,098",null,null,Condo,1980,No Data,$300 monthly,"$393,094","$2,250/mo",$364,https://www.zillow.com/homedetails/9601-Sylmar-Ave-UNIT-16-Los-Angeles-CA-91402/20128158_zpid/
SEVEN GABLES REAL ESTATE,"$625,000","7281 Coho Dr UNIT 104, Huntington Beach, CA 92648",7281 Coho Dr UNIT 104,HuntingtonBeach,CA,92648,2,2,"1,079",null,null,Condo,1985,"Assigned, Carport, Garage, Guest",$450 monthly,"$694,342","$2,850/mo",$579,https://www.zillow.com/homedetails/7281-Coho-Dr-UNIT-104-Huntington-Beach-CA-92648/25735128_zpid/
,"$609,888","700 S Abel St UNIT 410, Milpitas, CA 95035",700 S Abel St UNIT 410,Milpitas,CA,95035,1,1,932,null,null,Condo,2007,"Garage - Attached, Off-street, ",$429 monthly,"$2,400/mo",null,$654,https://www.zillow.com/homedetails/700-S-Abel-St-UNIT-410-Milpitas-CA-95035/82951195_zpid/
KELLER WILLIAMS LUXURY HOMES,"$325,000","2268 N Indian Canyon Dr UNIT D, Palm Springs, CA 92262",2268 N Indian Canyon Dr UNIT D,PalmSprings,CA,92262,4,2,"1,344",null,null,Condo,1971,"Assigned, Guest",$310 monthly,"$337,500","$2,095/mo",$242,https://www.zillow.com/homedetails/2268-N-Indian-Canyon-Dr-UNIT-D-Palm-Springs-CA-92262/18018361_zpid/
