Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
,"$299,990","490 N Civic Dr APT 318, Walnut Creek, CA 94596",490 N Civic Dr APT 318,WalnutCreek,CA,94596,1,1,517,null,null,Condo,1972,"Garage, Guest",$524 monthly,"$1,800/mo",null,$580,https://www.zillow.com/homedetails/490-N-Civic-Dr-APT-318-Walnut-Creek-CA-94596/18410055_zpid/
"TRG REALTY COMPANY, INC.","$799,000","1327 Lilac Ter, Los Angeles, CA 90026",1327 Lilac Ter,LosAngeles,CA,90026,3,2,"1,389",null,null,Condo,1924,None,$358 monthly,"$962,397","$2,700/mo",$575,https://www.zillow.com/homedetails/1327-Lilac-Ter-Los-Angeles-CA-90026/2097678594_zpid/
CAMDEN INVESTMENT STRATEGIES,"$360,000","18752 Caminito Cantilena UNIT 173, San Diego, CA 92128",18752 Caminito Cantilena UNIT 173,SanDiego,CA,92128,1,1,716,null,null,Condo,1993,No Data,$415 monthly,"$372,790","$1,800/mo",$503,https://www.zillow.com/homedetails/18752-Caminito-Cantilena-UNIT-173-San-Diego-CA-92128/52510365_zpid/
REDFIN CORPORATION,"$529,000","1643 6th Ave APT 402, San Diego, CA 92101",1643 6th Ave APT 402,SanDiego,CA,92101,2,2,"1,084",null,null,Condo,2004,Assigned,$491 monthly,"$540,151","$2,595/mo",$488,https://www.zillow.com/homedetails/1643-6th-Ave-APT-402-San-Diego-CA-92101/63478626_zpid/
COLDWELL BANKER REALTY,"$445,000","84 Streamwood, Irvine, CA 92620",84 Streamwood,Irvine,CA,92620,2,1,935,null,null,Condo,1977,"Assigned, Carport, Guest, Off Street, Electric Vehicle Charging Station(s)",$295 monthly,"$456,387","$2,120/mo",$476,https://www.zillow.com/homedetails/84-Streamwood-Irvine-CA-92620/25720046_zpid/
PARK GROUP REAL ESTATE,"$410,000","5408 Iowa Ct #116, Chino, CA 91710",5408 Iowa Ct #116,Chino,CA,91710,2,3,"1,336",null,null,Condo,1986,Garage - Attached,$303 monthly,"$438,767","$2,300/mo",$307,https://www.zillow.com/homedetails/5408-Iowa-Ct-116-Chino-CA-91710/17535048_zpid/
DUNFEE REAL ESTATE SERVICES,"$590,000","400 W Ocean Blvd UNIT 201, Long Beach, CA 90802",400 W Ocean Blvd UNIT 201,LongBeach,CA,90802,2,2,"1,070",null,null,Condo,2007,"Assigned, Guest, Parking Space, Underground",$825 monthly,"$606,683","$2,600/mo",$551,https://www.zillow.com/homedetails/400-W-Ocean-Blvd-UNIT-201-Long-Beach-CA-90802/82582547_zpid/
THE AGENCY NEW DEVELOPMENT,"$498,000","939 S Broadway #413, Los Angeles, CA 90015",939 S Broadway #413,LosAngeles,CA,90015,1,1,700,null,null,Condo,1925,On Street,$492 monthly,"$512,707",null,$711,https://www.zillow.com/homedetails/939-S-Broadway-413-Los-Angeles-CA-90015/2073038179_zpid/
,"$365,000","2200 Golden Rain Rd APT 9, Walnut Creek, CA 94595",2200 Golden Rain Rd APT 9,WalnutCreek,CA,94595,2,1,"1,054",null,null,Condo,1965,"Carport, Guest",$894 monthly,null,null,$346,https://www.zillow.com/homedetails/2200-Golden-Rain-Rd-APT-9-Walnut-Creek-CA-94595/18555411_zpid/
"RESIDENTIAL AGENT, INC.","$325,000","3640 S Bear St #49-I, Santa Ana, CA 92704",3640 S Bear St #49-I,SantaAna,CA,92704,2,2,"1,093",null,null,Condo,1984,"Assigned, Garage - Single Door, Garage Door Opener",$551 monthly,"$329,144",null,$297,https://www.zillow.com/homedetails/3640-S-Bear-St-49-I-Santa-Ana-CA-92704/2071592119_zpid/
BERKSHIRE HATH HM SVCS CA PROP,"$600,000","1242 Upland Hills Dr S, Upland, CA 91786",1242 Upland Hills Dr S,Upland,CA,91786,2,2,"1,685",null,null,Condo,1989,"Direct Access, Guest",$375 monthly,"$617,705","$2,602/mo",$356,https://www.zillow.com/homedetails/1242-Upland-Hills-Dr-S-Upland-CA-91786/17567436_zpid/
,"$1,099,000","125 Davison Rd #2, Mammoth Lakes, CA 93546",125 Davison Rd #2,MammothLakes,CA,93546,4,3,"2,140",null,null,Condo,2005,"Garage - Attached, ",null,"$1,085,727","$3,500/mo",$514,https://www.zillow.com/homedetails/125-Davison-Rd-2-Mammoth-Lakes-CA-93546/68996355_zpid/
,"$649,000","208 Bay St APT F, Santa Cruz, CA 95060",208 Bay St APT F,SantaCruz,CA,95060,2,1,775,null,null,Condo,2003,"Garage - Attached, Off-street",$225 monthly,"$663,422","$2,800/mo",$837,https://www.zillow.com/homedetails/208-Bay-St-APT-F-Santa-Cruz-CA-95060/67395748_zpid/
,"$529,000","245 Castro St, San Leandro, CA 94577",245 Castro St,SanLeandro,CA,94577,2,2,"1,180",null,null,Condo,1967,Carport,$309 monthly,"$2,590/mo",null,$448,https://www.zillow.com/homedetails/245-Castro-St-San-Leandro-CA-94577/24874072_zpid/
,"$600,000","7855 Canyon Meadow Cir APT B, Pleasanton, CA 94588",7855 Canyon Meadow Cir APT B,Pleasanton,CA,94588,2,2,"1,043",null,null,Condo,1991,"Garage Door Opener, Attached",$423 monthly,"$634,382","$2,640/mo",$575,https://www.zillow.com/homedetails/7855-Canyon-Meadow-Cir-APT-B-Pleasanton-CA-94588/25068982_zpid/
,"$525,000","170 Schooner Ct, Richmond, CA 94804",170 Schooner Ct,Richmond,CA,94804,2,2,997,null,null,Condo,1986,"Carport, Space Per Unit - 1",$501 monthly,"$545,451","$2,900/mo",$527,https://www.zillow.com/homedetails/170-Schooner-Ct-Richmond-CA-94804/72556259_zpid/
VIP REAL ESTATE FIRM,"$379,900","7215 3/4 Petrol St, Paramount, CA 90723",7215 3/4 Petrol St,Paramount,CA,90723,2,2,"1,109",null,null,Condo,1979,Garage,$165 monthly,"$400,108","$2,200/mo",$343,https://www.zillow.com/homedetails/7215-3-4-Petrol-St-Paramount-CA-90723/21044467_zpid/
KELLER WILLIAMS REALTY,"$405,000","72303 Canyon Ln, Palm Desert, CA 92260",72303 Canyon Ln,PalmDesert,CA,92260,3,2,"1,654",null,null,Condo,1978,"Direct Access, Driveway",$455 monthly,"$405,003","$3,500/mo",$245,https://www.zillow.com/homedetails/72303-Canyon-Ln-Palm-Desert-CA-92260/18107538_zpid/
HOME LIBERTY,"$449,900","8469 Autumn Hill Pl UNIT 92, Rancho Cucamonga, CA 91730",8469 Autumn Hill Pl UNIT 92,RanchoCucamonga,CA,91730,3,3,"1,438",null,null,Condo,1985,Garage - Attached,$300 monthly,"$481,652",null,$313,https://www.zillow.com/homedetails/8469-Autumn-Hill-Pl-UNIT-92-Rancho-Cucamonga-CA-91730/2071930651_zpid/
COLDWELL BANKER WEST,"$475,000","5422 Santa Alicia, San Diego, CA 92154",5422 Santa Alicia,SanDiego,CA,92154,3,3,"1,334",null,null,Condo,2015,Garage - Attached,$270 monthly,"$494,151","$2,599/mo",$356,https://www.zillow.com/homedetails/5422-Santa-Alicia-San-Diego-CA-92154/124864426_zpid/
,"$599,000","6946 Gregorich Dr UNIT D, San Jose, CA 95138",6946 Gregorich Dr UNIT D,SanJose,CA,95138,2,2,850,null,null,Condo,1992,Garage - Attached,$349 monthly,"$629,067","$2,500/mo",$705,https://www.zillow.com/homedetails/6946-Gregorich-Dr-UNIT-D-San-Jose-CA-95138/19811518_zpid/
